setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
klr	Kaladesh Remastered	2020-11-12	1	Aerial Responder	69b1b0ec-9db0-48d1-a7b5-71281aca16fe	covered	combat_body, combat_threat, lifegain	combat_body, combat_threat, lifegain	false		Analyzer roles accepted during batch clean pass.	Creature — Dwarf Soldier	{1}{W}{W}	3	W	W	Flying, Lifelink, Vigilance		verify analyzer roles	https://scryfall.com/card/klr/1/aerial-responder?utm_source=api	Flying, vigilance, lifelink
klr	Kaladesh Remastered	2020-11-12	2	Aeronaut Admiral	dcde1a62-33a5-4454-a389-9bf7a3521a4c	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Human Pilot	{3}{W}	4	W	W	Flying		verify analyzer roles	https://scryfall.com/card/klr/2/aeronaut-admiral?utm_source=api	Flying Vehicles you control have flying.
klr	Kaladesh Remastered	2020-11-12	3	Aether Inspector	9373a176-a5e9-4fdc-906b-bc6aef657e5b	covered	combat_body, combat_support, combat_threat, energy_support, token_support	combat_body, combat_support, combat_threat, energy_support, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Dwarf Artificer	{3}{W}	4	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/klr/3/aether-inspector?utm_source=api	Vigilance When this creature enters, you get {E}{E} (two energy counters). Whenever this creature attacks, you may pay {E}{E}. If you do, create a 1/1 colorless Servo artifact creature token.
klr	Kaladesh Remastered	2020-11-12	4	Aetherstorm Roc	06f09e5a-5cfb-437f-9dd1-1682d71f4e7f	covered	combat_body, combat_support, combat_threat, counter_support, energy_support, removal, tempo_removal	combat_body, combat_support, combat_threat, counter_support, energy_support, removal, tempo_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Bird	{2}{W}{W}	4	W	W	Flying		verify analyzer roles	https://scryfall.com/card/klr/4/aetherstorm-roc?utm_source=api	Flying Whenever this creature or another creature you control enters, you get {E} (an energy counter). Whenever this creature attacks, you may pay {E}{E}. If you do, put a +1/+1 counter on it and tap up to one target creature defending player controls.
klr	Kaladesh Remastered	2020-11-12	5	Airdrop Aeronauts	009a399b-c78e-475b-8bc3-7db2afc9d676	covered	combat_body, combat_threat, lifegain	combat_body, combat_threat, lifegain	false		Analyzer roles accepted during batch clean pass.	Creature — Dwarf Scout	{3}{W}{W}	5	W	W	Flying, Revolt		verify analyzer roles	https://scryfall.com/card/klr/5/airdrop-aeronauts?utm_source=api	Flying Revolt — When this creature enters, if a permanent left the battlefield under your control this turn, you gain 5 life.
klr	Kaladesh Remastered	2020-11-12	6	Alley Evasion	b59c7c62-ce2f-4062-9790-566191aded69	covered	combat_support, protection, removal, rescue_protection, self_bounce, tempo_removal	combat_support, protection, removal, rescue_protection, self_bounce, tempo_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/klr/6/alley-evasion?utm_source=api	Choose one — • Target creature you control gets +1/+2 until end of turn. • Return target creature you control to its owner's hand.
klr	Kaladesh Remastered	2020-11-12	7	Angel of Invention	28c7f2b6-ba67-4ccf-9e1b-99c89a9d1f72	covered	combat_body, combat_support, combat_threat, counter_support, lifegain, token_support	combat_body, combat_support, combat_threat, counter_support, lifegain, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Angel	{3}{W}{W}	5	W	W	Flying, Lifelink, Vigilance, Fabricate		verify analyzer roles	https://scryfall.com/card/klr/7/angel-of-invention?utm_source=api	Flying, vigilance, lifelink Fabricate 2 (When this creature enters, put two +1/+1 counters on it or create two 1/1 colorless Servo artifact creature tokens.) Other creatures you control get +1/+1.
klr	Kaladesh Remastered	2020-11-12	8	Audacious Infiltrator	e01b3d52-297d-42e3-9de9-4f45c2359bcc	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Creature — Dwarf Rogue	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/klr/8/audacious-infiltrator?utm_source=api	This creature can't be blocked by artifact creatures.
klr	Kaladesh Remastered	2020-11-12	9	Authority of the Consuls	55f3c721-e13a-406e-bc8e-d6cdc91ac477	covered	lifegain, stax_piece	lifegain, stax_piece	false		Analyzer roles accepted during batch clean pass.	Enchantment	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/klr/9/authority-of-the-consuls?utm_source=api	Creatures your opponents control enter tapped. Whenever a creature an opponent controls enters, you gain 1 life.
klr	Kaladesh Remastered	2020-11-12	10	Aviary Mechanic	b47d37ee-2bb2-4ca8-b245-94d2cc4b6684	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Creature — Dwarf Artificer	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/klr/10/aviary-mechanic?utm_source=api	When this creature enters, you may return another permanent you control to its owner's hand.
