setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
lea	Limited Edition Alpha	1993-08-05	1	Animate Wall	c7a6a165-b709-46e0-ae42-6f69a17c0621			combat_support, replacement_engine				Enchantment — Aura	{W}	1	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/lea/1/animate-wall?utm_source=api	Enchant Wall Enchanted Wall can attack as though it didn't have defender.
lea	Limited Edition Alpha	1993-08-05	2	Armageddon	c9ed8b01-959a-47d6-891e-0abbdccf6e4f	covered	hate_piece, land_denial, mass_land_denial, mass_removal, removal, stax_piece	hate_piece, land_denial, mass_land_denial, mass_removal, removal, stax_piece	false		Covered by Alpha role audit batch 1.	Sorcery	{3}{W}	4	W	W			already reviewed	https://scryfall.com/card/lea/2/armageddon?utm_source=api	Destroy all lands.
lea	Limited Edition Alpha	1993-08-05	3	Balance	17fa98cd-ed8f-483f-9525-7e989a82ebb2			sacrifice_support, targeted_removal				Sorcery	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/lea/3/balance?utm_source=api	Each player chooses a number of lands they control equal to the number of lands controlled by the player who controls the fewest, then sacrifices the rest. Players discard cards and sacrifice creatures the same way.
lea	Limited Edition Alpha	1993-08-05	4	Benalish Hero	4c81cfb7-8765-4e28-ae33-4287fa9a86cc			combat_support				Creature — Human Soldier	{W}	1	W	W	Banding		verify analyzer roles	https://scryfall.com/card/lea/4/benalish-hero?utm_source=api	Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)
lea	Limited Edition Alpha	1993-08-05	5	Black Ward	7861ac9b-3024-4935-804c-2ca4c5a46bf4			targeted_protection				Enchantment — Aura	{W}	1	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/lea/5/black-ward?utm_source=api	Enchant creature Enchanted creature has protection from black. This effect doesn't remove this Aura.
lea	Limited Edition Alpha	1993-08-05	6	Blaze of Glory	b330ac89-790e-4cc9-96a5-532c48252088							Instant	{W}	1	W	W			manual review	https://scryfall.com/card/lea/6/blaze-of-glory?utm_source=api	Cast this spell only during combat before blockers are declared. Target creature defending player controls can block any number of creatures this turn. It blocks each attacking creature this turn if able.
lea	Limited Edition Alpha	1993-08-05	7	Blessing	5c84d8da-2bfb-4618-89a0-7d9ed604e854			combat_support				Enchantment — Aura	{W}{W}	2	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/lea/7/blessing?utm_source=api	Enchant creature {W}: Enchanted creature gets +1/+1 until end of turn.
lea	Limited Edition Alpha	1993-08-05	8	Blue Ward	fc0bf1d0-46a2-4305-ab2e-466d79d60ab2			targeted_protection				Enchantment — Aura	{W}	1	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/lea/8/blue-ward?utm_source=api	Enchant creature Enchanted creature has protection from blue. This effect doesn't remove this Aura.
lea	Limited Edition Alpha	1993-08-05	9	Castle	f3179c3c-7e53-44d2-b579-b9e677efe9d9			combat_support				Enchantment	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/lea/9/castle?utm_source=api	Untapped creatures you control get +0/+2.
lea	Limited Edition Alpha	1993-08-05	10	Circle of Protection: Blue	d7572f17-f85d-45c0-ac64-43aac760eafe	covered	broad_protection, protection	broad_protection, protection	false		Covered by Alpha role audit batch 1.	Enchantment	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/lea/10/circle-of-protection:-blue?utm_source=api	{1}: The next time a blue source of your choice would deal damage to you this turn, prevent that damage.
lea	Limited Edition Alpha	1993-08-05	11	Circle of Protection: Green	41b0f347-1398-4778-bf3f-4007d8a77162			broad_protection, protection				Enchantment	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/lea/11/circle-of-protection:-green?utm_source=api	{1}: The next time a green source of your choice would deal damage to you this turn, prevent that damage.
lea	Limited Edition Alpha	1993-08-05	12	Circle of Protection: Red	df2738fe-9cd1-4347-8808-105fcfde1190			broad_protection, protection				Enchantment	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/lea/12/circle-of-protection:-red?utm_source=api	{1}: The next time a red source of your choice would deal damage to you this turn, prevent that damage.
lea	Limited Edition Alpha	1993-08-05	13	Circle of Protection: White	5f46f86a-9779-4ed3-99cb-76a03d380598			broad_protection, protection				Enchantment	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/lea/13/circle-of-protection:-white?utm_source=api	{1}: The next time a white source of your choice would deal damage to you this turn, prevent that damage.
lea	Limited Edition Alpha	1993-08-05	14	Consecrate Land	4627691c-4ed4-4add-9cc3-2e019be2f9fd			self_protection				Enchantment — Aura	{W}	1	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/lea/14/consecrate-land?utm_source=api	Enchant land Enchanted land has indestructible and can't be enchanted by other Auras.
lea	Limited Edition Alpha	1993-08-05	15	Conversion	a24e05fb-dffb-4400-b4ca-22fdde45e7a7			sacrifice_support				Enchantment	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/lea/15/conversion?utm_source=api	At the beginning of your upkeep, sacrifice this enchantment unless you pay {W}{W}. All Mountains are Plains.
lea	Limited Edition Alpha	1993-08-05	16	Crusade	4692740f-be90-459f-8d90-c4ae71771595			combat_support				Enchantment	{W}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/lea/16/crusade?utm_source=api	White creatures get +1/+1.
lea	Limited Edition Alpha	1993-08-05	17	Death Ward	0544b707-ec67-43e3-a25d-fd7005ab673d			protection, targeted_protection				Instant	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/lea/17/death-ward?utm_source=api	Regenerate target creature.
lea	Limited Edition Alpha	1993-08-05	18	Disenchant	a7e97fa9-4b72-4548-b854-5be5f18a6f1a			removal, targeted_removal				Instant	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/lea/18/disenchant?utm_source=api	Destroy target artifact or enchantment.
