setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ltr	The Lord of the Rings: Tales of Middle-earth	2023-06-23	0	The One Ring	3aa83ed2-f48b-4ce6-a614-2c54ddf50538	covered	broad_protection, card_draw, counter_support, direct_draw, draw, protection, repeatable_advantage, repeatable_draw, self_protection	broad_protection, card_draw, counter_support, direct_draw, draw, protection, repeatable_advantage, repeatable_draw, self_protection	false		Analyzer roles accepted during batch clean pass.	Legendary Artifact	{4}	4			Indestructible		verify analyzer roles	https://scryfall.com/card/ltr/0/the-one-ring?utm_source=api	Indestructible When The One Ring enters, if you cast it, you gain protection from everything until your next turn. At the beginning of your upkeep, you lose 1 life for each burden counter on The One Ring. {T}: Put a burden counter on The One Ring, then draw a card for each burden counter on The One Ring.
ltr	The Lord of the Rings: Tales of Middle-earth	2023-06-23	1	Banish from Edoras	e4508afd-7cc3-4176-8291-cfc2c155ac11	covered	removal, targeted_removal	removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Sorcery	{4}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/ltr/1/banish-from-edoras?utm_source=api	This spell costs {2} less to cast if it targets a tapped creature. Exile target creature.
ltr	The Lord of the Rings: Tales of Middle-earth	2023-06-23	2	The Battle of Bywater	a94c191d-a938-458e-bc1b-2f44fd8873a3	covered	lifegain, mass_removal, removal, sacrifice_support, token_support	lifegain, mass_removal, removal, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Sorcery	{1}{W}{W}	3	W	W	Food		verify analyzer roles	https://scryfall.com/card/ltr/2/the-battle-of-bywater?utm_source=api	Destroy all creatures with power 3 or greater. Then create a Food token for each creature you control. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.")
ltr	The Lord of the Rings: Tales of Middle-earth	2023-06-23	3	Bill the Pony	e461ef8d-59ca-440a-8773-da1de3b6b195	covered	combat_body, combat_support, lifegain, sacrifice_support, token_support	combat_body, combat_support, lifegain, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Horse	{3}{W}	4	W	W	Food		verify analyzer roles	https://scryfall.com/card/ltr/3/bill-the-pony?utm_source=api	When Bill the Pony enters, create two Food tokens. (They're artifacts with "{2}, {T}, Sacrifice this token: You gain 3 life.") Sacrifice a Food: Until end of turn, target creature you control assigns combat damage equal to its toughness rather than its power.
ltr	The Lord of the Rings: Tales of Middle-earth	2023-06-23	4	Boromir, Warden of the Tower	d72b57e5-1c6e-4f02-968f-7e2dd24f0d3c	covered	broad_protection, combat_body, combat_support, combat_threat, protection, sacrifice_support, self_protection	broad_protection, combat_body, combat_support, combat_threat, protection, sacrifice_support, self_protection	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Soldier	{2}{W}	3	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/ltr/4/boromir-warden-of-the-tower?utm_source=api	Vigilance Whenever an opponent casts a spell, if no mana was spent to cast it, counter that spell. Sacrifice Boromir: Creatures you control gain indestructible until end of turn. The Ring tempts you.
ltr	The Lord of the Rings: Tales of Middle-earth	2023-06-23	5	Dawn of a New Age	37df5ade-6a21-4b0c-89f8-e2e917589a8d	covered	card_draw, counter_support, direct_draw, draw, lifegain, repeatable_advantage, repeatable_draw, sacrifice_support	card_draw, counter_support, direct_draw, draw, lifegain, repeatable_advantage, repeatable_draw, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Enchantment	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/ltr/5/dawn-of-a-new-age?utm_source=api	This enchantment enters with a hope counter on it for each creature you control. At the beginning of your end step, remove a hope counter from this enchantment. If you do, draw a card. Then if this enchantment has no hope counters on it, sacrifice it and you gain 4 life.
ltr	The Lord of the Rings: Tales of Middle-earth	2023-06-23	6	Dúnedain Blade	4b418846-6426-448a-b4cb-ce631e0a99a2	covered	artifact_support, combat_support	artifact_support, combat_support	false		Analyzer roles accepted during batch clean pass.	Artifact — Equipment	{1}{W}	2	W	W	Equip		verify analyzer roles	https://scryfall.com/card/ltr/6/d%C3%BAnedain-blade?utm_source=api	Equipped creature gets +2/+1. Equip Human {1} Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)
ltr	The Lord of the Rings: Tales of Middle-earth	2023-06-23	7	Eagles of the North	e519cebf-0f09-4da9-abef-82928738514d	covered	card_selection, combat_body, combat_support, combat_threat, land_acceleration, land_tutor, mana_fixing, ramp, repeatable_tutor, selection, tutor	card_selection, combat_body, combat_support, combat_threat, land_acceleration, land_tutor, mana_fixing, ramp, repeatable_tutor, selection, tutor	false		Analyzer roles accepted during batch clean pass.	Creature — Bird Soldier	{5}{W}	6	W	W	Flying, Plainscycling, Landcycling, Typecycling, Cycling		verify analyzer roles	https://scryfall.com/card/ltr/7/eagles-of-the-north?utm_source=api	Flying When this creature enters, creatures you control get +1/+0 and gain first strike until end of turn. Plainscycling {1} ({1}, Discard this card: Search your library for a Plains card, reveal it, put it into your hand, then shuffle.)
ltr	The Lord of the Rings: Tales of Middle-earth	2023-06-23	8	Eastfarthing Farmer	4b1603f3-a246-449b-a109-99adb49e5ea4	covered	combat_body, combat_support, lifegain, sacrifice_support, token_support	combat_body, combat_support, lifegain, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Halfling Peasant	{2}{W}	3	W	W	Food		verify analyzer roles	https://scryfall.com/card/ltr/8/eastfarthing-farmer?utm_source=api	When this creature enters, create a Food token. When you do, target creature you control gets +1/+1 until end of turn for each Food you control. (A Food token is an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.")
ltr	The Lord of the Rings: Tales of Middle-earth	2023-06-23	9	East-Mark Cavalier	884d08bf-7e97-40cc-864e-445ae0bd1646	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Human Knight	{1}{W}	2	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/ltr/9/east-mark-cavalier?utm_source=api	Vigilance Whenever this creature deals damage to a Goblin or Orc, destroy that creature.
