setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
m14	Magic 2014	2013-07-19	1	Ajani, Caller of the Pride	1d5ff280-7f4d-4801-aefd-9b6e6b1f2818			combat_support, counter_support, scalable_spell, token_support				Legendary Planeswalker — Ajani	{1}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/m14/1/ajani-caller-of-the-pride?utm_source=api	+1: Put a +1/+1 counter on up to one target creature. −3: Target creature gains flying and double strike until end of turn. −8: Create X 2/2 white Cat creature tokens, where X is your life total.
m14	Magic 2014	2013-07-19	2	Ajani's Chosen	9c77eb0a-543a-41db-ba1f-aa0163837ae0			combat_body, token_support				Creature — Cat Soldier	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/m14/2/ajanis-chosen?utm_source=api	Whenever an enchantment you control enters, create a 2/2 white Cat creature token. If that enchantment is an Aura, you may attach it to the token.
m14	Magic 2014	2013-07-19	3	Angelic Accord	aa95501f-bb59-494a-bcae-b74ca10ad57e			token_support				Enchantment	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/m14/3/angelic-accord?utm_source=api	At the beginning of each end step, if you gained 4 or more life this turn, create a 4/4 white Angel creature token with flying.
m14	Magic 2014	2013-07-19	4	Angelic Wall	4502b24f-604b-4e36-9168-31c1a1ab4dab	covered		combat_body, combat_support, combat_threat	false		Covered by ODY role audit.	Creature — Wall	{1}{W}	2	W	W	Flying, Defender		already reviewed	https://scryfall.com/card/m14/4/angelic-wall?utm_source=api	Defender (This creature can't attack.) Flying
m14	Magic 2014	2013-07-19	5	Archangel of Thune	4f2d4538-dc1d-4c09-964b-b0d7c240fb7d			combat_body, combat_threat, counter_support, lifegain				Creature — Angel	{3}{W}{W}	5	W	W	Flying, Lifelink		verify analyzer roles	https://scryfall.com/card/m14/5/archangel-of-thune?utm_source=api	Flying Lifelink (Damage dealt by this creature also causes you to gain that much life.) Whenever you gain life, put a +1/+1 counter on each creature you control.
m14	Magic 2014	2013-07-19	6	Auramancer	bd5eb181-6a69-4dc2-93a0-fa000291bc3d	covered		card_selection, combat_body, hand_recursion, recursion	false		Covered by ODY role audit.	Creature — Human Wizard	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/m14/6/auramancer?utm_source=api	When this creature enters, you may return target enchantment card from your graveyard to your hand.
m14	Magic 2014	2013-07-19	7	Banisher Priest	9f560b83-32d4-4bb4-a956-8f5db18599db	covered		combat_body, removal, targeted_removal	false		Covered by PRM role audit.	Creature — Human Cleric	{1}{W}{W}	3	W	W			already reviewed	https://scryfall.com/card/m14/7/banisher-priest?utm_source=api	When this creature enters, exile target creature an opponent controls until this creature leaves the battlefield.
m14	Magic 2014	2013-07-19	8	Blessing	5c84d8da-2bfb-4618-89a0-7d9ed604e854	covered	combat_support	combat_support	false			Enchantment — Aura	{W}{W}	2	W	W	Enchant		already reviewed	https://scryfall.com/card/m14/8/blessing?utm_source=api	Enchant creature {W}: Enchanted creature gets +1/+1 until end of turn.
m14	Magic 2014	2013-07-19	9	Bonescythe Sliver	1d95ad32-768f-40a1-a461-e0562326b2b7			combat_body, combat_support				Creature — Sliver	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/m14/9/bonescythe-sliver?utm_source=api	Sliver creatures you control have double strike. (They deal both first-strike and regular combat damage.)
m14	Magic 2014	2013-07-19	10	Brave the Elements	9d73a51a-1c8e-40cd-8124-aeff406a0884	covered		broad_protection, protection, self_protection	false		Covered by PRM role audit.	Instant	{W}	1	W	W			already reviewed	https://scryfall.com/card/m14/10/brave-the-elements?utm_source=api	Choose a color. White creatures you control gain protection from the chosen color until end of turn.
m14	Magic 2014	2013-07-19	11	Capashen Knight	e295d207-128f-419a-866a-c9ac6248c199	covered		combat_body, combat_support, combat_threat	false		Covered by UDS role audit.	Creature — Human Knight	{1}{W}	2	W	W	First strike		already reviewed	https://scryfall.com/card/m14/11/capashen-knight?utm_source=api	First strike (This creature deals combat damage before creatures without first strike.) {1}{W}: This creature gets +1/+0 until end of turn.
m14	Magic 2014	2013-07-19	12	Celestial Flare	efdaa3eb-e5d1-4438-b21d-2ec0fff44721			removal, targeted_removal				Instant	{W}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/m14/12/celestial-flare?utm_source=api	Target player sacrifices an attacking or blocking creature of their choice.
m14	Magic 2014	2013-07-19	13	Charging Griffin	1c99a5cc-d974-4a4b-a03b-a78bfe738ed7			combat_body, combat_support, combat_threat				Creature — Griffin	{3}{W}	4	W	W	Flying		verify analyzer roles	https://scryfall.com/card/m14/13/charging-griffin?utm_source=api	Flying (This creature can't be blocked except by creatures with flying or reach.) Whenever this creature attacks, it gets +1/+1 until end of turn.
m14	Magic 2014	2013-07-19	14	Congregate	d139294c-36bb-4a1e-800d-50c4a4ae9877	covered		lifegain	false		Covered by USG role audit.	Instant	{3}{W}	4	W	W			already reviewed	https://scryfall.com/card/m14/14/congregate?utm_source=api	Target player gains 2 life for each creature on the battlefield.
m14	Magic 2014	2013-07-19	15	Dawnstrike Paladin	c2bfb230-6949-4d5e-8cac-9d7dafdc5e9a			combat_body, combat_threat, lifegain				Creature — Human Knight	{3}{W}{W}	5	W	W	Lifelink, Vigilance		verify analyzer roles	https://scryfall.com/card/m14/15/dawnstrike-paladin?utm_source=api	Vigilance (Attacking doesn't cause this creature to tap.) Lifelink (Damage dealt by this creature also causes you to gain that much life.)
m14	Magic 2014	2013-07-19	16	Devout Invocation	fab491b0-b820-4027-996f-390c97df1e96			token_support				Sorcery	{6}{W}	7	W	W			verify analyzer roles	https://scryfall.com/card/m14/16/devout-invocation?utm_source=api	Tap any number of untapped creatures you control. Create a 4/4 white Angel creature token with flying for each creature tapped this way.
m14	Magic 2014	2013-07-19	17	Divine Favor	bffa18c3-642c-4239-b425-238599007976			combat_support, lifegain				Enchantment — Aura	{1}{W}	2	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/m14/17/divine-favor?utm_source=api	Enchant creature When this Aura enters, you gain 3 life. Enchanted creature gets +1/+3.
m14	Magic 2014	2013-07-19	18	Fiendslayer Paladin	3eb02993-b2fc-4185-aa67-08c8f133ce42			combat_body, combat_support, combat_threat, lifegain				Creature — Human Knight	{1}{W}{W}	3	W	W	Lifelink, First strike		verify analyzer roles	https://scryfall.com/card/m14/18/fiendslayer-paladin?utm_source=api	First strike (This creature deals combat damage before creatures without first strike.) Lifelink (Damage dealt by this creature also causes you to gain that much life.) This creature can't be the target of black or red spells your opponents control.
m14	Magic 2014	2013-07-19	19	Fortify	52ea24d4-d33d-40fc-8ffc-09ae625b908f			combat_support				Instant	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/m14/19/fortify?utm_source=api	Choose one — • Creatures you control get +2/+0 until end of turn. • Creatures you control get +0/+2 until end of turn.
m14	Magic 2014	2013-07-19	20	Griffin Sentinel	72df0b70-5c9f-44f3-96d5-81c95abc0065			combat_body, combat_threat				Creature — Griffin	{2}{W}	3	W	W	Flying, Vigilance		verify analyzer roles	https://scryfall.com/card/m14/20/griffin-sentinel?utm_source=api	Flying Vigilance (Attacking doesn't cause this creature to tap.)
m14	Magic 2014	2013-07-19	21	Hive Stirrings	c7dd0614-e11e-4b6b-a2cb-9904e457148f	covered		token_support	false		Covered by PRM role audit.	Sorcery	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/m14/21/hive-stirrings?utm_source=api	Create two 1/1 colorless Sliver creature tokens.
m14	Magic 2014	2013-07-19	22	Imposing Sovereign	4bba3663-7f3c-4589-88aa-cf0bfe36b171			combat_body, stax_piece				Creature — Human Noble	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/m14/22/imposing-sovereign?utm_source=api	Creatures your opponents control enter tapped.
m14	Magic 2014	2013-07-19	23	Indestructibility	9aaa0a28-e342-48bd-8f59-0cd289491f98			self_protection, targeted_protection				Enchantment — Aura	{3}{W}	4	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/m14/23/indestructibility?utm_source=api	Enchant permanent Enchanted permanent has indestructible. (Effects that say "destroy" don't destroy that permanent. A creature with indestructible can't be destroyed by damage.)
m14	Magic 2014	2013-07-19	24	Master of Diversion	3402aa73-5e63-4158-b114-6f1d42ec8992			combat_body, combat_support, removal, tempo_removal				Creature — Human Scout	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/m14/24/master-of-diversion?utm_source=api	Whenever this creature attacks, tap target creature defending player controls.
m14	Magic 2014	2013-07-19	25	Pacifism	5f5e0b10-c8cf-450c-bfd3-bcb0528ec330	covered	combat_support, removal, targeted_removal	combat_support, removal, targeted_removal	false		Covered by Mirage role audit.	Enchantment — Aura	{1}{W}	2	W	W	Enchant		already reviewed	https://scryfall.com/card/m14/25/pacifism?utm_source=api	Enchant creature Enchanted creature can't attack or block.
m14	Magic 2014	2013-07-19	26	Path of Bravery	fc04bfa9-a8f9-478d-8164-34b1e6c85417			combat_support, lifegain				Enchantment	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/m14/26/path-of-bravery?utm_source=api	As long as your life total is greater than or equal to your starting life total, creatures you control get +1/+1. Whenever one or more creatures you control attack, you gain life equal to the number of attacking creatures.
m14	Magic 2014	2013-07-19	27	Pay No Heed	71da5acb-78bc-453a-ae28-d22faa5a4e43	covered		broad_protection, protection	false		Covered by TOR role audit.	Instant	{W}	1	W	W			already reviewed	https://scryfall.com/card/m14/27/pay-no-heed?utm_source=api	Prevent all damage a source of your choice would deal this turn.
m14	Magic 2014	2013-07-19	28	Pillarfield Ox	0f7c70c4-9795-4c76-8b27-043942a963c6			combat_body				Creature — Ox	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/m14/28/pillarfield-ox?utm_source=api	
m14	Magic 2014	2013-07-19	29	Planar Cleansing	a98c2d81-4add-4292-bbdd-e1b69ff936d4			mass_removal, removal				Sorcery	{3}{W}{W}{W}	6	W	W			verify analyzer roles	https://scryfall.com/card/m14/29/planar-cleansing?utm_source=api	Destroy all nonland permanents.
m14	Magic 2014	2013-07-19	30	Sentinel Sliver	1d0f1186-be6c-45c3-9703-f0c1e13892fb			combat_body, combat_support				Creature — Sliver	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/m14/30/sentinel-sliver?utm_source=api	Sliver creatures you control have vigilance. (Attacking doesn't cause them to tap.)
m14	Magic 2014	2013-07-19	31	Seraph of the Sword	84ee74e9-b3e3-4f47-8b3c-5c1a70f5cad6			combat_body, combat_support, combat_threat				Creature — Angel	{3}{W}	4	W	W	Flying		verify analyzer roles	https://scryfall.com/card/m14/31/seraph-of-the-sword?utm_source=api	Flying Prevent all combat damage that would be dealt to this creature.
