setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
mat	March of the Machine: The Aftermath	2023-05-12	1	Coppercoat Vanguard	9f6fc734-4935-42d9-93a0-1b5ad8d8d277			combat_body, self_protection				Creature — Human Soldier	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/mat/1/coppercoat-vanguard?utm_source=api	Each other Human you control gets +1/+0 and has ward {1}. (Whenever it becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)
mat	March of the Machine: The Aftermath	2023-05-12	2	Deification	8c8f93d7-d89a-401b-8764-76be71ad16e3			counter_support, replacement_engine, self_protection				Enchantment	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/mat/2/deification?utm_source=api	As this enchantment enters, choose a planeswalker type. Planeswalkers you control of the chosen type have hexproof. As long as you control a creature, if damage dealt to a planeswalker you control of the chosen type would result in all loyalty counters on it being removed, instead all but one of those counters are removed.
mat	March of the Machine: The Aftermath	2023-05-12	3	Harnessed Snubhorn	e1dd9dca-cb5f-46b4-b16d-a61ae651d653			battlefield_recursion, card_selection, combat_body, combat_support, combat_threat, recursion, repeatable_advantage				Creature — Dinosaur	{3}{W}	4	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/mat/3/harnessed-snubhorn?utm_source=api	Vigilance Whenever this creature deals combat damage to a player, return target artifact or enchantment card from your graveyard to the battlefield.
mat	March of the Machine: The Aftermath	2023-05-12	4	Metropolis Reformer	baec04a1-3bc9-4618-afab-e42013e36648			broad_protection, combat_body, combat_threat, lifegain, protection, self_protection				Creature — Angel Cleric	{2}{W}	3	W	W	Flying, Vigilance		verify analyzer roles	https://scryfall.com/card/mat/4/metropolis-reformer?utm_source=api	Flying, vigilance You have hexproof. Whenever this creature is dealt damage, you gain that much life.
mat	March of the Machine: The Aftermath	2023-05-12	5	Spark Rupture	82e5642a-0803-432c-85d3-091fca75c82f			card_draw, combat_support, counter_support, direct_draw, draw				Enchantment	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/mat/5/spark-rupture?utm_source=api	When this enchantment enters, draw a card. Each planeswalker with one or more loyalty counters on it loses all abilities and is a creature with power and toughness each equal to the number of loyalty counters on it.
mat	March of the Machine: The Aftermath	2023-05-12	6	Tazri, Stalwart Survivor	13a3e61d-c9ff-447d-9016-09a183b7af1d			card_selection, combat_body, draw, mill_support, ramp, repeatable_advantage, restricted_tutor, selection, stable_ramp, tutor				Legendary Creature — Human Warrior	{2}{W}	3	W	BGRUW	Mill		verify analyzer roles	https://scryfall.com/card/mat/6/tazri-stalwart-survivor?utm_source=api	Each creature you control has "{T}: Add one mana of any of this creature's colors. Spend this mana only to activate an ability of a creature. Activate only if this creature has another activated ability." {W}{U}{B}{R}{G}, {T}: Mill five cards. Put all creature cards with activated abilities that aren't mana abilities from among the milled cards into your hand.
mat	March of the Machine: The Aftermath	2023-05-12	7	Filter Out	8c95d823-6bbd-4484-8f38-b1bb20403085			mass_removal, removal				Instant	{1}{U}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/mat/7/filter-out?utm_source=api	Return all noncreature, nonland permanents to their owners' hands.
mat	March of the Machine: The Aftermath	2023-05-12	8	Tolarian Contempt	831623c9-8279-439e-a42b-ac47cacdb058			counter_support				Enchantment	{3}{U}{U}	5	U	U			verify analyzer roles	https://scryfall.com/card/mat/8/tolarian-contempt?utm_source=api	When this enchantment enters, put a rejection counter on each creature your opponents control. At the beginning of your end step, for each opponent, choose up to one target creature they control with a rejection counter on it. That creature's owner puts it on their choice of the top or bottom of their library.
mat	March of the Machine: The Aftermath	2023-05-12	9	Training Grounds	8de3eabe-9a8f-4865-beef-a4888c081d39			cost_reduction, ramp				Enchantment	{U}	1	U	U			verify analyzer roles	https://scryfall.com/card/mat/9/training-grounds?utm_source=api	Activated abilities of creatures you control cost {2} less to activate. This effect can't reduce the mana in that cost to less than one mana.
mat	March of the Machine: The Aftermath	2023-05-12	10	Vesuvan Drifter	727ef984-1643-4a09-8283-a665508e85dd			card_selection, combat_body, combat_support, combat_threat, copy_support, repeatable_advantage, repeatable_draw, selection				Creature — Shapeshifter	{2}{U}	3	U	U	Flying		verify analyzer roles	https://scryfall.com/card/mat/10/vesuvan-drifter?utm_source=api	Flying You may look at the top card of your library any time. At the beginning of each combat, you may reveal the top card of your library. If you reveal a creature card this way, this creature becomes a copy of that card until end of turn, except it has flying.
