setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
mbs	Mirrodin Besieged	2011-02-04	1	Accorder Paladin	6891c8b7-7112-40dc-8b94-b84ad1885e5e	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Knight	{1}{W}	2	W	W	Battle Cry		verify analyzer roles	https://scryfall.com/card/mbs/1/accorder-paladin?utm_source=api	Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)
mbs	Mirrodin Besieged	2011-02-04	2	Ardent Recruit	9275108c-7eaf-4edd-aa6d-e5263d5ac7fd	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{W}	1	W	W	Metalcraft		verify analyzer roles	https://scryfall.com/card/mbs/2/ardent-recruit?utm_source=api	Metalcraft — This creature gets +2/+2 as long as you control three or more artifacts.
mbs	Mirrodin Besieged	2011-02-04	3	Banishment Decree	567b676b-54f3-44c7-8654-4d2b0262ea12	covered	removal, tempo_removal	removal, tempo_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{3}{W}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/mbs/3/banishment-decree?utm_source=api	Put target artifact, creature, or enchantment on top of its owner's library.
mbs	Mirrodin Besieged	2011-02-04	4	Choking Fumes	51bd7bc4-12cd-434e-8691-3123a018e634	covered	counter_support	counter_support	false		Analyzer roles accepted during batch clean pass.	Instant	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/mbs/4/choking-fumes?utm_source=api	Put a -1/-1 counter on each attacking creature.
mbs	Mirrodin Besieged	2011-02-04	5	Divine Offering	231f8edb-4ea1-44be-8794-b76a31462dfc	covered	lifegain, removal, targeted_removal	lifegain, removal, targeted_removal	false		Covered by Legends role audit.	Instant	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/mbs/5/divine-offering?utm_source=api	Destroy target artifact. You gain life equal to its mana value.
mbs	Mirrodin Besieged	2011-02-04	6	Frantic Salvage	9d2e7099-dcd5-428f-a732-2a82b8d1dd1a	covered	card_draw, direct_draw, draw, library_recursion, mass_recursion, recursion	card_draw, direct_draw, draw, library_recursion, mass_recursion, recursion	false		Analyzer roles accepted during batch clean pass.	Instant	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/mbs/6/frantic-salvage?utm_source=api	Put any number of target artifact cards from your graveyard on top of your library. Draw a card.
mbs	Mirrodin Besieged	2011-02-04	7	Gore Vassal	e4f44a37-1e66-4f60-9af2-1e67ba58445b	covered	combat_body, counter_support, removal, sacrifice_support, targeted_removal	combat_body, counter_support, removal, sacrifice_support, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Phyrexian Dog	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/mbs/7/gore-vassal?utm_source=api	Sacrifice this creature: Put a -1/-1 counter on target creature. Then if that creature's toughness is 1 or greater, regenerate it.
mbs	Mirrodin Besieged	2011-02-04	8	Hero of Bladehold	454a8902-8120-4373-96ee-bbf352b04e8d	covered		combat_body, combat_support, token_support	false		Covered by PRM role audit.	Creature — Human Knight	{2}{W}{W}	4	W	W	Battle Cry		already reviewed	https://scryfall.com/card/mbs/8/hero-of-bladehold?utm_source=api	Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.) Whenever this creature attacks, create two 1/1 white Soldier creature tokens that are tapped and attacking.
mbs	Mirrodin Besieged	2011-02-04	9	Kemba's Legion	338ad8c4-c89f-4e78-be28-7224fac0fd0f	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Cat Soldier	{5}{W}{W}	7	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/mbs/9/kembas-legion?utm_source=api	Vigilance This creature can block an additional creature each combat for each Equipment attached to this creature.
mbs	Mirrodin Besieged	2011-02-04	10	Leonin Relic-Warder	8e720216-a980-4a34-8aef-62ac3ef15a6e	covered	combat_body, targeted_removal	combat_body, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Cat Cleric	{W}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/mbs/10/leonin-relic-warder?utm_source=api	When this creature enters, you may exile target artifact or enchantment. When this creature leaves the battlefield, return the exiled card to the battlefield under its owner's control.
mbs	Mirrodin Besieged	2011-02-04	11	Leonin Skyhunter	517c7295-8ba2-47a6-a1c6-aee722f8ca88	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Cat Knight	{W}{W}	2	W	W	Flying		verify analyzer roles	https://scryfall.com/card/mbs/11/leonin-skyhunter?utm_source=api	Flying
mbs	Mirrodin Besieged	2011-02-04	12	Loxodon Partisan	9d2bfbb2-84df-4d7c-9989-7f5577f90d97	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Creature — Elephant Soldier	{4}{W}	5	W	W	Battle Cry		verify analyzer roles	https://scryfall.com/card/mbs/12/loxodon-partisan?utm_source=api	Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)
mbs	Mirrodin Besieged	2011-02-04	13	Master's Call	d6c9c1f0-050f-40e2-ab6c-6566d0af418c	covered		token_support	false		Covered by PRM role audit.	Instant	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/mbs/13/masters-call?utm_source=api	Create two 1/1 colorless Myr artifact creature tokens.
mbs	Mirrodin Besieged	2011-02-04	14	Mirran Crusader	fe69d9bd-2a60-4b33-a0d8-1ca18c2b6705	covered		combat_body, combat_threat, self_protection	false		Covered by PRM role audit.	Creature — Human Knight	{1}{W}{W}	3	W	W	Protection, Double strike		already reviewed	https://scryfall.com/card/mbs/14/mirran-crusader?utm_source=api	Double strike, protection from black and from green
