setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
me3	Masters Edition III	2009-09-07	1	Akron Legionnaire	c5f50a78-9dc4-4f3c-aa11-b41c8278bc16	covered	combat_body, combat_support	combat_body, combat_support	false		Covered by Legends role audit.	Creature — Giant Soldier	{6}{W}{W}	8	W	W			already reviewed	https://scryfall.com/card/me3/1/akron-legionnaire?utm_source=api	Except for creatures named Akron Legionnaire and artifact creatures, creatures you control can't attack.
me3	Masters Edition III	2009-09-07	2	Alabaster Potion	2fcca686-03c8-4407-9f9f-2b7462470044	covered	lifegain, mana_sink, protection, scalable_spell, targeted_protection	lifegain, mana_sink, protection, scalable_spell, targeted_protection	false		Covered by Legends role audit.	Instant	{X}{W}{W}	2	W	W			already reviewed	https://scryfall.com/card/me3/2/alabaster-potion?utm_source=api	Choose one — • Target player gains X life. • Prevent the next X damage that would be dealt to any target this turn.
me3	Masters Edition III	2009-09-07	3	Amrou Kithkin	79644192-8f99-4d04-b151-6f74a4dbda0a	covered	combat_body, combat_support	combat_body, combat_support	false		Covered by Legends role audit.	Creature — Kithkin	{W}{W}	2	W	W			already reviewed	https://scryfall.com/card/me3/3/amrou-kithkin?utm_source=api	This creature can't be blocked by creatures with power 3 or greater.
me3	Masters Edition III	2009-09-07	4	Call to Arms	72eaaa73-3263-46e9-aa86-5862d3aed20a	covered	combat_support, sacrifice_support	combat_support, sacrifice_support	false		Covered by Ice Age role audit.	Enchantment	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/me3/4/call-to-arms?utm_source=api	As this enchantment enters, choose a color and an opponent. White creatures get +1/+1 as long as the chosen color is the most common color among nontoken permanents the chosen player controls but isn't tied for most common. When the chosen color isn't the most common color among nontoken permanents the chosen player controls or is tied for most common, sacrifice this enchantment.
me3	Masters Edition III	2009-09-07	5	Cleanse	a610c77c-fe31-4465-a1c1-392db4ce4ed1	covered	mass_removal, removal	mass_removal, removal	false		Covered by Legends role audit.	Sorcery	{2}{W}{W}	4	W	W			already reviewed	https://scryfall.com/card/me3/5/cleanse?utm_source=api	Destroy all black creatures.
me3	Masters Edition III	2009-09-07	6	D'Avenant Archer	81bc4a5e-812f-4809-b6df-271c3c22f4fc	covered	combat_body, removal, targeted_removal	combat_body, removal, targeted_removal	false		Covered by Legends role audit.	Creature — Human Soldier Archer	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/me3/6/davenant-archer?utm_source=api	{T}: This creature deals 1 damage to target attacking or blocking creature.
me3	Masters Edition III	2009-09-07	7	Disenchant	a7e97fa9-4b72-4548-b854-5be5f18a6f1a	covered	removal, targeted_removal	removal, targeted_removal	false		Covered by Ice Age role audit.	Instant	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/me3/7/disenchant?utm_source=api	Destroy target artifact or enchantment.
me3	Masters Edition III	2009-09-07	8	Divine Intervention	0158a440-6573-4f12-958b-a5f0cf190d5b	covered	counter_support	counter_support	false		Covered by Legends role audit.	Enchantment	{6}{W}{W}	8	W	W			already reviewed	https://scryfall.com/card/me3/8/divine-intervention?utm_source=api	This enchantment enters with two intervention counters on it. At the beginning of your upkeep, remove an intervention counter from this enchantment. When you remove the last intervention counter from this enchantment, the game is a draw.
me3	Masters Edition III	2009-09-07	9	Eightfold Maze	9097457c-ceb3-4944-8f01-c28ddefbb270	covered		removal, targeted_removal	false		Covered by PTK role audit.	Instant	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/me3/9/eightfold-maze?utm_source=api	Cast this spell only during the declare attackers step and only if you've been attacked this step. Destroy target attacking creature.
me3	Masters Edition III	2009-09-07	10	Exorcist	2a1ca3e2-e1d1-4525-a07e-13d5ba1ac431	covered	combat_body, removal, targeted_removal	combat_body, removal, targeted_removal	false		Covered by The Dark role audit.	Creature — Human Cleric	{W}{W}	2	W	W			already reviewed	https://scryfall.com/card/me3/10/exorcist?utm_source=api	{1}{W}, {T}: Destroy target black creature.
me3	Masters Edition III	2009-09-07	11	False Defeat	8b119579-38e1-4509-9dcb-019d5a160ac2	covered		battlefield_recursion, card_selection, recursion	false		Covered by PTK role audit.	Sorcery	{3}{W}	4	W	W			already reviewed	https://scryfall.com/card/me3/11/false-defeat?utm_source=api	Return target creature card from your graveyard to the battlefield.
me3	Masters Edition III	2009-09-07	12	Guan Yu, Sainted Warrior	f7ee3935-4510-485a-a863-ac38dffa1908	covered		combat_body, combat_support	false		Covered by PTK role audit.	Legendary Creature — Human Soldier Warrior	{3}{W}{W}	5	W	W	Horsemanship		already reviewed	https://scryfall.com/card/me3/12/guan-yu-sainted-warrior?utm_source=api	Horsemanship (This creature can't be blocked except by creatures with horsemanship.) When Guan Yu is put into your graveyard from the battlefield, you may shuffle Guan Yu into your library.
me3	Masters Edition III	2009-09-07	13	Guan Yu's 1,000-Li March	a1b87d5d-9493-4001-8c7e-553f40de61ea	covered		mass_removal, removal	false		Covered by PTK role audit.	Sorcery	{4}{W}{W}	6	W	W			already reviewed	https://scryfall.com/card/me3/13/guan-yus-1000-li-march?utm_source=api	Destroy all tapped creatures.
me3	Masters Edition III	2009-09-07	14	Heal	013c42a4-d555-46c9-9d57-b50d6b59ae9e	covered	card_draw, direct_draw, draw, protection, targeted_protection	card_draw, direct_draw, draw, protection, targeted_protection	false		Covered by Ice Age role audit.	Instant	{W}	1	W	W			already reviewed	https://scryfall.com/card/me3/14/heal?utm_source=api	Prevent the next 1 damage that would be dealt to any target this turn. Draw a card at the beginning of the next turn's upkeep.
