setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
mh3	Modern Horizons 3	2024-06-14	1	Breaker of Creation	785026c5-3f26-489c-8e26-96dd3ca6bc98			combat_body, combat_support, lifegain, self_protection				Creature — Eldrazi	{6}{C}{C}	8			Annihilator, Hexproof from, Hexproof		verify analyzer roles	https://scryfall.com/card/mh3/1/breaker-of-creation?utm_source=api	When you cast this spell, you gain 1 life for each colorless permanent you control. Hexproof from each color Annihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents of their choice.)
mh3	Modern Horizons 3	2024-06-14	2	Devourer of Destiny	89215e6d-ebe7-4eb0-9999-11ee2e6eb1d2			combat_body, removal, targeted_removal				Creature — Eldrazi	{5}{C}{C}	7					verify analyzer roles	https://scryfall.com/card/mh3/2/devourer-of-destiny?utm_source=api	You may reveal this card from your opening hand. If you do, at the beginning of your first upkeep, look at the top four cards of your library. You may put one of those cards back on top of your library. Exile the rest. When you cast this spell, exile target permanent that's one or more colors.
mh3	Modern Horizons 3	2024-06-14	3	Drownyard Lurker	7cf5c3dd-5c07-4eaf-8227-6f4e7f9b134d			burst_ramp, card_draw, combat_body, combat_threat, direct_draw, draw, ramp, repeatable_advantage, sacrifice_support, selection, token_support				Creature — Eldrazi Trilobite	{7}	7		U	Vigilance, Cycling		verify analyzer roles	https://scryfall.com/card/mh3/3/drownyard-lurker?utm_source=api	Vigilance When you cast or cycle Drownyard Lurker, create a 0/1 colorless Eldrazi Spawn creature token with "Sacrifice this token: Add {C}." Cycling {2}{U} ({2}{U}, Discard this card: Draw a card.)
mh3	Modern Horizons 3	2024-06-14	4	Echoes of Eternity	23a79523-4be0-4d17-80aa-5ea024cb3463			copy_support, multiplier_support, replacement_engine				Kindred Enchantment — Eldrazi	{3}{C}{C}{C}	6					verify analyzer roles	https://scryfall.com/card/mh3/4/echoes-of-eternity?utm_source=api	If a triggered ability of a colorless spell you control or another colorless permanent you control triggers, that ability triggers an additional time. Whenever you cast a colorless spell, copy it. You may choose new targets for the copy. (A copy of a permanent spell becomes a token.)
mh3	Modern Horizons 3	2024-06-14	5	Eldrazi Ravager	25a73cfc-a40d-47ea-a7b1-61c7b62a9e6c			card_draw, card_selection, combat_body, combat_support, direct_draw, draw, hand_recursion, repeatable_advantage, repeatable_draw, sacrifice_support, selection				Creature — Eldrazi	{5}{C}	6			Annihilator, Cycling		verify analyzer roles	https://scryfall.com/card/mh3/5/eldrazi-ravager?utm_source=api	Annihilator 1 (Whenever this creature attacks, defending player sacrifices a permanent of their choice.) Sacrifice two Eldrazi: Return this card from your graveyard to your hand. Cycling {2} ({2}, Discard this card: Draw a card.)
mh3	Modern Horizons 3	2024-06-14	6	Emrakul, the World Anew	33300e69-29f6-41e4-92ab-82d8b018b217			combat_body, combat_threat, sacrifice_support, self_protection, targeted_removal, theft_support				Legendary Creature — Eldrazi	{12}	12			Flying, Madness, Protection		verify analyzer roles	https://scryfall.com/card/mh3/6/emrakul-the-world-anew?utm_source=api	When you cast this spell, gain control of all creatures target player controls. Flying, protection from spells and from permanents that were cast this turn When Emrakul leaves the battlefield, sacrifice all creatures you control. Madness—Pay six {C}.
mh3	Modern Horizons 3	2024-06-14	7	Glaring Fleshraker	0ffce5e0-6b1d-4d1a-9318-1a1a219df532			burst_ramp, combat_body, direct_finisher, finisher, ramp, repeatable_finisher, sacrifice_support, token_support				Creature — Eldrazi Drone	{2}{C}	3					verify analyzer roles	https://scryfall.com/card/mh3/7/glaring-fleshraker?utm_source=api	Whenever you cast a colorless spell, create a 0/1 colorless Eldrazi Spawn creature token with "Sacrifice this token: Add {C}." Whenever another colorless creature you control enters, this creature deals 1 damage to each opponent.
mh3	Modern Horizons 3	2024-06-14	8	Herigast, Erupting Nullkite	76243b38-cab1-465f-aa7d-5bc617541753			card_draw, combat_body, combat_threat, direct_draw, draw				Legendary Creature — Eldrazi Dragon	{9}	9		R	Flying, Emerge		verify analyzer roles	https://scryfall.com/card/mh3/8/herigast-erupting-nullkite?utm_source=api	Emerge {6}{R}{R} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.) When you cast this spell, you may exile your hand. If you do, draw three cards. Flying Each creature spell you cast has emerge. The emerge cost is equal to its mana cost.
mh3	Modern Horizons 3	2024-06-14	9	It That Heralds the End	c14ac951-329d-452b-be75-5c72166cd9c7			combat_body, combat_support, cost_reduction, ramp				Creature — Eldrazi Drone	{1}{C}	2					verify analyzer roles	https://scryfall.com/card/mh3/9/it-that-heralds-the-end?utm_source=api	Colorless spells you cast with mana value 7 or greater cost {1} less to cast. Other colorless creatures you control get +1/+1.
mh3	Modern Horizons 3	2024-06-14	10	Kozilek, the Broken Reality	39f4bf0e-47d5-4ae8-a504-71acda849850			card_draw, combat_body, combat_support, direct_draw, draw, face_down_support				Legendary Creature — Eldrazi	{9}	9			Manifest		verify analyzer roles	https://scryfall.com/card/mh3/10/kozilek-the-broken-reality?utm_source=api	When you cast this spell, up to two target players each manifest two cards from their hands. For each card manifested this way, you draw a card. (To manifest a card, put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.) Other colorless creatures you control get +3/+2.
