setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
mir	Mirage	1996-10-08	1	Afterlife	4c13e2b5-961a-4031-84b1-15bd19b94286	covered	removal, targeted_removal	removal, targeted_removal	false		Covered by Mirage role audit.	Instant	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/mir/1/afterlife?utm_source=api	Destroy target creature. It can't be regenerated. Its controller creates a 1/1 white Spirit creature token with flying.
mir	Mirage	1996-10-08	2	Alarum	18e96674-6fd8-4046-a3fe-7ba80138d85d	covered	combat_support, tap_untap, tempo_support	combat_support, tap_untap, tempo_support	false		Covered by Mirage role audit.	Instant	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/mir/2/alarum?utm_source=api	Untap target nonattacking creature. It gets +1/+3 until end of turn.
mir	Mirage	1996-10-08	3	Auspicious Ancestor	82fb9834-de65-41a5-b908-f49668dee3ec	covered	combat_body, lifegain, sacrifice_support	combat_body, lifegain, sacrifice_support	false		Covered by Mirage role audit.	Creature — Human Cleric	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/mir/3/auspicious-ancestor?utm_source=api	When this creature dies, you gain 3 life. Whenever a player casts a white spell, you may pay {1}. If you do, you gain 1 life.
mir	Mirage	1996-10-08	4	Benevolent Unicorn	b437c963-def5-40d6-b567-ae9f1d2a0fa5	covered	combat_body, replacement_engine	combat_body, replacement_engine	false		Covered by Mirage role audit.	Creature — Unicorn	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/mir/4/benevolent-unicorn?utm_source=api	If a spell would deal damage to a permanent or player, it deals that much damage minus 1 to that permanent or player instead.
mir	Mirage	1996-10-08	5	Blinding Light	6b315dc3-c330-4b30-b6ad-4da12ccf6ca3	covered	combat_support	combat_support	false		Covered by Mirage role audit.	Sorcery	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/mir/5/blinding-light?utm_source=api	Tap all nonwhite creatures.
mir	Mirage	1996-10-08	6	Celestial Dawn	b4d27fad-9a94-4760-80a6-6a2948109864	covered	replacement_engine	replacement_engine	false		Covered by Mirage role audit.	Enchantment	{1}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/mir/6/celestial-dawn?utm_source=api	Lands you control are Plains. Nonland permanents you control are white. The same is true for spells you control and nonland cards you own that aren't on the battlefield. You may spend white mana as though it were mana of any color. You may spend other mana only as though it were colorless mana.
mir	Mirage	1996-10-08	7	Civic Guildmage	6e93cb9a-44c8-49fb-b6a7-bfdf7bd725fe	covered	combat_body, combat_support, removal, tempo_removal	combat_body, combat_support, removal, tempo_removal	false		Covered by Mirage role audit.	Creature — Human Wizard	{W}	1	W	GUW			verify analyzer roles	https://scryfall.com/card/mir/7/civic-guildmage?utm_source=api	{G}, {T}: Target creature gets +0/+1 until end of turn. {U}, {T}: Put target creature you control on top of its owner's library.
mir	Mirage	1996-10-08	8	Dazzling Beauty	de96ef93-a2e0-409d-9d25-fcb2405039b5	covered	card_draw, combat_support, direct_draw, draw	card_draw, combat_support, direct_draw, draw	false		Covered by Mirage role audit.	Instant	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/mir/8/dazzling-beauty?utm_source=api	Cast this spell only during the declare blockers step. Target unblocked attacking creature becomes blocked. (This spell works on creatures that can't be blocked.) Draw a card at the beginning of the next turn's upkeep.
mir	Mirage	1996-10-08	9	Disempower	ff9f4bfe-1585-4eaa-943c-1e85ed79a820	covered	removal, tempo_removal	removal, tempo_removal	false		Covered by Mirage role audit.	Instant	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/mir/9/disempower?utm_source=api	Put target artifact or enchantment on top of its owner's library.
mir	Mirage	1996-10-08	10	Disenchant	a7e97fa9-4b72-4548-b854-5be5f18a6f1a	covered	removal, targeted_removal	removal, targeted_removal	false		Covered by Ice Age role audit.	Instant	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/mir/10/disenchant?utm_source=api	Destroy target artifact or enchantment.
