setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
mkm	Murders at Karlov Manor	2024-02-09	1	Case of the Shattered Pact	d00a089b-7d0d-4b89-902b-7b914e892178			combat_support, land_acceleration, land_tutor, mana_fixing, ramp, tutor				Enchantment — Case	{2}	2			Solved		verify analyzer roles	https://scryfall.com/card/mkm/1/case-of-the-shattered-pact?utm_source=api	When this Case enters, search your library for a basic land card, reveal it, put it into your hand, then shuffle. To solve — There are five colors among permanents you control. (If unsolved, solve at the beginning of your end step.) Solved — At the beginning of combat on your turn, target creature you control gains flying, double strike, and vigilance until end of turn.
mkm	Murders at Karlov Manor	2024-02-09	2	Absolving Lammasu	dbedd45e-f76c-4be7-ad89-ff57bed6626f			combat_body, combat_support, combat_threat, lifegain, sacrifice_support				Creature — Lammasu	{4}{W}	5	W	W	Flying, Suspect		verify analyzer roles	https://scryfall.com/card/mkm/2/absolving-lammasu?utm_source=api	Flying When this creature enters, all suspected creatures are no longer suspected. When this creature dies, you gain 3 life and suspect up to one target creature an opponent controls. (A suspected creature has menace and can't block.)
mkm	Murders at Karlov Manor	2024-02-09	3	Assemble the Players	180ba940-2b11-4953-b7ce-74847e1aebfd			card_selection, direct_draw, draw, repeatable_advantage, selection				Enchantment	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/mkm/3/assemble-the-players?utm_source=api	You may look at the top card of your library any time. Once each turn, you may cast a creature spell with power 2 or less from the top of your library.
mkm	Murders at Karlov Manor	2024-02-09	4	Aurelia's Vindicator	4f452ce7-1166-4810-afed-ea5e156a6f52			combat_body, combat_threat, face_down_support, lifegain, removal, self_protection, targeted_removal				Creature — Angel	{2}{W}{W}	4	W	W	Flying, Lifelink, Disguise, Ward		verify analyzer roles	https://scryfall.com/card/mkm/4/aurelias-vindicator?utm_source=api	Flying, lifelink, ward {2} Disguise {X}{3}{W} When this creature is turned face up, exile up to X other target creatures from the battlefield and/or creature cards from graveyards. When this creature leaves the battlefield, return the exiled cards to their owners' hands.
mkm	Murders at Karlov Manor	2024-02-09	5	Auspicious Arrival	b25d5b06-44cf-42bc-90dd-3b238f702361			card_draw, combat_support, direct_draw, draw, sacrifice_support, selection, token_support				Instant	{1}{W}	2	W	W	Investigate		verify analyzer roles	https://scryfall.com/card/mkm/5/auspicious-arrival?utm_source=api	Target creature gets +2/+2 until end of turn. Investigate. (Create a Clue token. It's an artifact with "{2}, Sacrifice this token: Draw a card.")
mkm	Murders at Karlov Manor	2024-02-09	6	Call a Surprise Witness	9038a457-ce01-4f6d-9e2b-5220f08b4290			battlefield_recursion, card_selection, counter_support, recursion				Sorcery	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/mkm/6/call-a-surprise-witness?utm_source=api	Return target creature card with mana value 3 or less from your graveyard to the battlefield. Put a flying counter on it. It's a Spirit in addition to its other types.
mkm	Murders at Karlov Manor	2024-02-09	7	Case File Auditor	8c612741-2b30-43b3-bd3f-7df19662d298			card_selection, combat_body, replacement_engine, selection				Creature — Human Detective	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/mkm/7/case-file-auditor?utm_source=api	When this creature enters and whenever you solve a Case, look at the top six cards of your library. You may reveal an enchantment card from among them and put it into your hand. Put the rest on the bottom of your library in a random order. You may spend mana as though it were mana of any color to cast Case spells.
mkm	Murders at Karlov Manor	2024-02-09	8	Case of the Gateway Express	42a9aeac-5b9c-4675-8c96-7c8ce7e9098c			combat_support				Enchantment — Case	{1}{W}	2	W	W	Solved		verify analyzer roles	https://scryfall.com/card/mkm/8/case-of-the-gateway-express?utm_source=api	When this Case enters, choose target creature you don't control. Each creature you control deals 1 damage to that creature. To solve — Three or more creatures attacked this turn. (If unsolved, solve at the beginning of your end step.) Solved — Creatures you control get +1/+0.
mkm	Murders at Karlov Manor	2024-02-09	9	Case of the Pilfered Proof	68d3084b-0f4b-44a6-8954-6ebaf1db9269			card_draw, counter_support, direct_draw, draw, face_down_support, repeatable_advantage, repeatable_draw, replacement_engine, sacrifice_support				Enchantment — Case	{1}{W}	2	W	W	Solved		verify analyzer roles	https://scryfall.com/card/mkm/9/case-of-the-pilfered-proof?utm_source=api	Whenever a Detective you control enters or is turned face up, put a +1/+1 counter on it. To solve — You control three or more Detectives. (If unsolved, solve at the beginning of your end step.) Solved — If one or more tokens would be created under your control, those tokens plus a Clue token are created instead. (It's an artifact with "{2}, Sacrifice this token: Draw a card.")
mkm	Murders at Karlov Manor	2024-02-09	10	Case of the Uneaten Feast	0d8730b5-f7ba-48b0-928d-d8b7685347d3			lifegain, sacrifice_support				Enchantment — Case	{W}	1	W	W	Solved		verify analyzer roles	https://scryfall.com/card/mkm/10/case-of-the-uneaten-feast?utm_source=api	Whenever a creature you control enters, you gain 1 life. To solve — You've gained 5 or more life this turn. (If unsolved, solve at the beginning of your end step.) Solved — Sacrifice this Case: Creature cards in your graveyard gain "You may cast this card from your graveyard" until end of turn.
