setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
mmq	Mercadian Masques	1999-10-04	1	Afterlife	4c13e2b5-961a-4031-84b1-15bd19b94286	covered	removal, targeted_removal	removal, targeted_removal	false		Covered by Mirage role audit.	Instant	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/mmq/1/afterlife?utm_source=api	Destroy target creature. It can't be regenerated. Its controller creates a 1/1 white Spirit creature token with flying.
mmq	Mercadian Masques	1999-10-04	2	Alabaster Wall	f9f52651-cc64-48c5-bc18-cd5f646dfb1f	covered		combat_body, combat_support, protection, targeted_protection			Covered by MMQ role audit.	Creature — Wall	{2}{W}	3	W	W	Defender		verify analyzer roles	https://scryfall.com/card/mmq/2/alabaster-wall?utm_source=api	Defender (This creature can't attack.) {T}: Prevent the next 1 damage that would be dealt to any target this turn.
mmq	Mercadian Masques	1999-10-04	3	Armistice	da103316-2a85-4de9-8531-ac2cd2859d6f	covered		card_draw, direct_draw, donation_support, draw, repeatable_advantage, repeatable_draw			Covered by MMQ role audit.	Enchantment	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/mmq/3/armistice?utm_source=api	{3}{W}{W}: You draw a card and target opponent gains 3 life.
mmq	Mercadian Masques	1999-10-04	4	Arrest	81728b98-8cf9-4734-a318-69184bb4d15c	covered		combat_support, removal, targeted_removal			Covered by MMQ role audit.	Enchantment — Aura	{2}{W}	3	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/mmq/4/arrest?utm_source=api	Enchant creature Enchanted creature can't attack or block, and its activated abilities can't be activated.
mmq	Mercadian Masques	1999-10-04	5	Ballista Squad	5973725c-6e1f-4d7e-bcef-3d867ea4c244	covered		combat_body, removal, scalable_spell, targeted_removal			Covered by MMQ role audit.	Creature — Human Rebel	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/mmq/5/ballista-squad?utm_source=api	{X}{W}, {T}: This creature deals X damage to target attacking or blocking creature.
mmq	Mercadian Masques	1999-10-04	6	Charm Peddler	c425fe26-0027-4319-80a9-a053925651cb	covered		combat_body, protection, targeted_protection			Covered by MMQ role audit.	Creature — Human Spellshaper	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/mmq/6/charm-peddler?utm_source=api	{W}, {T}, Discard a card: The next time a source of your choice would deal damage to target creature this turn, prevent that damage.
mmq	Mercadian Masques	1999-10-04	7	Charmed Griffin	6a58f2a6-ff5e-4823-b3a7-49df14d64ffe	covered		combat_body, combat_threat			Covered by MMQ role audit.	Creature — Griffin	{3}{W}	4	W	W	Flying		verify analyzer roles	https://scryfall.com/card/mmq/7/charmed-griffin?utm_source=api	Flying When this creature enters, each other player may put an artifact or enchantment card onto the battlefield from their hand.
mmq	Mercadian Masques	1999-10-04	8	Cho-Arrim Alchemist	1e1d4d81-4a45-41b5-a781-ae2227b4f4c0	covered		broad_protection, combat_body, lifegain, protection			Covered by MMQ role audit.	Creature — Human Spellshaper	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/mmq/8/cho-arrim-alchemist?utm_source=api	{1}{W}{W}, {T}, Discard a card: The next time a source of your choice would deal damage to you this turn, prevent that damage. You gain life equal to the damage prevented this way.
mmq	Mercadian Masques	1999-10-04	9	Cho-Arrim Bruiser	3db407ec-da4b-4b25-b613-e45c164ffe86	covered		combat_body, combat_support, removal, tempo_removal			Covered by MMQ role audit.	Creature — Ogre Rebel	{5}{W}	6	W	W			verify analyzer roles	https://scryfall.com/card/mmq/9/cho-arrim-bruiser?utm_source=api	Whenever this creature attacks, you may tap up to two target creatures.
mmq	Mercadian Masques	1999-10-04	10	Cho-Arrim Legate	780c9cb2-9d98-4789-87e0-cb81db477204	covered		combat_body, self_protection			Covered by MMQ role audit.	Creature — Human Soldier	{2}{W}	3	W	W	Protection		verify analyzer roles	https://scryfall.com/card/mmq/10/cho-arrim-legate?utm_source=api	If an opponent controls a Swamp and you control a Plains, you may cast this spell without paying its mana cost. Protection from black
