setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
mp2	Amonkhet Invocations	2017-04-28	1	Austere Command	09cc8709-fe10-472a-b05c-e89f3523018d	covered		mass_removal, removal	false		Covered by PRM role audit.	Sorcery	{4}{W}{W}	6	W	W			already reviewed	https://scryfall.com/card/mp2/1/austere-command?utm_source=api	Choose two — • Destroy all artifacts. • Destroy all enchantments. • Destroy all creatures with mana value 3 or less. • Destroy all creatures with mana value 4 or greater.
mp2	Amonkhet Invocations	2017-04-28	2	Aven Mindcensor	d9517c5d-66d0-4178-96fb-a8c04f311ad8	covered	combat_body, combat_threat, replacement_engine, stax_piece	combat_body, combat_threat, replacement_engine, stax_piece	false		Analyzer roles accepted during batch clean pass.	Creature — Bird Wizard	{2}{W}	3	W	W	Flying, Flash		verify analyzer roles	https://scryfall.com/card/mp2/2/aven-mindcensor?utm_source=api	Flash Flying If an opponent would search a library, that player searches the top four cards of that library instead.
mp2	Amonkhet Invocations	2017-04-28	3	Containment Priest	8a76a9b9-3127-45fe-b20f-a8f643276281	covered		combat_body, replacement_engine, stax_piece	false		Covered by PRM role audit.	Creature — Human Cleric	{1}{W}	2	W	W	Flash		already reviewed	https://scryfall.com/card/mp2/3/containment-priest?utm_source=api	Flash If a nontoken creature would enter and it wasn't cast, exile it instead.
mp2	Amonkhet Invocations	2017-04-28	4	Loyal Retainers	55b88d43-ec45-4435-a316-1c8aee249ff0	covered		battlefield_recursion, card_selection, combat_body, recursion, repeatable_advantage, sacrifice_support	false		Covered by PTK role audit.	Creature — Human Advisor	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/mp2/4/loyal-retainers?utm_source=api	Sacrifice this creature: Return target legendary creature card from your graveyard to the battlefield. Activate only during your turn, before attackers are declared.
mp2	Amonkhet Invocations	2017-04-28	5	Oketra the True	646e68c8-cc42-4d6c-8363-a18b10a10eae	covered	combat_body, combat_support, combat_threat, self_protection, token_support	combat_body, combat_support, combat_threat, self_protection, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — God	{3}{W}	4	W	W	Indestructible, Double strike		verify analyzer roles	https://scryfall.com/card/mp2/5/oketra-the-true?utm_source=api	Double strike, indestructible Oketra can't attack or block unless you control at least three other creatures. {3}{W}: Create a 1/1 white Warrior creature token with vigilance.
mp2	Amonkhet Invocations	2017-04-28	6	Worship	99f9a4c8-b59f-4a41-8577-6c1e4684b240	covered		broad_protection, life_total_protection, protection, replacement_engine	false		Covered by USG role audit.	Enchantment	{3}{W}	4	W	W			already reviewed	https://scryfall.com/card/mp2/6/worship?utm_source=api	If you control a creature, damage that would reduce your life total to less than 1 reduces it to 1 instead.
mp2	Amonkhet Invocations	2017-04-28	7	Wrath of God	34515b16-c9a4-4f98-8c77-416a7a523407	covered	mass_removal, removal	mass_removal, removal	false		Covered by 6ED role audit.	Sorcery	{2}{W}{W}	4	W	W			already reviewed	https://scryfall.com/card/mp2/7/wrath-of-god?utm_source=api	Destroy all creatures. They can't be regenerated.
mp2	Amonkhet Invocations	2017-04-28	8	Consecrated Sphinx	311a449d-dc74-46e6-9a47-6a597931f736	covered	card_draw, combat_body, combat_threat, direct_draw, draw, repeatable_advantage, repeatable_draw	card_draw, combat_body, combat_threat, direct_draw, draw, repeatable_advantage, repeatable_draw	false		Analyzer roles accepted during batch clean pass.	Creature — Sphinx	{4}{U}{U}	6	U	U	Flying		verify analyzer roles	https://scryfall.com/card/mp2/8/consecrated-sphinx?utm_source=api	Flying Whenever an opponent draws a card, you may draw two cards.
mp2	Amonkhet Invocations	2017-04-28	9	Counterbalance	088dfd02-c0e0-41d1-9923-efe023fb2ad1	covered	soft_stack, stack	soft_stack, stack	false		Covered by batch analyzer expansion for remaining role audit cases.	Enchantment	{U}{U}	2	U	U			manual review	https://scryfall.com/card/mp2/9/counterbalance?utm_source=api	Whenever an opponent casts a spell, you may reveal the top card of your library. If you do, counter that spell if it has the same mana value as the revealed card.
mp2	Amonkhet Invocations	2017-04-28	10	Counterspell	cc187110-1148-4090-bbb8-e205694a39f5	covered	hard_stack, stack	hard_stack, stack	false		Covered by Ice Age role audit.	Instant	{U}{U}	2	U	U			already reviewed	https://scryfall.com/card/mp2/10/counterspell?utm_source=api	Counter target spell.
mp2	Amonkhet Invocations	2017-04-28	11	Cryptic Command	a3e51a35-09df-4189-b131-08a21e6a557d	covered		card_draw, combat_support, direct_draw, draw, hard_stack, removal, stack, tempo_removal	false		Covered by PRM role audit.	Instant	{1}{U}{U}{U}	4	U	U			already reviewed	https://scryfall.com/card/mp2/11/cryptic-command?utm_source=api	Choose two — • Counter target spell. • Return target permanent to its owner's hand. • Tap all creatures your opponents control. • Draw a card.
mp2	Amonkhet Invocations	2017-04-28	12	Daze	70486bee-6ee7-41ea-b834-8caf4699302b	covered		soft_stack, stack	false		Covered by NEM role audit.	Instant	{1}{U}	2	U	U			already reviewed	https://scryfall.com/card/mp2/12/daze?utm_source=api	You may return an Island you control to its owner's hand rather than pay this spell's mana cost. Counter target spell unless its controller pays {1}.
mp2	Amonkhet Invocations	2017-04-28	13	Divert	561aed01-322b-4699-b7b0-f4416075aa9b	covered		broad_stack, stack	false		Covered by ODY role audit.	Instant	{U}	1	U	U			already reviewed	https://scryfall.com/card/mp2/13/divert?utm_source=api	Change the target of target spell with a single target unless that spell's controller pays {2}.
mp2	Amonkhet Invocations	2017-04-28	14	Force of Will	956381ba-6d37-4a8a-846c-bad79222dbee	covered	hard_stack, stack	hard_stack, stack	false		Covered by Alliances role audit.	Instant	{3}{U}{U}	5	U	U			already reviewed	https://scryfall.com/card/mp2/14/force-of-will?utm_source=api	You may pay 1 life and exile a blue card from your hand rather than pay this spell's mana cost. Counter target spell.
