setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ncc	New Capenna Commander	2022-04-29	1	Anhelo, the Painter	d3c3f293-6790-4dce-900a-8af0464c2572	covered		combat_body, combat_threat, copy_support, sacrifice_support	false		Covered by PRM role audit.	Legendary Creature — Vampire Assassin	{U}{B}{R}	3	BRU	BRU	Deathtouch		already reviewed	https://scryfall.com/card/ncc/1/anhelo-the-painter?utm_source=api	Deathtouch The first instant or sorcery spell you cast each turn has casualty 2. (As you cast that spell, you may sacrifice a creature with power 2 or greater. When you do, copy the spell and you may choose new targets for the copy.)
ncc	New Capenna Commander	2022-04-29	2	Henzie "Toolbox" Torre	5320f5a6-8066-47d4-aa0a-4c879f39d413	covered		card_draw, combat_body, direct_draw, draw, sacrifice_support	false		Covered by PRM role audit.	Legendary Creature — Devil Rogue	{B}{R}{G}	3	BGR	BGR			already reviewed	https://scryfall.com/card/ncc/2/henzie-toolbox-torre?utm_source=api	Each creature spell you cast with mana value 4 or greater has blitz. The blitz cost is equal to its mana cost. (You may choose to cast that spell for its blitz cost. If you do, it gains haste and "When this creature dies, draw a card." Sacrifice it at the beginning of the next end step.) Blitz costs you pay cost {1} less for each time you've cast your commander from the command zone this game.
ncc	New Capenna Commander	2022-04-29	3	Kamiz, Obscura Oculus	49da6a78-f3b2-4691-975c-efbb644311f3			card_draw, card_selection, combat_body, combat_support, counter_support, direct_draw, draw, repeatable_advantage, repeatable_draw, selection				Legendary Creature — Octopus Rogue	{1}{W}{U}{B}	4	BUW	BUW	Connive		verify analyzer roles	https://scryfall.com/card/ncc/3/kamiz-obscura-oculus?utm_source=api	Whenever you attack, target attacking creature can't be blocked this turn. It connives. Then choose another attacking creature with lesser power. That creature gains double strike until end of turn. (To have a creature connive, draw a card, then discard a card. If you discarded a nonland card, put a +1/+1 counter on that creature.)
ncc	New Capenna Commander	2022-04-29	4	Kitt Kanto, Mayhem Diva	b6e3af71-0d68-4bf0-b886-c29dae15e9ae			combat_body, combat_support, token_support				Legendary Creature — Cat Bard Druid	{1}{R}{G}{W}	4	GRW	GRW	Goad		verify analyzer roles	https://scryfall.com/card/ncc/4/kitt-kanto-mayhem-diva?utm_source=api	When Kitt Kanto enters, create a 1/1 green and white Citizen creature token. At the beginning of combat on each player's turn, you may tap two untapped creatures you control. When you do, target creature that player controls gets +2/+2 and gains trample until end of turn. Goad that creature.
ncc	New Capenna Commander	2022-04-29	5	Perrie, the Pulverizer	41d408dc-f6fe-45b2-b225-2ac25db9ad0f			combat_body, combat_support, counter_support, replacement_engine, scalable_spell				Legendary Creature — Rhino Soldier	{1}{G}{W}{U}	4	GUW	GUW			verify analyzer roles	https://scryfall.com/card/ncc/5/perrie-the-pulverizer?utm_source=api	When Perrie enters, put a shield counter on target creature. (If it would be dealt damage or destroyed, remove a shield counter from it instead.) Whenever Perrie attacks, target creature you control gains trample and gets +X/+X until end of turn, where X is the number of different kinds of counters among permanents you control.
ncc	New Capenna Commander	2022-04-29	6	The Beamtown Bullies	62d394e1-6e7d-4703-8fd8-494f0f043876			combat_body, combat_support, combat_threat				Legendary Creature — Ogre Devil Warrior	{1}{B}{R}{G}	4	BGR	BGR	Goad, Vigilance, Haste		verify analyzer roles	https://scryfall.com/card/ncc/6/the-beamtown-bullies?utm_source=api	Vigilance, haste {T}: Target opponent whose turn it is puts target nonlegendary creature card from your graveyard onto the battlefield under their control. It gains haste. Goad it. At the beginning of the next end step, exile it. (Until your next turn, that creature attacks each combat if able and attacks a player other than you if able.)
ncc	New Capenna Commander	2022-04-29	7	Kros, Defense Contractor	debeb004-3157-43cf-95fd-220777417ff7			combat_body, combat_support, counter_support				Legendary Creature — Cat Advisor	{1}{G}{W}{U}	4	GUW	GUW	Goad		verify analyzer roles	https://scryfall.com/card/ncc/7/kros-defense-contractor?utm_source=api	At the beginning of your upkeep, put a shield counter on target creature an opponent controls. Whenever you put one or more counters on a creature you don't control, tap that creature and goad it. It gains trample until your next turn. (Until your next turn, that creature attacks each combat if able and attacks a player other than you if able.)
ncc	New Capenna Commander	2022-04-29	8	Parnesse, the Subtle Brush	c6040e8d-dac3-4bed-8d1d-d7d44aa10c86			combat_body, copy_support				Legendary Creature — Vampire Wizard	{2}{U}{B}{R}	5	BRU	BRU			verify analyzer roles	https://scryfall.com/card/ncc/8/parnesse-the-subtle-brush?utm_source=api	Whenever you or a permanent you control becomes the target of a spell or ability an opponent controls, counter that spell or ability unless that player pays 4 life. Whenever you copy a spell, up to one target opponent may also copy that spell. They may choose new targets for that copy.
ncc	New Capenna Commander	2022-04-29	9	Phabine, Boss's Confidant	70697ad7-d4bb-4b63-b895-bbb69e9d04e1	covered		card_draw, combat_body, combat_support, token_support	false		Covered by PRM role audit.	Legendary Creature — Cat Advisor	{3}{R}{G}{W}	6	GRW	GRW	Parley		already reviewed	https://scryfall.com/card/ncc/9/phabine-bosss-confidant?utm_source=api	Creature tokens you control have haste. Parley — At the beginning of combat on your turn, each player reveals the top card of their library. For each land card revealed this way, you create a 1/1 green and white Citizen creature token. Then creatures you control get +1/+1 until end of turn for each nonland card revealed this way. Then each player draws a card.
ncc	New Capenna Commander	2022-04-29	10	Tivit, Seller of Secrets	f4e0b557-4f80-4b7c-bfcc-6d4c468faf2e	covered		burst_ramp, card_draw, combat_body, combat_support, combat_threat, draw, mana_fixing, multiplier_support, ramp, repeatable_advantage, repeatable_draw, replacement_engine, selection, self_protection, token_support	false		Covered by PRM role audit.	Legendary Creature — Sphinx Rogue	{3}{W}{U}{B}	6	BUW	BUW	Flying, Investigate, Council's dilemma, Treasure, Ward		already reviewed	https://scryfall.com/card/ncc/10/tivit-seller-of-secrets?utm_source=api	Flying, ward {3} Council's dilemma — Whenever Tivit enters or deals combat damage to a player, starting with you, each player votes for evidence or bribery. For each evidence vote, investigate. For each bribery vote, create a Treasure token. While voting, you may vote an additional time. (The votes can be for different choices or for the same choice.)
