setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
nem	Nemesis	2000-02-14	1	Angelic Favor	37162c6e-ac31-4386-9d1e-76aa66070b35	covered		cost_reduction, token_support			Covered by NEM role audit.	Instant	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/nem/1/angelic-favor?utm_source=api	If you control a Plains, you may tap an untapped creature you control rather than pay this spell's mana cost. Cast this spell only during combat. Create a 4/4 white Angel creature token with flying. Exile it at the beginning of the next end step.
nem	Nemesis	2000-02-14	2	Avenger en-Dal	62009b63-ca6c-4fb0-8c9a-eccdec51cb18	covered		combat_body, removal, targeted_removal			Covered by NEM role audit.	Creature — Human Spellshaper	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/nem/2/avenger-en-dal?utm_source=api	{2}{W}, {T}, Discard a card: Exile target attacking creature. Its controller gains life equal to its toughness.
nem	Nemesis	2000-02-14	3	Blinding Angel	cb479ce1-59e8-4531-9a21-f7c97d334817	covered		combat_body, combat_support, combat_threat			Covered by NEM role audit.	Creature — Angel	{3}{W}{W}	5	W	W	Flying		verify analyzer roles	https://scryfall.com/card/nem/3/blinding-angel?utm_source=api	Flying (This creature can't be blocked except by creatures with flying or reach.) Whenever this creature deals combat damage to a player, that player skips their next combat phase.
nem	Nemesis	2000-02-14	4	Chieftain en-Dal	8aae3a28-dcf3-460e-89f9-4b0c96d6f55e	covered		combat_body, combat_support			Covered by NEM role audit.	Creature — Human Knight	{1}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/nem/4/chieftain-en-dal?utm_source=api	Whenever this creature attacks, attacking creatures gain first strike until end of turn.
nem	Nemesis	2000-02-14	5	Defender en-Vec	bb8a55a5-596e-427c-b745-4de8b0dfb095	covered		combat_body, counter_support, protection, sacrifice_support, targeted_protection			Covered by NEM role audit.	Creature — Human Cleric	{3}{W}	4	W	W	Fading		verify analyzer roles	https://scryfall.com/card/nem/5/defender-en-vec?utm_source=api	Fading 4 (This creature enters with four fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.) Remove a fade counter from this creature: Prevent the next 2 damage that would be dealt to any target this turn.
nem	Nemesis	2000-02-14	6	Defiant Falcon	dc206e6a-e447-48d4-a91a-7c746320e2b4	covered		cheat_into_play, combat_body, combat_threat, cost_reduction, repeatable_tutor, restricted_tutor, tutor			Covered by NEM role audit.	Creature — Rebel Bird	{1}{W}	2	W	W	Flying		verify analyzer roles	https://scryfall.com/card/nem/6/defiant-falcon?utm_source=api	Flying {4}, {T}: Search your library for a Rebel permanent card with mana value 3 or less, put it onto the battlefield, then shuffle.
nem	Nemesis	2000-02-14	7	Defiant Vanguard	680766e2-637b-40bc-a15f-0b4dc55bd619	covered		cheat_into_play, combat_body, cost_reduction, repeatable_tutor, restricted_tutor, tutor			Covered by NEM role audit.	Creature — Human Rebel	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/nem/7/defiant-vanguard?utm_source=api	When this creature blocks, at end of combat, destroy it and all creatures it blocked this turn. {5}, {T}: Search your library for a Rebel permanent card with mana value 4 or less, put it onto the battlefield, then shuffle.
nem	Nemesis	2000-02-14	8	Fanatical Devotion	34e56412-4649-481d-be51-357b331d0b75	covered		protection, regeneration_protection, sacrifice_support, targeted_protection			Covered by NEM role audit.	Enchantment	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/nem/8/fanatical-devotion?utm_source=api	Sacrifice a creature: Regenerate target creature.
nem	Nemesis	2000-02-14	9	Lashknife	98d790c0-985f-44a4-b247-0951beea7637	covered		combat_support, cost_reduction			Covered by NEM role audit.	Enchantment — Aura	{1}{W}	2	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/nem/9/lashknife?utm_source=api	If you control a Plains, you may tap an untapped creature you control rather than pay this spell's mana cost. Enchant creature Enchanted creature has first strike.
nem	Nemesis	2000-02-14	10	Lawbringer	15cc92c0-76ce-4b97-b1a2-a7d58bbfe857	covered		combat_body, removal, sacrifice_support, targeted_removal			Covered by NEM role audit.	Creature — Kor Rebel	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/nem/10/lawbringer?utm_source=api	{T}, Sacrifice this creature: Exile target red creature.
