setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
nph	New Phyrexia	2011-05-13	1	Karn Liberated	0ca233f4-1b7f-4807-ab6e-2b1f5439b3db	covered		removal, targeted_removal	false		Covered by PRM role audit.	Legendary Planeswalker — Karn	{7}	7					already reviewed	https://scryfall.com/card/nph/1/karn-liberated?utm_source=api	+4: Target player exiles a card from their hand. −3: Exile target permanent. −14: Restart the game, leaving in exile all non-Aura permanent cards exiled with Karn. Then put those cards onto the battlefield under your control.
nph	New Phyrexia	2011-05-13	2	Apostle's Blessing	ea393815-0202-4edc-aa1e-6885fe9b20ab			protection, self_protection, targeted_protection				Instant	{1}{W/P}	2	W	W			verify analyzer roles	https://scryfall.com/card/nph/2/apostles-blessing?utm_source=api	({W/P} can be paid with either {W} or 2 life.) Target artifact or creature you control gains protection from artifacts or from the color of your choice until end of turn.
nph	New Phyrexia	2011-05-13	3	Auriok Survivors	103b92c7-8f8e-4924-8d7e-fc0a01486e86			battlefield_recursion, card_selection, combat_body, recursion				Creature — Human Soldier	{5}{W}	6	W	W			verify analyzer roles	https://scryfall.com/card/nph/3/auriok-survivors?utm_source=api	When this creature enters, you may return target Equipment card from your graveyard to the battlefield. If you do, you may attach it to this creature.
nph	New Phyrexia	2011-05-13	4	Blade Splicer	194166ad-0179-42a3-86b9-ba7f322ec576			combat_body, token_support				Creature — Phyrexian Human Artificer	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/nph/4/blade-splicer?utm_source=api	When this creature enters, create a 3/3 colorless Phyrexian Golem artifact creature token. Golems you control have first strike.
nph	New Phyrexia	2011-05-13	5	Cathedral Membrane	0297eeb2-47ec-4f9a-b1ad-4e7286994f00			combat_body, mass_removal, removal, sacrifice_support				Artifact Creature — Phyrexian Wall	{1}{W/P}	2	W	W	Defender		verify analyzer roles	https://scryfall.com/card/nph/5/cathedral-membrane?utm_source=api	({W/P} can be paid with either {W} or 2 life.) Defender When this creature dies during combat, it deals 6 damage to each creature it blocked this combat.
nph	New Phyrexia	2011-05-13	6	Chancellor of the Annex	85c0a376-da6f-4f69-853c-a093708d0952			combat_body, combat_threat				Creature — Phyrexian Angel	{4}{W}{W}{W}	7	W	W	Flying		verify analyzer roles	https://scryfall.com/card/nph/6/chancellor-of-the-annex?utm_source=api	You may reveal this card from your opening hand. If you do, when each opponent casts their first spell of the game, counter that spell unless that player pays {1}. Flying Whenever an opponent casts a spell, counter it unless that player pays {1}.
nph	New Phyrexia	2011-05-13	7	Dispatch	133c99c0-3652-410f-8100-68015a47af9f			removal, targeted_removal, tempo_removal				Instant	{W}	1	W	W	Metalcraft		verify analyzer roles	https://scryfall.com/card/nph/7/dispatch?utm_source=api	Tap target creature. Metalcraft — If you control three or more artifacts, exile that creature.
nph	New Phyrexia	2011-05-13	8	Due Respect	1c367fa2-844a-4083-9484-c6def1dee8a8			card_draw, direct_draw, draw, stax_piece				Instant	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/nph/8/due-respect?utm_source=api	Permanents enter tapped this turn. Draw a card.
nph	New Phyrexia	2011-05-13	9	Elesh Norn, Grand Cenobite	958d71ff-c9f7-46f0-96ca-79e7f4d65a16	covered		combat_body, combat_support, combat_threat, mass_removal, removal	false		Covered by PRM role audit.	Legendary Creature — Phyrexian Praetor	{5}{W}{W}	7	W	W	Vigilance		already reviewed	https://scryfall.com/card/nph/9/elesh-norn-grand-cenobite?utm_source=api	Vigilance Other creatures you control get +2/+2. Creatures your opponents control get -2/-2.
nph	New Phyrexia	2011-05-13	10	Exclusion Ritual	5e3fd5da-6724-4134-ab15-4616cb659f88			hate_piece, removal, stax_piece, targeted_removal				Enchantment	{4}{W}{W}	6	W	W	Imprint		verify analyzer roles	https://scryfall.com/card/nph/10/exclusion-ritual?utm_source=api	Imprint — When this enchantment enters, exile target nonland permanent. Players can't cast spells with the same name as the exiled card.
nph	New Phyrexia	2011-05-13	11	Forced Worship	ea6b1e8e-b6e7-4fce-bfb7-7adf66b9f240			combat_support, protection, rescue_protection, self_bounce				Enchantment — Aura	{1}{W}	2	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/nph/11/forced-worship?utm_source=api	Enchant creature Enchanted creature can't attack. {2}{W}: Return this Aura to its owner's hand.
nph	New Phyrexia	2011-05-13	12	Inquisitor Exarch	7deae378-9291-487e-9f0b-1deaf37218a8			combat_body, lifegain				Creature — Phyrexian Cleric	{W}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/nph/12/inquisitor-exarch?utm_source=api	When this creature enters, choose one — • You gain 2 life. • Target opponent loses 2 life.
nph	New Phyrexia	2011-05-13	13	Lost Leonin	c21b5c5b-9191-4748-b111-a51631e0bc5a			alternate_finisher, combat_body, combat_threat, finisher				Creature — Phyrexian Cat Soldier	{1}{W}	2	W	W	Infect		verify analyzer roles	https://scryfall.com/card/nph/13/lost-leonin?utm_source=api	Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
nph	New Phyrexia	2011-05-13	14	Loxodon Convert	d0a80814-c69c-457c-ba19-4e1ba3fbd485			combat_body				Creature — Phyrexian Elephant Soldier	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/nph/14/loxodon-convert?utm_source=api	
nph	New Phyrexia	2011-05-13	15	Marrow Shards	be2ae8dc-afae-4bcf-8a97-08a2764d1148			mass_removal, removal				Instant	{W/P}	1	W	W			verify analyzer roles	https://scryfall.com/card/nph/15/marrow-shards?utm_source=api	({W/P} can be paid with either {W} or 2 life.) Marrow Shards deals 1 damage to each attacking creature.
nph	New Phyrexia	2011-05-13	16	Master Splicer	9e0c5919-aed6-4d98-85c8-2658be78bdf0			combat_body, token_support				Creature — Phyrexian Human Artificer	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/nph/16/master-splicer?utm_source=api	When this creature enters, create a 3/3 colorless Phyrexian Golem artifact creature token. Golems you control get +1/+1.
nph	New Phyrexia	2011-05-13	17	Norn's Annex	9a1fbe72-4a17-42be-8e23-d7d30a5e59c1			combat_support				Artifact	{3}{W/P}{W/P}	5	W	W			verify analyzer roles	https://scryfall.com/card/nph/17/norns-annex?utm_source=api	({W/P} can be paid with either {W} or 2 life.) Creatures can't attack you or planeswalkers you control unless their controller pays {W/P} for each of those creatures.
nph	New Phyrexia	2011-05-13	18	Phyrexian Unlife	6598d988-d60e-4441-88b6-8d0995c4675a			replacement_engine				Enchantment	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/nph/18/phyrexian-unlife?utm_source=api	You don't lose the game for having 0 or less life. As long as you have 0 or less life, all damage is dealt to you as though its source had infect. (Damage is dealt to you in the form of poison counters.)
nph	New Phyrexia	2011-05-13	19	Porcelain Legionnaire	66442396-f804-47f3-8daa-0d43d8cfb482			combat_body, combat_threat				Artifact Creature — Phyrexian Soldier	{2}{W/P}	3	W	W	First strike		verify analyzer roles	https://scryfall.com/card/nph/19/porcelain-legionnaire?utm_source=api	({W/P} can be paid with either {W} or 2 life.) First strike
nph	New Phyrexia	2011-05-13	20	Puresteel Paladin	74a62c7b-4753-4af2-b7a1-9a4ae8988801			card_draw, combat_body, direct_draw, draw, repeatable_advantage, repeatable_draw				Creature — Human Knight	{W}{W}	2	W	W	Metalcraft		verify analyzer roles	https://scryfall.com/card/nph/20/puresteel-paladin?utm_source=api	Whenever an Equipment you control enters, you may draw a card. Metalcraft — Equipment you control have equip {0} as long as you control three or more artifacts.
nph	New Phyrexia	2011-05-13	21	Remember the Fallen	7ed3918d-509a-4fe6-a32d-5899df8f9046			card_selection, hand_recursion, recursion				Sorcery	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/nph/21/remember-the-fallen?utm_source=api	Choose one or both — • Return target creature card from your graveyard to your hand. • Return target artifact card from your graveyard to your hand.
nph	New Phyrexia	2011-05-13	22	Sensor Splicer	9676da93-1e17-4f6c-b610-a242b78c71ab			combat_body, combat_support, token_support				Creature — Phyrexian Artificer	{4}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/nph/22/sensor-splicer?utm_source=api	When this creature enters, create a 3/3 colorless Phyrexian Golem artifact creature token. Golem creatures you control have vigilance.
nph	New Phyrexia	2011-05-13	23	Shattered Angel	e339c6cb-c75d-4dd4-8c1a-78f844983242			combat_body, combat_threat, lifegain				Creature — Phyrexian Angel	{3}{W}{W}	5	W	W	Flying		verify analyzer roles	https://scryfall.com/card/nph/23/shattered-angel?utm_source=api	Flying Whenever a land an opponent controls enters, you may gain 3 life.
nph	New Phyrexia	2011-05-13	24	Shriek Raptor	426bfd00-e727-49f4-be2d-df5289d2cc61			alternate_finisher, combat_body, combat_threat, finisher				Creature — Phyrexian Bird	{3}{W}{W}	5	W	W	Flying, Infect		verify analyzer roles	https://scryfall.com/card/nph/24/shriek-raptor?utm_source=api	Flying Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
nph	New Phyrexia	2011-05-13	25	Suture Priest	c4d36522-3ace-4bfb-bf2d-1a366f458698	covered		combat_body, lifegain	false		Covered by PRM role audit.	Creature — Phyrexian Cleric	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/nph/25/suture-priest?utm_source=api	Whenever another creature you control enters, you may gain 1 life. Whenever a creature an opponent controls enters, you may have that player lose 1 life.
nph	New Phyrexia	2011-05-13	26	War Report	45dfb358-cd16-468e-bc89-ff17c6e244c1			lifegain				Instant	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/nph/26/war-report?utm_source=api	You gain life equal to the number of creatures on the battlefield plus the number of artifacts on the battlefield.
nph	New Phyrexia	2011-05-13	27	Argent Mutation	652ef093-06e9-4bf1-b9cf-950fe043b319			card_draw, direct_draw, draw				Instant	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/nph/27/argent-mutation?utm_source=api	Target permanent becomes an artifact in addition to its other types until end of turn. Draw a card.
nph	New Phyrexia	2011-05-13	28	Arm with Aether	e6479195-cbdf-4d2b-9f45-5fd0a6ab4a77			removal, tempo_removal				Sorcery	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/nph/28/arm-with-aether?utm_source=api	Until end of turn, creatures you control gain "Whenever this creature deals damage to an opponent, you may return target creature that player controls to its owner's hand."
nph	New Phyrexia	2011-05-13	29	Blighted Agent	e48ea9ea-64bc-4f1c-a424-592d48569244			alternate_finisher, combat_body, combat_support, combat_threat, finisher				Creature — Phyrexian Human Rogue	{1}{U}	2	U	U	Infect		verify analyzer roles	https://scryfall.com/card/nph/29/blighted-agent?utm_source=api	Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.) This creature can't be blocked.
nph	New Phyrexia	2011-05-13	30	Chained Throatseeker	f971a597-caa7-4289-ae8f-1efdc9abb593			alternate_finisher, combat_body, combat_support, combat_threat, finisher				Creature — Phyrexian Horror	{5}{U}	6	U	U	Infect		verify analyzer roles	https://scryfall.com/card/nph/30/chained-throatseeker?utm_source=api	Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.) This creature can't attack unless defending player is poisoned.
nph	New Phyrexia	2011-05-13	31	Chancellor of the Spires	e766a7ec-2761-453b-bfba-956de7b5e125			card_selection, combat_body, combat_threat, mill_support, repeatable_advantage, repeatable_draw, selection				Creature — Phyrexian Sphinx	{4}{U}{U}{U}	7	U	U	Flying, Mill		verify analyzer roles	https://scryfall.com/card/nph/31/chancellor-of-the-spires?utm_source=api	You may reveal this card from your opening hand. If you do, at the beginning of the first upkeep, each opponent mills seven cards. Flying When this creature enters, you may cast target instant or sorcery card from an opponent's graveyard without paying its mana cost.
nph	New Phyrexia	2011-05-13	32	Corrupted Resolve	87837a94-05db-48fe-b810-26d8f92cfc58			hard_stack, soft_stack, stack				Instant	{1}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/nph/32/corrupted-resolve?utm_source=api	Counter target spell if its controller is poisoned.
nph	New Phyrexia	2011-05-13	33	Deceiver Exarch	3c939ea6-68b7-4965-b1d3-af1d3dc79778			combat_body, removal, replacement_engine, tap_untap, tempo_removal, tempo_support				Creature — Phyrexian Cleric	{2}{U}	3	U	U	Flash		verify analyzer roles	https://scryfall.com/card/nph/33/deceiver-exarch?utm_source=api	Flash (You may cast this spell any time you could cast an instant.) When this creature enters, choose one — • Untap target permanent you control. • Tap target permanent an opponent controls.
nph	New Phyrexia	2011-05-13	34	Defensive Stance	19959b6d-eb8f-4273-94c8-65210e1998ab							Enchantment — Aura	{U}	1	U	U	Enchant		has Scryfall tags/keywords but no analyzer role	https://scryfall.com/card/nph/34/defensive-stance?utm_source=api	Enchant creature Enchanted creature gets -1/+1.
nph	New Phyrexia	2011-05-13	35	Gitaxian Probe	1d67f5ff-1fce-45e5-b6a1-416c569351e2	covered		card_draw, direct_draw, draw, hand_info	false		Covered by PRM role audit.	Sorcery	{U/P}	1	U	U			already reviewed	https://scryfall.com/card/nph/35/gitaxian-probe?utm_source=api	({U/P} can be paid with either {U} or 2 life.) Look at target player's hand. Draw a card.
nph	New Phyrexia	2011-05-13	36	Impaler Shrike	db98ee99-d4e5-4623-8446-5cce5d11dca0			card_draw, combat_body, combat_support, combat_threat, direct_draw, draw, repeatable_advantage, repeatable_draw, sacrifice_support				Creature — Phyrexian Bird	{2}{U}{U}	4	U	U	Flying		verify analyzer roles	https://scryfall.com/card/nph/36/impaler-shrike?utm_source=api	Flying Whenever this creature deals combat damage to a player, you may sacrifice it. If you do, draw three cards.
nph	New Phyrexia	2011-05-13	37	Jin-Gitaxias, Core Augur	eb23aed0-c450-4e57-96f2-2866dceca004			card_draw, combat_body, direct_draw, draw, repeatable_advantage, repeatable_draw				Legendary Creature — Phyrexian Praetor	{8}{U}{U}	10	U	U	Flash		verify analyzer roles	https://scryfall.com/card/nph/37/jin-gitaxias-core-augur?utm_source=api	Flash At the beginning of your end step, draw seven cards. Each opponent's maximum hand size is reduced by seven.
nph	New Phyrexia	2011-05-13	38	Mental Misstep	1a0770e6-b093-4439-baff-6889a50ba12e	covered	hard_stack, stack	hard_stack, stack	false		Covered by Media and Collaboration Promos role audit.	Instant	{U/P}	1	U	U			already reviewed	https://scryfall.com/card/nph/38/mental-misstep?utm_source=api	({U/P} can be paid with either {U} or 2 life.) Counter target spell with mana value 1.
nph	New Phyrexia	2011-05-13	39	Mindculling	955a7f4d-7100-4d8b-818c-be8651d0ebe6			card_draw, direct_draw, draw, hand_attack, removal				Sorcery	{5}{U}	6	U	U			verify analyzer roles	https://scryfall.com/card/nph/39/mindculling?utm_source=api	You draw two cards and target opponent discards two cards.
nph	New Phyrexia	2011-05-13	40	Numbing Dose	e42d087e-c999-4f9a-bdc5-4327e8ce94b6							Enchantment — Aura	{3}{U}{U}	5	U	U	Enchant		has Scryfall tags/keywords but no analyzer role	https://scryfall.com/card/nph/40/numbing-dose?utm_source=api	Enchant artifact or creature Enchanted permanent doesn't untap during its controller's untap step. At the beginning of the upkeep of enchanted permanent's controller, that player loses 1 life.
nph	New Phyrexia	2011-05-13	41	Phyrexian Ingester	ec9c35f2-6a68-45e7-a86e-9f5af9fe28fc			combat_body, removal, scalable_spell, targeted_removal				Creature — Phyrexian Beast	{6}{U}	7	U	U	Imprint		verify analyzer roles	https://scryfall.com/card/nph/41/phyrexian-ingester?utm_source=api	Imprint — When this creature enters, you may exile target nontoken creature. This creature gets +X/+Y, where X is the exiled creature card's power and Y is its toughness.
nph	New Phyrexia	2011-05-13	42	Phyrexian Metamorph	340bbe8b-e987-4c3e-ab4e-9dee63e57d4f	covered		combat_body, copy_support	false		Covered by PRM role audit.	Artifact Creature — Phyrexian Shapeshifter	{3}{U/P}	4	U	U			already reviewed	https://scryfall.com/card/nph/42/phyrexian-metamorph?utm_source=api	({U/P} can be paid with either {U} or 2 life.) You may have this creature enter as a copy of any artifact or creature on the battlefield, except it's an artifact in addition to its other types.
nph	New Phyrexia	2011-05-13	43	Psychic Barrier	2e712090-2284-4325-8ee8-38cd0e2bedd8			hard_stack, stack				Instant	{U}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/nph/43/psychic-barrier?utm_source=api	Counter target creature spell. Its controller loses 1 life.
nph	New Phyrexia	2011-05-13	44	Psychic Surgery	e5128230-3535-4f77-8b97-20d0791e7b1d							Enchantment	{1}{U}	2	U	U			manual review	https://scryfall.com/card/nph/44/psychic-surgery?utm_source=api	Whenever an opponent shuffles their library, you may look at the top two cards of that library. You may exile one of those cards. Then put the rest on top of that library in any order.
nph	New Phyrexia	2011-05-13	45	Spined Thopter	45f2af87-0235-49f8-a63d-370faff3a097			combat_body, combat_threat				Artifact Creature — Phyrexian Thopter	{2}{U/P}	3	U	U	Flying		verify analyzer roles	https://scryfall.com/card/nph/45/spined-thopter?utm_source=api	({U/P} can be paid with either {U} or 2 life.) Flying
nph	New Phyrexia	2011-05-13	46	Spire Monitor	447b9412-2649-4548-8e9b-eed5e92ad92a			combat_body, combat_threat, replacement_engine, tempo_support				Creature — Phyrexian Drake	{4}{U}	5	U	U	Flying, Flash		verify analyzer roles	https://scryfall.com/card/nph/46/spire-monitor?utm_source=api	Flash (You may cast this spell any time you could cast an instant.) Flying
nph	New Phyrexia	2011-05-13	47	Tezzeret's Gambit	b33d2b77-f068-4fdc-a1a8-0353a35e3973			card_draw, counter_support, direct_draw, draw				Sorcery	{3}{U/P}	4	U	U	Proliferate		verify analyzer roles	https://scryfall.com/card/nph/47/tezzerets-gambit?utm_source=api	({U/P} can be paid with either {U} or 2 life.) Draw two cards, then proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)
nph	New Phyrexia	2011-05-13	48	Vapor Snag	a1408bae-ed5f-4837-a1a7-438dc30a2786			removal, tempo_removal				Instant	{U}	1	U	U			verify analyzer roles	https://scryfall.com/card/nph/48/vapor-snag?utm_source=api	Return target creature to its owner's hand. Its controller loses 1 life.
nph	New Phyrexia	2011-05-13	49	Viral Drake	3b1647d1-9aec-454f-a215-e28633cb7a2d			alternate_finisher, combat_body, combat_threat, counter_support, finisher				Creature — Phyrexian Drake	{3}{U}	4	U	U	Flying, Proliferate, Infect		verify analyzer roles	https://scryfall.com/card/nph/49/viral-drake?utm_source=api	Flying Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.) {3}{U}: Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)
nph	New Phyrexia	2011-05-13	50	Wing Splicer	7fbf6afc-8a16-447b-bdef-b7d0b640f76c			combat_body, combat_support, token_support				Creature — Phyrexian Human Artificer	{3}{U}	4	U	U			verify analyzer roles	https://scryfall.com/card/nph/50/wing-splicer?utm_source=api	When this creature enters, create a 3/3 colorless Phyrexian Golem artifact creature token. Golem creatures you control have flying.
nph	New Phyrexia	2011-05-13	51	Xenograft	76642e7a-3c8f-45b8-9cd7-dac8086bea87							Enchantment	{4}{U}	5	U	U			manual review	https://scryfall.com/card/nph/51/xenograft?utm_source=api	As this enchantment enters, choose a creature type. Each creature you control is the chosen type in addition to its other types.
nph	New Phyrexia	2011-05-13	52	Blind Zealot	30c7e304-ecfe-44c1-88d1-f507df63c080			combat_body, combat_support, removal, sacrifice_support, targeted_removal				Creature — Phyrexian Human Cleric	{1}{B}{B}	3	B	B	Intimidate		verify analyzer roles	https://scryfall.com/card/nph/52/blind-zealot?utm_source=api	Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.) Whenever this creature deals combat damage to a player, you may sacrifice it. If you do, destroy target creature that player controls.
nph	New Phyrexia	2011-05-13	53	Caress of Phyrexia	8253fcac-0c07-41e8-afa4-34021f9ef6f4			card_draw				Sorcery	{3}{B}{B}	5	B	B			verify analyzer roles	https://scryfall.com/card/nph/53/caress-of-phyrexia?utm_source=api	Target player draws three cards, loses 3 life, and gets three poison counters.
nph	New Phyrexia	2011-05-13	54	Chancellor of the Dross	8ce2a750-1137-4f8d-803c-9aac30db4193			combat_body, combat_threat, direct_finisher, finisher, lifegain, repeatable_finisher				Creature — Phyrexian Vampire	{4}{B}{B}{B}	7	B	B	Flying, Lifelink		verify analyzer roles	https://scryfall.com/card/nph/54/chancellor-of-the-dross?utm_source=api	You may reveal this card from your opening hand. If you do, at the beginning of the first upkeep, each opponent loses 3 life, then you gain life equal to the life lost this way. Flying, lifelink
nph	New Phyrexia	2011-05-13	55	Dementia Bat	95c76175-e3a6-4bf4-a8da-d1179851efe5			combat_body, combat_threat, hand_attack, removal, sacrifice_support				Creature — Phyrexian Bat	{4}{B}	5	B	B	Flying		verify analyzer roles	https://scryfall.com/card/nph/55/dementia-bat?utm_source=api	Flying {4}{B}, Sacrifice this creature: Target player discards two cards.
nph	New Phyrexia	2011-05-13	56	Despise	b13b40f1-1b1f-40e8-989b-ef24dc05007a	covered		hand_attack	false		Covered by PRM role audit.	Sorcery	{B}	1	B	B			already reviewed	https://scryfall.com/card/nph/56/despise?utm_source=api	Target opponent reveals their hand. You choose a creature or planeswalker card from it. That player discards that card.
nph	New Phyrexia	2011-05-13	57	Dismember	fd74f8eb-0253-42dd-8277-186d4934da38	covered		targeted_removal	false		Covered by PRM role audit.	Instant	{1}{B/P}{B/P}	3	B	B			already reviewed	https://scryfall.com/card/nph/57/dismember?utm_source=api	({B/P} can be paid with either {B} or 2 life.) Target creature gets -5/-5 until end of turn.
nph	New Phyrexia	2011-05-13	58	Enslave	879ba7c4-4557-4166-adb0-b52454816e5a			removal, tempo_removal, theft_support				Enchantment — Aura	{4}{B}{B}	6	B	B	Enchant		verify analyzer roles	https://scryfall.com/card/nph/58/enslave?utm_source=api	Enchant creature You control enchanted creature. At the beginning of your upkeep, enchanted creature deals 1 damage to its owner.
nph	New Phyrexia	2011-05-13	59	Entomber Exarch	e820296a-81b0-401f-959c-7aed8abefce1			card_selection, combat_body, hand_attack, hand_recursion, recursion				Creature — Phyrexian Cleric	{2}{B}{B}	4	B	B			verify analyzer roles	https://scryfall.com/card/nph/59/entomber-exarch?utm_source=api	When this creature enters, choose one — • Return target creature card from your graveyard to your hand. • Target opponent reveals their hand. You choose a noncreature card from it. That player discards that card.
nph	New Phyrexia	2011-05-13	60	Evil Presence	3d8ac41c-0566-48b2-a744-39db2f72272c	covered	land_denial, land_type_change	land_denial, land_type_change	false			Enchantment — Aura	{B}	1	B	B	Enchant		already reviewed	https://scryfall.com/card/nph/60/evil-presence?utm_source=api	Enchant land Enchanted land is a Swamp.
nph	New Phyrexia	2011-05-13	61	Geth's Verdict	0f575f18-4606-4b85-9a90-07f8d8d46d06			removal, targeted_removal				Instant	{B}{B}	2	B	B			verify analyzer roles	https://scryfall.com/card/nph/61/geths-verdict?utm_source=api	Target player sacrifices a creature of their choice and loses 1 life.
nph	New Phyrexia	2011-05-13	62	Glistening Oil	645a4dee-a4e0-4850-a781-522aa718827f			counter_support				Enchantment — Aura	{B}{B}	2	B	B	Enchant		verify analyzer roles	https://scryfall.com/card/nph/62/glistening-oil?utm_source=api	Enchant creature Enchanted creature has infect. At the beginning of your upkeep, put a -1/-1 counter on enchanted creature. When this Aura is put into a graveyard from the battlefield, return it to its owner's hand.
nph	New Phyrexia	2011-05-13	63	Grim Affliction	411ba1a2-30bb-4618-b874-6be0d996f07d			counter_support, removal, targeted_removal				Instant	{2}{B}	3	B	B	Proliferate		verify analyzer roles	https://scryfall.com/card/nph/63/grim-affliction?utm_source=api	Put a -1/-1 counter on target creature, then proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)
nph	New Phyrexia	2011-05-13	64	Ichor Explosion	d33aa11b-011b-4d12-85a9-4f956153fb1d			mass_removal, removal, sacrifice_support, scalable_spell				Sorcery	{5}{B}{B}	7	B	B			verify analyzer roles	https://scryfall.com/card/nph/64/ichor-explosion?utm_source=api	As an additional cost to cast this spell, sacrifice a creature. All creatures get -X/-X until end of turn, where X is the sacrificed creature's power.
nph	New Phyrexia	2011-05-13	65	Life's Finale	0c1d5e6b-f6b6-4dc6-9bc1-3cc00b78da36			mass_removal, removal, targeted_removal				Sorcery	{4}{B}{B}	6	B	B			verify analyzer roles	https://scryfall.com/card/nph/65/lifes-finale?utm_source=api	Destroy all creatures, then search target opponent's library for up to three creature cards and put them into their graveyard. Then that player shuffles.
nph	New Phyrexia	2011-05-13	66	Mortis Dogs	a89994d0-2110-4ca0-abfc-5dd232981acf			combat_body, combat_support, sacrifice_support				Creature — Phyrexian Dog	{3}{B}	4	B	B			verify analyzer roles	https://scryfall.com/card/nph/66/mortis-dogs?utm_source=api	Whenever this creature attacks, it gets +2/+0 until end of turn. When this creature dies, target player loses life equal to its power.
