setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
oana	Arena New Player Experience Cards	2018-07-14	1	Angelic Reward	699380f9-a032-4838-baf1-1575f37eb642			combat_support				Enchantment — Aura	{3}{W}{W}	5	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/oana/1/angelic-reward?utm_source=api	Enchant creature Enchanted creature gets +3/+3 and has flying.
oana	Arena New Player Experience Cards	2018-07-14	3	Confront the Assault	beb3f812-da58-4f03-915b-dc473cd01554			token_support				Instant	{4}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/oana/3/confront-the-assault?utm_source=api	Cast this spell only if a creature is attacking you. Create three 1/1 white Spirit creature tokens with flying.
oana	Arena New Player Experience Cards	2018-07-14	4	Inspiring Commander	b26b1d22-3882-4aa9-b86b-f3748a6c9a25			card_draw, combat_body, direct_draw, draw, lifegain, repeatable_advantage, repeatable_draw				Creature — Human Soldier	{4}{W}{W}	6	W	W			verify analyzer roles	https://scryfall.com/card/oana/4/inspiring-commander?utm_source=api	Whenever another creature you control with power 2 or less enters, you gain 1 life and draw a card.
oana	Arena New Player Experience Cards	2018-07-14	5	Knight's Pledge	63604320-68de-415e-b1f9-dd0f85c5d8a3			combat_support				Enchantment — Aura	{1}{W}	2	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/oana/5/knights-pledge?utm_source=api	Enchant creature Enchanted creature gets +2/+2.
oana	Arena New Player Experience Cards	2018-07-14	8	Sanctuary Cat	c623bc4b-7fc1-4bc1-84e9-71c301dd402f			combat_body				Creature — Cat	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/oana/8/sanctuary-cat?utm_source=api	
oana	Arena New Player Experience Cards	2018-07-14	9	Serra Angel	4b7ac066-e5c7-43e6-9e7e-2739b24a905d	covered	combat_body, combat_threat	combat_body, combat_threat	false		Covered by ATH role audit.	Creature — Angel	{3}{W}{W}	5	W	W	Flying, Vigilance		already reviewed	https://scryfall.com/card/oana/9/serra-angel?utm_source=api	Flying Vigilance (Attacking doesn't cause this creature to tap.)
oana	Arena New Player Experience Cards	2018-07-14	10	Shrine Keeper	c3319f74-1771-4679-bdad-0ab4b34e9106			combat_body				Creature — Human Cleric	{W}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/oana/10/shrine-keeper?utm_source=api	
oana	Arena New Player Experience Cards	2018-07-14	11	Spiritual Guardian	d03860b4-c663-4230-9200-6b89fa849ae7	covered	combat_body, lifegain	combat_body, lifegain	false		Covered by Portal role audit.	Creature — Spirit	{3}{W}{W}	5	W	W			already reviewed	https://scryfall.com/card/oana/11/spiritual-guardian?utm_source=api	When this creature enters, you gain 4 life.
oana	Arena New Player Experience Cards	2018-07-14	12	Tactical Advantage	1e3f31cc-a295-4688-abd1-c7d543fe6f7a			combat_support				Instant	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/oana/12/tactical-advantage?utm_source=api	Target blocking or blocked creature you control gets +2/+2 until end of turn.
oana	Arena New Player Experience Cards	2018-07-14	19	River's Favor	0a576352-ed10-4a54-b886-d664432277c2			combat_support				Enchantment — Aura	{U}	1	U	U	Enchant		verify analyzer roles	https://scryfall.com/card/oana/19/rivers-favor?utm_source=api	Enchant creature Enchanted creature gets +1/+1.
oana	Arena New Player Experience Cards	2018-07-14	23	Zephyr Gull	22936eb4-8712-4ba7-94da-e124487acda8			combat_body, combat_threat				Creature — Bird	{U}	1	U	U	Flying		verify analyzer roles	https://scryfall.com/card/oana/23/zephyr-gull?utm_source=api	Flying
oana	Arena New Player Experience Cards	2018-07-14	43	Raging Goblin	30997b43-fc13-41d3-8064-1ccc2cb6fd2b	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Covered by Portal role audit.	Creature — Goblin Berserker	{R}	1	R	R	Haste		already reviewed	https://scryfall.com/card/oana/43/raging-goblin?utm_source=api	Haste (This creature can attack and {T} as soon as it comes under your control.)
oana	Arena New Player Experience Cards	2018-07-14	46	Feral Roar	f3c413ca-835b-4fb2-b600-387c01f314a7			combat_support				Sorcery	{1}{G}	2	G	G			verify analyzer roles	https://scryfall.com/card/oana/46/feral-roar?utm_source=api	Target creature gets +4/+4 until end of turn.
oana	Arena New Player Experience Cards	2018-07-14	48	Treetop Warden	8bb63574-6e8e-499b-8e61-843f06b19313			combat_body				Creature — Elf Warrior	{1}{G}	2	G	G			verify analyzer roles	https://scryfall.com/card/oana/48/treetop-warden?utm_source=api	
