setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ody	Odyssey	2001-10-01	1	Aegis of Honor	ea93acc8-0c1f-42a2-bed3-f385d210d58f	covered		broad_protection, protection			Covered by ODY role audit.	Enchantment	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/ody/1/aegis-of-honor?utm_source=api	{1}: The next time an instant or sorcery spell would deal damage to you this turn, that spell deals that damage to its controller instead.
ody	Odyssey	2001-10-01	2	Ancestral Tribute	380ea3b6-8eb4-466a-8680-ce5cfed9b8c4	covered		graveyard_support, lifegain			Covered by ODY role audit.	Sorcery	{5}{W}{W}	7	W	W	Flashback		verify analyzer roles	https://scryfall.com/card/ody/2/ancestral-tribute?utm_source=api	You gain 2 life for each card in your graveyard. Flashback {9}{W}{W}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
ody	Odyssey	2001-10-01	3	Angelic Wall	4502b24f-604b-4e36-9168-31c1a1ab4dab	covered		combat_body, combat_support, combat_threat	false		Covered by ODY role audit.	Creature — Wall	{1}{W}	2	W	W	Flying, Defender		already reviewed	https://scryfall.com/card/ody/3/angelic-wall?utm_source=api	Defender (This creature can't attack.) Flying
ody	Odyssey	2001-10-01	4	Animal Boneyard	6fa9debf-c60e-432d-86c8-aed16556c532	covered		lifegain, sacrifice_support			Covered by ODY role audit.	Enchantment — Aura	{2}{W}	3	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/ody/4/animal-boneyard?utm_source=api	Enchant land Enchanted land has "{T}, Sacrifice a creature: You gain life equal to the sacrificed creature's toughness."
ody	Odyssey	2001-10-01	5	Auramancer	bd5eb181-6a69-4dc2-93a0-fa000291bc3d	covered		card_selection, combat_body, hand_recursion, recursion			Covered by ODY role audit.	Creature — Human Wizard	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/ody/5/auramancer?utm_source=api	When this creature enters, you may return target enchantment card from your graveyard to your hand.
ody	Odyssey	2001-10-01	6	Aven Archer	914ce8f6-5e92-436d-8541-1c72da8577dc	covered		combat_body, combat_threat, removal, targeted_removal			Covered by ODY role audit.	Creature — Bird Soldier Archer	{3}{W}{W}	5	W	W	Flying		verify analyzer roles	https://scryfall.com/card/ody/6/aven-archer?utm_source=api	Flying {2}{W}, {T}: This creature deals 2 damage to target attacking or blocking creature.
ody	Odyssey	2001-10-01	7	Aven Cloudchaser	48bda7dd-d023-41e8-8c28-e0cfda0d07ca	covered		combat_body, combat_support, combat_threat, removal, targeted_removal			Covered by ODY role audit.	Creature — Bird Soldier	{3}{W}	4	W	W	Flying		verify analyzer roles	https://scryfall.com/card/ody/7/aven-cloudchaser?utm_source=api	Flying (This creature can't be blocked except by creatures with flying or reach.) When this creature enters, destroy target enchantment.
ody	Odyssey	2001-10-01	8	Aven Flock	fcf0bb85-bca9-4f4c-b954-ca3bc5f91dd8	covered		combat_body, combat_support, combat_threat			Covered by ODY role audit.	Creature — Bird Soldier	{4}{W}	5	W	W	Flying		verify analyzer roles	https://scryfall.com/card/ody/8/aven-flock?utm_source=api	Flying (This creature can't be blocked except by creatures with flying or reach.) {W}: This creature gets +0/+1 until end of turn.
ody	Odyssey	2001-10-01	9	Aven Shrine	09c450cf-5f22-45c2-86ed-21b85552a96f	covered		scalable_spell			Covered by ODY role audit.	Enchantment	{1}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/ody/9/aven-shrine?utm_source=api	Whenever a player casts a spell, that player gains X life, where X is the number of cards in all graveyards with the same name as that spell.
ody	Odyssey	2001-10-01	10	Balancing Act	4c68282b-776f-463a-9652-f611538c53ee	covered		hand_attack			Covered by ODY role audit.	Sorcery	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/ody/10/balancing-act?utm_source=api	Each player chooses a number of permanents they control equal to the number of permanents controlled by the player who controls the fewest, then sacrifices the rest. Each player discards cards the same way.
ody	Odyssey	2001-10-01	11	Beloved Chaplain	a07406b7-faa1-4ed3-ab84-314c40f3f7f1	covered		combat_body, self_protection			Covered by ODY role audit.	Creature — Human Cleric	{1}{W}	2	W	W	Protection		verify analyzer roles	https://scryfall.com/card/ody/11/beloved-chaplain?utm_source=api	Protection from creatures
ody	Odyssey	2001-10-01	12	Blessed Orator	c0856fea-cbdc-427b-ae00-bfd9311f284f	covered		combat_body, combat_support			Covered by ODY role audit.	Creature — Human Cleric	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/ody/12/blessed-orator?utm_source=api	Other creatures you control get +0/+1.
ody	Odyssey	2001-10-01	13	Cantivore	2ed5083e-1c58-48c0-8413-390971021d94	covered		combat_body, combat_support, combat_threat			Covered by ODY role audit.	Creature — Lhurgoyf	{1}{W}{W}	3	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/ody/13/cantivore?utm_source=api	Vigilance Cantivore's power and toughness are each equal to the number of enchantment cards in all graveyards.
ody	Odyssey	2001-10-01	14	Cease-Fire	9e48eb8e-ec62-4d73-ac80-31e6fe74ec31	covered		card_draw, direct_draw, draw, hate_piece, soft_stack, stack, stax_piece			Covered by ODY role audit.	Instant	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/ody/14/cease-fire?utm_source=api	Target player can't cast creature spells this turn. Draw a card.
ody	Odyssey	2001-10-01	15	Confessor	b78973fa-a4cb-4927-8a75-6b1c963c1c0c	covered		combat_body, lifegain			Covered by ODY role audit.	Creature — Human Cleric	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/ody/15/confessor?utm_source=api	Whenever a player discards a card, you may gain 1 life.
ody	Odyssey	2001-10-01	16	Dedicated Martyr	ca39af65-985d-4ab1-874b-9e8d3455c349	covered		combat_body, lifegain, sacrifice_support			Covered by ODY role audit.	Creature — Human Cleric	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/ody/16/dedicated-martyr?utm_source=api	{W}, Sacrifice this creature: You gain 3 life.
ody	Odyssey	2001-10-01	17	Delaying Shield	e03b553a-3d0d-453e-ad3e-f7d4b9fb2624	covered		counter_support, replacement_engine			Covered by ODY role audit.	Enchantment	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/ody/17/delaying-shield?utm_source=api	If damage would be dealt to you, put that many delay counters on this enchantment instead. At the beginning of your upkeep, remove all delay counters from this enchantment. For each delay counter removed this way, you lose 1 life unless you pay {1}{W}.
ody	Odyssey	2001-10-01	18	Devoted Caretaker	654bcf7f-9325-4a4b-8a50-41fdd2b7e514	covered		combat_body, protection, self_protection, targeted_protection			Covered by ODY role audit.	Creature — Human Cleric	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/ody/18/devoted-caretaker?utm_source=api	{W}, {T}: Target permanent you control gains protection from instant spells and from sorcery spells until end of turn.
ody	Odyssey	2001-10-01	19	Divine Sacrament	92bd7fe2-bb70-40fb-984b-26e461347c56	covered		combat_support			Covered by ODY role audit.	Enchantment	{1}{W}{W}	3	W	W	Threshold		verify analyzer roles	https://scryfall.com/card/ody/19/divine-sacrament?utm_source=api	White creatures get +1/+1. Threshold — White creatures get an additional +1/+1 as long as there are seven or more cards in your graveyard.
ody	Odyssey	2001-10-01	20	Dogged Hunter	cf5b3249-619f-48f5-8885-00fd41d24825	covered		combat_body, removal, targeted_removal			Covered by ODY role audit.	Creature — Human Nomad	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/ody/20/dogged-hunter?utm_source=api	{T}: Destroy target creature token.
ody	Odyssey	2001-10-01	21	Earnest Fellowship	26f87a39-29ed-4649-b5d8-204f6a40a41d	covered		self_protection			Covered by ODY role audit.	Enchantment	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/ody/21/earnest-fellowship?utm_source=api	Each creature has protection from its colors.
ody	Odyssey	2001-10-01	22	Embolden	9904873c-7669-4485-b380-f28ff529b45c	covered		broad_protection, graveyard_support, protection			Covered by ODY role audit.	Instant	{2}{W}	3	W	W	Flashback		verify analyzer roles	https://scryfall.com/card/ody/22/embolden?utm_source=api	Prevent the next 4 damage that would be dealt this turn to any number of targets, divided as you choose. Flashback {1}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
ody	Odyssey	2001-10-01	23	Gallantry	e8cd7d7c-71b7-4924-bf9c-5e6fd91447f0	covered	card_draw, combat_support, direct_draw, draw	card_draw, combat_support, direct_draw, draw	false		Covered by Tempest role audit.	Instant	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/ody/23/gallantry?utm_source=api	Target blocking creature gets +4/+4 until end of turn. Draw a card.
ody	Odyssey	2001-10-01	24	Graceful Antelope	8dac693b-c5c5-4d80-9739-a3b95949a213	covered		combat_body, combat_support, landwalk_support			Covered by ODY role audit.	Creature — Antelope	{2}{W}{W}	4	W	W	Landwalk, Plainswalk		verify analyzer roles	https://scryfall.com/card/ody/24/graceful-antelope?utm_source=api	Plainswalk (This creature can't be blocked as long as defending player controls a Plains.) Whenever this creature deals combat damage to a player, you may have target land become a Plains until this creature leaves the battlefield.
ody	Odyssey	2001-10-01	25	Hallowed Healer	b92f6adb-64c6-4692-af9d-af4241203722	covered		combat_body, protection, targeted_protection			Covered by ODY role audit.	Creature — Human Cleric	{2}{W}	3	W	W	Threshold		verify analyzer roles	https://scryfall.com/card/ody/25/hallowed-healer?utm_source=api	{T}: Prevent the next 2 damage that would be dealt to any target this turn. Threshold — {T}: Prevent the next 4 damage that would be dealt to any target this turn. Activate only if there are seven or more cards in your graveyard.
ody	Odyssey	2001-10-01	26	Karmic Justice	9ea58595-fcb9-455c-9558-b6a3fb2b83c5	covered		removal, targeted_removal			Covered by ODY role audit.	Enchantment	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/ody/26/karmic-justice?utm_source=api	Whenever a spell or ability an opponent controls destroys a noncreature permanent you control, you may destroy target permanent that opponent controls.
ody	Odyssey	2001-10-01	27	Kirtar's Desire	4f21a664-96e3-49be-ba9f-4af4b6bd7475	covered		combat_support			Covered by ODY role audit.	Enchantment — Aura	{W}	1	W	W	Enchant, Threshold		verify analyzer roles	https://scryfall.com/card/ody/27/kirtars-desire?utm_source=api	Enchant creature Enchanted creature can't attack. Threshold — Enchanted creature can't block as long as there are seven or more cards in your graveyard.
ody	Odyssey	2001-10-01	28	Kirtar's Wrath	4f66d82a-492f-4638-9f77-190d4a33ad7f	covered		mass_removal, removal, token_support			Covered by ODY role audit.	Sorcery	{4}{W}{W}	6	W	W	Threshold		verify analyzer roles	https://scryfall.com/card/ody/28/kirtars-wrath?utm_source=api	Destroy all creatures. They can't be regenerated. Threshold — If there are seven or more cards in your graveyard, instead destroy all creatures, then create two 1/1 white Spirit creature tokens with flying. Creatures destroyed this way can't be regenerated.
ody	Odyssey	2001-10-01	29	Lieutenant Kirtar	ad39e859-e4a6-49cc-b738-4578a5250538	covered		combat_body, combat_threat, removal, sacrifice_support, targeted_removal			Covered by ODY role audit.	Legendary Creature — Bird Soldier	{1}{W}{W}	3	W	W	Flying		verify analyzer roles	https://scryfall.com/card/ody/29/lieutenant-kirtar?utm_source=api	Flying {1}{W}, Sacrifice Lieutenant Kirtar: Exile target attacking creature.
ody	Odyssey	2001-10-01	30	Life Burst	dc10544f-dd30-4d4a-b6e6-bbed7d1ed4a7	covered		lifegain			Covered by ODY role audit.	Instant	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/ody/30/life-burst?utm_source=api	Target player gains 4 life, then gains 4 life for each card named Life Burst in each graveyard.
ody	Odyssey	2001-10-01	31	Luminous Guardian	0d9a31f5-20d0-4266-95ec-38b4fa96b8aa	covered		combat_body, combat_support			Covered by ODY role audit.	Creature — Human Nomad	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/ody/31/luminous-guardian?utm_source=api	{W}: This creature gets +0/+1 until end of turn. {2}: This creature can block an additional creature this turn.
ody	Odyssey	2001-10-01	32	Master Apothecary	067b54e4-18f3-48e3-b824-3aba7fcf2408	covered		combat_body, protection, targeted_protection			Covered by ODY role audit.	Creature — Human Cleric	{W}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/ody/32/master-apothecary?utm_source=api	Tap an untapped Cleric you control: Prevent the next 2 damage that would be dealt to any target this turn.
ody	Odyssey	2001-10-01	33	Mystic Crusader	937d663d-c9a7-4312-a4cc-fcb54faa92bc	covered		combat_body, combat_support, self_protection			Covered by ODY role audit.	Creature — Human Nomad Mystic	{1}{W}{W}	3	W	W	Protection, Threshold		verify analyzer roles	https://scryfall.com/card/ody/33/mystic-crusader?utm_source=api	Protection from black and from red Threshold — As long as there are seven or more cards in your graveyard, this creature gets +1/+1 and has flying.
ody	Odyssey	2001-10-01	34	Mystic Penitent	d3d59704-569d-42a7-8b31-8a31b9c0395f	covered		combat_body, combat_support, combat_threat			Covered by ODY role audit.	Creature — Human Nomad Mystic	{W}	1	W	W	Vigilance, Threshold		verify analyzer roles	https://scryfall.com/card/ody/34/mystic-penitent?utm_source=api	Vigilance Threshold — As long as there are seven or more cards in your graveyard, this creature gets +1/+1 and has flying.
ody	Odyssey	2001-10-01	35	Mystic Visionary	bde74bcc-41b8-4014-b28e-2f6326e20799	covered		combat_body, combat_support			Covered by ODY role audit.	Creature — Human Nomad Mystic	{1}{W}	2	W	W	Threshold		verify analyzer roles	https://scryfall.com/card/ody/35/mystic-visionary?utm_source=api	Threshold — This creature has flying as long as there are seven or more cards in your graveyard.
ody	Odyssey	2001-10-01	36	Mystic Zealot	5a47b99d-19dd-4830-89ee-35f4a74aa656	covered		combat_body, combat_support			Covered by ODY role audit.	Creature — Human Nomad Mystic	{3}{W}	4	W	W	Threshold		verify analyzer roles	https://scryfall.com/card/ody/36/mystic-zealot?utm_source=api	Threshold — As long as there are seven or more cards in your graveyard, this creature gets +1/+1 and has flying.
ody	Odyssey	2001-10-01	37	Nomad Decoy	73c40477-7061-47db-af8f-2a5cf6c22c9b	covered		combat_body, removal, tempo_removal			Covered by ODY role audit.	Creature — Human Nomad	{2}{W}	3	W	W	Threshold		verify analyzer roles	https://scryfall.com/card/ody/37/nomad-decoy?utm_source=api	{W}, {T}: Tap target creature. Threshold — {W}{W}, {T}: Tap two target creatures. Activate only if there are seven or more cards in your graveyard.
ody	Odyssey	2001-10-01	38	Patrol Hound	115dabbd-1a09-4641-a428-92fcbfd82ae9	covered		combat_body, combat_support			Covered by ODY role audit.	Creature — Dog	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/ody/38/patrol-hound?utm_source=api	Discard a card: This creature gains first strike until end of turn.
ody	Odyssey	2001-10-01	39	Pianna, Nomad Captain	9cd8f7f6-0b69-466a-8f4c-d864ff682457	covered		combat_body, combat_support			Covered by ODY role audit.	Legendary Creature — Human Nomad	{1}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/ody/39/pianna-nomad-captain?utm_source=api	Whenever Pianna attacks, attacking creatures get +1/+1 until end of turn.
ody	Odyssey	2001-10-01	40	Pilgrim of Justice	959b672e-d4e4-49a1-874a-5148f040fadd	covered		broad_protection, combat_body, protection, sacrifice_support, self_protection			Covered by ODY role audit.	Creature — Human Cleric	{2}{W}	3	W	W	Protection		verify analyzer roles	https://scryfall.com/card/ody/40/pilgrim-of-justice?utm_source=api	Protection from red {W}, Sacrifice this creature: The next time a red source of your choice would deal damage this turn, prevent that damage.
ody	Odyssey	2001-10-01	41	Pilgrim of Virtue	e2f73743-95e7-4f03-9b98-5ab5ebc4b724	covered		broad_protection, combat_body, protection, sacrifice_support, self_protection			Covered by ODY role audit.	Creature — Human Cleric	{2}{W}	3	W	W	Protection		verify analyzer roles	https://scryfall.com/card/ody/41/pilgrim-of-virtue?utm_source=api	Protection from black {W}, Sacrifice this creature: The next time a black source of your choice would deal damage this turn, prevent that damage.
ody	Odyssey	2001-10-01	42	Ray of Distortion	1c838441-4713-49dd-97e6-4fb7155c36c8	covered		graveyard_support, removal, targeted_removal			Covered by ODY role audit.	Instant	{3}{W}	4	W	W	Flashback		verify analyzer roles	https://scryfall.com/card/ody/42/ray-of-distortion?utm_source=api	Destroy target artifact or enchantment. Flashback {4}{W}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
ody	Odyssey	2001-10-01	43	Resilient Wanderer	cb1e5b14-e440-4ca9-b3f4-e770e158bf69	covered		combat_body, combat_threat, self_protection			Covered by ODY role audit.	Creature — Human Nomad	{2}{W}{W}	4	W	W	First strike		verify analyzer roles	https://scryfall.com/card/ody/43/resilient-wanderer?utm_source=api	First strike Discard a card: This creature gains protection from the color of your choice until end of turn.
ody	Odyssey	2001-10-01	44	Sacred Rites	860a0e32-135b-4972-a1af-ebac60cae08f	covered		combat_support			Covered by ODY role audit.	Instant	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/ody/44/sacred-rites?utm_source=api	Discard any number of cards. Creatures you control get +0/+1 until end of turn for each card discarded this way.
ody	Odyssey	2001-10-01	45	Second Thoughts	41bfef9f-6eb7-49c7-9b90-ff9f385ba670	covered		card_draw, direct_draw, draw, removal, targeted_removal			Covered by ODY role audit.	Instant	{4}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/ody/45/second-thoughts?utm_source=api	Exile target attacking creature. Draw a card.
ody	Odyssey	2001-10-01	46	Shelter	c1909d70-d8f4-4c54-8587-0a910f123238	covered		card_draw, direct_draw, draw, protection, targeted_protection			Covered by ODY role audit.	Instant	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/ody/46/shelter?utm_source=api	Target creature you control gains protection from the color of your choice until end of turn. Draw a card.
ody	Odyssey	2001-10-01	47	Soulcatcher	2480e56e-365c-4656-9364-25408e896ac4	covered		combat_body, combat_threat, counter_support, sacrifice_support			Covered by ODY role audit.	Creature — Bird Soldier	{1}{W}	2	W	W	Flying		verify analyzer roles	https://scryfall.com/card/ody/47/soulcatcher?utm_source=api	Flying Whenever a creature with flying dies, put a +1/+1 counter on this creature.
ody	Odyssey	2001-10-01	48	Sphere of Duty	c1612eef-5059-46fd-a5fd-c8ebf6779a6e	covered		protection, self_protection			Covered by ODY role audit.	Enchantment	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/ody/48/sphere-of-duty?utm_source=api	If a green source would deal damage to you, prevent 2 of that damage.
ody	Odyssey	2001-10-01	49	Sphere of Grace	e45de1f7-ad45-494d-855e-3e11f109909d	covered		protection, self_protection			Covered by ODY role audit.	Enchantment	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/ody/49/sphere-of-grace?utm_source=api	If a black source would deal damage to you, prevent 2 of that damage.
ody	Odyssey	2001-10-01	50	Sphere of Law	a8da7c57-c60f-42b1-b611-64a0a43295f2	covered		protection, self_protection			Covered by ODY role audit.	Enchantment	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/ody/50/sphere-of-law?utm_source=api	If a red source would deal damage to you, prevent 2 of that damage.
ody	Odyssey	2001-10-01	51	Sphere of Reason	de85c961-622d-4d70-8cd7-f722c1ac5ed1	covered		protection, self_protection			Covered by ODY role audit.	Enchantment	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/ody/51/sphere-of-reason?utm_source=api	If a blue source would deal damage to you, prevent 2 of that damage.
ody	Odyssey	2001-10-01	52	Sphere of Truth	e6325604-cdce-4872-af03-e436631004de	covered		protection, self_protection			Covered by ODY role audit.	Enchantment	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/ody/52/sphere-of-truth?utm_source=api	If a white source would deal damage to you, prevent 2 of that damage.
ody	Odyssey	2001-10-01	53	Spiritualize	15c4a13e-33ae-4d08-bb1a-535d8b82ca07	covered		card_draw, direct_draw, draw, lifegain			Covered by ODY role audit.	Instant	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/ody/53/spiritualize?utm_source=api	Until end of turn, whenever target creature deals damage, you gain that much life. Draw a card.
ody	Odyssey	2001-10-01	54	Tattoo Ward	ddb44519-1345-4990-a8a5-30e91d274a35	covered		combat_support, removal, sacrifice_support, targeted_removal			Covered by ODY role audit.	Enchantment — Aura	{2}{W}	3	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/ody/54/tattoo-ward?utm_source=api	Enchant creature Enchanted creature gets +1/+1 and has protection from enchantments. This effect doesn't remove this Aura. Sacrifice this Aura: Destroy target enchantment.
ody	Odyssey	2001-10-01	55	Testament of Faith	bc9587cb-1b06-44ee-9bd4-c7b6c9394d45	covered		animation_effect, combat_support			Covered by ODY role audit.	Enchantment	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/ody/55/testament-of-faith?utm_source=api	{X}: This enchantment becomes an X/X Wall creature with defender in addition to its other types until end of turn.
ody	Odyssey	2001-10-01	56	Tireless Tribe	5dfbcdb4-d2ad-477d-b37d-db4725410b27	covered		combat_body, combat_support			Covered by ODY role audit.	Creature — Human Nomad	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/ody/56/tireless-tribe?utm_source=api	Discard a card: This creature gets +0/+4 until end of turn.
ody	Odyssey	2001-10-01	57	Wayward Angel	bf169a7a-e3cf-44b2-83eb-c2597bcf22d9	covered		combat_body, combat_support, combat_threat, sacrifice_support			Covered by ODY role audit.	Creature — Angel Horror	{4}{W}{W}	6	W	W	Flying, Vigilance, Threshold		verify analyzer roles	https://scryfall.com/card/ody/57/wayward-angel?utm_source=api	Flying, vigilance Threshold — As long as there are seven or more cards in your graveyard, this creature gets +3/+3, is black, has trample, and has "At the beginning of your upkeep, sacrifice a creature."
ody	Odyssey	2001-10-01	58	Aboshan, Cephalid Emperor	d4d44264-b276-4bd7-8fbe-6af292b08773	covered		combat_body, combat_support, removal, tempo_removal			Covered by ODY role audit.	Legendary Creature — Octopus Noble	{4}{U}{U}	6	U	U			verify analyzer roles	https://scryfall.com/card/ody/58/aboshan-cephalid-emperor?utm_source=api	Tap an untapped Octopus you control: Tap target permanent. {U}{U}{U}: Tap all creatures without flying.
ody	Odyssey	2001-10-01	59	Aboshan's Desire	95db05eb-2c25-43f2-8e18-dfc64f490634	covered		combat_support, self_protection, targeted_protection			Covered by ODY role audit.	Enchantment — Aura	{U}	1	U	U	Enchant, Threshold		verify analyzer roles	https://scryfall.com/card/ody/59/aboshans-desire?utm_source=api	Enchant creature Enchanted creature has flying. Threshold — Enchanted creature has shroud as long as there are seven or more cards in your graveyard. (It can't be the target of spells or abilities.)
