setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ogw	Oath of the Gatewatch	2016-01-22	1	Deceiver of Form	18c58328-518f-4228-bb1b-2433f3fb21f2	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Creature — Eldrazi	{6}{C}	7					verify analyzer roles	https://scryfall.com/card/ogw/1/deceiver-of-form?utm_source=api	({C} represents colorless mana.) At the beginning of combat on your turn, reveal the top card of your library. If a creature card is revealed this way, you may have creatures you control other than this creature become copies of that card until end of turn. You may put that card on the bottom of your library.
ogw	Oath of the Gatewatch	2016-01-22	2	Eldrazi Mimic	cddb3ec4-01a2-4f4d-a690-3486c73c3df8	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Creature — Eldrazi	{2}	2					verify analyzer roles	https://scryfall.com/card/ogw/2/eldrazi-mimic?utm_source=api	Whenever another colorless creature you control enters, you may change this creature's base power and toughness to that creature's power and toughness until end of turn.
ogw	Oath of the Gatewatch	2016-01-22	3	Endbringer	db1ea6e0-4076-49dd-92f7-7e6d7eb65a27	covered		card_draw, combat_body, combat_support, direct_draw, draw, removal, repeatable_advantage, repeatable_draw, targeted_removal	false		Covered by PRM role audit.	Creature — Eldrazi	{5}{C}	6					already reviewed	https://scryfall.com/card/ogw/3/endbringer?utm_source=api	Untap this creature during each other player's untap step. {T}: This creature deals 1 damage to any target. {C}, {T}: Target creature can't attack or block this turn. {C}{C}, {T}: Draw a card.
ogw	Oath of the Gatewatch	2016-01-22	4	Kozilek, the Great Distortion	4c1c1537-e519-4e2f-9bc2-d34b289d4487	covered		card_draw, combat_body, combat_threat, direct_draw, draw, hard_stack, stack	false		Covered by PRM role audit.	Legendary Creature — Eldrazi	{8}{C}{C}	10			Menace		already reviewed	https://scryfall.com/card/ogw/4/kozilek-the-great-distortion?utm_source=api	When you cast this spell, if you have fewer than seven cards in hand, draw cards equal to the difference. Menace Discard a card with mana value X: Counter target spell with mana value X.
ogw	Oath of the Gatewatch	2016-01-22	5	Kozilek's Pathfinder	de5a8edb-c41a-4f3a-9231-c54486ba7739	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Creature — Eldrazi	{6}	6					verify analyzer roles	https://scryfall.com/card/ogw/5/kozileks-pathfinder?utm_source=api	{C}: Target creature can't block this creature this turn. ({C} represents colorless mana.)
ogw	Oath of the Gatewatch	2016-01-22	6	Matter Reshaper	38538aff-b6f9-4c30-992e-7fd78da3c44a	covered	card_selection, combat_body, sacrifice_support	card_selection, combat_body, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Creature — Eldrazi	{2}{C}	3					verify analyzer roles	https://scryfall.com/card/ogw/6/matter-reshaper?utm_source=api	({C} represents colorless mana.) When this creature dies, reveal the top card of your library. You may put that card onto the battlefield if it's a permanent card with mana value 3 or less. Otherwise, put that card into your hand.
ogw	Oath of the Gatewatch	2016-01-22	7	Reality Smasher	17c651c7-da4e-45e9-9a64-fad3e873123d	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Eldrazi	{4}{C}	5			Haste, Trample		verify analyzer roles	https://scryfall.com/card/ogw/7/reality-smasher?utm_source=api	({C} represents colorless mana.) Trample, haste Whenever this creature becomes the target of a spell an opponent controls, counter that spell unless its controller discards a card.
ogw	Oath of the Gatewatch	2016-01-22	8	Spatial Contortion	7346337e-ac12-4dd2-826d-77ec0013e74f	covered		combat_support	false		Covered by PRM role audit.	Instant	{1}{C}	2					already reviewed	https://scryfall.com/card/ogw/8/spatial-contortion?utm_source=api	({C} represents colorless mana.) Target creature gets +3/-3 until end of turn.
ogw	Oath of the Gatewatch	2016-01-22	9	Thought-Knot Seer	cef7396d-2168-4282-bf38-670ca9eebd91	covered	card_draw, combat_body, hand_attack, removal	card_draw, combat_body, hand_attack, removal	false		Analyzer roles accepted during batch clean pass.	Creature — Eldrazi	{3}{C}	4					verify analyzer roles	https://scryfall.com/card/ogw/9/thought-knot-seer?utm_source=api	({C} represents colorless mana.) When this creature enters, target opponent reveals their hand. You choose a nonland card from it and exile that card. When this creature leaves the battlefield, target opponent draws a card.
ogw	Oath of the Gatewatch	2016-01-22	10	Walker of the Wastes	fb818376-6e87-4aa3-a050-4b5f82942593	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Eldrazi	{4}{C}	5			Trample		verify analyzer roles	https://scryfall.com/card/ogw/10/walker-of-the-wastes?utm_source=api	({C} represents colorless mana.) Trample This creature gets +1/+1 for each land you control named Wastes.
ogw	Oath of the Gatewatch	2016-01-22	11	Warden of Geometries	448da389-81db-4931-9cf7-3fde0ce9392f	covered	combat_body, combat_threat, ramp, stable_ramp	combat_body, combat_threat, ramp, stable_ramp	false		Analyzer roles accepted during batch clean pass.	Creature — Eldrazi Drone	{4}	4			Vigilance		verify analyzer roles	https://scryfall.com/card/ogw/11/warden-of-geometries?utm_source=api	Vigilance {T}: Add {C}. ({C} represents colorless mana.)
