setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ohop	Planechase Planes	2009-09-04	1	Academy at Tolaria West	15b979de-c8ee-4664-9ca7-6c4eb3346967			card_draw, direct_draw, draw				Plane — Dominaria		0					verify analyzer roles	https://scryfall.com/card/ohop/1/academy-at-tolaria-west?utm_source=api	At the beginning of your end step, if you have no cards in hand, draw seven cards. Whenever chaos ensues, discard your hand.
ohop	Planechase Planes	2009-09-04	2	The Aether Flues	8eb442a9-5e61-4e2e-983d-b49b04be2575			card_draw, card_selection, cost_reduction, draw, ramp, restricted_tutor, sacrifice_support, selection, tutor				Plane — Iquatana		0					verify analyzer roles	https://scryfall.com/card/ohop/2/the-aether-flues?utm_source=api	When you planeswalk to The Aether Flues and at the beginning of your upkeep, you may sacrifice a creature. If you do, reveal cards from the top of your library until you reveal a creature card, put that card onto the battlefield, then shuffle all other cards revealed this way into your library. Whenever chaos ensues, you may put a creature card from your hand onto the battlefield.
ohop	Planechase Planes	2009-09-04	3	Agyrem	38f84e55-049c-441e-b4e2-1e207ab5dbe5			combat_support, sacrifice_support				Plane — Ravnica		0					verify analyzer roles	https://scryfall.com/card/ohop/3/agyrem?utm_source=api	Whenever a white creature dies, return it to the battlefield under its owner's control at the beginning of the next end step. Whenever a nonwhite creature dies, return it to its owner's hand at the beginning of the next end step. Whenever chaos ensues, creatures can't attack you until a player planeswalks.
ohop	Planechase Planes	2009-09-04	4	Bant	82e67c57-6d7a-44cc-ba63-77ce887ab075			combat_support, counter_support, self_protection				Plane — Alara		0					verify analyzer roles	https://scryfall.com/card/ohop/4/bant?utm_source=api	All creatures have exalted. (Whenever a creature attacks alone, it gets +1/+1 until end of turn for each instance of exalted among permanents its controller controls.) Whenever chaos ensues, put a divinity counter on target green, white, or blue creature. That creature has indestructible for as long as it has a divinity counter on it.
ohop	Planechase Planes	2009-09-04	5	Cliffside Market	b21a71d7-f236-43e2-b576-0b5c9280f0cc			donation_support, life_pressure, lifegain, removal, tempo_removal, theft_support				Plane — Mercadia		0					verify analyzer roles	https://scryfall.com/card/ohop/5/cliffside-market?utm_source=api	When you planeswalk to Cliffside Market and at the beginning of your upkeep, you may exchange life totals with target player. Whenever chaos ensues, exchange control of two target permanents that share a card type.
ohop	Planechase Planes	2009-09-04	6	The Dark Barony	5503c308-560d-4d5f-a86a-4b06d9947ddc			hand_attack, removal				Plane — Ulgrotha		0					verify analyzer roles	https://scryfall.com/card/ohop/6/the-dark-barony?utm_source=api	Whenever a nonblack card is put into a player's graveyard from anywhere, that player loses 1 life. Whenever chaos ensues, each opponent discards a card.
ohop	Planechase Planes	2009-09-04	7	Eloren Wilds	23fe1c21-c396-4ebf-a8b0-22d697952b34			hate_piece, soft_stack, stack, stax_piece				Plane — Shandalar		0					verify analyzer roles	https://scryfall.com/card/ohop/7/eloren-wilds?utm_source=api	Whenever a player taps a permanent for mana, that player adds one mana of any type that permanent produced. Whenever chaos ensues, target player can't cast spells until a player planeswalks.
ohop	Planechase Planes	2009-09-04	8	The Eon Fog	a04d05ed-1b9b-4407-8780-c75c102a94dd			hate_piece, stax_piece				Plane — Equilor		0					verify analyzer roles	https://scryfall.com/card/ohop/8/the-eon-fog?utm_source=api	Players skip their untap steps. Whenever chaos ensues, untap all permanents you control.
ohop	Planechase Planes	2009-09-04	9	Feeding Grounds	b1eff630-b56c-48a5-ac21-836a60157b35			combat_support, cost_reduction, counter_support, scalable_spell				Plane — Muraganda		0					verify analyzer roles	https://scryfall.com/card/ohop/9/feeding-grounds?utm_source=api	Red spells cost {1} less to cast. Green spells cost {1} less to cast. Whenever chaos ensues, put X +1/+1 counters on target creature, where X is that creature's mana value.
ohop	Planechase Planes	2009-09-04	10	Fields of Summer	81a0d96a-7ac8-4947-8779-2102c9b33d38			lifegain				Plane — Moag		0					verify analyzer roles	https://scryfall.com/card/ohop/10/fields-of-summer?utm_source=api	Whenever a player casts a spell, that player may gain 2 life. Whenever chaos ensues, you may gain 10 life.
ohop	Planechase Planes	2009-09-04	11	The Fourth Sphere	13e801cd-e537-4ea6-8c3d-21b142bdc026			sacrifice_support, token_support				Plane — Phyrexia		0					verify analyzer roles	https://scryfall.com/card/ohop/11/the-fourth-sphere?utm_source=api	At the beginning of your upkeep, sacrifice a nonblack creature. Whenever chaos ensues, create a 2/2 black Zombie creature token.
ohop	Planechase Planes	2009-09-04	12	Glimmervoid Basin	43a23de7-0738-4b03-b87d-5a7d1144825c			copy_support				Plane — Mirrodin		0					verify analyzer roles	https://scryfall.com/card/ohop/12/glimmervoid-basin?utm_source=api	Whenever a player casts an instant or sorcery spell with a single target, that player copies that spell for each other spell, permanent, card not on the battlefield, and/or player the spell could target. Each copy targets a different one of them. Whenever chaos ensues, choose target creature. Each player except that creature's controller creates a token that's a copy of that creature.
ohop	Planechase Planes	2009-09-04	13	Goldmeadow	f12400e5-8288-48e1-b3b7-0cc4f8d9ca67			token_support				Plane — Lorwyn		0					verify analyzer roles	https://scryfall.com/card/ohop/13/goldmeadow?utm_source=api	Whenever a land enters, that land's controller creates three 0/1 white Goat creature tokens. Whenever chaos ensues, create a 0/1 white Goat creature token.
ohop	Planechase Planes	2009-09-04	14	The Great Forest	8c56bb41-a8d8-4b0f-bbb7-be8466dc9ed1			combat_finisher, combat_support, finisher				Plane — Lorwyn		0					verify analyzer roles	https://scryfall.com/card/ohop/14/the-great-forest?utm_source=api	Each creature assigns combat damage equal to its toughness rather than its power. Whenever chaos ensues, creatures you control get +0/+2 and gain trample until end of turn.
ohop	Planechase Planes	2009-09-04	15	Grixis	1aaa60e4-47a8-4255-8a09-5f00922ccf6d			battlefield_recursion, combat_support				Plane — Alara		0					verify analyzer roles	https://scryfall.com/card/ohop/15/grixis?utm_source=api	Blue, black, and/or red creature cards in your graveyard have unearth. The unearth cost is equal to the card's mana cost. (Pay the card's mana cost: Return it to the battlefield. The creature gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.) Whenever chaos ensues, put target creature card from a graveyard onto the battlefield under your control.
ohop	Planechase Planes	2009-09-04	16	The Hippodrome	cde8d8c4-5e2b-452f-b3e9-bb9f2e745ec9			mass_removal, removal, targeted_removal				Plane — Segovia		0					verify analyzer roles	https://scryfall.com/card/ohop/16/the-hippodrome?utm_source=api	All creatures get -5/-0. Whenever chaos ensues, you may destroy target creature if its power is 0 or less.
ohop	Planechase Planes	2009-09-04	17	Immersturm	ece3b5ed-3c07-4586-bf99-72bc1aa6ccef			direct_finisher, finisher, flicker				Plane — Valla		0					verify analyzer roles	https://scryfall.com/card/ohop/17/immersturm?utm_source=api	Whenever a creature enters, that creature's controller may have it deal damage equal to its power to any target of their choice. Whenever chaos ensues, exile target creature, then return it to the battlefield under its owner's control.
ohop	Planechase Planes	2009-09-04	18	Isle of Vesuva	f017380f-97db-4a36-b111-b257aa17ebaf			copy_support, removal, targeted_removal				Plane — Dominaria		0					verify analyzer roles	https://scryfall.com/card/ohop/18/isle-of-vesuva?utm_source=api	Whenever a nontoken creature enters, its controller creates a token that's a copy of that creature. Whenever chaos ensues, destroy target creature and all other creatures with the same name as that creature.
ohop	Planechase Planes	2009-09-04	19	Izzet Steam Maze	e5f8b2bb-e9bb-4a0a-aa88-7fa0299f52a9			cost_reduction, ramp				Plane — Ravnica		0					verify analyzer roles	https://scryfall.com/card/ohop/19/izzet-steam-maze?utm_source=api	Whenever a player casts an instant or sorcery spell, that player copies it. The player may choose new targets for the copy. Whenever chaos ensues, instant and sorcery spells you cast this turn cost {3} less to cast.
ohop	Planechase Planes	2009-09-04	20	Krosa	2732b605-7c88-4995-b46e-62dc09e68919			burst_ramp, combat_support, ramp				Plane — Dominaria		0		BGRUW			verify analyzer roles	https://scryfall.com/card/ohop/20/krosa?utm_source=api	All creatures get +2/+2. Whenever chaos ensues, you may add {W}{U}{B}{R}{G}.
ohop	Planechase Planes	2009-09-04	21	Lethe Lake	85592710-8637-4726-8b92-552b9be677c0			mill_support				Plane — Arkhos		0			Mill		verify analyzer roles	https://scryfall.com/card/ohop/21/lethe-lake?utm_source=api	At the beginning of your upkeep, mill ten cards. Whenever chaos ensues, target player mills ten cards.
ohop	Planechase Planes	2009-09-04	22	Llanowar	11b3fcb2-0b66-4d8b-8e66-a21a5da1c1f5			burst_ramp, ramp, tap_untap, tempo_support				Plane — Dominaria		0		G			verify analyzer roles	https://scryfall.com/card/ohop/22/llanowar?utm_source=api	All creatures have "{T}: Add {G}{G}." Whenever chaos ensues, untap all creatures you control.
ohop	Planechase Planes	2009-09-04	23	The Maelstrom	e28deac5-d3c4-48e9-974c-093e3122f317			battlefield_recursion, card_selection, recursion				Plane — Alara		0					verify analyzer roles	https://scryfall.com/card/ohop/23/the-maelstrom?utm_source=api	When you planeswalk to The Maelstrom and at the beginning of your upkeep, you may reveal the top card of your library. If it's a permanent card, you may put it onto the battlefield. If you revealed a card but didn't put it onto the battlefield, put it on the bottom of your library. Whenever chaos ensues, return target permanent card from your graveyard to the battlefield.
ohop	Planechase Planes	2009-09-04	24	Minamo	6491f511-87e6-4504-84f5-fe5cf44768d7			mass_recursion				Plane — Kamigawa		0					verify analyzer roles	https://scryfall.com/card/ohop/24/minamo?utm_source=api	Whenever a player casts a spell, that player may draw a card. Whenever chaos ensues, each player may return a blue card from their graveyard to their hand.
ohop	Planechase Planes	2009-09-04	25	Murasa	07cc253d-e23c-450c-bfaf-5cb6a3a588ce			combat_support, land_acceleration, land_animation, land_tutor, mana_fixing, ramp, tutor				Plane — Zendikar		0					verify analyzer roles	https://scryfall.com/card/ohop/25/murasa?utm_source=api	Whenever a nontoken creature enters, its controller may search their library for a basic land card, put it onto the battlefield tapped, then shuffle. Whenever chaos ensues, target land becomes a 4/4 creature that's still a land.
ohop	Planechase Planes	2009-09-04	26	Naar Isle	3e0bcf65-1eaf-440f-a59b-0b11e1106135			counter_support, removal, targeted_removal				Plane — Wildfire		0					verify analyzer roles	https://scryfall.com/card/ohop/26/naar-isle?utm_source=api	At the beginning of your upkeep, put a flame counter on Naar Isle, then Naar Isle deals damage to you equal to the number of flame counters on it. Whenever chaos ensues, Naar Isle deals 3 damage to target player or planeswalker.
ohop	Planechase Planes	2009-09-04	27	Naya	5ed6be01-af06-4f3d-8b43-ef8993c52c97			combat_support, land_acceleration, ramp				Plane — Alara		0					verify analyzer roles	https://scryfall.com/card/ohop/27/naya?utm_source=api	You may play any number of lands on each of your turns. Whenever chaos ensues, target red, green, or white creature you control gets +1/+1 until end of turn for each land you control.
ohop	Planechase Planes	2009-09-04	28	Otaria	29e3371d-aa41-46a9-921a-96565be47eff			extra_turn, finisher				Plane — Dominaria		0					verify analyzer roles	https://scryfall.com/card/ohop/28/otaria?utm_source=api	Instant and sorcery cards in graveyards have flashback. The flashback cost is equal to the card's mana cost. (Its owner may cast the card from their graveyard for its mana cost. Then they exile it.) Whenever chaos ensues, take an extra turn after this one.
ohop	Planechase Planes	2009-09-04	29	Panopticon	cd8ce6f1-9753-40a7-a625-5ed63c15c29e			card_draw, direct_draw, draw				Plane — Mirrodin		0					verify analyzer roles	https://scryfall.com/card/ohop/29/panopticon?utm_source=api	When you planeswalk to Panopticon, draw a card. At the beginning of your draw step, draw an additional card. Whenever chaos ensues, draw a card.
ohop	Planechase Planes	2009-09-04	30	Pools of Becoming	f133e42a-2962-4781-b413-ce2127f17c26			card_draw				Plane — Bolas's Meditation Realm		0					verify analyzer roles	https://scryfall.com/card/ohop/30/pools-of-becoming?utm_source=api	At the beginning of your end step, put the cards in your hand on the bottom of your library in any order, then draw that many cards. Whenever chaos ensues, reveal the top three cards of your planar deck. Each of the revealed cards' chaos abilities triggers. Then put the revealed cards on the bottom of your planar deck in any order.
ohop	Planechase Planes	2009-09-04	31	Raven's Run	b53e06af-be18-4f75-9dd0-7494ec867b13			counter_support, removal, targeted_removal				Plane — Shadowmoor		0					verify analyzer roles	https://scryfall.com/card/ohop/31/ravens-run?utm_source=api	All creatures have wither. (They deal damage to creatures in the form of -1/-1 counters.) Whenever chaos ensues, put a -1/-1 counter on target creature, two -1/-1 counters on another target creature, and three -1/-1 counters on a third target creature.
ohop	Planechase Planes	2009-09-04	32	Sanctum of Serra	f0c8ce35-b627-485c-bd64-d7eae47b8efa			mass_removal, removal				Plane — Serra's Realm		0					verify analyzer roles	https://scryfall.com/card/ohop/32/sanctum-of-serra?utm_source=api	When you planeswalk away from Sanctum of Serra, destroy all nonland permanents. Whenever chaos ensues, you may have your life total become 20.
ohop	Planechase Planes	2009-09-04	33	Sea of Sand	edd21d18-98d2-4e3f-8da1-1ba645b8f69c			removal, tempo_removal				Plane — Rabiah		0					verify analyzer roles	https://scryfall.com/card/ohop/33/sea-of-sand?utm_source=api	Players reveal each card they draw. Whenever a player draws a land card, that player gains 3 life. Whenever a player draws a nonland card, that player loses 3 life. Whenever chaos ensues, put target permanent on top of its owner's library.
ohop	Planechase Planes	2009-09-04	34	Shiv	70edae19-e278-401d-9772-508bd66320a6			combat_support, token_support				Plane — Dominaria		0		R			verify analyzer roles	https://scryfall.com/card/ohop/34/shiv?utm_source=api	All creatures have "{R}: This creature gets +1/+0 until end of turn." Whenever chaos ensues, create a 5/5 red Dragon creature token with flying.
