setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
olep	Oversized League Prizes	1997-05-30	1	Plains	bc71ebf6-2056-41f7-be35-b2e5c34afa99	covered	basic_land, land_base, land_slot, mana_source	basic_land, land_base, land_slot, mana_source	false		Covered by Ice Age role audit.	Basic Land — Plains		0		W			already reviewed	https://scryfall.com/card/olep/1/plains?utm_source=api	({T}: Add {W}.)
olep	Oversized League Prizes	1997-05-30	2	Island	b2c6aa39-2d2a-459c-a555-fb48ba993373	covered	basic_land, land_base, land_slot, mana_source	basic_land, land_base, land_slot, mana_source	false		Covered by Ice Age role audit.	Basic Land — Island		0		U			already reviewed	https://scryfall.com/card/olep/2/island?utm_source=api	({T}: Add {U}.)
olep	Oversized League Prizes	1997-05-30	3	Swamp	56719f6a-1a6c-4c0a-8d21-18f7d7350b68	covered	basic_land, land_base, land_slot, mana_source	basic_land, land_base, land_slot, mana_source	false		Covered by Ice Age role audit.	Basic Land — Swamp		0		B			already reviewed	https://scryfall.com/card/olep/3/swamp?utm_source=api	({T}: Add {B}.)
olep	Oversized League Prizes	1997-05-30	4	Mountain	a3fb7228-e76b-4e96-a40e-20b5fed75685	covered	basic_land, land_base, land_slot, mana_source	basic_land, land_base, land_slot, mana_source	false		Covered by Arabian Nights role audit.	Basic Land — Mountain		0		R			already reviewed	https://scryfall.com/card/olep/4/mountain?utm_source=api	({T}: Add {R}.)
olep	Oversized League Prizes	1997-05-30	5	Forest	b34bb2dc-c1af-4d77-b0b3-a0fb342a5fc6	covered	basic_land, land_base, land_slot, mana_source	basic_land, land_base, land_slot, mana_source	false		Covered by Ice Age role audit.	Basic Land — Forest		0		G			already reviewed	https://scryfall.com/card/olep/5/forest?utm_source=api	({T}: Add {G}.)
olep	Oversized League Prizes	1997-05-30	6	Icy Manipulator	3608f1f7-8dc5-4dd1-ae91-c830e1de9529	covered	removal, tempo_removal	removal, tempo_removal	false		Covered by Ice Age role audit.	Artifact	{4}	4					already reviewed	https://scryfall.com/card/olep/6/icy-manipulator?utm_source=api	{1}, {T}: Tap target artifact, creature, or land.
olep	Oversized League Prizes	1997-05-30	7	Wheel of Fortune	a8abd966-de7b-46a3-8ac7-8747ab35653a	covered	card_draw, hand_attack	card_draw, hand_attack	false			Sorcery	{2}{R}	3	R	R			already reviewed	https://scryfall.com/card/olep/7/wheel-of-fortune?utm_source=api	Each player discards their hand, then draws seven cards.
olep	Oversized League Prizes	1997-05-30	8	Erhnam Djinn	d48a38c9-3dcd-4c18-8840-1b057ede3ff0	covered	combat_body, combat_support, landwalk_support	combat_body, combat_support, landwalk_support	false		Covered by Arabian Nights role audit.	Creature — Djinn	{3}{G}	4	G	G			already reviewed	https://scryfall.com/card/olep/8/erhnam-djinn?utm_source=api	At the beginning of your upkeep, target non-Wall creature an opponent controls gains forestwalk until your next upkeep. (It can't be blocked as long as defending player controls a Forest.)
olep	Oversized League Prizes	1997-05-30	10	Balduvian Horde	fd2a94d3-901d-4b46-aa9b-a30ed6dea6bd	covered	combat_body, sacrifice_support	combat_body	false		Covered by Alliances role audit.	Creature — Human Barbarian	{2}{R}{R}	4	R	R			already reviewed	https://scryfall.com/card/olep/10/balduvian-horde?utm_source=api	When this creature enters, sacrifice it unless you discard a card at random.
olep	Oversized League Prizes	1997-05-30	11	Library of Alexandria	2111588d-9af5-4a33-989e-b074d83f0463	covered	card_draw, direct_draw, draw, land_base, land_slot, mana_source, repeatable_advantage, repeatable_draw	card_draw, direct_draw, draw, land_base, land_slot, mana_source, repeatable_advantage, repeatable_draw	false		Covered by Arabian Nights role audit.	Land		0					already reviewed	https://scryfall.com/card/olep/11/library-of-alexandria?utm_source=api	{T}: Add {C}. {T}: Draw a card. Activate only if you have exactly seven cards in hand.
olep	Oversized League Prizes	1997-05-30	12	Vesuvan Doppelganger	aeaccab9-3e2c-4a40-a483-52c4972b2014	covered	combat_body, copy_support	combat_body, copy_support	false			Creature — Shapeshifter	{3}{U}{U}	5	U	U			already reviewed	https://scryfall.com/card/olep/12/vesuvan-doppelganger?utm_source=api	You may have this creature enter as a copy of any creature on the battlefield, except it doesn't copy that creature's color and it has "At the beginning of your upkeep, you may have this creature become a copy of target creature, except it doesn't copy that creature's color and it has this ability."
olep	Oversized League Prizes	1997-05-30	13	Fallen Angel	1869a326-8b48-4331-b969-5ce83cf4ff8a	covered	combat_body, combat_support, combat_threat, sacrifice_support	combat_body, combat_support, combat_threat, sacrifice_support	false		Covered by Legends role audit.	Creature — Angel	{3}{B}{B}	5	B	B	Flying		already reviewed	https://scryfall.com/card/olep/13/fallen-angel?utm_source=api	Flying Sacrifice a creature: This creature gets +2/+1 until end of turn.
olep	Oversized League Prizes	1997-05-30	15	Sol'kanar the Swamp King	b8aac8e8-4588-4cb9-8b95-5c4abab1c48b	covered	combat_body, combat_support, landwalk_support, lifegain	combat_body, combat_support, landwalk_support, lifegain	false		Covered by Legends role audit.	Legendary Creature — Demon	{2}{U}{B}{R}	5	BRU	BRU	Landwalk, Swampwalk		already reviewed	https://scryfall.com/card/olep/15/solkanar-the-swamp-king?utm_source=api	Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.) Whenever a player casts a black spell, you gain 1 life.
olep	Oversized League Prizes	1997-05-30	16	Mirror Universe	8d231d2f-5274-4b55-8262-9eb95654d183	covered	sacrifice_support	sacrifice_support	false		Covered by Legends role audit.	Artifact	{6}	6					already reviewed	https://scryfall.com/card/olep/16/mirror-universe?utm_source=api	{T}, Sacrifice this artifact: Exchange life totals with target opponent. Activate only during your upkeep.
olep	Oversized League Prizes	1997-05-30	17	Balance	17fa98cd-ed8f-483f-9525-7e989a82ebb2	covered	sacrifice_support, targeted_removal	sacrifice_support, targeted_removal	false			Sorcery	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/olep/17/balance?utm_source=api	Each player chooses a number of lands they control equal to the number of lands controlled by the player who controls the fewest, then sacrifices the rest. Players discard cards and sacrifice creatures the same way.
olep	Oversized League Prizes	1997-05-30	18	City of Brass	f25351e3-539b-4bbc-b92d-6480acf4d722	covered	land_base, land_slot, mana_source	land_base, land_slot, mana_source	false		Covered by Arabian Nights role audit.	Land		0					already reviewed	https://scryfall.com/card/olep/18/city-of-brass?utm_source=api	Whenever this land becomes tapped, it deals 1 damage to you. {T}: Add one mana of any color.
olep	Oversized League Prizes	1997-05-30	20	Autumn Willow	c8c868f8-19a5-4cc5-b769-aa382f7b97ad	covered	combat_body, replacement_engine, self_protection	combat_body, replacement_engine, self_protection	false		Covered by Homelands role audit.	Legendary Creature — Avatar	{4}{G}{G}	6	G	G	Shroud		already reviewed	https://scryfall.com/card/olep/20/autumn-willow?utm_source=api	Shroud (This creature can't be the target of spells or abilities.) {G}: Until end of turn, Autumn Willow can be the target of spells and abilities controlled by target player as though it didn't have shroud.
olep	Oversized League Prizes	1997-05-30	21	Necropotence	94a844d2-0574-45a7-b347-e0e329767c42	covered	face_down_support, hate_piece, stax_piece	face_down_support, hate_piece, stax_piece	false		Covered by Ice Age role audit.	Enchantment	{B}{B}{B}	3	B	B			already reviewed	https://scryfall.com/card/olep/21/necropotence?utm_source=api	Skip your draw step. Whenever you discard a card, exile that card from your graveyard. Pay 1 life: Exile the top card of your library face down. Put that card into your hand at the beginning of your next end step.
olep	Oversized League Prizes	1997-05-30	22	Ivory Tower	d416a4ed-9f16-4a8b-8aee-03c630e1eb6c	covered	lifegain, scalable_spell	lifegain, scalable_spell	false		Covered by Antiquities role audit.	Artifact	{1}	1					already reviewed	https://scryfall.com/card/olep/22/ivory-tower?utm_source=api	At the beginning of your upkeep, you gain X life, where X is the number of cards in your hand minus 4.
olep	Oversized League Prizes	1997-05-30	23	Guardian Beast	34c3aebe-a224-426a-ae06-f3145193313e	covered	artifact_support, combat_body, combat_support, self_protection, theft_support	artifact_support, combat_body, combat_support, self_protection, theft_support	false		Covered by Arabian Nights role audit.	Creature — Beast	{3}{B}	4	B	B			already reviewed	https://scryfall.com/card/olep/23/guardian-beast?utm_source=api	As long as this creature is untapped, noncreature artifacts you control can't be enchanted, they have indestructible, and other players can't gain control of them. This effect doesn't remove Auras already attached to those artifacts.
olep	Oversized League Prizes	1997-05-30	25	Lhurgoyf	0fe76004-b2f4-4b11-abce-75fd76f68b4d	covered	combat_body	combat_body	false		Covered by Ice Age role audit.	Creature — Lhurgoyf	{2}{G}{G}	4	G	G			already reviewed	https://scryfall.com/card/olep/25/lhurgoyf?utm_source=api	Lhurgoyf's power is equal to the number of creature cards in all graveyards and its toughness is equal to that number plus 1.
olep	Oversized League Prizes	1997-05-30	26	Adarkar Wastes	d5ad26cc-2bdb-46b7-b8bf-dd099d5fa09b	covered	land_base, land_slot, mana_source	land_base, land_slot, mana_source	false		Covered by Ice Age role audit.	Land		0		UW			already reviewed	https://scryfall.com/card/olep/26/adarkar-wastes?utm_source=api	{T}: Add {C}. {T}: Add {W} or {U}. This land deals 1 damage to you.
olep	Oversized League Prizes	1997-05-30	27	Blinking Spirit	a26f6958-9bc8-46f8-8ca7-7f55098e1291	covered	combat_body	combat_body	false		Covered by Ice Age role audit.	Creature — Spirit	{3}{W}	4	W	W			already reviewed	https://scryfall.com/card/olep/27/blinking-spirit?utm_source=api	{0}: Return this creature to its owner's hand.
olep	Oversized League Prizes	1997-05-30	28	Zuran Orb	08cb8a30-9cb4-4517-bee5-8848aa60d1a2	covered	lifegain, sacrifice_support	lifegain, sacrifice_support	false		Covered by Ice Age role audit.	Artifact	{0}	0					already reviewed	https://scryfall.com/card/olep/28/zuran-orb?utm_source=api	Sacrifice a land: You gain 2 life.
olep	Oversized League Prizes	1997-05-30	29	Deflection	ec7ae9ed-dc5b-47ed-a4ad-086f3c7c377c	covered	broad_stack, stack	broad_stack, stack	false		Covered by Ice Age role audit.	Instant	{3}{U}	4	U	U			already reviewed	https://scryfall.com/card/olep/29/deflection?utm_source=api	Change the target of target spell with a single target.
olep	Oversized League Prizes	1997-05-30	31	Black Knight	9456c5b6-946d-403a-8ed0-dff9f921d98c	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat, self_protection	false			Creature — Human Knight	{B}{B}	2	B	B	First strike, Protection		already reviewed	https://scryfall.com/card/olep/31/black-knight?utm_source=api	First strike (This creature deals combat damage before creatures without first strike.) Protection from white (This creature can't be blocked, targeted, dealt damage, or enchanted by anything white.)
olep	Oversized League Prizes	1997-05-30	32	Earthquake	9a40614b-50a3-422c-849e-53c8b7d3d204	covered	direct_finisher, finisher, mana_sink, mass_removal, scalable_spell	damage_engine, direct_finisher, finisher, group_slug, mana_sink, mass_removal, removal, scalable_spell	false			Sorcery	{X}{R}	1	R	R			already reviewed	https://scryfall.com/card/olep/32/earthquake?utm_source=api	Earthquake deals X damage to each creature without flying and each player.
olep	Oversized League Prizes	1997-05-30	33	Personal Incarnation	6e49a5b8-6bc4-4c7b-82c1-957f1fb0ca5f	covered	combat_body, sacrifice_support	combat_body, sacrifice_support	false			Creature — Avatar Incarnation	{3}{W}{W}{W}	6	W	W			already reviewed	https://scryfall.com/card/olep/33/personal-incarnation?utm_source=api	{0}: The next 1 damage that would be dealt to this creature this turn is dealt to its owner instead. Only this creatures owner may activate this ability. When this creature dies, its owner loses half their life, rounded up.
