setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
one	Phyrexia: All Will Be One	2023-02-10	1	Against All Odds	f4a73cde-58bf-4719-8eb0-e039fdde4f62			battlefield_recursion, card_selection, flicker, protection, recursion, rescue_protection				Sorcery	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/one/1/against-all-odds?utm_source=api	Choose one or both — • Exile target artifact or creature you control, then return it to the battlefield under its owner's control. • Return target artifact or creature card with mana value 3 or less from your graveyard to the battlefield.
one	Phyrexia: All Will Be One	2023-02-10	2	Annex Sentry	be31fa46-d5ac-4c85-9c19-3f0e2b1f223b			alternate_finisher, combat_body, combat_support, combat_threat, finisher, removal, targeted_removal				Artifact Creature — Phyrexian Cleric	{2}{W}	3	W	W	Toxic		verify analyzer roles	https://scryfall.com/card/one/2/annex-sentry?utm_source=api	Toxic 1 (Players dealt combat damage by this creature also get a poison counter.) When this creature enters, exile target artifact or creature an opponent controls with mana value 3 or less until this creature leaves the battlefield.
one	Phyrexia: All Will Be One	2023-02-10	3	Apostle of Invasion	d56f1543-2b2d-4ce3-bcfe-41224a0cece4			combat_body, combat_support, combat_threat				Creature — Phyrexian Angel	{4}{W}{W}	6	W	W	Flying, Corrupted		verify analyzer roles	https://scryfall.com/card/one/3/apostle-of-invasion?utm_source=api	Flying Corrupted — As long as an opponent has three or more poison counters, this creature has double strike.
one	Phyrexia: All Will Be One	2023-02-10	4	Basilica Shepherd	929c67aa-49ff-4401-85e8-76990fe1a369			alternate_finisher, combat_body, combat_support, combat_threat, finisher, token_support				Creature — Phyrexian Angel	{3}{W}{W}	5	W	W	Flying		verify analyzer roles	https://scryfall.com/card/one/4/basilica-shepherd?utm_source=api	Flying When this creature enters, create two 1/1 colorless Phyrexian Mite artifact creature tokens with toxic 1 and "This token can't block." (Players dealt combat damage by them also get a poison counter.)
one	Phyrexia: All Will Be One	2023-02-10	5	Bladed Ambassador	3088ee75-3b51-4cbc-8987-76cb93f416b1			combat_body, combat_support, counter_support, self_protection				Creature — Phyrexian Soldier	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/one/5/bladed-ambassador?utm_source=api	This creature enters with an oil counter on it. {1}, Remove an oil counter from this creature: This creature gains indestructible until end of turn.
one	Phyrexia: All Will Be One	2023-02-10	6	Charge of the Mites	fa47c190-d66a-41b0-aa08-21036cda4223			alternate_finisher, combat_support, finisher, removal, targeted_removal, token_support				Instant	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/one/6/charge-of-the-mites?utm_source=api	Choose one — • Charge of the Mites deals damage equal to the number of creatures you control to target creature or planeswalker. • Create two 1/1 colorless Phyrexian Mite artifact creature tokens with toxic 1 and "This token can't block." (Players dealt combat damage by them also get a poison counter.)
one	Phyrexia: All Will Be One	2023-02-10	7	Compleat Devotion	c2a6cfb7-e5bd-49c8-aa51-fd5203eca8b8			card_draw, combat_support, direct_draw, draw				Instant	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/one/7/compleat-devotion?utm_source=api	Target creature you control gets +2/+2 until end of turn. If that creature has toxic, draw a card.
one	Phyrexia: All Will Be One	2023-02-10	8	Crawling Chorus	99ba0d4f-b2bf-48ea-95d6-b6b85ee077ab			alternate_finisher, combat_body, combat_support, combat_threat, finisher, sacrifice_support, token_support				Creature — Phyrexian Horror	{W}	1	W	W	Toxic		verify analyzer roles	https://scryfall.com/card/one/8/crawling-chorus?utm_source=api	Toxic 1 (Players dealt combat damage by this creature also get a poison counter.) When this creature dies, create a 1/1 colorless Phyrexian Mite artifact creature token with toxic 1 and "This token can't block."
one	Phyrexia: All Will Be One	2023-02-10	9	Duelist of Deep Faith	30d69e88-2bf6-43b8-8678-2cf37f6a5cf5			alternate_finisher, combat_body, combat_support, combat_threat, finisher				Creature — Phyrexian Soldier	{1}{W}	2	W	W	Toxic		verify analyzer roles	https://scryfall.com/card/one/9/duelist-of-deep-faith?utm_source=api	Toxic 1 (Players dealt combat damage by this creature also get a poison counter.) During your turn, this creature has first strike.
one	Phyrexia: All Will Be One	2023-02-10	10	Elesh Norn, Mother of Machines	5ade11c0-41dd-4b6a-9f5b-c5903a3a0d7f			combat_body, combat_threat, copy_support, multiplier_support, replacement_engine				Legendary Creature — Phyrexian Praetor	{4}{W}	5	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/one/10/elesh-norn-mother-of-machines?utm_source=api	Vigilance If a permanent entering causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time. Permanents entering don't cause abilities of permanents your opponents control to trigger.
