setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ons	Onslaught	2002-10-07	1	Akroma's Blessing	a3fc6888-0a4b-4e1d-b709-042b8b6b1a04	covered		broad_protection, card_draw, direct_draw, draw, protection, selection, self_protection			Covered by ONS role audit.	Instant	{2}{W}	3	W	W	Cycling		verify analyzer roles	https://scryfall.com/card/ons/1/akromas-blessing?utm_source=api	Choose a color. Creatures you control gain protection from the chosen color until end of turn. Cycling {W} ({W}, Discard this card: Draw a card.)
ons	Onslaught	2002-10-07	2	Akroma's Vengeance	ae19dce5-c9fc-4fbe-99b5-dc6a12124a68	covered		card_draw, direct_draw, draw, mass_removal, removal, selection			Covered by ONS role audit.	Sorcery	{4}{W}{W}	6	W	W	Cycling		verify analyzer roles	https://scryfall.com/card/ons/2/akromas-vengeance?utm_source=api	Destroy all artifacts, creatures, and enchantments. Cycling {3} ({3}, Discard this card: Draw a card.)
ons	Onslaught	2002-10-07	3	Ancestor's Prophet	274ce6b0-af29-4afc-873b-b4126a67bd81	covered		combat_body, lifegain			Covered by ONS role audit.	Creature — Human Cleric	{4}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/ons/3/ancestors-prophet?utm_source=api	Tap five untapped Clerics you control: You gain 10 life.
ons	Onslaught	2002-10-07	4	Astral Slide	70f14b10-8129-4249-a267-8b4be5d9befa	covered		targeted_removal	false		Covered by PRM role audit.	Enchantment	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/ons/4/astral-slide?utm_source=api	Whenever a player cycles a card, you may exile target creature. If you do, return that card to the battlefield under its owner's control at the beginning of the next end step.
ons	Onslaught	2002-10-07	5	Aura Extraction	84100106-1f97-4859-aadd-a35796ee000f	covered		card_draw, direct_draw, draw, removal, selection, tempo_removal			Covered by ONS role audit.	Instant	{1}{W}	2	W	W	Cycling		verify analyzer roles	https://scryfall.com/card/ons/5/aura-extraction?utm_source=api	Put target enchantment on top of its owner's library. Cycling {2} ({2}, Discard this card: Draw a card.)
ons	Onslaught	2002-10-07	6	Aurification	3d98a656-1737-486f-9b25-449b7c871d1f	covered		combat_support, counter_support			Covered by ONS role audit.	Enchantment	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/ons/6/aurification?utm_source=api	Whenever a creature deals damage to you, put a gold counter on it. Each creature with a gold counter on it is a Wall in addition to its other creature types and has defender. (Those creatures can't attack.) When this enchantment leaves the battlefield, remove all gold counters from all creatures.
ons	Onslaught	2002-10-07	7	Aven Brigadier	910ae0ca-257d-4b45-b039-f26e7b2f3d5c	covered		combat_body, combat_support, combat_threat			Covered by ONS role audit.	Creature — Bird Soldier	{3}{W}{W}{W}	6	W	W	Flying		verify analyzer roles	https://scryfall.com/card/ons/7/aven-brigadier?utm_source=api	Flying Other Bird creatures get +1/+1. Other Soldier creatures get +1/+1.
ons	Onslaught	2002-10-07	8	Aven Soulgazer	e7ac8c1d-d298-4d57-8e0e-c60c7e61b247	covered		combat_body, combat_threat, face_down_support			Covered by ONS role audit.	Creature — Bird Cleric	{3}{W}{W}	5	W	W	Flying		verify analyzer roles	https://scryfall.com/card/ons/8/aven-soulgazer?utm_source=api	Flying {2}{W}: Look at target face-down creature.
ons	Onslaught	2002-10-07	9	Battlefield Medic	a600af0b-ea04-4813-b700-f51820868c86	covered		combat_body, protection, scalable_spell, targeted_protection			Covered by ONS role audit.	Creature — Human Cleric	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/ons/9/battlefield-medic?utm_source=api	{T}: Prevent the next X damage that would be dealt to target creature this turn, where X is the number of Clerics on the battlefield.
ons	Onslaught	2002-10-07	10	Catapult Master	02da2145-0edb-44be-8622-360182a8c25a	covered		combat_body, removal, targeted_removal			Covered by ONS role audit.	Creature — Human Soldier	{3}{W}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/ons/10/catapult-master?utm_source=api	Tap five untapped Soldiers you control: Exile target creature.
