setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
otc	Outlaws of Thunder Junction Commander	2024-04-19	1	Gonti, Canny Acquisitor	7923ef4a-b1be-4f6a-b17b-4eab101390de			card_selection, combat_body, combat_support, cost_reduction, direct_draw, draw, face_down_support, ramp, repeatable_advantage, repeatable_draw, selection				Legendary Creature — Aetherborn Rogue	{2}{B}{G}{U}	5	BGU	BGU			verify analyzer roles	https://scryfall.com/card/otc/1/gonti-canny-acquisitor?utm_source=api	Spells you cast but don't own cost {1} less to cast. Whenever one or more creatures you control deal combat damage to a player, look at the top card of that player's library, then exile it face down. You may play that card for as long as it remains exiled, and mana of any type can be spent to cast that spell.
otc	Outlaws of Thunder Junction Commander	2024-04-19	2	Olivia, Opulent Outlaw	4e5e0b22-ee5a-4c19-be95-2f9bd50641bc			burst_ramp, combat_body, combat_support, combat_threat, counter_support, lifegain, mana_fixing, ramp, sacrifice_support, token_support				Legendary Creature — Vampire Assassin	{1}{R}{W}{B}	4	BRW	BRW	Flying, Lifelink, Treasure		verify analyzer roles	https://scryfall.com/card/otc/2/olivia-opulent-outlaw?utm_source=api	Flying, lifelink Whenever one or more outlaws you control deal combat damage to a player, create a Treasure token. (Assassins, Mercenaries, Pirates, Rogues, and Warlocks are outlaws.) {3}, Sacrifice two Treasures: Put two +1/+1 counters on each creature you control. Activate only as a sorcery.
otc	Outlaws of Thunder Junction Commander	2024-04-19	3	Stella Lee, Wild Card	8d0da2f9-0e05-4a94-8d42-fd57d06b09ba			card_selection, combat_body, copy_support, direct_draw, draw, repeatable_advantage, repeatable_draw, selection				Legendary Creature — Human Rogue	{1}{U}{R}	3	RU	RU			verify analyzer roles	https://scryfall.com/card/otc/3/stella-lee-wild-card?utm_source=api	Whenever you cast your second spell each turn, exile the top card of your library. Until the end of your next turn, you may play that card. {T}: Copy target instant or sorcery spell you control. You may choose new targets for the copy. Activate only if you've cast three or more spells this turn.
otc	Outlaws of Thunder Junction Commander	2024-04-19	4	Yuma, Proud Protector	b8a0b967-3b5b-46f5-830b-5c8f1037784a			card_draw, combat_body, combat_support, direct_draw, draw, repeatable_advantage, repeatable_draw, sacrifice_support, token_support				Legendary Creature — Human Ranger	{5}{R}{G}{W}	8	GRW	GRW			verify analyzer roles	https://scryfall.com/card/otc/4/yuma-proud-protector?utm_source=api	This spell costs {1} less to cast for each land card in your graveyard. Whenever Yuma enters or attacks, you may sacrifice a land. If you do, draw a card. Whenever a Desert card is put into your graveyard from anywhere, create a 4/2 green Plant Warrior creature token with reach.
otc	Outlaws of Thunder Junction Commander	2024-04-19	5	Eris, Roar of the Storm	918991a6-7321-419d-8f3d-150fe32d02d2			combat_body, combat_threat, token_support				Legendary Creature — Elemental Warlock	{8}{U}{R}	10	RU	RU	Flying, Prowess		verify analyzer roles	https://scryfall.com/card/otc/5/eris-roar-of-the-storm?utm_source=api	This spell costs {2} less to cast for each different mana value among instant and sorcery cards in your graveyard. Flying, prowess Whenever you cast your second spell each turn, create a 4/4 red Dragon Elemental creature token with flying and prowess.
otc	Outlaws of Thunder Junction Commander	2024-04-19	6	Felix Five-Boots	95175d35-c815-47bd-8e69-427972b567b6			combat_body, combat_support, combat_threat, copy_support, multiplier_support, replacement_engine, self_protection				Legendary Creature — Ooze Rogue	{2}{B}{G}{U}	5	BGU	BGU	Menace, Ward		verify analyzer roles	https://scryfall.com/card/otc/6/felix-five-boots?utm_source=api	Menace, ward {2} If a creature you control dealing combat damage to a player causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.
otc	Outlaws of Thunder Junction Commander	2024-04-19	7	Kirri, Talented Sprout	f03bc648-08e4-4ecd-b339-ff72b00367c2			card_selection, combat_body, hand_recursion, recursion, repeatable_advantage				Legendary Creature — Plant Druid	{1}{R}{G}{W}	4	GRW	GRW			verify analyzer roles	https://scryfall.com/card/otc/7/kirri-talented-sprout?utm_source=api	Other Plants and Treefolk you control get +2/+0. At the beginning of each of your postcombat main phases, return target Plant, Treefolk, or land card from your graveyard to your hand.
otc	Outlaws of Thunder Junction Commander	2024-04-19	8	Vihaan, Goldwaker	0613a0d8-f6bc-41ca-8070-b2506f756fc8			combat_body				Legendary Creature — Dwarf Warlock	{R}{W}{B}	3	BRW	BRW			verify analyzer roles	https://scryfall.com/card/otc/8/vihaan-goldwaker?utm_source=api	Other outlaws you control have vigilance and haste. (Assassins, Mercenaries, Pirates, Rogues, and Warlocks are outlaws.) At the beginning of combat on your turn, you may have Treasures you control become 3/3 Construct Assassin artifact creatures in addition to their other types until end of turn.
otc	Outlaws of Thunder Junction Commander	2024-04-19	9	Angel of Indemnity	4f57a320-b6b5-49de-af0a-f2e2649758a7			battlefield_recursion, card_selection, combat_body, combat_support, combat_threat, lifegain, recursion, sacrifice_support, token_support				Creature — Angel Warrior	{5}{W}	6	W	W	Flying, Lifelink, Encore		verify analyzer roles	https://scryfall.com/card/otc/9/angel-of-indemnity?utm_source=api	Flying, lifelink When this creature enters, return target permanent card with mana value 4 or less from your graveyard to the battlefield. Encore {6}{W}{W} ({6}{W}{W}, Exile this card from your graveyard: For each opponent, create a token copy that attacks that opponent this turn if able. They gain haste. Sacrifice them at the beginning of the next end step. Activate only as a sorcery.)
otc	Outlaws of Thunder Junction Commander	2024-04-19	10	Angelic Sell-Sword	60c77b18-c111-4e16-ad19-2ef32582cd9e			card_draw, combat_body, combat_support, combat_threat, direct_draw, draw, repeatable_advantage, repeatable_draw, token_support				Creature — Angel Mercenary	{4}{W}	5	W	W	Flying, Vigilance		verify analyzer roles	https://scryfall.com/card/otc/10/angelic-sell-sword?utm_source=api	Flying, vigilance Whenever this creature or another nontoken creature you control enters, create a 1/1 red Mercenary creature token with "{T}: Target creature you control gets +1/+0 until end of turn. Activate only as a sorcery." Whenever this creature attacks, if its power is 6 or greater, draw a card.
