setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pafr	Adventures in the Forgotten Realms Promos	2021-07-23	4a	The Book of Exalted Deeds	046add85-952f-46ac-974a-463d2a7d3fd4	covered		broad_protection, counter_support, protection, token_support	false		Covered by PRM role audit.	Legendary Artifact — Book	{W}{W}{W}	3	W	W			already reviewed	https://scryfall.com/card/pafr/4a/the-book-of-exalted-deeds?utm_source=api	At the beginning of your end step, if you gained 3 or more life this turn, create a 3/3 white Angel creature token with flying. {W}{W}{W}, {T}, Exile The Book of Exalted Deeds: Put an enlightened counter on target Angel. It gains "You can't lose the game and your opponents can't win the game." Activate only as a sorcery.
pafr	Adventures in the Forgotten Realms Promos	2021-07-23	8a	Dancing Sword	da3b12d1-8867-4063-b50d-3b2f5ce0549f	covered		artifact_support, combat_support, sacrifice_support, self_protection	false		Covered by PRM role audit.	Artifact — Equipment	{1}{W}	2	W	W	Equip		already reviewed	https://scryfall.com/card/pafr/8a/dancing-sword?utm_source=api	Equipped creature gets +2/+1. When equipped creature dies, you may have this Equipment become a 2/1 Construct artifact creature with flying and ward {1}. If you do, it isn't an Equipment. Equip {1}
pafr	Adventures in the Forgotten Realms Promos	2021-07-23	15a	Flumph	bc328acc-8521-4581-88c3-99a7cb2c1cdb	covered		card_draw, combat_body, combat_threat, direct_draw, draw, repeatable_advantage, repeatable_draw	false		Covered by PRM role audit.	Creature — Jellyfish	{1}{W}	2	W	W	Flying, Defender		already reviewed	https://scryfall.com/card/pafr/15a/flumph?utm_source=api	Defender, flying Whenever this creature is dealt damage, you and target opponent each draw a card.
pafr	Adventures in the Forgotten Realms Promos	2021-07-23	17a	Grand Master of Flowers	1f3dbc53-4075-40b8-b70d-ce74d3ff5f6d	covered		combat_support, counter_support, restricted_tutor, self_protection, tutor	false		Covered by PRM role audit.	Legendary Planeswalker — Bahamut	{2}{W}{W}	4	W	W			already reviewed	https://scryfall.com/card/pafr/17a/grand-master-of-flowers?utm_source=api	As long as Grand Master of Flowers has seven or more loyalty counters on him, he's a 7/7 Dragon God creature with flying and indestructible. +1: Target creature without first strike, double strike, or vigilance can't attack or block until your next turn. +1: Search your library and/or graveyard for a card named Monk of the Open Hand, reveal it, and put it into your hand. If you search your library this way, shuffle.
pafr	Adventures in the Forgotten Realms Promos	2021-07-23	18a	Guardian of Faith	8e04a5e0-e22c-430b-a39a-c9f38e16ea86	covered		broad_protection, combat_body, combat_threat, replacement_engine	false		Covered by PRM role audit.	Creature — Spirit Knight	{1}{W}{W}	3	W	W	Vigilance, Flash		already reviewed	https://scryfall.com/card/pafr/18a/guardian-of-faith?utm_source=api	Flash Vigilance When this creature enters, any number of other target creatures you control phase out. (Treat them and anything attached to them as though they don't exist until their controller's next turn.)
pafr	Adventures in the Forgotten Realms Promos	2021-07-23	20a	Icingdeath, Frost Tyrant	1dc2c213-72f6-4112-96a8-bf6ad553c707	covered		artifact_support, combat_body, combat_support, combat_threat, removal, sacrifice_support, tempo_removal, token_support	false		Covered by PRM role audit.	Legendary Creature — Dragon	{2}{W}{W}	4	W	W	Flying, Vigilance		already reviewed	https://scryfall.com/card/pafr/20a/icingdeath-frost-tyrant?utm_source=api	Flying, vigilance When Icingdeath, Frost Tyrant dies, create Icingdeath, Frost Tongue, a legendary white Equipment artifact token with "Equipped creature gets +2/+0," "Whenever equipped creature attacks, tap target creature defending player controls," and equip {2}.
pafr	Adventures in the Forgotten Realms Promos	2021-07-23	23a	Loyal Warhound	cc6a83c7-e645-4a53-9550-be79b42cd851	covered		combat_body, combat_threat, land_acceleration, land_tutor, mana_fixing, ramp, tutor	false		Covered by PRM role audit.	Creature — Dog	{1}{W}	2	W	W	Vigilance		already reviewed	https://scryfall.com/card/pafr/23a/loyal-warhound?utm_source=api	Vigilance When this creature enters, if an opponent controls more lands than you, search your library for a basic Plains card, put it onto the battlefield tapped, then shuffle.
pafr	Adventures in the Forgotten Realms Promos	2021-07-23	27a	Nadaar, Selfless Paladin	0e3f9345-d986-4d60-a343-45598ab59aff	covered	combat_body, combat_support, combat_threat, dungeon_support, repeatable_advantage	combat_body, combat_support, combat_threat, dungeon_support, repeatable_advantage	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Dragon Knight	{2}{W}	3	W	W	Vigilance, Venture into the dungeon		verify analyzer roles	https://scryfall.com/card/pafr/27a/nadaar-selfless-paladin?utm_source=api	Vigilance Whenever Nadaar enters or attacks, venture into the dungeon. (Enter the first room or advance to the next room.) Other creatures you control get +1/+1 as long as you've completed a dungeon.
pafr	Adventures in the Forgotten Realms Promos	2021-07-23	28a	Oswald Fiddlebender	dbc9ea19-cf68-41d3-88a8-b5ab8df75c5a	covered	cheat_into_play, combat_body, cost_reduction, repeatable_tutor, restricted_tutor, sacrifice_support, tutor	cheat_into_play, combat_body, cost_reduction, repeatable_tutor, restricted_tutor, sacrifice_support, tutor	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Gnome Artificer	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/pafr/28a/oswald-fiddlebender?utm_source=api	Magical Tinkering — {W}, {T}, Sacrifice an artifact: Search your library for an artifact card with mana value equal to 1 plus the sacrificed artifact's mana value, put it onto the battlefield, then shuffle. Activate only as a sorcery.
pafr	Adventures in the Forgotten Realms Promos	2021-07-23	29a	Paladin Class	ac9d52b2-78a5-4b17-8aaf-1c1cb936a508	covered	combat_support, stax_piece	combat_support, stax_piece	false		Analyzer roles accepted during batch clean pass.	Enchantment — Class	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/pafr/29a/paladin-class?utm_source=api	(Gain the next level as a sorcery to add its ability.) Spells your opponents cast during your turn cost {1} more to cast. {2}{W}: Level 2 Creatures you control get +1/+1. {4}{W}: Level 3 Whenever you attack, until end of turn, target attacking creature gets +1/+1 for each other attacking creature and gains double strike.
