setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
past	Astral Cards	1997-04-01	1	Aswan Jaguar	9ab97610-76ad-4631-825e-8596dc9cfd4c	covered	combat_body, removal, targeted_removal	combat_body, removal, targeted_removal	false		Covered by Astral Cards role audit.	Summon Jaguar	{1}{G}{G}	3	G	G			verify analyzer roles	https://scryfall.com/card/past/1/aswan-jaguar?utm_source=api	When Aswan Jaguar comes into play, choose a random creature type from those in target opponent's deck. {G}{G}, {T}: Bury target creature of the chosen type.
past	Astral Cards	1997-04-01	2	Call from the Grave	252ff28e-3ea7-4e2c-a30c-3cb80aa278d0	covered	battlefield_recursion, recursion, theft_support	battlefield_recursion, recursion, theft_support	false		Covered by Astral Cards role audit.	Sorcery	{2}{B}	3	B	B			verify analyzer roles	https://scryfall.com/card/past/2/call-from-the-grave?utm_source=api	Put a random creature from a random graveyard into play under your control. Call from the Grave deals to you an amount of damage equal to that creature's casting cost.
past	Astral Cards	1997-04-01	3	Faerie Dragon	412da1dc-83dc-4cf7-8135-98f729f67ef1	covered	alternate_play, combat_body, combat_threat, random_effect	alternate_play, combat_body, combat_threat, random_effect	false		Covered by Astral Cards role audit.	Summon Dragon	{2}{G}{G}	4	G	G	Flying		verify analyzer roles	https://scryfall.com/card/past/3/faerie-dragon?utm_source=api	Flying {1}{G}{G}: Play a random effect.
past	Astral Cards	1997-04-01	4	Goblin Polka Band	ca1bc31a-2cb1-4630-8513-a68816938c8a	covered	combat_body, tap_untap, tempo_support	combat_body, tap_untap, tempo_support	false		Covered by Astral Cards role audit.	Summon Goblin	{R}{R}	2	R	R			verify analyzer roles	https://scryfall.com/card/past/4/goblin-polka-band?utm_source=api	{2}, {T}, Pay {R} for each target: Tap any number of random target creatures. Goblins tapped in this way do not untap during their controllers' next untap phases.
past	Astral Cards	1997-04-01	5	Necropolis of Azar	1c67d3cd-59db-422b-a242-2a6ca51d543d	covered	combat_support, counter_support, landwalk_support, token_support	combat_support, counter_support, landwalk_support, token_support	false		Covered by Astral Cards role audit.	Enchantment	{2}{B}{B}	4	B	B			verify analyzer roles	https://scryfall.com/card/past/5/necropolis-of-azar?utm_source=api	Whenever a non-black creature is put into any graveyard from play, put a husk counter on Necropolis of Azar. {5}, Remove a husk counter from Necropolis of Azar: Put a Spawn of Azar token into play. Treat this token as a black creature with a random power and toughness, each no less than 1 and no greater than 3, that has swampwalk.
past	Astral Cards	1997-04-01	6	Orcish Catapult	a2f3a8c4-0eca-47ae-b463-20f831b11486	covered	counter_support, mana_sink, removal, scalable_spell, targeted_removal	counter_support, mana_sink, removal, scalable_spell, targeted_removal	false		Covered by Astral Cards role audit.	Instant	{X}{R}{R}	2	R	R			verify analyzer roles	https://scryfall.com/card/past/6/orcish-catapult?utm_source=api	Randomly distribute X -0/-1 counters among a random number of random target creatures.
past	Astral Cards	1997-04-01	7	Power Struggle	159789a3-cef3-4260-9ea4-65856df5c523	covered	donation_support, removal, tempo_removal, theft_support	donation_support, removal, tempo_removal, theft_support	false		Covered by Astral Cards role audit.	Enchantment	{2}{U}{U}{U}	5	U	U			verify analyzer roles	https://scryfall.com/card/past/7/power-struggle?utm_source=api	During each player's upkeep, that player exchanges control of random target artifact, creature or land he or she controls, for control of random target permanent of the same type that a random opponent controls.
past	Astral Cards	1997-04-01	8	Prismatic Dragon	0499a59d-5bb1-4907-874e-e89ee5e4b992	covered	color_change, combat_body, combat_threat	color_change, combat_body, combat_threat	false		Covered by Astral Cards role audit.	Summon Dragon	{2}{W}{W}	4	W	W	Flying		verify analyzer roles	https://scryfall.com/card/past/8/prismatic-dragon?utm_source=api	Flying During your upkeep, Prismatic Dragon becomes a random color permanently. {2}: Prismatic Dragon becomes a random color permanently.
past	Astral Cards	1997-04-01	9	Rainbow Knights	5ae62bf3-ab1e-4968-ad7d-6f06a7254cfa	covered	combat_body, self_protection	combat_body, self_protection	false		Covered by Astral Cards role audit.	Summon Knights	{W}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/past/9/rainbow-knights?utm_source=api	When Rainbow Knights comes into play, it gains protection from a random color permanently. {1}: First strike until end of turn. {W}{W}: +0/+0, +1/+0 or +2/+0 until end of turn chosen at random.
past	Astral Cards	1997-04-01	10	Whimsy	e7922402-e759-4607-a11e-284d737baa53	covered	alternate_play, mana_sink, random_effect, scalable_spell	alternate_play, mana_sink, random_effect, scalable_spell	false		Covered by Astral Cards role audit.	Sorcery	{X}{U}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/past/10/whimsy?utm_source=api	Play X random fast effects.
past	Astral Cards	1997-04-01	11	Pandora's Box	943b0fee-21af-4ef3-9cb5-c061a45e0256	covered	coin_support, copy_support, replacement_engine, token_support	coin_support, copy_support, replacement_engine, token_support	false		Covered by Astral Cards role audit.	Artifact	{5}	5					verify analyzer roles	https://scryfall.com/card/past/11/pandoras-box?utm_source=api	{3}, {T}: Choose a random summon card from all players' decks. For each player, flip a coin. If the flip ends up heads, put a token creature into play and treat it as though an exact copy of the chosen summon card were just played.
past	Astral Cards	1997-04-01	12	Gem Bazaar	cef33af2-b40d-4c65-9b6b-59c5175ea516	covered	land_base, land_slot, mana_source	land_base, land_slot, mana_source	false		Covered by Astral Cards role audit.	Land		0					verify analyzer roles	https://scryfall.com/card/past/12/gem-bazaar?utm_source=api	When Gem Bazaar comes into play, choose a random color. {T}: Add to your mana pool one mana of the color last chosen. Then choose a random color.
