setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pcmp	Champs and States	2006-03-18	1	Electrolyze	07b222d7-24f2-4994-9004-ff6672ebe161	covered		card_draw, direct_draw, draw	false		Covered by PRM role audit.	Instant	{1}{U}{R}	3	RU	RU			already reviewed	https://scryfall.com/card/pcmp/1/electrolyze?utm_source=api	Electrolyze deals 2 damage divided as you choose among one or two targets. Draw a card.
pcmp	Champs and States	2006-03-18	2	Niv-Mizzet, the Firemind	959acb66-84ca-4535-bca2-ad591895735e	covered		card_draw, combat_body, combat_threat, removal, repeatable_advantage, targeted_removal	false		Covered by PRM role audit.	Legendary Creature — Dragon Wizard	{2}{U}{U}{R}{R}	6	RU	RU	Flying		already reviewed	https://scryfall.com/card/pcmp/2/niv-mizzet-the-firemind?utm_source=api	Flying Whenever you draw a card, Niv-Mizzet deals 1 damage to any target. {T}: Draw a card.
pcmp	Champs and States	2006-03-18	3	Rakdos Guildmage	650949ca-609b-46c5-bc6b-6f782cdcb6d2	covered		combat_body, targeted_removal, token_support	false		Covered by PRM role audit.	Creature — Zombie Shaman	{B/R}{B/R}	2	BR	BR			already reviewed	https://scryfall.com/card/pcmp/3/rakdos-guildmage?utm_source=api	({B/R} can be paid with either {B} or {R}.) {3}{B}, Discard a card: Target creature gets -2/-2 until end of turn. {3}{R}: Create a 2/1 red Goblin creature token with haste. Exile it at the beginning of the next end step.
pcmp	Champs and States	2006-03-18	4	Voidslime	c4851768-e210-4aaf-935e-715942e198f9	covered		hard_stack, stack	false		Covered by PRM role audit.	Instant	{G}{U}{U}	3	GU	GU			already reviewed	https://scryfall.com/card/pcmp/4/voidslime?utm_source=api	Counter target spell, activated ability, or triggered ability. (Mana abilities can't be targeted.)
pcmp	Champs and States	2006-03-18	5	Urza's Factory	5a620d20-f14e-43d0-8e57-c2a197e2ec51	covered		land_base, land_slot, mana_source, token_support	false		Covered by PRM role audit.	Land — Urza's		0					already reviewed	https://scryfall.com/card/pcmp/5/urzas-factory?utm_source=api	{T}: Add {C}. {7}, {T}: Create a 2/2 colorless Assembly-Worker artifact creature token.
pcmp	Champs and States	2006-03-18	6	Serra Avenger	b91b65b3-b35c-460e-a49b-333000a9a519	covered		combat_body, combat_threat, hate_piece, stax_piece	false		Covered by PRM role audit.	Creature — Angel	{W}{W}	2	W	W	Flying, Vigilance		already reviewed	https://scryfall.com/card/pcmp/6/serra-avenger?utm_source=api	You can't cast Serra Avenger during your first, second, or third turns of the game. Flying, vigilance
pcmp	Champs and States	2006-03-18	7	Blood Knight	67fba605-9cfa-499c-83e0-4fbd023bcfa0	covered		combat_body, combat_threat, self_protection	false		Covered by PRM role audit.	Creature — Human Knight	{R}{R}	2	R	R	First strike, Protection		already reviewed	https://scryfall.com/card/pcmp/7/blood-knight?utm_source=api	First strike, protection from white
pcmp	Champs and States	2006-03-18	8	Groundbreaker	a14dc46f-b790-458e-8821-0c5646188680	covered		combat_body, combat_threat, sacrifice_support	false		Covered by PRM role audit.	Creature — Elemental	{G}{G}{G}	3	G	G	Haste, Trample		already reviewed	https://scryfall.com/card/pcmp/8/groundbreaker?utm_source=api	Trample, haste At the beginning of the end step, sacrifice this creature.
pcmp	Champs and States	2006-03-18	9	Imperious Perfect	3fa71348-fa4d-4f39-a451-cf1570591991	covered		combat_body, combat_support, token_support	false		Covered by PRM role audit.	Creature — Elf Warrior	{2}{G}	3	G	G			already reviewed	https://scryfall.com/card/pcmp/9/imperious-perfect?utm_source=api	Other Elves you control get +1/+1. {G}, {T}: Create a 1/1 green Elf Warrior creature token.
pcmp	Champs and States	2006-03-18	10	Doran, the Siege Tower	a46d96d9-8e59-4777-8208-7730b9e33240	covered		combat_body, combat_support	false		Covered by PRM role audit.	Legendary Creature — Treefolk Shaman	{W}{B}{G}	3	BGW	BGW			already reviewed	https://scryfall.com/card/pcmp/10/doran-the-siege-tower?utm_source=api	Each creature assigns combat damage equal to its toughness rather than its power.
pcmp	Champs and States	2006-03-18	11	Bramblewood Paragon	be455184-c57d-4504-8c34-3be42bc3f04b	covered		combat_body, combat_support, counter_support	false		Covered by PRM role audit.	Creature — Elf Warrior	{1}{G}	2	G	G			already reviewed	https://scryfall.com/card/pcmp/11/bramblewood-paragon?utm_source=api	Each other Warrior creature you control enters with an additional +1/+1 counter on it. Each creature you control with a +1/+1 counter on it has trample.
pcmp	Champs and States	2006-03-18	12	Mutavault	6b3cc59a-7ea5-4eb5-9bf9-5a9c07f80e2b	covered		burst_ramp, land_base, land_slot, mana_source, ramp	false		Covered by PRM role audit.	Land		0					already reviewed	https://scryfall.com/card/pcmp/12/mutavault?utm_source=api	{T}: Add {C}. {1}: This land becomes a 2/2 creature with all creature types until end of turn. It's still a land.
