setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pd3	Premium Deck Series: Graveborn	2011-11-18	1	Putrid Imp	7192ff07-9a84-49ad-a40c-ce255ce21544	covered		combat_body, combat_support	false		Covered by TOR role audit.	Creature — Zombie Imp	{B}	1	B	B	Threshold		already reviewed	https://scryfall.com/card/pd3/1/putrid-imp?utm_source=api	Discard a card: This creature gains flying until end of turn. Threshold — As long as there are seven or more cards in your graveyard, this creature gets +1/+1 and can't block.
pd3	Premium Deck Series: Graveborn	2011-11-18	2	Hidden Horror	db7c5a2f-9aea-4b14-86cf-7af79d6484af	covered	combat_body	combat_body	false		Covered by Weatherlight role audit.	Creature — Horror	{1}{B}{B}	3	B	B			already reviewed	https://scryfall.com/card/pd3/2/hidden-horror?utm_source=api	When this creature enters, sacrifice it unless you discard a creature card.
pd3	Premium Deck Series: Graveborn	2011-11-18	3	Faceless Butcher	5237a105-60c4-4597-b24e-84c12ce7b01f	covered		combat_body, targeted_removal	false		Covered by TOR role audit.	Creature — Nightmare Horror	{2}{B}{B}	4	B	B			already reviewed	https://scryfall.com/card/pd3/3/faceless-butcher?utm_source=api	When this creature enters, exile another target creature. When this creature leaves the battlefield, return the exiled card to the battlefield under its owner's control.
pd3	Premium Deck Series: Graveborn	2011-11-18	4	Twisted Abomination	139af10d-a3e5-4ade-b876-87324e6c8017	covered		card_selection, combat_body, land_acceleration, land_tutor, mana_fixing, protection, ramp, regeneration_protection, repeatable_tutor, selection, targeted_protection, tutor	false		Covered by SCG role audit.	Creature — Zombie Mutant	{5}{B}	6	B	B	Heal, Landcycling, Regenerate, Typecycling, Cycling, Swampcycling		already reviewed	https://scryfall.com/card/pd3/4/twisted-abomination?utm_source=api	{B}: Regenerate this creature. (The next time this creature would be destroyed this turn, instead tap it, remove it from combat, and heal all damage on it.) Swampcycling {2} ({2}, Discard this card: Search your library for a Swamp card, reveal it, put it into your hand, then shuffle.)
pd3	Premium Deck Series: Graveborn	2011-11-18	5	Crosis, the Purger	f1ae1dcd-76cd-4714-9df2-1ab0ebd2ca41	covered		combat_body, combat_support, combat_threat	false		Covered by INV role audit.	Legendary Creature — Dragon	{3}{U}{B}{R}	6	BRU	BRU	Flying		already reviewed	https://scryfall.com/card/pd3/5/crosis-the-purger?utm_source=api	Flying Whenever Crosis deals combat damage to a player, you may pay {2}{B}. If you do, choose a color, then that player reveals their hand and discards all cards of that color.
pd3	Premium Deck Series: Graveborn	2011-11-18	6	Avatar of Woe	2da5aa33-3794-4f83-936c-9d8640833d86	covered		combat_body, combat_support, removal, targeted_removal	false		Covered by PCY role audit.	Creature — Avatar	{6}{B}{B}	8	B	B	Fear		already reviewed	https://scryfall.com/card/pd3/6/avatar-of-woe?utm_source=api	If there are ten or more creature cards total in all graveyards, this spell costs {6} less to cast. Fear (This creature can't be blocked except by artifact creatures and/or black creatures.) {T}: Destroy target creature. It can't be regenerated.
pd3	Premium Deck Series: Graveborn	2011-11-18	7	Terastodon	17975a20-2c13-4325-be1e-0bcda5063a2d			combat_body, removal, targeted_removal				Creature — Elephant	{6}{G}{G}	8	G	G			verify analyzer roles	https://scryfall.com/card/pd3/7/terastodon?utm_source=api	When this creature enters, you may destroy up to three target noncreature permanents. For each permanent put into a graveyard this way, its controller creates a 3/3 green Elephant creature token.
pd3	Premium Deck Series: Graveborn	2011-11-18	8	Verdant Force	7a21ea22-3cd7-4c11-8895-5943c0d93a0d	covered	combat_body, token_support	combat_body, token_support	false		Covered by Tempest role audit.	Creature — Elemental	{5}{G}{G}{G}	8	G	G			already reviewed	https://scryfall.com/card/pd3/8/verdant-force?utm_source=api	At the beginning of each upkeep, create a 1/1 green Saproling creature token.
pd3	Premium Deck Series: Graveborn	2011-11-18	9	Sphinx of the Steel Wind	1c96772b-463c-4655-836b-cf6e9dc6319f			combat_body, combat_threat, lifegain, self_protection				Artifact Creature — Sphinx	{5}{W}{U}{B}	8	BUW	BUW	Flying, Lifelink, Vigilance, First strike, Protection		verify analyzer roles	https://scryfall.com/card/pd3/9/sphinx-of-the-steel-wind?utm_source=api	Flying, first strike, vigilance, lifelink, protection from red and from green
pd3	Premium Deck Series: Graveborn	2011-11-18	10	Inkwell Leviathan	dbdd0963-b395-4cb8-ad9a-ed85a3e9f2e5			combat_body, combat_support, combat_threat, landwalk_support, self_protection				Artifact Creature — Leviathan	{7}{U}{U}	9	U	U	Landwalk, Shroud, Trample, Islandwalk		verify analyzer roles	https://scryfall.com/card/pd3/10/inkwell-leviathan?utm_source=api	Trample Islandwalk (This creature can't be blocked as long as defending player controls an Island.) Shroud (This creature can't be the target of spells or abilities.)
