setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pdom	Dominaria Promos	2018-04-27	1p	Karn, Scion of Urza	060209fa-4b7d-4e08-bf8b-8759bba5641b	covered	artifact_support, card_selection, combat_support, counter_support, token_support	artifact_support, card_selection, combat_support, counter_support, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Planeswalker — Karn	{4}	4					verify analyzer roles	https://scryfall.com/card/pdom/1p/karn-scion-of-urza?utm_source=api	+1: Reveal the top two cards of your library. An opponent chooses one of them. Put that card into your hand and exile the other with a silver counter on it. −1: Put a card you own with a silver counter on it from exile into your hand. −2: Create a 0/0 colorless Construct artifact creature token with "This token gets +1/+1 for each artifact you control."
pdom	Dominaria Promos	2018-04-27	4s	Baird, Steward of Argive	69aa6809-5468-413a-94c9-562e6de93957	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Soldier	{2}{W}{W}	4	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/pdom/4s/baird-steward-of-argive?utm_source=api	Vigilance Creatures can't attack you or planeswalkers you control unless their controller pays {1} for each of those creatures.
pdom	Dominaria Promos	2018-04-27	6p	Benalish Marshal	2cc439e8-d112-44e6-bc5a-6e99333c519a	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Knight	{W}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/pdom/6p/benalish-marshal?utm_source=api	Other creatures you control get +1/+1.
pdom	Dominaria Promos	2018-04-27	12s	Danitha Capashen, Paragon	4b6377da-83e7-4519-9582-16a9c16b8faa	covered	combat_body, combat_threat, cost_reduction, lifegain, ramp	combat_body, combat_threat, cost_reduction, lifegain, ramp	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Knight	{2}{W}	3	W	W	Lifelink, Vigilance, First strike		verify analyzer roles	https://scryfall.com/card/pdom/12s/danitha-capashen-paragon?utm_source=api	First strike, vigilance, lifelink Aura and Equipment spells you cast cost {1} less to cast.
pdom	Dominaria Promos	2018-04-27	13s	Daring Archaeologist	b9d89f7c-a362-48dc-a335-f0e556e83f35	covered	card_selection, combat_body, counter_support, hand_recursion, recursion	card_selection, combat_body, counter_support, hand_recursion, recursion	false		Analyzer roles accepted during batch clean pass.	Creature — Human Artificer	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/pdom/13s/daring-archaeologist?utm_source=api	When this creature enters, you may return target artifact card from your graveyard to your hand. Whenever you cast a historic spell, put a +1/+1 counter on this creature. (Artifacts, legendaries, and Sagas are historic.)
pdom	Dominaria Promos	2018-04-27	16s	Evra, Halcyon Witness	cf4b538d-7115-406d-94bf-bfa25197b6ef	covered	combat_body, combat_threat, lifegain	combat_body, combat_threat, lifegain	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Avatar	{4}{W}{W}	6	W	W	Lifelink		verify analyzer roles	https://scryfall.com/card/pdom/16s/evra-halcyon-witness?utm_source=api	Lifelink {4}: Exchange your life total with Evra's power.
pdom	Dominaria Promos	2018-04-27	18s	Fall of the Thran	341803d9-fd29-4721-81bf-ae9b7f1c01d2	covered	hate_piece, land_denial, mass_land_denial, mass_recursion, mass_removal, removal, sacrifice_support, stax_piece	hate_piece, land_denial, mass_land_denial, mass_recursion, mass_removal, removal, sacrifice_support, stax_piece	false		Analyzer roles accepted during batch clean pass.	Enchantment — Saga	{5}{W}	6	W	W			verify analyzer roles	https://scryfall.com/card/pdom/18s/fall-of-the-thran?utm_source=api	(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — Destroy all lands. II, III — Each player returns two land cards from their graveyard to the battlefield.
pdom	Dominaria Promos	2018-04-27	21p	History of Benalia	c15bb7eb-aaaa-4468-9641-8f706d6137e8	covered		combat_support, sacrifice_support, token_support	false		Covered by PRM role audit.	Enchantment — Saga	{1}{W}{W}	3	W	W			already reviewed	https://scryfall.com/card/pdom/21p/history-of-benalia?utm_source=api	(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I, II — Create a 2/2 white Knight creature token with vigilance. III — Knights you control get +2/+1 until end of turn.
pdom	Dominaria Promos	2018-04-27	25s	Kwende, Pride of Femeref	3adebbbf-39fe-4b42-b719-2f8edb009693	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Knight	{3}{W}	4	W	W	Double strike		verify analyzer roles	https://scryfall.com/card/pdom/25s/kwende-pride-of-femeref?utm_source=api	Double strike Creatures you control with first strike have double strike.
pdom	Dominaria Promos	2018-04-27	26p	Lyra Dawnbringer	592c91fc-6430-4c76-9460-65f047350f67	covered	combat_body, combat_support, combat_threat, lifegain	combat_body, combat_support, combat_threat, lifegain	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Angel	{3}{W}{W}	5	W	W	Flying, Lifelink, First strike		verify analyzer roles	https://scryfall.com/card/pdom/26p/lyra-dawnbringer?utm_source=api	Flying First strike (This creature deals combat damage before creatures without first strike.) Lifelink (Damage dealt by this creature also causes you to gain that much life.) Other Angels you control get +1/+1 and have lifelink.
pdom	Dominaria Promos	2018-04-27	33c	Serra Angel	4b7ac066-e5c7-43e6-9e7e-2739b24a905d	covered	combat_body, combat_threat	combat_body, combat_threat	false		Covered by ATH role audit.	Creature — Angel	{3}{W}{W}	5	W	W	Flying, Vigilance		already reviewed	https://scryfall.com/card/pdom/33c/ja/%E3%82%BB%E3%83%A9%E3%81%AE%E5%A4%A9%E4%BD%BF-(serra-angel)?utm_source=api	Flying Vigilance (Attacking doesn't cause this creature to tap.)
pdom	Dominaria Promos	2018-04-27	35p	Shalai, Voice of Plenty	a0c47ab6-dfb4-46ee-a3f7-9e1521b4bb4b	covered	broad_protection, combat_body, combat_threat, counter_support, self_protection	broad_protection, combat_body, combat_threat, counter_support, self_protection	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Angel	{3}{W}	4	W	GW	Flying		verify analyzer roles	https://scryfall.com/card/pdom/35p/shalai-voice-of-plenty?utm_source=api	Flying You, planeswalkers you control, and other creatures you control have hexproof. {4}{G}{G}: Put a +1/+1 counter on each creature you control.
pdom	Dominaria Promos	2018-04-27	36s	Teshar, Ancestor's Apostle	d4193f50-33b5-4201-ba03-eb135eced7ff	covered	battlefield_recursion, card_selection, combat_body, combat_threat, recursion, repeatable_advantage	battlefield_recursion, card_selection, combat_body, combat_threat, recursion, repeatable_advantage	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Bird Cleric	{3}{W}	4	W	W	Flying		verify analyzer roles	https://scryfall.com/card/pdom/36s/teshar-ancestors-apostle?utm_source=api	Flying Whenever you cast a historic spell, return target creature card with mana value 3 or less from your graveyard to the battlefield. (Artifacts, legendaries, and Sagas are historic.)
pdom	Dominaria Promos	2018-04-27	39s	Urza's Ruinous Blast	978e0d87-3ff2-4a73-916c-ff0dc0ab2797	covered	mass_removal, removal	mass_removal, removal	false		Analyzer roles accepted during batch clean pass.	Legendary Sorcery	{4}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/pdom/39s/urzas-ruinous-blast?utm_source=api	(You may cast a legendary sorcery only if you control a legendary creature or planeswalker.) Exile all nonland permanents that aren't legendary.
