setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pf25	MagicFest 2025	2025-01-01	1	Serra the Benevolent	8b0e2382-dd91-42e6-aba3-5e8a15418a49			broad_protection, combat_support, life_total_protection, protection, replacement_engine, token_support				Legendary Planeswalker — Serra	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/pf25/1/serra-the-benevolent?utm_source=api	+2: Creatures you control with flying get +1/+1 until end of turn. −3: Create a 4/4 white Angel creature token with flying and vigilance. −6: You get an emblem with "If you control a creature, damage that would reduce your life total to less than 1 reduces it to 1 instead."
pf25	MagicFest 2025	2025-01-01	1F	Avacyn's Pilgrim	069f6530-e65c-4d52-85f3-e0a2acd148c5	covered		combat_body, ramp, stable_ramp	false		Covered by PRM role audit.	Creature — Human Monk	{G}	1	G	GW			already reviewed	https://scryfall.com/card/pf25/1F/avacyns-pilgrim?utm_source=api	{T}: Add {W}.
pf25	MagicFest 2025	2025-01-01	2	Ponder	02090581-61aa-4348-ad57-451be8ee91c2	covered		card_draw, card_selection, direct_draw, draw, selection	false		Covered by PRM role audit.	Sorcery	{U}	1	U	U			already reviewed	https://scryfall.com/card/pf25/2/ponder?utm_source=api	Look at the top three cards of your library, then put them back in any order. You may shuffle. Draw a card.
pf25	MagicFest 2025	2025-01-01	3	The First Sliver	55e4d4b2-1bd8-4c29-a21a-c014a974b715	covered		card_selection, combat_body, cost_reduction, draw, repeatable_advantage, repeatable_draw, selection	false		Covered by PRM role audit.	Legendary Creature — Sliver	{W}{U}{B}{R}{G}	5	BGRUW	BGRUW	Cascade		already reviewed	https://scryfall.com/card/pf25/3/the-first-sliver?utm_source=api	Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.) Sliver spells you cast have cascade.
pf25	MagicFest 2025	2025-01-01	4	Second City	ee164c25-aab0-4568-9be7-1c26fb401ccd			card_draw, direct_draw, draw, land_base, land_slot, lifegain, mana_source, repeatable_advantage, repeatable_draw, sacrifice_support, token_support				Land — Town		0					verify analyzer roles	https://scryfall.com/card/pf25/4/second-city?utm_source=api	{T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast your second spell in a turn. When that mana is spent, create a Deep Dish Pizza token. (It's a Food artifact with "{3}, {T}, Sacrifice this token: You gain 3 life and draw a card.")
pf25	MagicFest 2025	2025-01-01	5	Yoshimaru, Ever Faithful	963834c8-42df-4ee6-9b45-b9de88ce2eac	covered		combat_body, counter_support	false		Covered by PRM role audit.	Legendary Creature — Dog	{W}	1	W	W	Partner		already reviewed	https://scryfall.com/card/pf25/5/yoshimaru-ever-faithful?utm_source=api	Whenever another legendary permanent you control enters, put a +1/+1 counter on Yoshimaru. Partner (You can have two commanders if both have partner.)
pf25	MagicFest 2025	2025-01-01	6	Ugin, the Spirit Dragon	eecb3047-a563-441a-9175-200421981ac3	covered		card_draw, direct_draw, draw, lifegain, mass_removal, removal, repeatable_advantage, scalable_spell, targeted_removal	false		Covered by PRM role audit.	Legendary Planeswalker — Ugin	{8}	8					already reviewed	https://scryfall.com/card/pf25/6/ugin-the-spirit-dragon?utm_source=api	+2: Ugin deals 3 damage to any target. −X: Exile each permanent with mana value X or less that's one or more colors. −10: You gain 7 life, draw seven cards, then put up to seven permanent cards from your hand onto the battlefield.
pf25	MagicFest 2025	2025-01-01	7	Sliver Hive	e7286688-ffbe-4d25-ad55-27990f005368			land_base, land_slot, mana_source, token_support				Land		0					verify analyzer roles	https://scryfall.com/card/pf25/7/sliver-hive?utm_source=api	{T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a Sliver spell. {5}, {T}: Create a 1/1 colorless Sliver creature token. Activate only if you control a Sliver.
pf25	MagicFest 2025	2025-01-01	8	All-You-Can-Eat Buffet	b53be2ae-f5f3-4196-a13f-c1875192cdc8			card_draw, card_selection, direct_draw, draw, lifegain, sacrifice_support, selection				Enchantment	{2}{G}{G}	4	G	G			verify analyzer roles	https://scryfall.com/card/pf25/8/all-you-can-eat-buffet?utm_source=api	You may look at the top card of your library any time. You may play lands and cast creature spells from the top of your library. The top card of your library is a Food token. It's still a card. (It has "{2},{T}, Sacrifice this token: You gain 3 life.")
pf25	MagicFest 2025	2025-01-01	9	Tifa Lockhart	878df304-9d6d-4ce9-b65b-1439c251f3e0			combat_body, combat_threat, multiplier_support, replacement_engine				Legendary Creature — Human Monk	{1}{G}	2	G	G	Trample, Double, Landfall		verify analyzer roles	https://scryfall.com/card/pf25/9/tifa-lockhart?utm_source=api	Trample Landfall — Whenever a land you control enters, double Tifa Lockhart's power until end of turn.
pf25	MagicFest 2025	2025-01-01	10	Arcane Signet	0bc7f093-bef0-4f1a-852c-4b75ebf54838	covered		mana_fixing, ramp, stable_ramp	false		Covered by PRM role audit.	Artifact	{2}	2					already reviewed	https://scryfall.com/card/pf25/10/arcane-signet?utm_source=api	{T}: Add one mana of any color in your commander's color identity.
pf25	MagicFest 2025	2025-01-01	11	Rograkh, Son of Rohgahh	584cee10-f18c-4633-95cc-f2e7a11841ac	covered		combat_body, combat_threat	false		Covered by PRM role audit.	Legendary Creature — Kobold Warrior	{0}	0	R	R	First strike, Partner, Trample, Menace		already reviewed	https://scryfall.com/card/pf25/11/rograkh-son-of-rohgahh?utm_source=api	First strike, menace, trample Partner (You can have two commanders if both have partner.)
pf25	MagicFest 2025	2025-01-01	12	Swords to Plowshares	b1544f21-7e98-461b-aed5-e748b0168c52	covered	lifegain, removal, targeted_removal	removal, targeted_removal	false		Covered by Ice Age role audit.	Instant	{W}	1	W	W			already reviewed	https://scryfall.com/card/pf25/12/swords-to-plowshares?utm_source=api	Exile target creature. Its controller gains life equal to its power.
pf25	MagicFest 2025	2025-01-01	13	Lightning Bolt	4457ed35-7c10-48c8-9776-456485fdf070	covered	removal, targeted_removal	removal, targeted_removal	false		Covered by ATH role audit.	Instant	{R}	1	R	R			already reviewed	https://scryfall.com/card/pf25/13/lightning-bolt?utm_source=api	Lightning Bolt deals 3 damage to any target.
pf25	MagicFest 2025	2025-01-01	14	Scourge of Valkas	0a147009-a57c-4ac1-ab81-d8bd8b737631			combat_body, combat_support, combat_threat, direct_finisher, finisher, removal, scalable_spell, targeted_removal				Creature — Dragon	{2}{R}{R}{R}	5	R	R	Flying		verify analyzer roles	https://scryfall.com/card/pf25/14/scourge-of-valkas?utm_source=api	Flying Whenever this creature or another Dragon you control enters, it deals X damage to any target, where X is the number of Dragons you control. {R}: This creature gets +1/+0 until end of turn.
pf25	MagicFest 2025	2025-01-01	15	The Ur-Dragon	87b22b09-4f6d-4bc5-9cfc-663e4c7c6981			card_draw, combat_body, combat_support, combat_threat, cost_reduction, ramp, repeatable_advantage				Legendary Creature — Dragon Avatar	{4}{W}{U}{B}{R}{G}	9	BGRUW	BGRUW	Flying, Eminence		verify analyzer roles	https://scryfall.com/card/pf25/15/the-ur-dragon?utm_source=api	Eminence — As long as The Ur-Dragon is in the command zone or on the battlefield, other Dragon spells you cast cost {1} less to cast. Flying Whenever one or more Dragons you control attack, draw that many cards, then you may put a permanent card from your hand onto the battlefield.
pf25	MagicFest 2025	2025-01-01	16	Spaghetti Junction	5219c41d-c25e-41be-ba16-9933b4bc29aa			combat_support, counter_support, land_base, land_slot, mana_source, sacrifice_support, token_support				Land		0					verify analyzer roles	https://scryfall.com/card/pf25/16/spaghetti-junction?utm_source=api	{T}: Add {C}. {4}, {T}: Create a 3/2 colorless Vehicle artifact token with crew 1. Whenever a Vehicle you control attacks, put a traffic counter on this land. When this land has eight traffic counters on it, sacrifice it. If you do, create Atlantakul, a legendary 20/20 colorless Eldrazi creature token with annihilator 2.
pf25	MagicFest 2025	2025-01-01	17	J. Jonah Jameson	de861715-fd0b-493e-9a7c-c470a23044c0			burst_ramp, combat_body, combat_support, mana_fixing, ramp, token_support				Legendary Creature — Human Citizen	{2}{R}	3	R	R	Suspect, Treasure		verify analyzer roles	https://scryfall.com/card/pf25/17/j-jonah-jameson?utm_source=api	When J. Jonah Jameson enters, suspect up to one target creature. (A suspected creature has menace and can't block.) Whenever a creature you control with menace attacks, create a Treasure token.
pf25	MagicFest 2025	2025-01-01	18	Sokka, Bold Boomeranger	bdbec6d5-0f10-4114-b709-4402a44debdf			card_draw, card_selection, combat_body, counter_support, selection				Legendary Creature — Human Warrior Ally	{U}{R}	2	RU	RU			verify analyzer roles	https://scryfall.com/card/pf25/18/sokka-bold-boomeranger?utm_source=api	When Sokka enters, discard up to two cards, then draw that many cards. Whenever you cast an artifact or Lesson spell, put a +1/+1 counter on Sokka.
