setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pfdn	Foundations Promos	2024-11-15	1	Sol Ring	6ad8011d-3471-4369-9d68-b264cc027487	covered	ramp, stable_ramp	ramp, stable_ramp	false		Covered by PRM role audit.	Artifact	{1}	1					already reviewed	https://scryfall.com/card/pfdn/1/sol-ring?utm_source=api	{T}: Add {C}{C}.
pfdn	Foundations Promos	2024-11-15	1p	Sire of Seven Deaths	a15547d0-bbcb-41ee-a9ae-8325a9e7fe1f	covered	combat_body, combat_threat, lifegain, self_protection	combat_body, combat_threat, lifegain, self_protection	false		Analyzer roles accepted during batch clean pass.	Creature — Eldrazi	{7}	7			Lifelink, Reach, Vigilance, First strike, Trample, Menace, Ward		verify analyzer roles	https://scryfall.com/card/pfdn/1p/sire-of-seven-deaths?utm_source=api	First strike, vigilance Menace, trample Reach, lifelink Ward—Pay 7 life.
pfdn	Foundations Promos	2024-11-15	2s	Arahbo, the First Fang	dfec65a0-6fb6-463d-aa62-e84a427db217	covered	combat_body, combat_support, token_support	combat_body, combat_support, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Cat Avatar	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/pfdn/2s/arahbo-the-first-fang?utm_source=api	Other Cats you control get +1/+1. Whenever Arahbo or another nontoken Cat you control enters, create a 1/1 white Cat creature token.
pfdn	Foundations Promos	2024-11-15	5s	Celestial Armor	4f1b68d7-7d16-4bb1-af5f-f1708b23ca73	covered	artifact_support, combat_support, replacement_engine, self_protection, tempo_support	artifact_support, combat_support, replacement_engine, self_protection, tempo_support	false		Analyzer roles accepted during batch clean pass.	Artifact — Equipment	{2}{W}	3	W	W	Equip, Flash		verify analyzer roles	https://scryfall.com/card/pfdn/5s/celestial-armor?utm_source=api	Flash (You may cast this spell any time you could cast an instant.) When this Equipment enters, attach it to target creature you control. That creature gains hexproof and indestructible until end of turn. Equipped creature gets +2/+0 and has flying. Equip {3}{W} ({3}{W}: Attach to target creature you control. Equip only as a sorcery.)
pfdn	Foundations Promos	2024-11-15	7p	Crystal Barricade	291c7abf-9d64-4ba0-ae21-e3459edc9a95	covered	broad_protection, combat_body, combat_support, protection, self_protection	broad_protection, combat_body, combat_support, protection, self_protection	false		Analyzer roles accepted during batch clean pass.	Artifact Creature — Wall	{1}{W}	2	W	W	Defender		verify analyzer roles	https://scryfall.com/card/pfdn/7p/crystal-barricade?utm_source=api	Defender (This creature can't attack.) You have hexproof. (You can't be the target of spells or abilities your opponents control.) Prevent all noncombat damage that would be dealt to other creatures you control.
pfdn	Foundations Promos	2024-11-15	11p	Exemplar of Light	9ad730b5-8950-4215-9319-387e2970dd22	covered	card_draw, combat_body, combat_threat, counter_support, direct_draw, draw, lifegain, repeatable_advantage, repeatable_draw	card_draw, combat_body, combat_threat, counter_support, direct_draw, draw, lifegain, repeatable_advantage, repeatable_draw	false		Analyzer roles accepted during batch clean pass.	Creature — Angel	{2}{W}{W}	4	W	W	Flying		verify analyzer roles	https://scryfall.com/card/pfdn/11p/exemplar-of-light?utm_source=api	Flying Whenever you gain life, put a +1/+1 counter on this creature. Whenever you put one or more +1/+1 counters on this creature, draw a card. This ability triggers only once each turn.
pfdn	Foundations Promos	2024-11-15	17s	Herald of Eternal Dawn	4080f7e3-06d3-4d3d-9929-4e826cb66713	covered	broad_protection, combat_body, combat_threat, protection, replacement_engine, tempo_support	broad_protection, combat_body, combat_threat, protection, replacement_engine, tempo_support	false		Analyzer roles accepted during batch clean pass.	Creature — Angel	{4}{W}{W}{W}	7	W	W	Flying, Flash		verify analyzer roles	https://scryfall.com/card/pfdn/17s/herald-of-eternal-dawn?utm_source=api	Flash (You may cast this spell any time you could cast an instant.) Flying You can't lose the game and your opponents can't win the game.
pfdn	Foundations Promos	2024-11-15	22s	Raise the Past	a69a24d0-ca58-4a44-8af1-a3bd1608d2f9	covered	card_selection, mass_recursion, recursion	card_selection, mass_recursion, recursion	false		Analyzer roles accepted during batch clean pass.	Sorcery	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/pfdn/22s/raise-the-past?utm_source=api	Return all creature cards with mana value 2 or less from your graveyard to the battlefield.
pfdn	Foundations Promos	2024-11-15	23s	Skyknight Squire	7e497f6b-69e1-4fab-bb04-f687c99a8310	covered	combat_body, combat_support, counter_support	combat_body, combat_support, counter_support	false		Analyzer roles accepted during batch clean pass.	Creature — Cat Scout	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/pfdn/23s/skyknight-squire?utm_source=api	Whenever another creature you control enters, put a +1/+1 counter on this creature. As long as this creature has three or more +1/+1 counters on it, it has flying and is a Knight in addition to its other types.
pfdn	Foundations Promos	2024-11-15	27s	Valkyrie's Call	27400927-9aba-4fb3-90c4-490d01969e60	covered	counter_support, sacrifice_support	counter_support, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Enchantment	{3}{W}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/pfdn/27s/valkyries-call?utm_source=api	Whenever a nontoken, non-Angel creature you control dies, return that card to the battlefield under its owner's control with a +1/+1 counter on it. It has flying and is an Angel in addition to its other types.
pfdn	Foundations Promos	2024-11-15	30s	Archmage of Runes	28045b32-4c1a-40e5-a15d-524d0f8fe6ec	covered	card_draw, combat_body, copy_support, cost_reduction, direct_draw, draw, ramp, repeatable_advantage, repeatable_draw, spellslinger	card_draw, combat_body, copy_support, cost_reduction, direct_draw, draw, ramp, repeatable_advantage, repeatable_draw, spellslinger	false		Analyzer roles accepted during batch clean pass.	Creature — Giant Wizard	{3}{U}{U}	5	U	U			verify analyzer roles	https://scryfall.com/card/pfdn/30s/archmage-of-runes?utm_source=api	Instant and sorcery spells you cast cost {1} less to cast. Whenever you cast an instant or sorcery spell, draw a card.
pfdn	Foundations Promos	2024-11-15	34s	Curator of Destinies	9938d178-0ce6-45c0-b317-fd5c54231579	covered	card_selection, combat_body, combat_threat, face_down_support	card_selection, combat_body, combat_threat, face_down_support	false		Analyzer roles accepted during batch clean pass.	Creature — Sphinx	{4}{U}{U}	6	U	U	Flying		verify analyzer roles	https://scryfall.com/card/pfdn/34s/curator-of-destinies?utm_source=api	This spell can't be countered. Flying When this creature enters, look at the top five cards of your library and separate them into a face-down pile and a face-up pile. An opponent chooses one of those piles. Put that pile into your hand and the other into your graveyard.
pfdn	Foundations Promos	2024-11-15	35s	Drake Hatcher	4de0ccab-bb5d-4c7c-827e-36aa1d00b182	covered	combat_body, combat_support, combat_threat, counter_support, token_support	combat_body, combat_support, combat_threat, counter_support, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Wizard	{1}{U}	2	U	U	Prowess, Vigilance		verify analyzer roles	https://scryfall.com/card/pfdn/35s/drake-hatcher?utm_source=api	Vigilance, prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.) Whenever this creature deals combat damage to a player, put that many incubation counters on it. Remove three incubation counters from this creature: Create a 2/2 blue Drake creature token with flying.
