setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pfrf	Fate Reforged Promos	2015-01-23	9s	Daghatar the Adamant	7b303881-ac8d-4459-b04e-768a6804763c	covered	combat_body, combat_threat, counter_support	combat_body, combat_threat, counter_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Warrior	{3}{W}	4	W	BGW	Vigilance		verify analyzer roles	https://scryfall.com/card/pfrf/9s/daghatar-the-adamant?utm_source=api	Vigilance Daghatar enters with four +1/+1 counters on it. {1}{B/G}{B/G}: Move a +1/+1 counter from target creature onto a second target creature.
pfrf	Fate Reforged Promos	2015-01-23	11	Dragonscale General	9fc6e1db-cf09-4b8c-be4f-bb02ffe7a188	covered		combat_body, combat_support, counter_support, scalable_spell	false		Covered by PRM role audit.	Creature — Human Warrior	{3}{W}	4	W	W	Bolster		already reviewed	https://scryfall.com/card/pfrf/11/dragonscale-general?utm_source=api	At the beginning of your end step, bolster X, where X is the number of tapped creatures you control. (Choose a creature with the least toughness among creatures you control and put X +1/+1 counters on it.)
pfrf	Fate Reforged Promos	2015-01-23	19s	Mastery of the Unseen	ae0701c1-7a99-46fe-bcb1-ea33ad2a0fc9	covered		face_down_support, lifegain	false		Covered by PRM role audit.	Enchantment	{1}{W}	2	W	W	Manifest		already reviewed	https://scryfall.com/card/pfrf/19s/mastery-of-the-unseen?utm_source=api	Whenever a permanent you control is turned face up, you gain 1 life for each creature you control. {3}{W}: Manifest the top card of your library. (Put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)
pfrf	Fate Reforged Promos	2015-01-23	22s	Rally the Ancestors	9d612686-2d7f-49a3-b9c4-1e99a30134f6	covered	battlefield_recursion, card_selection, mana_sink, mass_recursion, recursion, scalable_spell	battlefield_recursion, card_selection, mana_sink, mass_recursion, recursion, scalable_spell	false		Analyzer roles accepted during batch clean pass.	Instant	{X}{W}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/pfrf/22s/rally-the-ancestors?utm_source=api	Return each creature card with mana value X or less from your graveyard to the battlefield. Exile those creatures at the beginning of your next upkeep. Exile Rally the Ancestors.
pfrf	Fate Reforged Promos	2015-01-23	27s	Soulfire Grand Master	e65769f4-50ae-482b-933b-ac5cf3843f2a	covered	combat_body, combat_threat, lifegain	combat_body, combat_threat, lifegain	false		Analyzer roles accepted during batch clean pass.	Creature — Human Monk	{1}{W}	2	W	RUW	Lifelink		verify analyzer roles	https://scryfall.com/card/pfrf/27s/soulfire-grand-master?utm_source=api	Lifelink Instant and sorcery spells you control have lifelink. {2}{U/R}{U/R}: The next time you cast an instant or sorcery spell from your hand this turn, put that card into your hand instead of into your graveyard as it resolves.
pfrf	Fate Reforged Promos	2015-01-23	36s	Jeskai Infiltrator	39b359c1-48b8-43a7-b972-54764eadd2c7	covered		combat_body, combat_support, face_down_support	false		Covered by PRM role audit.	Creature — Human Monk	{2}{U}	3	U	U	Manifest		already reviewed	https://scryfall.com/card/pfrf/36s/jeskai-infiltrator?utm_source=api	This creature can't be blocked as long as you control no other creatures. When this creature deals combat damage to a player, exile it and the top card of your library in a face-down pile, shuffle that pile, then manifest those cards. (To manifest a card, put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)
pfrf	Fate Reforged Promos	2015-01-23	50	Sage-Eye Avengers	97a1b49e-d6bc-46ba-88c1-991057e64170	covered		combat_body, combat_support, removal, tempo_removal	false		Covered by PRM role audit.	Creature — Djinn Monk	{4}{U}{U}	6	U	U	Prowess		already reviewed	https://scryfall.com/card/pfrf/50/sage-eye-avengers?utm_source=api	Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.) Whenever this creature attacks, you may return target creature to its owner's hand if its power is less than this creature's power.
pfrf	Fate Reforged Promos	2015-01-23	52s	Shu Yun, the Silent Tempest	7b22f31c-9caa-4afd-8c44-f88346bfa79c	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Monk	{2}{U}	3	U	RUW	Prowess		verify analyzer roles	https://scryfall.com/card/pfrf/52s/shu-yun-the-silent-tempest?utm_source=api	Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.) Whenever you cast a noncreature spell, you may pay {R/W}{R/W}. If you do, target creature gains double strike until end of turn.
pfrf	Fate Reforged Promos	2015-01-23	54	Supplant Form	7e49f689-996a-477e-a327-32b69fbc0d85	covered		copy_support, removal, tempo_removal, token_support	false		Covered by PRM role audit.	Instant	{4}{U}{U}	6	U	U			already reviewed	https://scryfall.com/card/pfrf/54/supplant-form?utm_source=api	Return target creature to its owner's hand. You create a token that's a copy of that creature.
pfrf	Fate Reforged Promos	2015-01-23	56s	Torrent Elemental	0335e7db-5e0e-4271-8ae7-437a1d2c16ac	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Elemental	{4}{U}	5	U	BGU	Flying		verify analyzer roles	https://scryfall.com/card/pfrf/56s/torrent-elemental?utm_source=api	Flying Whenever this creature attacks, tap all creatures defending player controls. {3}{B/G}{B/G}: Put this card from exile onto the battlefield tapped. Activate only as a sorcery.
