setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pgrn	Guilds of Ravnica Promos	2018-10-05	4s	Citywide Bust	3ac01298-e45b-4ea0-8379-2074279716a4			mass_removal, removal				Sorcery	{1}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/pgrn/4s/citywide-bust?utm_source=api	Destroy all creatures with toughness 4 or greater.
pgrn	Guilds of Ravnica Promos	2018-10-05	6	Conclave Tribunal	e938ee4c-d5df-4d93-bd61-9e518fb1dc30			cost_reduction, removal, targeted_removal				Enchantment	{3}{W}	4	W	W	Convoke		verify analyzer roles	https://scryfall.com/card/pgrn/6/conclave-tribunal?utm_source=api	Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) When this enchantment enters, exile target nonland permanent an opponent controls until this enchantment leaves the battlefield.
pgrn	Guilds of Ravnica Promos	2018-10-05	8p	Dawn of Hope	d7a38484-2acc-49a6-b32d-d54dddb14d31			card_draw, direct_draw, draw, lifegain, repeatable_advantage, repeatable_draw, token_support				Enchantment	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/pgrn/8p/dawn-of-hope?utm_source=api	Whenever you gain life, you may pay {2}. If you do, draw a card. {3}{W}: Create a 1/1 white Soldier creature token with lifelink.
pgrn	Guilds of Ravnica Promos	2018-10-05	10p	Divine Visitation	5917216f-5b42-41fa-8976-401bdbeb782e			replacement_engine				Enchantment	{3}{W}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/pgrn/10p/divine-visitation?utm_source=api	If one or more creature tokens would be created under your control, that many 4/4 white Angel creature tokens with flying and vigilance are created instead.
pgrn	Guilds of Ravnica Promos	2018-10-05	19s	Light of the Legion	79fc0d30-9b9b-400c-a614-c3a1f90a5380			combat_body, combat_support, combat_threat, counter_support, sacrifice_support				Creature — Angel	{4}{W}{W}	6	W	W	Flying, Mentor		verify analyzer roles	https://scryfall.com/card/pgrn/19s/light-of-the-legion?utm_source=api	Flying Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.) When this creature dies, put a +1/+1 counter on each white creature you control.
pgrn	Guilds of Ravnica Promos	2018-10-05	30p	Venerated Loxodon	d157a9df-59bc-40ad-b62b-43f973f14be1			combat_body, cost_reduction, counter_support				Creature — Elephant Cleric	{4}{W}	5	W	W	Convoke		verify analyzer roles	https://scryfall.com/card/pgrn/30p/venerated-loxodon?utm_source=api	Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) When this creature enters, put a +1/+1 counter on each creature that convoked it.
pgrn	Guilds of Ravnica Promos	2018-10-05	39p	Drowned Secrets	cab305d9-27fb-4a41-adf1-892e15167cb9			mill_support				Enchantment	{1}{U}	2	U	U	Mill		verify analyzer roles	https://scryfall.com/card/pgrn/39p/drowned-secrets?utm_source=api	Whenever you cast a blue spell, target player mills two cards.
pgrn	Guilds of Ravnica Promos	2018-10-05	44p	Mission Briefing	c3a68018-9eff-47e6-a612-182886d28fe3			card_selection, replacement_engine, selection				Instant	{U}{U}	2	U	U	Surveil		verify analyzer roles	https://scryfall.com/card/pgrn/44p/mission-briefing?utm_source=api	Surveil 2, then choose an instant or sorcery card in your graveyard. You may cast it this turn. If that spell would be put into your graveyard, exile it instead. (To surveil 2, look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)
pgrn	Guilds of Ravnica Promos	2018-10-05	47s	Narcomoeba	dc65bb62-4ba2-4ec1-b3b9-9c51e64cbfc8			combat_body, combat_threat				Creature — Illusion	{1}{U}	2	U	U	Flying		verify analyzer roles	https://scryfall.com/card/pgrn/47s/narcomoeba?utm_source=api	Flying When this card is put into your graveyard from your library, you may put it onto the battlefield.
pgrn	Guilds of Ravnica Promos	2018-10-05	51p	Quasiduplicate	76b709ae-5765-4b7a-99c9-89eade7c8cb8			copy_support, graveyard_support, token_support				Sorcery	{1}{U}{U}	3	U	U	Jump, Jump-start		verify analyzer roles	https://scryfall.com/card/pgrn/51p/quasiduplicate?utm_source=api	Create a token that's a copy of target creature you control. Jump-start (You may cast this card from your graveyard by discarding a card in addition to paying its other costs. Then exile this card.)
