setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pgtc	Gatecrash Promos	2013-01-26	A11	Angelic Skirmisher	29e07d57-0f05-441c-844f-cf1d71102b2d			combat_body, combat_threat, lifegain				Creature — Angel	{4}{W}{W}	6	W	W	Flying, Vigilance		verify analyzer roles	https://scryfall.com/card/pgtc/A11/angelic-skirmisher?utm_source=api	Flying At the beginning of each combat, choose first strike, vigilance, or lifelink. Creatures you control gain that ability until end of turn.
pgtc	Gatecrash Promos	2013-01-26	133★	Skarrg Goliath	72350461-8231-4737-a57f-f20fb5d179a3	covered		combat_body, combat_support, combat_threat	false		Covered by PRM role audit.	Creature — Beast	{6}{G}{G}	8	G	G	Bloodrush, Trample		already reviewed	https://scryfall.com/card/pgtc/133%E2%98%85/skarrg-goliath?utm_source=api	Trample Bloodrush — {5}{G}{G}, Discard this card: Target attacking creature gets +9/+9 and gains trample until end of turn.
pgtc	Gatecrash Promos	2013-01-26	152★	Consuming Aberration	9b55fb72-237d-4935-b645-8ebc6eb4140e	covered		combat_body, combat_support	false		Covered by PRM role audit.	Creature — Horror	{3}{U}{B}	5	BU	BU			already reviewed	https://scryfall.com/card/pgtc/152%E2%98%85/consuming-aberration?utm_source=api	Consuming Aberration's power and toughness are each equal to the number of cards in your opponents' graveyards. Whenever you cast a spell, each opponent reveals cards from the top of their library until they reveal a land card, then puts those cards into their graveyard.
pgtc	Gatecrash Promos	2013-01-26	162★	Fathom Mage	93d0e129-e3b5-4aff-9e50-f34771ed00ff	covered		card_draw, combat_body, counter_support, direct_draw, draw, repeatable_advantage, repeatable_draw	false		Covered by PRM role audit.	Creature — Human Wizard	{2}{G}{U}	4	GU	GU	Evolve		already reviewed	https://scryfall.com/card/pgtc/162%E2%98%85/fathom-mage?utm_source=api	Evolve (Whenever a creature you control enters, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.) Whenever a +1/+1 counter is put on this creature, you may draw a card.
pgtc	Gatecrash Promos	2013-01-26	163	Firemane Avenger	7ea71a36-8fa8-4ba3-9cb1-7fc6917c3ddd	covered		combat_body, combat_support, combat_threat, lifegain, removal, targeted_removal	false		Covered by PRM role audit.	Creature — Angel	{2}{R}{W}	4	RW	RW	Flying, Battalion		already reviewed	https://scryfall.com/card/pgtc/163/firemane-avenger?utm_source=api	Flying Battalion — Whenever this creature and at least two other creatures attack, this creature deals 3 damage to any target and you gain 3 life.
pgtc	Gatecrash Promos	2013-01-26	165★	Foundry Champion	d1c44856-ca53-4b6e-902e-8d9c6fe1f61c	covered		combat_body, combat_support	false		Covered by PRM role audit.	Creature — Elemental Soldier	{4}{R}{W}	6	RW	RW			already reviewed	https://scryfall.com/card/pgtc/165%E2%98%85/foundry-champion?utm_source=api	When this creature enters, it deals damage to any target equal to the number of creatures you control. {R}: This creature gets +1/+0 until end of turn. {W}: This creature gets +0/+1 until end of turn.
pgtc	Gatecrash Promos	2013-01-26	191★	Rubblehulk	063960e0-3f9c-4697-ba5e-81c56ac1b5d2	covered		combat_body, combat_support, scalable_spell	false		Covered by PRM role audit.	Creature — Elemental	{4}{R}{G}	6	GR	GR	Bloodrush		already reviewed	https://scryfall.com/card/pgtc/191%E2%98%85/rubblehulk?utm_source=api	Rubblehulk's power and toughness are each equal to the number of lands you control. Bloodrush — {1}{R}{G}, Discard this card: Target attacking creature gets +X/+X until end of turn, where X is the number of lands you control.
pgtc	Gatecrash Promos	2013-01-26	201★	Treasury Thrull	34161ec4-5d99-45e6-b43c-c8d28958660a	covered		card_selection, combat_body, combat_support, direct_finisher, finisher, hand_recursion, lifegain, recursion, repeatable_advantage, repeatable_finisher	false		Covered by PRM role audit.	Creature — Thrull	{4}{W}{B}	6	BW	BW	Extort		already reviewed	https://scryfall.com/card/pgtc/201%E2%98%85/treasury-thrull?utm_source=api	Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.) Whenever this creature attacks, you may return target artifact, creature, or enchantment card from your graveyard to your hand.
pgtc	Gatecrash Promos	2013-01-26	209	Zameck Guildmage	98250fad-7fd0-431e-a87e-551185d26ec1	covered		card_draw, combat_body, counter_support, direct_draw, draw, repeatable_advantage, repeatable_draw	false		Covered by PRM role audit.	Creature — Elf Wizard	{G}{U}	2	GU	GU			already reviewed	https://scryfall.com/card/pgtc/209/zameck-guildmage?utm_source=api	{G}{U}: This turn, each creature you control enters with an additional +1/+1 counter on it. {G}{U}, Remove a +1/+1 counter from a creature you control: Draw a card.
pgtc	Gatecrash Promos	2013-01-26	222★	Nightveil Specter	4ce83f8c-b27e-4e5b-b19b-76b66aaa904b	covered		card_selection, combat_body, combat_support, combat_threat, repeatable_advantage, repeatable_draw, selection	false		Covered by PRM role audit.	Creature — Specter	{U/B}{U/B}{U/B}	3	BU	BU	Flying		already reviewed	https://scryfall.com/card/pgtc/222%E2%98%85/nightveil-specter?utm_source=api	Flying Whenever this creature deals combat damage to a player, that player exiles the top card of their library. You may play lands and cast spells from among cards exiled with this creature.
