setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pidw	IDW Comics Inserts	2012-01-01	1	Treasure Hunt	05079479-86a6-4041-a395-83d325b6ddb7	covered		card_draw, card_selection, draw, restricted_tutor, selection, tutor	false		Covered by PRM role audit.	Sorcery	{1}{U}	2	U	U			already reviewed	https://scryfall.com/card/pidw/1/treasure-hunt?utm_source=api	Reveal cards from the top of your library until you reveal a nonland card, then put all cards revealed this way into your hand.
pidw	IDW Comics Inserts	2012-01-01	2	Faithless Looting	3d6fa57a-aa53-4b5c-b8af-a7612c823117			card_draw, card_selection, direct_draw, draw, graveyard_support, selection				Sorcery	{R}	1	R	R	Flashback		verify analyzer roles	https://scryfall.com/card/pidw/2/faithless-looting?utm_source=api	Draw two cards, then discard two cards. Flashback {2}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
pidw	IDW Comics Inserts	2012-01-01	3	Electrolyze	07b222d7-24f2-4994-9004-ff6672ebe161	covered		card_draw, direct_draw, draw	false		Covered by PRM role audit.	Instant	{1}{U}{R}	3	RU	RU			already reviewed	https://scryfall.com/card/pidw/3/electrolyze?utm_source=api	Electrolyze deals 2 damage divided as you choose among one or two targets. Draw a card.
pidw	IDW Comics Inserts	2012-01-01	4	Feast of Blood	fed05740-01b2-4c7a-8b97-55e64837c07f			lifegain, removal, targeted_removal				Sorcery	{1}{B}	2	B	B			verify analyzer roles	https://scryfall.com/card/pidw/4/feast-of-blood?utm_source=api	Cast this spell only if you control two or more Vampires. Destroy target creature. You gain 4 life.
pidw	IDW Comics Inserts	2012-01-01	5	Arrest	81728b98-8cf9-4734-a318-69184bb4d15c	covered		combat_support, removal, targeted_removal	false		Covered by MMQ role audit.	Enchantment — Aura	{2}{W}	3	W	W	Enchant		already reviewed	https://scryfall.com/card/pidw/5/arrest?utm_source=api	Enchant creature Enchanted creature can't attack or block, and its activated abilities can't be activated.
pidw	IDW Comics Inserts	2012-01-01	6	Consume Spirit	861fa80d-99e0-4332-a2b8-5aa959fd41a4			direct_finisher, finisher, lifegain, mana_sink, removal, scalable_spell, targeted_removal				Sorcery	{X}{1}{B}	2	B	B			verify analyzer roles	https://scryfall.com/card/pidw/6/consume-spirit?utm_source=api	Spend only black mana on X. Consume Spirit deals X damage to any target and you gain X life.
pidw	IDW Comics Inserts	2012-01-01	7	Standstill	fea4cb32-0329-4199-9abe-bff0cc45882a	covered		card_draw, sacrifice_support	false		Covered by ODY role audit.	Enchantment	{1}{U}	2	U	U			already reviewed	https://scryfall.com/card/pidw/7/standstill?utm_source=api	When a player casts a spell, sacrifice this enchantment. If you do, each of that player's opponents draws three cards.
pidw	IDW Comics Inserts	2012-01-01	8	Breath of Malfegor	81e6ade9-a38f-4655-b09c-9ca41a11face			direct_finisher, finisher				Instant	{3}{B}{R}	5	BR	BR			verify analyzer roles	https://scryfall.com/card/pidw/8/breath-of-malfegor?utm_source=api	Breath of Malfegor deals 5 damage to each opponent.
pidw	IDW Comics Inserts	2012-01-01	9	Turnabout	715d0777-4d36-463b-9102-6bb6bb00b7e9	covered		ramp, tap_untap, tempo_support	false		Covered by USG role audit.	Instant	{2}{U}{U}	4	U	U			already reviewed	https://scryfall.com/card/pidw/9/turnabout?utm_source=api	Choose artifact, creature, or land. Tap all untapped permanents of the chosen type target player controls, or untap all tapped permanents of that type that player controls.
pidw	IDW Comics Inserts	2012-01-01	10	Voidmage Husher	cdb1f944-a5ac-4683-a4eb-eebb82feea8d			broad_stack, combat_body, replacement_engine, stack, tempo_support				Creature — Human Wizard	{3}{U}	4	U	U	Flash		verify analyzer roles	https://scryfall.com/card/pidw/10/voidmage-husher?utm_source=api	Flash (You may cast this spell any time you could cast an instant.) When this creature enters, counter target activated ability. (Mana abilities can't be targeted.) Whenever you cast a spell, you may return this creature to its owner's hand.
