setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
piko	Ikoria: Lair of Behemoths Promos	2020-04-24	7p	Cubwarden	8c1b3f1b-40d8-4cd5-bedf-92c3c534be84	covered		combat_body, combat_support, combat_threat, lifegain, token_support	false		Covered by PRM role audit.	Creature — Cat	{3}{W}	4	W	W	Lifelink, Mutate		already reviewed	https://scryfall.com/card/piko/7p/cubwarden?utm_source=api	Mutate {2}{W}{W} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.) Lifelink Whenever this creature mutates, create two 1/1 white Cat creature tokens with lifelink.
piko	Ikoria: Lair of Behemoths Promos	2020-04-24	11p	Drannith Magistrate	aadd10d0-6dd0-4bdc-8d93-ff08e29a5863	covered		combat_body, hate_piece, soft_stack, stack, stax_piece	false		Covered by PRM role audit.	Creature — Human Wizard	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/piko/11p/drannith-magistrate?utm_source=api	Your opponents can't cast spells from anywhere other than their hands.
piko	Ikoria: Lair of Behemoths Promos	2020-04-24	19p	Lavabrink Venturer	ea66ffa3-d084-434f-91a6-fdff49806285	covered		combat_body, self_protection	false		Covered by PRM role audit.	Creature — Human Soldier	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/piko/19p/lavabrink-venturer?utm_source=api	As this creature enters, choose odd or even. (Zero is even.) This creature has protection from each mana value of the chosen quality.
piko	Ikoria: Lair of Behemoths Promos	2020-04-24	21p	Luminous Broodmoth	28c7c816-07e7-42fb-923c-bf149ba28b38	covered		combat_body, combat_threat, counter_support, sacrifice_support	false		Covered by PRM role audit.	Creature — Insect	{2}{W}{W}	4	W	W	Flying		already reviewed	https://scryfall.com/card/piko/21p/luminous-broodmoth?utm_source=api	Flying Whenever a creature you control without flying dies, return it to the battlefield under its owner's control with a flying counter on it.
piko	Ikoria: Lair of Behemoths Promos	2020-04-24	24p	Mythos of Snapdax	4b0b4d16-1d2b-497e-a1ae-bfb89eece665	covered		targeted_removal	false		Covered by PRM role audit.	Sorcery	{2}{W}{W}	4	W	BRW			already reviewed	https://scryfall.com/card/piko/24p/mythos-of-snapdax?utm_source=api	Each player chooses an artifact, a creature, an enchantment, and a planeswalker from among the nonland permanents they control, then sacrifices the rest. If {B}{R} was spent to cast this spell, you choose the permanents for each player instead.
piko	Ikoria: Lair of Behemoths Promos	2020-04-24	58p	Mythos of Illuna	42b10f0f-19cd-45d2-a2db-d5463ddc5e5b	covered		copy_support, token_support	false		Covered by PRM role audit.	Sorcery	{2}{U}{U}	4	U	GRU	Fight		already reviewed	https://scryfall.com/card/piko/58p/mythos-of-illuna?utm_source=api	Create a token that's a copy of target permanent. If {R}{G} was spent to cast this spell, instead create a token that's a copy of that permanent, except the token has "When this token enters, if it's a creature, it fights up to one target creature you don't control."
piko	Ikoria: Lair of Behemoths Promos	2020-04-24	66p	Sea-Dasher Octopus	0b718d21-6873-4613-ad15-660d30527fcd	covered		card_draw, combat_body, combat_support, direct_draw, draw, repeatable_advantage, repeatable_draw	false		Covered by PRM role audit.	Creature — Octopus	{1}{U}{U}	3	U	U	Mutate, Flash		already reviewed	https://scryfall.com/card/piko/66p/sea-dasher-octopus?utm_source=api	Mutate {1}{U} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.) Flash Whenever this creature deals combat damage to a player, draw a card.
piko	Ikoria: Lair of Behemoths Promos	2020-04-24	67p	Shark Typhoon	8c0520fa-276b-4d21-b4a9-dce1fce59f6b	covered		card_draw, combat_support, direct_draw, draw, repeatable_advantage, repeatable_draw, scalable_spell, selection, token_support	false		Covered by PRM role audit.	Enchantment	{5}{U}	6	U	U	Cycling		already reviewed	https://scryfall.com/card/piko/67p/shark-typhoon?utm_source=api	Whenever you cast a noncreature spell, create an X/X blue Shark creature token with flying, where X is that spell's mana value. Cycling {X}{1}{U} ({X}{1}{U}, Discard this card: Draw a card.) When you cycle this card, create an X/X blue Shark creature token with flying.
piko	Ikoria: Lair of Behemoths Promos	2020-04-24	70p	Voracious Greatshark	5d96840e-f9b3-4c86-8f59-f12e5736318f	covered		combat_body, hard_stack, replacement_engine, stack, tempo_support	false		Covered by PRM role audit.	Creature — Shark	{3}{U}{U}	5	U	U	Flash		already reviewed	https://scryfall.com/card/piko/70p/voracious-greatshark?utm_source=api	Flash (You may cast this spell any time you could cast an instant.) When this creature enters, counter target artifact or creature spell.
piko	Ikoria: Lair of Behemoths Promos	2020-04-24	84p	Dirge Bat	4746828f-46ea-439f-88de-5e54cc536545	covered		combat_body, combat_support, combat_threat, removal, targeted_removal	false		Covered by PRM role audit.	Creature — Bat	{2}{B}{B}	4	B	B	Flying, Mutate, Flash		already reviewed	https://scryfall.com/card/piko/84p/dirge-bat?utm_source=api	Mutate {4}{B}{B} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.) Flash Flying Whenever this creature mutates, destroy target creature or planeswalker an opponent controls.
piko	Ikoria: Lair of Behemoths Promos	2020-04-24	88p	Extinction Event	0a11a3a8-ee5f-4caf-bf84-c8248e07c825	covered		mass_removal, removal	false		Covered by PRM role audit.	Sorcery	{3}{B}	4	B	B			already reviewed	https://scryfall.com/card/piko/88p/extinction-event?utm_source=api	Choose odd or even. Exile each creature with mana value of the chosen quality. (Zero is even.)
piko	Ikoria: Lair of Behemoths Promos	2020-04-24	92p	Hunted Nightmare	b5aae2f9-ced6-41d3-9121-418831ef5b8f	covered		combat_body, combat_threat, counter_support	false		Covered by PRM role audit.	Creature — Nightmare	{1}{B}{B}	3	B	B	Menace		already reviewed	https://scryfall.com/card/piko/92p/hunted-nightmare?utm_source=api	Menace When this creature enters, target opponent puts a deathtouch counter on a creature they control.
piko	Ikoria: Lair of Behemoths Promos	2020-04-24	97p	Mythos of Nethroi	16da72a3-d980-4dd8-99f2-8191cce00978	covered		removal, targeted_removal	false		Covered by PRM role audit.	Instant	{2}{B}	3	B	BGW			already reviewed	https://scryfall.com/card/piko/97p/mythos-of-nethroi?utm_source=api	Destroy target nonland permanent if it's a creature or if {G}{W} was spent to cast this spell.
piko	Ikoria: Lair of Behemoths Promos	2020-04-24	114p	Everquill Phoenix	56ba78c1-d1eb-4cc1-b70d-98c35d2972ba	covered		battlefield_recursion, card_selection, combat_body, combat_support, combat_threat, recursion, repeatable_advantage, sacrifice_support, token_support	false		Covered by PRM role audit.	Creature — Phoenix	{2}{R}{R}	4	R	R	Flying, Mutate		already reviewed	https://scryfall.com/card/piko/114p/everquill-phoenix?utm_source=api	Mutate {3}{R} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.) Flying Whenever this creature mutates, create a red artifact token named Feather with "{1}, Sacrifice this token: Return target Phoenix card from your graveyard to the battlefield tapped."
