setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pjjt	Japan Junior Tournament	2003-01-01	1N03	Volcanic Hammer	98fa5a06-0553-40fd-999c-bc31c9b3f4db	covered	removal, targeted_removal	removal, targeted_removal	false		Covered by Portal role audit.	Sorcery	{1}{R}	2	R	R			already reviewed	https://scryfall.com/card/pjjt/1N03/ja/volcanic-hammer?utm_source=api	Volcanic Hammer deals 3 damage to any target.
pjjt	Japan Junior Tournament	2003-01-01	1N04	Giant Growth	5748ebf1-24e3-499d-ab7c-c2cebd462a24	covered	combat_support	combat_support	false		Covered by Ice Age role audit.	Instant	{G}	1	G	G			already reviewed	https://scryfall.com/card/pjjt/1N04/ja/giant-growth?utm_source=api	Target creature gets +3/+3 until end of turn.
pjjt	Japan Junior Tournament	2003-01-01	1N05	Slith Firewalker	ea1af948-686d-4b40-ad4e-cb48a0258269	covered		combat_body, combat_support, combat_threat, counter_support	false		Covered by PSUS role audit.	Creature — Slith	{R}{R}	2	R	R	Haste		already reviewed	https://scryfall.com/card/pjjt/1N05/ja/slith-firewalker?utm_source=api	Haste Whenever this creature deals combat damage to a player, put a +1/+1 counter on it.
pjjt	Japan Junior Tournament	2003-01-01	1N06	Sakura-Tribe Elder	e3afc704-220f-498f-9eaa-0821b17dc24c	covered		combat_body, land_acceleration, land_tutor, mana_fixing, ramp, sacrifice_support, tutor	false		Covered by PSUS role audit.	Creature — Snake Shaman	{1}{G}	2	G	G			already reviewed	https://scryfall.com/card/pjjt/1N06/ja/%E6%A1%9C%E6%97%8F%E3%81%AE%E9%95%B7%E8%80%81-(sakura-tribe-elder)?utm_source=api	Sacrifice this creature: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
pjjt	Japan Junior Tournament	2003-01-01	1N07	Soltari Priest	f8c9cb9f-3a37-4004-9cde-f51ca5579e1a	covered	combat_body, combat_threat, self_protection	combat_body, combat_threat, self_protection	false		Covered by Tempest role audit.	Creature — Soltari Cleric	{W}{W}	2	W	W	Shadow, Protection		already reviewed	https://scryfall.com/card/pjjt/1N07/ja/soltari-priest?utm_source=api	Protection from red Shadow (This creature can block or be blocked by only creatures with shadow.)
pjjt	Japan Junior Tournament	2003-01-01	1N08	Glorious Anthem	e3886fe8-9b76-4613-8891-4ec74657c087	covered		combat_support	false		Covered by USG role audit.	Enchantment	{1}{W}{W}	3	W	W			already reviewed	https://scryfall.com/card/pjjt/1N08/ja/glorious-anthem?utm_source=api	Creatures you control get +1/+1.
pjjt	Japan Junior Tournament	2003-01-01	2N04	Two-Headed Dragon	a4fa3052-d1ec-4442-a832-15ba36c500ee	covered		combat_body, combat_support, combat_threat	false		Covered by MMQ role audit.	Creature — Dragon	{4}{R}{R}	6	R	R	Flying, Menace		already reviewed	https://scryfall.com/card/pjjt/2N04/ja/two-headed-dragon?utm_source=api	Flying Menace (This creature can't be blocked except by two or more creatures.) This creature can block an additional creature each combat. {1}{R}: This creature gets +2/+0 until end of turn.
pjjt	Japan Junior Tournament	2003-01-01	2N05	Royal Assassin	9ed6f28f-a3db-48c5-9ab0-b90a7fba5f57	covered	combat_body, removal, targeted_removal	combat_body, removal, targeted_removal	false		Covered by PSUS role audit.	Creature — Human Assassin	{1}{B}{B}	3	B	B			already reviewed	https://scryfall.com/card/pjjt/2N05/ja/royal-assassin?utm_source=api	{T}: Destroy target tapped creature.
pjjt	Japan Junior Tournament	2003-01-01	2N06	Shard Phoenix	3b629793-0efb-4d60-9d82-38b7b400abfd	covered	card_selection, combat_body, combat_support, combat_threat, hand_recursion, mass_removal, removal, repeatable_advantage, sacrifice_support	card_selection, combat_body, combat_support, combat_threat, hand_recursion, mass_removal, removal, repeatable_advantage, sacrifice_support	false		Covered by Stronghold role audit.	Creature — Phoenix	{4}{R}	5	R	R	Flying		already reviewed	https://scryfall.com/card/pjjt/2N06/ja/shard-phoenix?utm_source=api	Flying (This creature can't be blocked except by creatures with flying or reach.) Sacrifice this creature: It deals 2 damage to each creature without flying. {R}{R}{R}: Return this card from your graveyard to your hand. Activate only during your upkeep.
pjjt	Japan Junior Tournament	2003-01-01	2N07	Whirling Dervish	43f89524-4b22-4707-9aba-6eb4c01d75dc	covered	combat_body, counter_support, self_protection	combat_body, counter_support, self_protection	false		Covered by Legends role audit.	Creature — Human Monk	{G}{G}	2	G	G	Protection		already reviewed	https://scryfall.com/card/pjjt/2N07/ja/whirling-dervish?utm_source=api	Protection from black At the beginning of each end step, if this creature dealt damage to an opponent this turn, put a +1/+1 counter on it.
pjjt	Japan Junior Tournament	2003-01-01	2N08	Elvish Champion	7e40f37c-9a0c-40e0-b195-7ea94b12f798	covered		combat_body, combat_support, landwalk_support	false		Covered by PSUS role audit.	Creature — Elf	{1}{G}{G}	3	G	G			already reviewed	https://scryfall.com/card/pjjt/2N08/ja/elvish-champion?utm_source=api	Other Elf creatures get +1/+1 and have forestwalk. (They can't be blocked as long as defending player controls a Forest.)
pjjt	Japan Junior Tournament	2003-01-01	3N08	Mad Auntie	b582b696-17fa-4eea-8124-293f9bd3a208	covered		combat_body, combat_support	false		Covered by PSUS role audit.	Creature — Goblin Shaman	{2}{B}	3	B	B	Regenerate		already reviewed	https://scryfall.com/card/pjjt/3N08/ja/mad-auntie?utm_source=api	Other Goblin creatures you control get +1/+1. {T}: Regenerate another target Goblin.
