setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pkhm	Kaldheim Promos	2021-02-05	1	Fiendish Duo	ab0dfae5-b9d4-417b-8a0d-2525ae3a73b9	covered	combat_body, combat_support, combat_threat, multiplier_support, replacement_engine	combat_body, combat_support, combat_threat, multiplier_support, replacement_engine	false		Analyzer roles accepted during batch clean pass.	Creature — Devil	{4}{R}{R}	6	R	R	First strike, Double		verify analyzer roles	https://scryfall.com/card/pkhm/1/ja/%E6%A5%B5%E6%82%AA%E3%81%AA%E4%BA%8C%E4%BA%BA%E7%B5%84-(fiendish-duo)?utm_source=api	First strike (This creature deals combat damage before creatures without first strike.) If a source would deal damage to an opponent, it deals double that damage to that player instead.
pkhm	Kaldheim Promos	2021-02-05	2★	Lathril, Blade of the Elves	9b568c34-ba0a-44a7-a0ee-bee3a37b3396	covered	combat_body, combat_support, combat_threat, direct_finisher, finisher, lifegain, repeatable_finisher, token_support	combat_body, combat_support, combat_threat, direct_finisher, finisher, lifegain, repeatable_finisher, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Elf Noble	{2}{B}{G}	4	BG	BG	Menace		verify analyzer roles	https://scryfall.com/card/pkhm/2%E2%98%85/lathril-blade-of-the-elves?utm_source=api	Menace (This creature can't be blocked except by two or more creatures.) Whenever Lathril deals combat damage to a player, create that many 1/1 green Elf Warrior creature tokens. {T}, Tap ten untapped Elves you control: Each opponent loses 10 life and you gain 10 life.
pkhm	Kaldheim Promos	2021-02-05	9p	Doomskar	38ece0fa-2c94-4eae-b6ab-74b783862f3e	covered		card_selection, cost_reduction, face_down_support, mass_removal, removal, selection	false		Covered by PRM role audit.	Sorcery	{3}{W}{W}	5	W	W	Foretell		already reviewed	https://scryfall.com/card/pkhm/9p/doomskar?utm_source=api	Destroy all creatures. Foretell {1}{W}{W} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)
pkhm	Kaldheim Promos	2021-02-05	12p	Glorious Protector	6bdc4996-f7d9-4dc4-b70a-aa63f6816b1d	covered		card_selection, combat_body, combat_threat, cost_reduction, selection	false		Covered by PRM role audit.	Creature — Angel Cleric	{2}{W}{W}	4	W	W	Flying, Flash, Foretell		already reviewed	https://scryfall.com/card/pkhm/12p/glorious-protector?utm_source=api	Flash Flying When this creature enters, you may exile any number of non-Angel creatures you control until this creature leaves the battlefield. Foretell {2}{W}
pkhm	Kaldheim Promos	2021-02-05	15s	Halvar, God of Battle // Sword of the Realms	acfc3e07-757f-4ccf-a65e-bee07ce87f40	covered		artifact_support, combat_body, combat_support, sacrifice_support	false		Covered by PRM role audit.	Legendary Creature — God // Legendary Artifact — Equipment		4		W	Equip		already reviewed	https://scryfall.com/card/pkhm/15s/halvar-god-of-battle-sword-of-the-realms?utm_source=api	Halvar, God of Battle: Creatures you control that are enchanted or equipped have double strike. At the beginning of each combat, you may attach target Aura or Equipment attached to a creature you control to target creature you control. // Sword of the Realms: Equipped creature gets +2/+0 and has vigilance. Whenever equipped creature dies, return it to its owner's hand. Equip {1}{W}
pkhm	Kaldheim Promos	2021-02-05	20p	Rally the Ranks	eeb07c8a-21d1-43fa-a5f3-ee3fe328a671	covered		combat_support	false		Covered by PRM role audit.	Enchantment	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/pkhm/20p/rally-the-ranks?utm_source=api	As this enchantment enters, choose a creature type. Creatures you control of the chosen type get +1/+1.
pkhm	Kaldheim Promos	2021-02-05	21s	Reidane, God of the Worthy // Valkmira, Protector's Shield	35ae7b25-6d0f-49f8-a40d-dd2cf88e6f44	covered		combat_body, combat_threat, stax_piece	false		Covered by PRM role audit.	Legendary Creature — God // Legendary Artifact		3		W	Flying, Vigilance		already reviewed	https://scryfall.com/card/pkhm/21s/reidane-god-of-the-worthy-valkmira-protectors-shield?utm_source=api	Reidane, God of the Worthy: Flying, vigilance Snow lands your opponents control enter tapped. Noncreature spells your opponents cast with mana value 4 or greater cost {2} more to cast. // Valkmira, Protector's Shield: If a source an opponent controls would deal damage to you or a permanent you control, prevent 1 of that damage. Whenever you or another permanent you control becomes the target of a spell or ability an opponent controls, counter that spell or ability unless its controller pays {1}.
pkhm	Kaldheim Promos	2021-02-05	22p	Resplendent Marshal	1fb4c1c1-b10c-463f-a97d-eca9f978e371	covered		combat_body, combat_threat, counter_support, sacrifice_support	false		Covered by PRM role audit.	Creature — Angel Warrior	{1}{W}{W}	3	W	W	Flying		already reviewed	https://scryfall.com/card/pkhm/22p/resplendent-marshal?utm_source=api	Flying When this creature enters or dies, you may exile another creature card from your graveyard. When you do, put a +1/+1 counter on each creature you control other than this creature that shares a creature type with the exiled card.
pkhm	Kaldheim Promos	2021-02-05	24p	Righteous Valkyrie	891d2690-7144-4f87-b6ef-96f2469780a9	covered		combat_body, combat_support, combat_threat, lifegain	false		Covered by PRM role audit.	Creature — Angel Cleric	{2}{W}	3	W	W	Flying		already reviewed	https://scryfall.com/card/pkhm/24p/righteous-valkyrie?utm_source=api	Flying Whenever another Angel or Cleric you control enters, you gain life equal to that creature's toughness. As long as you have at least 7 life more than your starting life total, creatures you control get +2/+2.
pkhm	Kaldheim Promos	2021-02-05	26p	Runeforge Champion	2705a288-3b9d-4452-a320-28b86331aa09	covered		combat_body, cost_reduction, direct_tutor, ramp, tutor	false		Covered by PRM role audit.	Creature — Dwarf Warrior	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/pkhm/26p/runeforge-champion?utm_source=api	When this creature enters, you may search your library and/or graveyard for a Rune card, reveal it, and put it into your hand. If you search your library this way, shuffle. You may pay {1} rather than pay the mana cost for Rune spells you cast.
