setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pktk	Khans of Tarkir Promos	2014-09-26	12s	Herald of Anafenza	889d1056-4d3d-42f0-96f2-16529a4a94e3	covered	combat_body, counter_support, token_support	combat_body, counter_support, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{W}	1	W	W	Outlast		verify analyzer roles	https://scryfall.com/card/pktk/12s/herald-of-anafenza?utm_source=api	Outlast {2}{W} ({2}{W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.) Whenever you activate this creature's outlast ability, create a 1/1 white Warrior creature token.
pktk	Khans of Tarkir Promos	2014-09-26	13s	High Sentinels of Arashin	f0e7d147-379e-45b7-bfc4-d926637e060d	covered	combat_body, combat_support, combat_threat, counter_support	combat_body, combat_support, combat_threat, counter_support	false		Analyzer roles accepted during batch clean pass.	Creature — Bird Soldier	{3}{W}	4	W	W	Flying		verify analyzer roles	https://scryfall.com/card/pktk/13s/high-sentinels-of-arashin?utm_source=api	Flying This creature gets +1/+1 for each other creature you control with a +1/+1 counter on it. {3}{W}: Put a +1/+1 counter on target creature.
pktk	Khans of Tarkir Promos	2014-09-26	18s	Master of Pearls	aca9df28-2df6-477c-b5b8-8e1863c84356	covered	combat_body, combat_support, face_down_support	combat_body, combat_support, face_down_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Monk	{1}{W}	2	W	W	Morph		verify analyzer roles	https://scryfall.com/card/pktk/18s/master-of-pearls?utm_source=api	Morph {3}{W}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) When this creature is turned face up, creatures you control get +2/+2 until end of turn.
pktk	Khans of Tarkir Promos	2014-09-26	34p	Clever Impersonator	d4ec0df9-a4a3-48cf-a0aa-b1aea5c49142	covered	combat_body, copy_support	combat_body, copy_support	false		Analyzer roles accepted during batch clean pass.	Creature — Shapeshifter	{2}{U}{U}	4	U	U			verify analyzer roles	https://scryfall.com/card/pktk/34p/clever-impersonator?utm_source=api	You may have this creature enter as a copy of any nonland permanent on the battlefield.
pktk	Khans of Tarkir Promos	2014-09-26	36p	Dig Through Time	f8b17b89-26ce-4208-874a-9e1d66514640	covered		card_selection, cost_reduction	false		Covered by PRM role audit.	Instant	{6}{U}{U}	8	U	U	Delve		already reviewed	https://scryfall.com/card/pktk/36p/dig-through-time?utm_source=api	Delve (Each card you exile from your graveyard while casting this spell pays for {1}.) Look at the top seven cards of your library. Put two of them into your hand and the rest on the bottom of your library in any order.
pktk	Khans of Tarkir Promos	2014-09-26	42s	Icy Blast	f49302c5-8510-4360-841c-a59f53f87e0b	covered	mana_sink, scalable_spell	mana_sink, scalable_spell	false		Analyzer roles accepted during batch clean pass.	Instant	{X}{U}	1	U	U	Ferocious		verify analyzer roles	https://scryfall.com/card/pktk/42s/icy-blast?utm_source=api	Tap X target creatures. Ferocious — If you control a creature with power 4 or greater, those creatures don't untap during their controllers' next untap steps.
pktk	Khans of Tarkir Promos	2014-09-26	58s	Thousand Winds	81b50d34-d778-4606-80de-0e0780610d1f	covered	combat_body, combat_threat, face_down_support, mass_removal, removal	combat_body, combat_threat, face_down_support, mass_removal, removal	false		Analyzer roles accepted during batch clean pass.	Creature — Elemental	{4}{U}{U}	6	U	U	Flying, Morph		verify analyzer roles	https://scryfall.com/card/pktk/58s/thousand-winds?utm_source=api	Flying Morph {5}{U}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) When this creature is turned face up, return all other tapped creatures to their owners' hands.
pktk	Khans of Tarkir Promos	2014-09-26	66s	Bloodsoaked Champion	cad09970-14c8-4d80-82fe-6c855efb0191	covered	battlefield_recursion, card_selection, combat_body, combat_support, repeatable_advantage	battlefield_recursion, card_selection, combat_body, combat_support, repeatable_advantage	false		Analyzer roles accepted during batch clean pass.	Creature — Human Warrior	{B}	1	B	B	Raid		verify analyzer roles	https://scryfall.com/card/pktk/66s/bloodsoaked-champion?utm_source=api	This creature can't block. Raid — {1}{B}: Return this card from your graveyard to the battlefield. Activate only if you attacked this turn.
pktk	Khans of Tarkir Promos	2014-09-26	73s	Grim Haruspex	72aef1d8-11df-4bc2-af83-907b05df73a8	covered		card_draw, combat_body, direct_draw, draw, face_down_support, repeatable_advantage, repeatable_draw, sacrifice_support	false		Covered by PRM role audit.	Creature — Human Wizard	{2}{B}	3	B	B	Morph		already reviewed	https://scryfall.com/card/pktk/73s/grim-haruspex?utm_source=api	Morph {B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) Whenever another nontoken creature you control dies, draw a card.
pktk	Khans of Tarkir Promos	2014-09-26	82s	Necropolis Fiend	bb714bc6-9f32-42f6-9064-f28a383675b5	covered		combat_body, combat_threat, cost_reduction, removal, scalable_spell, targeted_removal	false		Covered by PRM role audit.	Creature — Demon	{7}{B}{B}	9	B	B	Flying, Delve		already reviewed	https://scryfall.com/card/pktk/82s/necropolis-fiend?utm_source=api	Delve (Each card you exile from your graveyard while casting this spell pays for {1}.) Flying {X}, {T}, Exile X cards from your graveyard: Target creature gets -X/-X until end of turn.
pktk	Khans of Tarkir Promos	2014-09-26	106s	Crater's Claws	b8cf8614-14f4-4c20-9697-2e5ea34e0039	covered	direct_finisher, finisher, mana_sink, removal, scalable_spell, targeted_removal	direct_finisher, finisher, mana_sink, removal, scalable_spell, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Sorcery	{X}{R}	1	R	R	Ferocious		verify analyzer roles	https://scryfall.com/card/pktk/106s/craters-claws?utm_source=api	Crater's Claws deals X damage to any target. Ferocious — Crater's Claws deals X plus 2 damage instead if you control a creature with power 4 or greater.
pktk	Khans of Tarkir Promos	2014-09-26	108s	Dragon-Style Twins	d150f456-c33a-4b19-ac73-b1d818d5db8f	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Human Monk	{3}{R}{R}	5	R	R	Prowess, Double strike		verify analyzer roles	https://scryfall.com/card/pktk/108s/dragon-style-twins?utm_source=api	Double strike Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
pktk	Khans of Tarkir Promos	2014-09-26	113s	Jeering Instigator	170adfe9-ffbe-40b1-b665-e756e7eb0302	covered		combat_body, face_down_support, removal, tempo_removal, theft_support	false		Covered by PRM role audit.	Creature — Goblin Rogue	{1}{R}	2	R	R	Morph		already reviewed	https://scryfall.com/card/pktk/113s/jeering-instigator?utm_source=api	Morph {2}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) When this creature is turned face up, if it's your turn, gain control of another target creature until end of turn. Untap that creature. It gains haste until end of turn.
pktk	Khans of Tarkir Promos	2014-09-26	133p	Hardened Scales	a1f3da21-af6d-450e-bf0b-985d158418e6	covered		counter_support, replacement_engine	false		Covered by PRM role audit.	Enchantment	{G}	1	G	G			already reviewed	https://scryfall.com/card/pktk/133p/hardened-scales?utm_source=api	If one or more +1/+1 counters would be put on a creature you control, that many plus one +1/+1 counters are put on it instead.
pktk	Khans of Tarkir Promos	2014-09-26	134	Heir of the Wilds	35cb88aa-6ed9-4a2d-9bbc-5937e1df4f4a	covered		combat_body, combat_support, combat_threat	false		Covered by PRM role audit.	Creature — Human Warrior	{1}{G}	2	G	G	Ferocious, Deathtouch		already reviewed	https://scryfall.com/card/pktk/134/heir-of-the-wilds?utm_source=api	Deathtouch Ferocious — Whenever this creature attacks, if you control a creature with power 4 or greater, this creature gets +1/+1 until end of turn.
pktk	Khans of Tarkir Promos	2014-09-26	144	Rattleclaw Mystic	84c9d8b8-8dd9-41fc-a2b6-af1ffb9090f9	covered		combat_body, face_down_support, mana_fixing, ramp, stable_ramp	false		Covered by PRM role audit.	Creature — Human Shaman	{1}{G}	2	G	GRU	Morph		already reviewed	https://scryfall.com/card/pktk/144/rattleclaw-mystic?utm_source=api	{T}: Add {G}, {U}, or {R}. Morph {2} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) When this creature is turned face up, add {G}{U}{R}.
pktk	Khans of Tarkir Promos	2014-09-26	154s	Trail of Mystery	0e09aaba-5c32-4a45-8a07-b69e873510ef	covered	combat_support, face_down_support, land_acceleration, land_tutor, mana_fixing, ramp, repeatable_tutor, tutor	combat_support, face_down_support, land_acceleration, land_tutor, mana_fixing, ramp, repeatable_tutor, tutor	false		Analyzer roles accepted during batch clean pass.	Enchantment	{1}{G}	2	G	G			verify analyzer roles	https://scryfall.com/card/pktk/154s/trail-of-mystery?utm_source=api	Whenever a face-down creature you control enters, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle. Whenever a permanent you control is turned face up, if it's a creature, it gets +2/+2 until end of turn.
pktk	Khans of Tarkir Promos	2014-09-26	160s	Abzan Ascendancy	3b7d4206-0d88-407b-ace5-d5d28881bf95	covered	counter_support, sacrifice_support, token_support	counter_support, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Enchantment	{W}{B}{G}	3	BGW	BGW			verify analyzer roles	https://scryfall.com/card/pktk/160s/abzan-ascendancy?utm_source=api	When this enchantment enters, put a +1/+1 counter on each creature you control. Whenever a nontoken creature you control dies, create a 1/1 white Spirit creature token with flying.
pktk	Khans of Tarkir Promos	2014-09-26	163s	Anafenza, the Foremost	ebfafabc-5255-4024-be59-7403bdb16ee4	covered	combat_body, combat_support, counter_support, replacement_engine	combat_body, combat_support, counter_support, replacement_engine	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Soldier	{W}{B}{G}	3	BGW	BGW			verify analyzer roles	https://scryfall.com/card/pktk/163s/anafenza-the-foremost?utm_source=api	Whenever Anafenza attacks, put a +1/+1 counter on another target tapped creature you control. If a nontoken creature an opponent owns would die or a creature card not on the battlefield would be put into an opponent's graveyard, exile that card instead.
pktk	Khans of Tarkir Promos	2014-09-26	164	Ankle Shanker	22052572-0b7d-4dd8-84a8-e2658f77b85e	covered		combat_body, combat_support, combat_threat	false		Covered by PRM role audit.	Creature — Goblin Berserker	{2}{R}{W}{B}	5	BRW	BRW	Haste		already reviewed	https://scryfall.com/card/pktk/164/ankle-shanker?utm_source=api	Haste Whenever this creature attacks, creatures you control gain first strike and deathtouch until end of turn.
pktk	Khans of Tarkir Promos	2014-09-26	166	Avalanche Tusker	ccad8b03-5ff1-4895-94e0-0c96883cb875	covered		combat_body, combat_support	false		Covered by PRM role audit.	Creature — Elephant Warrior	{2}{G}{U}{R}	5	GRU	GRU			already reviewed	https://scryfall.com/card/pktk/166/avalanche-tusker?utm_source=api	Whenever this creature attacks, target creature defending player controls blocks it this combat if able.
pktk	Khans of Tarkir Promos	2014-09-26	168s	Butcher of the Horde	1ff93e62-6ae0-4438-a88e-ae6fd7d91e41	covered	combat_body, combat_support, combat_threat, lifegain, sacrifice_support	combat_body, combat_support, combat_threat, lifegain, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Creature — Demon	{1}{R}{W}{B}	4	BRW	BRW	Flying		verify analyzer roles	https://scryfall.com/card/pktk/168s/butcher-of-the-horde?utm_source=api	Flying Sacrifice another creature: This creature gains your choice of vigilance, lifelink, or haste until end of turn.
pktk	Khans of Tarkir Promos	2014-09-26	171s	Crackling Doom	ee81f37b-2a81-46d7-8d2f-9091123846c4	covered	direct_finisher, finisher, removal, targeted_removal	direct_finisher, finisher, removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{R}{W}{B}	3	BRW	BRW			verify analyzer roles	https://scryfall.com/card/pktk/171s/crackling-doom?utm_source=api	Crackling Doom deals 2 damage to each opponent. Each opponent sacrifices a creature with the greatest power among creatures that player controls.
pktk	Khans of Tarkir Promos	2014-09-26	173s	Deflecting Palm	dc5dffc8-fac5-4956-bac4-1ad2cc16f6be	covered	broad_protection, protection	broad_protection, protection	false		Analyzer roles accepted during batch clean pass.	Instant	{R}{W}	2	RW	RW			verify analyzer roles	https://scryfall.com/card/pktk/173s/deflecting-palm?utm_source=api	The next time a source of your choice would deal damage to you this turn, prevent that damage. If damage is prevented this way, Deflecting Palm deals that much damage to that source's controller.
pktk	Khans of Tarkir Promos	2014-09-26	174s	Duneblast	14104a52-c4e8-4755-8196-7fa5c5a35f36							Sorcery	{4}{W}{B}{G}	7	BGW	BGW			manual review	https://scryfall.com/card/pktk/174s/duneblast?utm_source=api	Choose up to one creature. Destroy the rest.
pktk	Khans of Tarkir Promos	2014-09-26	176s	Flying Crane Technique	44cf99b0-8a5e-4df9-abc5-552f8b838c56	covered	tap_untap, tempo_support	tap_untap, tempo_support	false		Analyzer roles accepted during batch clean pass.	Instant	{3}{U}{R}{W}	6	RUW	RUW			verify analyzer roles	https://scryfall.com/card/pktk/176s/flying-crane-technique?utm_source=api	Untap all creatures you control. They gain flying and double strike until end of turn.
pktk	Khans of Tarkir Promos	2014-09-26	179	Ivorytusk Fortress	10ae7744-5f98-4d6f-993a-ffb2a34b23e7	covered		combat_body, counter_support	false		Covered by PRM role audit.	Creature — Elephant	{2}{W}{B}{G}	5	BGW	BGW			already reviewed	https://scryfall.com/card/pktk/179/ivorytusk-fortress?utm_source=api	Untap each creature you control with a +1/+1 counter on it during each other player's untap step.
pktk	Khans of Tarkir Promos	2014-09-26	180s	Jeskai Ascendancy	c3c802ba-dfbb-4f63-ae9a-e29c2e30013d	covered	card_draw, combat_support, direct_draw, draw, repeatable_advantage, repeatable_draw	card_draw, combat_support, direct_draw, draw, repeatable_advantage, repeatable_draw	false		Analyzer roles accepted during batch clean pass.	Enchantment	{U}{R}{W}	3	RUW	RUW			verify analyzer roles	https://scryfall.com/card/pktk/180s/jeskai-ascendancy?utm_source=api	Whenever you cast a noncreature spell, creatures you control get +1/+1 until end of turn. Untap those creatures. Whenever you cast a noncreature spell, you may draw a card. If you do, discard a card.
pktk	Khans of Tarkir Promos	2014-09-26	182s	Kheru Lich Lord	7e4cbfd1-2393-4643-bc05-022d06b30210	covered	battlefield_recursion, card_selection, combat_body, recursion, repeatable_advantage, replacement_engine	battlefield_recursion, card_selection, combat_body, recursion, repeatable_advantage, replacement_engine	false		Analyzer roles accepted during batch clean pass.	Creature — Zombie Wizard	{3}{B}{G}{U}	6	BGU	BGU			verify analyzer roles	https://scryfall.com/card/pktk/182s/kheru-lich-lord?utm_source=api	At the beginning of your upkeep, you may pay {2}{B}. If you do, return a creature card at random from your graveyard to the battlefield. It gains flying, trample, and haste. Exile that card at the beginning of your next end step. If it would leave the battlefield, exile it instead of putting it anywhere else.
pktk	Khans of Tarkir Promos	2014-09-26	185s	Mardu Ascendancy	aa1de5ce-ddd4-4c1f-8c52-0311f4419e7b	covered	combat_support, sacrifice_support, token_support	combat_support, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Enchantment	{R}{W}{B}	3	BRW	BRW			verify analyzer roles	https://scryfall.com/card/pktk/185s/mardu-ascendancy?utm_source=api	Whenever a nontoken creature you control attacks, create a 1/1 red Goblin creature token that's tapped and attacking. Sacrifice this enchantment: Creatures you control get +0/+3 until end of turn.
pktk	Khans of Tarkir Promos	2014-09-26	190s	Narset, Enlightened Master	aeaf7768-ed67-487d-8506-e667babb88ba	covered	card_selection, combat_body, combat_support, combat_threat, direct_draw, draw, repeatable_advantage, repeatable_draw, selection, self_protection	card_selection, combat_body, combat_support, combat_threat, direct_draw, draw, repeatable_advantage, repeatable_draw, selection, self_protection	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Monk	{3}{U}{R}{W}	6	RUW	RUW	Hexproof, First strike		verify analyzer roles	https://scryfall.com/card/pktk/190s/narset-enlightened-master?utm_source=api	First strike, hexproof Whenever Narset attacks, exile the top four cards of your library. Until end of turn, you may cast noncreature spells from among those cards without paying their mana costs.
pktk	Khans of Tarkir Promos	2014-09-26	193	Rakshasa Vizier	9bdef081-1408-4125-82c3-04296dee05d5	covered		combat_body, counter_support	false		Covered by PRM role audit.	Creature — Demon	{2}{B}{G}{U}	5	BGU	BGU			already reviewed	https://scryfall.com/card/pktk/193/rakshasa-vizier?utm_source=api	Whenever one or more cards are put into exile from your graveyard, put that many +1/+1 counters on this creature.
pktk	Khans of Tarkir Promos	2014-09-26	195	Sage of the Inward Eye	02c741d0-99d3-48e5-9846-0fea5a0a29fe	covered		combat_body, combat_support, combat_threat, lifegain	false		Covered by PRM role audit.	Creature — Djinn Wizard	{2}{U}{R}{W}	5	RUW	RUW	Flying		already reviewed	https://scryfall.com/card/pktk/195/sage-of-the-inward-eye?utm_source=api	Flying Whenever you cast a noncreature spell, creatures you control gain lifelink until end of turn.
pktk	Khans of Tarkir Promos	2014-09-26	199s	Sidisi, Brood Tyrant	3fad7072-21e3-446e-a28f-615038c8bfea	covered	combat_body, combat_support, mill_support, token_support	combat_body, combat_support, mill_support, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Snake Shaman	{1}{B}{G}{U}	4	BGU	BGU	Mill		verify analyzer roles	https://scryfall.com/card/pktk/199s/sidisi-brood-tyrant?utm_source=api	Whenever Sidisi enters or attacks, mill three cards. Whenever one or more creature cards are put into your graveyard from your library, create a 2/2 black Zombie creature token.
pktk	Khans of Tarkir Promos	2014-09-26	200s	Siege Rhino	e1087ce2-e3c2-4ab1-bd08-1dc9ab70f12f	covered		combat_body, combat_threat, direct_finisher, finisher, lifegain	false		Covered by PRM role audit.	Creature — Rhino	{1}{W}{B}{G}	4	BGW	BGW	Trample		already reviewed	https://scryfall.com/card/pktk/200s/siege-rhino?utm_source=api	Trample When this creature enters, each opponent loses 3 life and you gain 3 life.
pktk	Khans of Tarkir Promos	2014-09-26	203s	Sultai Ascendancy	06e92ab3-c781-4f32-9ada-09a388047067	covered		card_selection, selection	false		Covered by PRM role audit.	Enchantment	{B}{G}{U}	3	BGU	BGU	Surveil		already reviewed	https://scryfall.com/card/pktk/203s/sultai-ascendancy?utm_source=api	At the beginning of your upkeep, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)
pktk	Khans of Tarkir Promos	2014-09-26	204	Sultai Charm	46ed38d1-e642-4cea-99ed-a9c17fd982b1	covered		card_draw, card_selection, direct_draw, draw, removal, selection, targeted_removal	false		Covered by PRM role audit.	Instant	{B}{G}{U}	3	BGU	BGU			already reviewed	https://scryfall.com/card/pktk/204/sultai-charm?utm_source=api	Choose one — • Destroy target monocolored creature. • Destroy target artifact or enchantment. • Draw two cards, then discard a card.
pktk	Khans of Tarkir Promos	2014-09-26	206s	Surrak Dragonclaw	7c766365-82c2-46d6-8521-42e73129f4ef	covered	broad_stack, combat_body, combat_support, hate_piece, stack, stax_piece	broad_stack, combat_body, combat_support, hate_piece, stack, stax_piece	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Warrior	{2}{G}{U}{R}	5	GRU	GRU	Flash		verify analyzer roles	https://scryfall.com/card/pktk/206s/surrak-dragonclaw?utm_source=api	Flash This spell can't be countered. Creature spells you control can't be countered. Other creatures you control have trample.
pktk	Khans of Tarkir Promos	2014-09-26	207p	Temur Ascendancy	e68dc47c-692f-4420-9799-eee104017273	covered	card_draw, combat_support, direct_draw, draw, repeatable_advantage, repeatable_draw	card_draw, combat_support, direct_draw, draw, repeatable_advantage, repeatable_draw	false		Analyzer roles accepted during batch clean pass.	Enchantment	{G}{U}{R}	3	GRU	GRU			verify analyzer roles	https://scryfall.com/card/pktk/207p/temur-ascendancy?utm_source=api	Creatures you control have haste. Whenever a creature you control with power 4 or greater enters, you may draw a card.
