setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
plci	The Lost Caverns of Ixalan Promos	2023-11-17	1p	Abuelo's Awakening	2b22cf44-7b03-4919-9812-6796bf193484	covered	battlefield_recursion, card_selection, counter_support, mana_sink, recursion, scalable_spell	battlefield_recursion, card_selection, counter_support, mana_sink, recursion, scalable_spell	false		Analyzer roles accepted during batch clean pass.	Sorcery	{X}{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/plci/1p/abuelos-awakening?utm_source=api	Return target artifact or non-Aura enchantment card from your graveyard to the battlefield with X additional +1/+1 counters on it. It's a 1/1 Spirit creature with flying in addition to its other types.
plci	The Lost Caverns of Ixalan Promos	2023-11-17	12p	Fabrication Foundry	0bb20c36-689f-4a7c-80b5-a12bda821847	covered	artifact_support, battlefield_recursion, card_selection, ramp, recursion, removal, repeatable_advantage, scalable_spell, stable_ramp, targeted_removal	artifact_support, battlefield_recursion, card_selection, ramp, recursion, removal, repeatable_advantage, scalable_spell, stable_ramp, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Artifact	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/plci/12p/fabrication-foundry?utm_source=api	{T}: Add {W}. Spend this mana only to cast an artifact spell or activate an ability of an artifact source. {2}{W}, {T}, Exile one or more other artifacts you control with total mana value X: Return target artifact card with mana value X or less from your graveyard to the battlefield. Activate only as a sorcery.
plci	The Lost Caverns of Ixalan Promos	2023-11-17	14p	Get Lost	522dd417-364b-44ab-8ca9-fb55db5f26a6	covered	card_selection, sacrifice_support, selection, targeted_removal	card_selection, sacrifice_support, selection, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{1}{W}	2	W	W	Explore		verify analyzer roles	https://scryfall.com/card/plci/14p/get-lost?utm_source=api	Destroy target creature, enchantment, or planeswalker. Its controller creates two Map tokens. (They're artifacts with "{1}, {T}, Sacrifice this token: Target creature you control explores. Activate only as a sorcery.")
plci	The Lost Caverns of Ixalan Promos	2023-11-17	20p	Kutzil's Flanker	ba557e19-a409-4c02-a9ac-a8fb77762e43	covered	card_selection, combat_body, counter_support, graveyard_hate, lifegain, selection	card_selection, combat_body, counter_support, graveyard_hate, lifegain, selection	false		Analyzer roles accepted during batch clean pass.	Creature — Cat Warrior	{2}{W}	3	W	W	Flash, Scry		verify analyzer roles	https://scryfall.com/card/plci/20p/kutzils-flanker?utm_source=api	Flash When this creature enters, choose one — • Put a +1/+1 counter on this creature for each creature that left the battlefield under your control this turn. • You gain 2 life and scry 2. • Exile target player's graveyard.
plci	The Lost Caverns of Ixalan Promos	2023-11-17	32p	Resplendent Angel	2ac93092-1a57-4cf7-8f03-1dca86d5c476	covered	combat_body, combat_support, combat_threat, lifegain, token_support	combat_body, combat_support, combat_threat, lifegain, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Angel	{1}{W}{W}	3	W	W	Flying		verify analyzer roles	https://scryfall.com/card/plci/32p/resplendent-angel?utm_source=api	Flying At the beginning of each end step, if you gained 5 or more life this turn, create a 4/4 white Angel creature token with flying and vigilance. {3}{W}{W}{W}: Until end of turn, this creature gets +2/+2 and gains lifelink.
plci	The Lost Caverns of Ixalan Promos	2023-11-17	34p	Sanguine Evangelist	a70d9645-7c25-4fcb-9d16-fb73ce8b55e2	covered	combat_body, combat_support, sacrifice_support, token_support	combat_body, combat_support, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Vampire Cleric	{2}{W}	3	W	W	Battle Cry		verify analyzer roles	https://scryfall.com/card/plci/34p/sanguine-evangelist?utm_source=api	Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.) When this creature enters or dies, create a 1/1 black Bat creature token with flying.
plci	The Lost Caverns of Ixalan Promos	2023-11-17	43p	Warden of the Inner Sky	5268f772-5b42-4b5b-9e57-c32c662a42f3	covered	card_selection, combat_body, combat_support, counter_support, selection	card_selection, combat_body, combat_support, counter_support, selection	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{W}	1	W	W	Scry		verify analyzer roles	https://scryfall.com/card/plci/43p/warden-of-the-inner-sky?utm_source=api	As long as this creature has three or more counters on it, it has flying and vigilance. Tap three untapped artifacts and/or creatures you control: Put a +1/+1 counter on this creature. Scry 1. Activate only as a sorcery.
plci	The Lost Caverns of Ixalan Promos	2023-11-17	44p	Akal Pakal, First Among Equals	53bfe54e-9b97-4113-97d9-3c5dbc85e7cf	covered	card_selection, combat_body, repeatable_tutor, restricted_tutor	card_selection, combat_body, repeatable_tutor, restricted_tutor	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Advisor	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/plci/44p/akal-pakal-first-among-equals?utm_source=api	At the beginning of each player's end step, if an artifact entered the battlefield under your control this turn, look at the top two cards of your library. Put one of them into your hand and the other into your graveyard.
plci	The Lost Caverns of Ixalan Promos	2023-11-17	52p	Deeproot Pilgrimage	188656d8-4ea8-4e58-88da-b010a16eb6f2	covered	self_protection, token_support	self_protection, token_support	false		Analyzer roles accepted during batch clean pass.	Enchantment	{1}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/plci/52p/deeproot-pilgrimage?utm_source=api	Whenever one or more nontoken Merfolk you control become tapped, create a 1/1 blue Merfolk creature token with hexproof.
plci	The Lost Caverns of Ixalan Promos	2023-11-17	61p	Kitesail Larcenist	2452be47-cc23-47f7-a3a1-fec900bb0119	covered	burst_ramp, combat_body, combat_threat, mana_fixing, sacrifice_support, self_protection, targeted_removal	burst_ramp, combat_body, combat_threat, mana_fixing, sacrifice_support, self_protection, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Human Pirate	{2}{U}	3	U	U	Flying, Ward		verify analyzer roles	https://scryfall.com/card/plci/61p/kitesail-larcenist?utm_source=api	Flying, ward {1} When this creature enters, for each player, choose up to one other target artifact or creature that player controls. For as long as this creature remains on the battlefield, the chosen permanents become Treasure artifacts with "{T}, Sacrifice this artifact: Add one mana of any color" and lose all other abilities.
