setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pltr	Tales of Middle-earth Promos	2023-06-23	2s	The Battle of Bywater	a94c191d-a938-458e-bc1b-2f44fd8873a3	covered	lifegain, mass_removal, removal, sacrifice_support, token_support	lifegain, mass_removal, removal, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Sorcery	{1}{W}{W}	3	W	W	Food		verify analyzer roles	https://scryfall.com/card/pltr/2s/the-battle-of-bywater?utm_source=api	Destroy all creatures with power 3 or greater. Then create a Food token for each creature you control. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.")
pltr	Tales of Middle-earth Promos	2023-06-23	4s	Boromir, Warden of the Tower	d72b57e5-1c6e-4f02-968f-7e2dd24f0d3c	covered	broad_protection, combat_body, combat_support, combat_threat, protection, sacrifice_support, self_protection	broad_protection, combat_body, combat_support, combat_threat, protection, sacrifice_support, self_protection	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Soldier	{2}{W}	3	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/pltr/4s/boromir-warden-of-the-tower?utm_source=api	Vigilance Whenever an opponent casts a spell, if no mana was spent to cast it, counter that spell. Sacrifice Boromir: Creatures you control gain indestructible until end of turn. The Ring tempts you.
pltr	Tales of Middle-earth Promos	2023-06-23	5s	Dawn of a New Age	37df5ade-6a21-4b0c-89f8-e2e917589a8d	covered	card_draw, counter_support, direct_draw, draw, lifegain, repeatable_advantage, repeatable_draw, sacrifice_support	card_draw, counter_support, direct_draw, draw, lifegain, repeatable_advantage, repeatable_draw, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Enchantment	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/pltr/5s/dawn-of-a-new-age?utm_source=api	This enchantment enters with a hope counter on it for each creature you control. At the beginning of your end step, remove a hope counter from this enchantment. If you do, draw a card. Then if this enchantment has no hope counters on it, sacrifice it and you gain 4 life.
pltr	Tales of Middle-earth Promos	2023-06-23	15s	Flowering of the White Tree	3cda958a-f777-433d-850e-a6c8f581db4e	covered	combat_support, self_protection	combat_support, self_protection	false		Analyzer roles accepted during batch clean pass.	Legendary Enchantment	{W}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/pltr/15s/flowering-of-the-white-tree?utm_source=api	Legendary creatures you control get +2/+1 and have ward {1}. Nonlegendary creatures you control get +1/+1.
pltr	Tales of Middle-earth Promos	2023-06-23	17s	Forge Anew	4df579df-fdbb-418a-af2d-709e140ee569	covered	battlefield_recursion, card_selection, recursion	battlefield_recursion, card_selection, recursion	false		Analyzer roles accepted during batch clean pass.	Enchantment	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/pltr/17s/forge-anew?utm_source=api	When this enchantment enters, return target Equipment card from your graveyard to the battlefield. During your turn, you may activate equip abilities any time you could cast an instant. You may pay {0} rather than pay the equip cost of the first equip ability you activate during each of your turns.
pltr	Tales of Middle-earth Promos	2023-06-23	18s	Frodo, Sauron's Bane	8be62f5c-0ab2-4869-97a2-d8a69a3fde95	covered	combat_body, combat_support, lifegain	combat_body, combat_support, lifegain	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Halfling Citizen	{W}	1	W	BW			verify analyzer roles	https://scryfall.com/card/pltr/18s/frodo-saurons-bane?utm_source=api	{W/B}{W/B}: If Frodo is a Citizen, it becomes a Halfling Scout with base power and toughness 2/3 and lifelink. {B}{B}{B}: If Frodo is a Scout, it becomes a Halfling Rogue with "Whenever this creature deals combat damage to a player, that player loses the game if the Ring has tempted you four or more times this game. Otherwise, the Ring tempts you."
pltr	Tales of Middle-earth Promos	2023-06-23	19s	Gandalf the White	5b3b5f6a-375e-4479-9384-a942eda83f9b	covered	combat_body, copy_support, multiplier_support, replacement_engine, tempo_support	combat_body, copy_support, multiplier_support, replacement_engine, tempo_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Avatar Wizard	{3}{W}{W}	5	W	W	Flash		verify analyzer roles	https://scryfall.com/card/pltr/19s/gandalf-the-white?utm_source=api	Flash You may cast legendary spells and artifact spells as though they had flash. If a legendary permanent or an artifact entering or leaving the battlefield causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.
pltr	Tales of Middle-earth Promos	2023-06-23	36s	War of the Last Alliance	e376702a-f56e-4e47-aa8c-3f80384d12a9	covered	combat_support, restricted_tutor, sacrifice_support, tutor	combat_support, restricted_tutor, sacrifice_support, tutor	false		Analyzer roles accepted during batch clean pass.	Enchantment — Saga	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/pltr/36s/war-of-the-last-alliance?utm_source=api	(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I, II — Search your library for a legendary creature card, reveal it, put it into your hand, then shuffle. III — Creatures you control gain double strike until end of turn. The Ring tempts you.
pltr	Tales of Middle-earth Promos	2023-06-23	44s	Borne Upon a Wind	ce19962d-94f9-4b2b-b668-963c0acce308	covered	card_draw, direct_draw, draw, replacement_engine, tempo_support	card_draw, direct_draw, draw, replacement_engine, tempo_support	false		Analyzer roles accepted during batch clean pass.	Instant	{1}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/pltr/44s/borne-upon-a-wind?utm_source=api	You may cast spells this turn as though they had flash. Draw a card.
pltr	Tales of Middle-earth Promos	2023-06-23	52s	Goldberry, River-Daughter	fca3545a-2956-49f9-8465-1c8937deb294	covered	card_draw, combat_body, counter_support, direct_draw, draw, repeatable_draw	card_draw, combat_body, counter_support, direct_draw, draw, repeatable_draw	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Nymph	{1}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/pltr/52s/goldberry-river-daughter?utm_source=api	{T}: Move a counter of each kind not on Goldberry from another target permanent you control onto Goldberry. {U}, {T}: Move one or more counters from Goldberry onto another target permanent you control. If you do, draw a card.
