setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pm19	Core Set 2019 Promos	2018-07-13	3s	Ajani, Adversary of Tyrants	b25bea73-7444-4ee2-8022-611461506117			battlefield_recursion, card_selection, counter_support, lifegain, recursion, repeatable_advantage, token_support				Legendary Planeswalker — Ajani	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/pm19/3s/ajani-adversary-of-tyrants?utm_source=api	+1: Put a +1/+1 counter on each of up to two target creatures. −2: Return target creature card with mana value 2 or less from your graveyard to the battlefield. −7: You get an emblem with "At the beginning of your end step, create three 1/1 white Cat creature tokens with lifelink."
pm19	Core Set 2019 Promos	2018-07-13	4s	Ajani's Last Stand	17c4807c-158e-4a86-90f1-d8fb2ebe892a			sacrifice_support, token_support				Enchantment	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/pm19/4s/ajanis-last-stand?utm_source=api	Whenever a creature or planeswalker you control dies, you may sacrifice this enchantment. If you do, create a 4/4 white Avatar creature token with flying. When a spell or ability an opponent controls causes you to discard this card, if you control a Plains, create a 4/4 white Avatar creature token with flying.
pm19	Core Set 2019 Promos	2018-07-13	9p	Cleansing Nova	aff34f28-f707-4458-8af3-1bd5b13a6b10			mass_removal, removal				Sorcery	{3}{W}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/pm19/9p/cleansing-nova?utm_source=api	Choose one — • Destroy all creatures. • Destroy all artifacts and enchantments.
pm19	Core Set 2019 Promos	2018-07-13	17s	Isolate	f42d4556-5be2-4861-9f88-1b630b43eff2			removal, targeted_removal				Instant	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/pm19/17s/isolate?utm_source=api	Exile target permanent with mana value 1.
pm19	Core Set 2019 Promos	2018-07-13	21s	Lena, Selfless Champion	a8a8407c-d0e3-4311-82ed-1ab1f75159d9			broad_protection, combat_body, combat_support, protection, sacrifice_support, self_protection, token_support				Legendary Creature — Human Knight	{4}{W}{W}	6	W	W			verify analyzer roles	https://scryfall.com/card/pm19/21s/lena-selfless-champion?utm_source=api	When Lena enters, create a 1/1 white Soldier creature token for each nontoken creature you control. Sacrifice Lena: Creatures you control with power less than Lena's power gain indestructible until end of turn.
pm19	Core Set 2019 Promos	2018-07-13	23p	Leonin Warleader	8b1351e6-165e-4ca3-96d5-4774b3176362			combat_body, combat_support, lifegain, token_support				Creature — Cat Soldier	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/pm19/23p/leonin-warleader?utm_source=api	Whenever this creature attacks, create two 1/1 white Cat creature tokens with lifelink that are tapped and attacking.
pm19	Core Set 2019 Promos	2018-07-13	27s	Mentor of the Meek	b9f4f96b-6e54-4fe6-8df7-623e0fc72409	covered		card_draw, combat_body, direct_draw, draw, repeatable_advantage, repeatable_draw	false		Covered by PRM role audit.	Creature — Human Soldier	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/pm19/27s/mentor-of-the-meek?utm_source=api	Whenever another creature you control with power 2 or less enters, you may pay {1}. If you do, draw a card.
pm19	Core Set 2019 Promos	2018-07-13	29	Militia Bugler	edb6ae9e-a41c-4d82-97bf-4be00e98364c	covered		card_selection, combat_body, combat_threat, selection	false		Covered by PRM role audit.	Creature — Human Soldier	{2}{W}	3	W	W	Vigilance		already reviewed	https://scryfall.com/card/pm19/29/militia-bugler?utm_source=api	Vigilance (Attacking doesn't cause this creature to tap.) When this creature enters, look at the top four cards of your library. You may reveal a creature card with power 2 or less from among them and put it into your hand. Put the rest on the bottom of your library in a random order.
pm19	Core Set 2019 Promos	2018-07-13	33p	Remorseful Cleric	c40bc9f6-2b72-4ae1-b912-50075af59628			combat_body, combat_threat, graveyard_hate, sacrifice_support				Creature — Spirit Cleric	{1}{W}	2	W	W	Flying		verify analyzer roles	https://scryfall.com/card/pm19/33p/remorseful-cleric?utm_source=api	Flying Sacrifice this creature: Exile target player's graveyard.
pm19	Core Set 2019 Promos	2018-07-13	34p	Resplendent Angel	2ac93092-1a57-4cf7-8f03-1dca86d5c476			combat_body, combat_support, combat_threat, lifegain, token_support				Creature — Angel	{1}{W}{W}	3	W	W	Flying		verify analyzer roles	https://scryfall.com/card/pm19/34p/resplendent-angel?utm_source=api	Flying At the beginning of each end step, if you gained 5 or more life this turn, create a 4/4 white Angel creature token with flying and vigilance. {3}{W}{W}{W}: Until end of turn, this creature gets +2/+2 and gains lifelink.
