setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pmom	March of the Machine Promos	2023-04-21	1s	Invasion of Ravnica // Guildpact Paragon	78da7a38-0f08-4371-bda3-38f079f7724d	covered	card_selection, combat_body, combat_support, removal, selection, targeted_removal	card_selection, combat_body, combat_support, removal, selection, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Battle — Siege // Artifact Creature — Construct		5			Transform		verify analyzer roles	https://scryfall.com/card/pmom/1s/invasion-of-ravnica-guildpact-paragon?utm_source=api	Invasion of Ravnica: (As a Siege enters, choose an opponent to protect it. You and others can attack it. When it's defeated, exile it, then cast it transformed.) When this Siege enters, exile target nonland permanent an opponent controls that isn't exactly two colors. // Guildpact Paragon: Whenever you cast a spell that's exactly two colors, look at the top six cards of your library. You may reveal a card that's exactly two colors from among them and put it into your hand. Put the rest on the bottom of your library in a random order.
pmom	March of the Machine Promos	2023-04-21	6p	Archangel Elspeth	0b2481d6-97a0-4f92-b7e5-3451863fd7fb	covered	card_selection, counter_support, lifegain, mass_recursion, recursion, repeatable_advantage, token_support	card_selection, counter_support, lifegain, mass_recursion, recursion, repeatable_advantage, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Planeswalker — Elspeth	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/pmom/6p/archangel-elspeth?utm_source=api	+1: Create a 1/1 white Soldier creature token with lifelink. −2: Put two +1/+1 counters on target creature. It becomes an Angel in addition to its other types and gains flying. −6: Return all nonland permanent cards with mana value 3 or less from your graveyard to the battlefield.
pmom	March of the Machine Promos	2023-04-21	9p	Boon-Bringer Valkyrie	8652d88f-edca-4235-b942-6e7467608de8	covered	combat_body, combat_support, combat_threat, counter_support, lifegain	combat_body, combat_support, combat_threat, counter_support, lifegain	false		Analyzer roles accepted during batch clean pass.	Creature — Angel Warrior	{3}{W}{W}	5	W	W	Flying, Lifelink, Backup, First strike		verify analyzer roles	https://scryfall.com/card/pmom/9p/boon-bringer-valkyrie?utm_source=api	Backup 1 (When this creature enters, put a +1/+1 counter on target creature. If that's another creature, it gains the following abilities until end of turn.) Flying, first strike, lifelink
pmom	March of the Machine Promos	2023-04-21	11p	Dusk Legion Duelist	30367a59-a812-41d4-a451-80d9071dd4a4	covered	card_draw, combat_body, combat_threat, direct_draw, draw, repeatable_advantage, repeatable_draw	card_draw, combat_body, combat_threat, direct_draw, draw, repeatable_advantage, repeatable_draw	false		Analyzer roles accepted during batch clean pass.	Creature — Vampire Soldier	{1}{W}	2	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/pmom/11p/dusk-legion-duelist?utm_source=api	Vigilance Whenever one or more +1/+1 counters are put on this creature, draw a card. This ability triggers only once each turn.
pmom	March of the Machine Promos	2023-04-21	12s	Elesh Norn // The Argent Etchings	650ed75c-20b0-45b8-a4d4-813e0369aaf1	covered	combat_body, combat_finisher, combat_support, combat_threat, face_down_support, finisher, mass_removal, removal, repeatable_finisher, sacrifice_support, token_support	combat_body, combat_finisher, combat_support, combat_threat, face_down_support, finisher, mass_removal, removal, repeatable_finisher, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Phyrexian Praetor // Enchantment — Saga		4		W	Incubate, Vigilance, Transform		verify analyzer roles	https://scryfall.com/card/pmom/12s/elesh-norn-the-argent-etchings?utm_source=api	Elesh Norn: Vigilance Whenever a source an opponent controls deals damage to you or a permanent you control, that source's controller loses 2 life unless they pay {1}. {2}{W}, Sacrifice three other creatures: Exile Elesh Norn, then return it to the battlefield transformed under its owner's control. Activate only as a sorcery. // The Argent Etchings: (As this Saga enters and after your draw step, add a lore counter.) I — Incubate 2 five times, then transform all Incubator tokens you control. II — Creatures you control get +1/+1 and gain double strike until end of turn. III — Destroy all other permanents except for artifacts, lands, and Phyrexians. Exile this Saga, then return it to the battlefield (front face up).
pmom	March of the Machine Promos	2023-04-21	16p	Guardian of Ghirapur	2553ab57-ceb6-4654-a59d-bc61735da908	covered	artifact_support, combat_body, combat_threat	artifact_support, combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Angel	{2}{W}	3	W	W	Flying		verify analyzer roles	https://scryfall.com/card/pmom/16p/guardian-of-ghirapur?utm_source=api	Flying When this creature enters, exile up to one other target creature or artifact you control. Return it to the battlefield under its owner's control at the beginning of the next end step.
pmom	March of the Machine Promos	2023-04-21	17s	Heliod, the Radiant Dawn // Heliod, the Warped Eclipse	c27c6ba9-8d72-4101-b3a5-1e8d81755568	covered	card_selection, combat_body, cost_reduction, hand_recursion, ramp, recursion, replacement_engine, tempo_support	card_selection, combat_body, cost_reduction, hand_recursion, ramp, recursion, replacement_engine, tempo_support	false		Analyzer roles accepted during batch clean pass.	Legendary Enchantment Creature — God // Legendary Enchantment Creature — Phyrexian God		4		UW	Transform		verify analyzer roles	https://scryfall.com/card/pmom/17s/heliod-the-radiant-dawn-heliod-the-warped-eclipse?utm_source=api	Heliod, the Radiant Dawn: When Heliod enters, return target enchantment card that isn't a God from your graveyard to your hand. {3}{U/P}: Transform Heliod. Activate only as a sorcery. ({U/P} can be paid with either {U} or 2 life.) // Heliod, the Warped Eclipse: You may cast spells as though they had flash. Spells you cast cost {1} less to cast for each card your opponents have drawn this turn.
pmom	March of the Machine Promos	2023-04-21	22s	Invasion of Gobakhan // Lightshield Array	86c32a56-3272-4738-b0b3-a8aa49a17ce4	covered	broad_protection, combat_support, counter_support, hand_info, protection, sacrifice_support, self_protection	broad_protection, combat_support, counter_support, hand_info, protection, sacrifice_support, self_protection	false		Analyzer roles accepted during batch clean pass.	Battle — Siege // Enchantment		2		W	Transform		verify analyzer roles	https://scryfall.com/card/pmom/22s/invasion-of-gobakhan-lightshield-array?utm_source=api	Invasion of Gobakhan: (As a Siege enters, choose an opponent to protect it. You and others can attack it. When it's defeated, exile it, then cast it transformed.) When this Siege enters, look at target opponent's hand. You may exile a nonland card from it. For as long as that card remains exiled, its owner may play it. A spell cast this way costs {2} more to cast. // Lightshield Array: At the beginning of your end step, put a +1/+1 counter on each creature that attacked this turn. Sacrifice this enchantment: Creatures you control gain hexproof and indestructible until end of turn.
pmom	March of the Machine Promos	2023-04-21	23s	Invasion of Theros // Ephara, Ever-Sheltering	ba5f7f37-352a-4b9c-b648-0ba5c8d842fc	covered	card_draw, combat_body, combat_support, direct_draw, draw, lifegain, repeatable_advantage, repeatable_draw, restricted_tutor, self_protection, tutor	card_draw, combat_body, combat_support, direct_draw, draw, lifegain, repeatable_advantage, repeatable_draw, restricted_tutor, self_protection, tutor	false		Analyzer roles accepted during batch clean pass.	Battle — Siege // Legendary Enchantment Creature — God		3		UW	Transform		verify analyzer roles	https://scryfall.com/card/pmom/23s/invasion-of-theros-ephara-ever-sheltering?utm_source=api	Invasion of Theros: (As a Siege enters, choose an opponent to protect it. You and others can attack it. When it's defeated, exile it, then cast it transformed.) When this Siege enters, search your library for an Aura, God, or Demigod card, reveal it, put it into your hand, then shuffle. // Ephara, Ever-Sheltering: Ephara has lifelink and indestructible as long as you control at least three other enchantments. Whenever another enchantment you control enters, draw a card.
pmom	March of the Machine Promos	2023-04-21	26p	Knight-Errant of Eos	4bd20d79-0861-494a-a8f2-f6ddb5088004	covered	combat_body, scalable_spell	combat_body, scalable_spell	false		Analyzer roles accepted during batch clean pass.	Creature — Human Knight	{4}{W}	5	W	W	Convoke		verify analyzer roles	https://scryfall.com/card/pmom/26p/knight-errant-of-eos?utm_source=api	Convoke When this creature enters, look at the top six cards of your library. You may reveal up to two creature cards with mana value X or less from among them, where X is the number of creatures that convoked this creature. Put the revealed cards into your hand, then shuffle.
pmom	March of the Machine Promos	2023-04-21	28p	Monastery Mentor	3979067a-9c68-443d-a85f-d9f07be880b9	covered	combat_body, combat_support, token_support	combat_body, combat_support, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Monk	{2}{W}	3	W	W	Prowess		verify analyzer roles	https://scryfall.com/card/pmom/28p/monastery-mentor?utm_source=api	Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.) Whenever you cast a noncreature spell, create a 1/1 white Monk creature token with prowess.
pmom	March of the Machine Promos	2023-04-21	32p	Progenitor Exarch	4052f710-6ba7-406f-8fb7-653a684a80e0	covered	combat_body, counter_support, mana_sink, scalable_spell, token_support	combat_body, counter_support, mana_sink, scalable_spell, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Phyrexian Cat Cleric	{X}{X}{W}	1	W	W	Incubate, Transform		verify analyzer roles	https://scryfall.com/card/pmom/32p/progenitor-exarch?utm_source=api	When this creature enters, incubate 3 X times. (To incubate 3, create an Incubator token with three +1/+1 counters on it and "{2}: Transform this token." It transforms into a 0/0 Phyrexian artifact creature.) {T}: Transform target Incubator token you control.
pmom	March of the Machine Promos	2023-04-21	40p	Sunfall	fb3f5097-0da0-458c-8508-60823567e2da	covered	combat_support, counter_support, mass_removal, removal, scalable_spell, token_support	combat_support, counter_support, mass_removal, removal, scalable_spell, token_support	false		Analyzer roles accepted during batch clean pass.	Sorcery	{3}{W}{W}	5	W	W	Incubate, Transform		verify analyzer roles	https://scryfall.com/card/pmom/40p/sunfall?utm_source=api	Exile all creatures. Incubate X, where X is the number of creatures exiled this way. (Create an Incubator token with X +1/+1 counters on it and "{2}: Transform this token." It transforms into a 0/0 Phyrexian artifact creature.)
pmom	March of the Machine Promos	2023-04-21	51p	Chrome Host Seedshark	837c5d0e-0a33-4f9d-ae25-68a687bdf640	covered	combat_body, combat_support, combat_threat, counter_support, scalable_spell, token_support	combat_body, combat_support, combat_threat, counter_support, scalable_spell, token_support	false		Covered by Media and Collaboration Promos role audit.	Creature — Phyrexian Shark	{2}{U}	3	U	U	Flying, Incubate, Transform		already reviewed	https://scryfall.com/card/pmom/51p/chrome-host-seedshark?utm_source=api	Flying Whenever you cast a noncreature spell, incubate X, where X is that spell's mana value. (Create an Incubator token with X +1/+1 counters on it and "{2}: Transform this token." It transforms into a 0/0 Phyrexian artifact creature.)
