setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pogw	Oath of the Gatewatch Promos	2016-01-22	1s	Deceiver of Form	18c58328-518f-4228-bb1b-2433f3fb21f2			combat_body				Creature — Eldrazi	{6}{C}	7					verify analyzer roles	https://scryfall.com/card/pogw/1s/deceiver-of-form?utm_source=api	({C} represents colorless mana.) At the beginning of combat on your turn, reveal the top card of your library. If a creature card is revealed this way, you may have creatures you control other than this creature become copies of that card until end of turn. You may put that card on the bottom of your library.
pogw	Oath of the Gatewatch Promos	2016-01-22	2s	Eldrazi Mimic	cddb3ec4-01a2-4f4d-a690-3486c73c3df8			combat_body				Creature — Eldrazi	{2}	2					verify analyzer roles	https://scryfall.com/card/pogw/2s/eldrazi-mimic?utm_source=api	Whenever another colorless creature you control enters, you may change this creature's base power and toughness to that creature's power and toughness until end of turn.
pogw	Oath of the Gatewatch Promos	2016-01-22	3	Endbringer	db1ea6e0-4076-49dd-92f7-7e6d7eb65a27	covered		card_draw, combat_body, combat_support, direct_draw, draw, removal, repeatable_advantage, repeatable_draw, targeted_removal	false		Covered by PRM role audit.	Creature — Eldrazi	{5}{C}	6					already reviewed	https://scryfall.com/card/pogw/3/endbringer?utm_source=api	Untap this creature during each other player's untap step. {T}: This creature deals 1 damage to any target. {C}, {T}: Target creature can't attack or block this turn. {C}{C}, {T}: Draw a card.
pogw	Oath of the Gatewatch Promos	2016-01-22	4s	Kozilek, the Great Distortion	4c1c1537-e519-4e2f-9bc2-d34b289d4487	covered		card_draw, combat_body, combat_threat, direct_draw, draw, hard_stack, stack	false		Covered by PRM role audit.	Legendary Creature — Eldrazi	{8}{C}{C}	10			Menace		already reviewed	https://scryfall.com/card/pogw/4s/kozilek-the-great-distortion?utm_source=api	When you cast this spell, if you have fewer than seven cards in hand, draw cards equal to the difference. Menace Discard a card with mana value X: Counter target spell with mana value X.
pogw	Oath of the Gatewatch Promos	2016-01-22	6s	Matter Reshaper	38538aff-b6f9-4c30-992e-7fd78da3c44a			card_selection, combat_body, sacrifice_support				Creature — Eldrazi	{2}{C}	3					verify analyzer roles	https://scryfall.com/card/pogw/6s/matter-reshaper?utm_source=api	({C} represents colorless mana.) When this creature dies, reveal the top card of your library. You may put that card onto the battlefield if it's a permanent card with mana value 3 or less. Otherwise, put that card into your hand.
pogw	Oath of the Gatewatch Promos	2016-01-22	7s	Reality Smasher	17c651c7-da4e-45e9-9a64-fad3e873123d			combat_body, combat_threat				Creature — Eldrazi	{4}{C}	5			Haste, Trample		verify analyzer roles	https://scryfall.com/card/pogw/7s/reality-smasher?utm_source=api	({C} represents colorless mana.) Trample, haste Whenever this creature becomes the target of a spell an opponent controls, counter that spell unless its controller discards a card.
pogw	Oath of the Gatewatch Promos	2016-01-22	9s	Thought-Knot Seer	cef7396d-2168-4282-bf38-670ca9eebd91			card_draw, combat_body, hand_attack, removal				Creature — Eldrazi	{3}{C}	4					verify analyzer roles	https://scryfall.com/card/pogw/9s/thought-knot-seer?utm_source=api	({C} represents colorless mana.) When this creature enters, target opponent reveals their hand. You choose a nonland card from it and exile that card. When this creature leaves the battlefield, target opponent draws a card.
pogw	Oath of the Gatewatch Promos	2016-01-22	13s	Eldrazi Displacer	9b1f552a-bddc-4fcb-ac67-b4a65b2f48ba			combat_body, flicker				Creature — Eldrazi	{2}{W}	3		W	Devoid		verify analyzer roles	https://scryfall.com/card/pogw/13s/eldrazi-displacer?utm_source=api	Devoid (This card has no color.) {2}{C}: Exile another target creature, then return it to the battlefield tapped under its owner's control. ({C} represents colorless mana.)
pogw	Oath of the Gatewatch Promos	2016-01-22	16s	Call the Gatewatch	652bfa31-b2eb-4cba-850f-1db02a83bb35			restricted_tutor, tutor				Sorcery	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/pogw/16s/call-the-gatewatch?utm_source=api	Search your library for a planeswalker card, reveal it, put it into your hand, then shuffle.
pogw	Oath of the Gatewatch Promos	2016-01-22	19s	General Tazri	b0f19cba-1339-4518-8320-d7b1dcaf2eb0			combat_body, combat_support, restricted_tutor, scalable_spell, tutor				Legendary Creature — Human Ally	{4}{W}	5	W	BGRUW			verify analyzer roles	https://scryfall.com/card/pogw/19s/general-tazri?utm_source=api	When General Tazri enters, you may search your library for an Ally creature card, reveal it, put it into your hand, then shuffle. {W}{U}{B}{R}{G}: Ally creatures you control get +X/+X until end of turn, where X is the number of colors among those creatures.
