setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pone	Phyrexia: All Will Be One Promos	2023-02-10	10p	Elesh Norn, Mother of Machines	5ade11c0-41dd-4b6a-9f5b-c5903a3a0d7f			combat_body, combat_threat, copy_support, multiplier_support, replacement_engine				Legendary Creature — Phyrexian Praetor	{4}{W}	5	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/pone/10p/elesh-norn-mother-of-machines?utm_source=api	Vigilance If a permanent entering causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time. Permanents entering don't cause abilities of permanents your opponents control to trigger.
pone	Phyrexia: All Will Be One Promos	2023-02-10	11p	The Eternal Wanderer	20a1671d-e8a4-4cf1-87a7-f2f6319f4b9e			combat_support, mass_removal, targeted_removal, token_support				Legendary Planeswalker	{4}{W}{W}	6	W	W			verify analyzer roles	https://scryfall.com/card/pone/11p/the-eternal-wanderer?utm_source=api	No more than one creature can attack The Eternal Wanderer each combat. +1: Exile up to one target artifact or creature. Return that card to the battlefield under its owner's control at the beginning of that player's next end step. 0: Create a 2/2 white Samurai creature token with double strike. −4: For each player, choose a creature that player controls. Each player sacrifices all creatures they control not chosen this way.
pone	Phyrexia: All Will Be One Promos	2023-02-10	19p	Kemba, Kha Enduring	93c97e1a-bd7e-4307-8ada-58f53a887cf8			combat_body, combat_support, token_support				Legendary Creature — Cat Cleric	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/pone/19p/kemba-kha-enduring?utm_source=api	Whenever Kemba or another Cat you control enters, attach up to one target Equipment you control to that creature. Equipped creatures you control get +1/+1. {3}{W}{W}: Create a 2/2 white Cat creature token.
pone	Phyrexia: All Will Be One Promos	2023-02-10	23p	Mondrak, Glory Dominus	fe83087d-c6c1-40be-9295-baaa1c6b2db1			combat_body, counter_support, multiplier_support, replacement_engine, sacrifice_support, self_protection, token_support				Legendary Creature — Phyrexian Horror	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/pone/23p/mondrak-glory-dominus?utm_source=api	If one or more tokens would be created under your control, twice that many of those tokens are created instead. {1}{W/P}{W/P}, Sacrifice two other artifacts and/or creatures: Put an indestructible counter on Mondrak. ({W/P} can be paid with either {W} or 2 life.)
pone	Phyrexia: All Will Be One Promos	2023-02-10	24p	Norn's Wellspring	56a55f45-2cc6-407d-b212-5619c98456d9			card_draw, card_selection, counter_support, direct_draw, draw, repeatable_advantage, repeatable_draw, sacrifice_support, selection				Artifact	{1}{W}	2	W	W	Scry		verify analyzer roles	https://scryfall.com/card/pone/24p/norns-wellspring?utm_source=api	Whenever a creature you control dies, scry 1 and put an oil counter on this artifact. {1}, {T}, Remove two oil counters from this artifact: Draw a card.
pone	Phyrexia: All Will Be One Promos	2023-02-10	27p	Phyrexian Vindicator	9b5cfbb7-21ed-491d-b77d-547e4d30a7da			combat_body, combat_threat, direct_finisher, finisher, removal, targeted_removal				Creature — Phyrexian Horror	{W}{W}{W}{W}	4	W	W	Flying		verify analyzer roles	https://scryfall.com/card/pone/27p/phyrexian-vindicator?utm_source=api	Flying If damage would be dealt to this creature, prevent that damage. When damage is prevented this way, this creature deals that much damage to any other target.
pone	Phyrexia: All Will Be One Promos	2023-02-10	33p	Skrelv, Defector Mite	20053847-6623-493c-8cdb-a69cda3b1577			alternate_finisher, combat_body, combat_support, combat_threat, finisher, protection, self_protection, targeted_protection				Legendary Artifact Creature — Phyrexian Mite	{W}	1	W	W	Toxic		verify analyzer roles	https://scryfall.com/card/pone/33p/skrelv-defector-mite?utm_source=api	Toxic 1 (Players dealt combat damage by this creature also get a poison counter.) Skrelv can't block. {W/P}, {T}: Choose a color. Another target creature you control gains toxic 1 and hexproof from that color until end of turn. It can't be blocked by creatures of that color this turn. ({W/P} can be paid with either {W} or 2 life.)
pone	Phyrexia: All Will Be One Promos	2023-02-10	34p	Skrelv's Hive	06d219ff-0083-4c2a-b5b3-2b84bb58f57e			alternate_finisher, combat_support, finisher, lifegain, token_support				Enchantment	{1}{W}	2	W	W	Corrupted		verify analyzer roles	https://scryfall.com/card/pone/34p/skrelvs-hive?utm_source=api	At the beginning of your upkeep, you lose 1 life and create a 1/1 colorless Phyrexian Mite artifact creature token with toxic 1 and "This token can't block." Corrupted — As long as an opponent has three or more poison counters, creatures you control with toxic have lifelink.
pone	Phyrexia: All Will Be One Promos	2023-02-10	38p	White Sun's Twilight	a38828be-781e-4340-9c6f-f40b1d34773f			alternate_finisher, combat_support, finisher, lifegain, mana_sink, mass_removal, removal, scalable_spell, token_support				Sorcery	{X}{W}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/pone/38p/white-suns-twilight?utm_source=api	You gain X life. Create X 1/1 colorless Phyrexian Mite artifact creature tokens with toxic 1 and "This token can't block." If X is 5 or more, destroy all other creatures. (Players dealt combat damage by a creature with toxic 1 also get a poison counter.)
pone	Phyrexia: All Will Be One Promos	2023-02-10	42p	Blade of Shared Souls	bfecd486-8326-426b-ac2b-54946f6ae707			copy_support, token_support				Artifact — Equipment	{2}{U}	3	U	U	For Mirrodin!, Equip		verify analyzer roles	https://scryfall.com/card/pone/42p/blade-of-shared-souls?utm_source=api	For Mirrodin! (When this Equipment enters, create a 2/2 red Rebel creature token, then attach this to it.) Whenever this Equipment becomes attached to a creature, for as long as this Equipment remains attached to it, you may have that creature become a copy of another target creature you control. Equip {2}
pone	Phyrexia: All Will Be One Promos	2023-02-10	43p	Blue Sun's Twilight	11e637b4-6ce0-4514-98d6-02a2d073f73b			copy_support, mana_sink, removal, scalable_spell, tempo_removal, theft_support, token_support				Sorcery	{X}{U}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/pone/43p/blue-suns-twilight?utm_source=api	Gain control of target creature with mana value X or less. If X is 5 or more, create a token that's a copy of that creature.
pone	Phyrexia: All Will Be One Promos	2023-02-10	47p	Encroaching Mycosynth	1f0bb053-4967-4289-b2b1-f6309f2eca7d							Artifact	{3}{U}	4	U	U			manual review	https://scryfall.com/card/pone/47p/encroaching-mycosynth?utm_source=api	Nonland permanents you control are artifacts in addition to their other types. The same is true for permanent spells you control and nonland permanent cards you own that aren't on the battlefield.
