setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
por	Portal	1997-05-01	1	Alabaster Dragon	2392a41a-59d3-4749-be94-4d9df0af9c4c	covered	combat_body, combat_threat	combat_body, combat_threat	false		Covered by Portal role audit.	Creature — Dragon	{4}{W}{W}	6	W	W	Flying		verify analyzer roles	https://scryfall.com/card/por/1/alabaster-dragon?utm_source=api	Flying When this creature dies, shuffle it into its owner's library.
por	Portal	1997-05-01	2	Angelic Blessing	d3758fca-0522-4b5a-a1cc-3b2b3ab299ba	covered	combat_support	combat_support	false		Covered by Portal role audit.	Sorcery	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/por/2/angelic-blessing?utm_source=api	Target creature gets +3/+3 and gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.)
por	Portal	1997-05-01	3	Archangel	9971697b-2acc-4bc2-a44e-074d03a51df7	covered	combat_body, combat_threat	combat_body, combat_threat	false		Covered by Media and Collaboration Promos role audit.	Creature — Angel	{5}{W}{W}	7	W	W	Flying, Vigilance		already reviewed	https://scryfall.com/card/por/3/archangel?utm_source=api	Flying, vigilance
por	Portal	1997-05-01	4	Ardent Militia	23625877-b6db-480c-8885-a62b7d0457df	covered	combat_body, combat_threat	combat_body, combat_threat	false		Covered by Portal role audit.	Creature — Human Soldier	{4}{W}	5	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/por/4/ardent-militia?utm_source=api	Vigilance
por	Portal	1997-05-01	5	Armageddon	c9ed8b01-959a-47d6-891e-0abbdccf6e4f	covered	hate_piece, land_denial, mass_land_denial, mass_removal, removal, stax_piece	hate_piece, land_denial, mass_land_denial, mass_removal, removal, stax_piece	false		Covered by Alpha role audit batch 1.	Sorcery	{3}{W}	4	W	W			already reviewed	https://scryfall.com/card/por/5/armageddon?utm_source=api	Destroy all lands.
por	Portal	1997-05-01	6	Armored Pegasus	f097a059-5505-4c3c-b879-7853ab6972ed	covered	combat_body, combat_threat	combat_body, combat_threat	false		Covered by Portal role audit.	Creature — Pegasus	{1}{W}	2	W	W	Flying		verify analyzer roles	https://scryfall.com/card/por/6/armored-pegasus?utm_source=api	Flying
por	Portal	1997-05-01	7	Blessed Reversal	70e0b676-61a2-4dcf-8f61-d9281467ed43	covered	lifegain	lifegain	false		Covered by Portal role audit.	Instant	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/por/7/blessed-reversal?utm_source=api	You gain 3 life for each creature attacking you.
por	Portal	1997-05-01	8	Blinding Light	6b315dc3-c330-4b30-b6ad-4da12ccf6ca3	covered	combat_support	combat_support	false		Covered by Mirage role audit.	Sorcery	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/por/8/blinding-light?utm_source=api	Tap all nonwhite creatures.
por	Portal	1997-05-01	9	Border Guard	1ef5003c-f540-4cdc-913f-7d5280ad9f62	covered	combat_body	combat_body	false		Covered by Portal role audit.	Creature — Human Soldier	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/por/9/border-guard?utm_source=api	
por	Portal	1997-05-01	10	Breath of Life	30d9e200-b944-43ff-89b8-a550a788ae03	covered	battlefield_recursion, card_selection, recursion	battlefield_recursion, card_selection, recursion	false		Covered by Portal role audit.	Sorcery	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/por/10/breath-of-life?utm_source=api	Return target creature card from your graveyard to the battlefield.
