setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
prm	Magic Online Promos	2002-06-24	205	Braingeyser	9908e597-9470-4c13-8387-39431b380138	covered	card_draw, direct_draw, draw, mana_sink, scalable_spell	card_draw, direct_draw, draw, mana_sink, scalable_spell	false		Covered by PRM role audit.	Sorcery	{X}{U}{U}	2	U	U			already reviewed	https://scryfall.com/card/prm/205/braingeyser?utm_source=api	Target player draws X cards.
prm	Magic Online Promos	2002-06-24	207	Fork	50c53ae0-51ba-4046-ac74-87c65e688032	covered	copy_support	copy_support	false		Covered by PRM role audit.	Instant	{R}{R}	2	R	R			already reviewed	https://scryfall.com/card/prm/207/fork?utm_source=api	Copy target instant or sorcery spell, except that the copy is red. You may choose new targets for the copy.
prm	Magic Online Promos	2002-06-24	209	Sedge Troll	a6a43190-cca2-4f07-afe9-8af681d777da	covered	combat_body, combat_support, protection, regeneration_protection, targeted_protection	combat_body, combat_support, protection, regeneration_protection, targeted_protection	false		Covered by PRM role audit.	Creature — Troll	{2}{R}	3	R	BR	Regenerate		already reviewed	https://scryfall.com/card/prm/209/sedge-troll?utm_source=api	This creature gets +1/+1 as long as you control a Swamp. {B}: Regenerate this creature.
prm	Magic Online Promos	2002-06-24	211	Two-Headed Giant of Foriys	38aa31bd-7145-43b9-9409-463d9ad6cd69	covered	combat_body, combat_threat	combat_body, combat_support, combat_threat	false		Covered by PRM role audit.	Creature — Giant	{4}{R}	5	R	R	Trample		already reviewed	https://scryfall.com/card/prm/211/two-headed-giant-of-foriys?utm_source=api	Trample This creature can block an additional creature each combat.
prm	Magic Online Promos	2002-06-24	213	Ifh-Bíff Efreet	e503a4f2-a785-4e7a-89a7-a9b24fb98831	covered	combat_body, combat_threat, damage_engine, group_slug, mass_removal, removal	combat_body, combat_threat, damage_engine, group_slug, mass_removal, removal	false		Covered by Arabian Nights role audit.	Creature — Efreet	{2}{G}{G}	4	G	G	Flying		already reviewed	https://scryfall.com/card/prm/213/ifh-b%C3%ADff-efreet?utm_source=api	Flying {G}: This creature deals 1 damage to each creature with flying and each player. Any player may activate this ability.
prm	Magic Online Promos	2002-06-24	215	Khabál Ghoul	cb558dda-0c05-426d-aedc-bc07cc54db76	covered	combat_body, counter_support	combat_body, counter_support	false		Covered by Arabian Nights role audit.	Creature — Zombie	{2}{B}	3	B	B			already reviewed	https://scryfall.com/card/prm/215/khab%C3%A1l-ghoul?utm_source=api	At the beginning of each end step, put a +1/+1 counter on this creature for each creature that died this turn.
prm	Magic Online Promos	2002-06-24	217	Serendib Efreet	dd520d83-297a-487f-b8f3-4997bbc056e0	covered	combat_body, combat_threat	combat_body, combat_threat	false		Covered by Arabian Nights role audit.	Creature — Efreet	{2}{U}	3	U	U	Flying		already reviewed	https://scryfall.com/card/prm/217/serendib-efreet?utm_source=api	Flying At the beginning of your upkeep, this creature deals 1 damage to you.
prm	Magic Online Promos	2002-06-24	219	Argivian Archaeologist	4b889ec0-6130-4e31-bb02-03fdabd28bee	covered	card_selection, combat_body, hand_recursion, recursion, repeatable_advantage	card_selection, combat_body, hand_recursion, recursion, repeatable_advantage	false		Covered by Antiquities role audit.	Creature — Human Artificer	{1}{W}{W}	3	W	W			already reviewed	https://scryfall.com/card/prm/219/argivian-archaeologist?utm_source=api	{W}{W}, {T}: Return target artifact card from your graveyard to your hand.
prm	Magic Online Promos	2002-06-24	221	Mishra's Factory	5963e0ef-e0bc-4611-ad4f-813a4c0eacfb	covered	burst_ramp, combat_support, land_base, land_slot, mana_source, ramp	burst_ramp, combat_support, land_base, land_slot, mana_source, ramp	false		Covered by Antiquities role audit.	Land		0					already reviewed	https://scryfall.com/card/prm/221/mishras-factory?utm_source=api	{T}: Add {C}. {1}: This land becomes a 2/2 Assembly-Worker artifact creature until end of turn. It's still a land. {T}: Target Assembly-Worker creature gets +1/+1 until end of turn.
prm	Magic Online Promos	2002-06-24	223	Hand of Justice	af8eb20a-dfa2-49a4-892b-26d7e276fcd2	covered	combat_body, removal, targeted_removal	combat_body, removal, targeted_removal	false		Covered by Fallen Empires role audit.	Creature — Avatar	{5}{W}	6	W	W			already reviewed	https://scryfall.com/card/prm/223/hand-of-justice?utm_source=api	{T}, Tap three untapped white creatures you control: Destroy target creature.
prm	Magic Online Promos	2002-06-24	225	Zuran Orb	08cb8a30-9cb4-4517-bee5-8848aa60d1a2	covered	lifegain, sacrifice_support	lifegain, sacrifice_support	false		Covered by Ice Age role audit.	Artifact	{0}	0					already reviewed	https://scryfall.com/card/prm/225/zuran-orb?utm_source=api	Sacrifice a land: You gain 2 life.
