setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
prna	Ravnica Allegiance Promos	2019-01-25	11p	Hero of Precinct One	5a66802a-76f9-4a31-a776-24110dcfca64			combat_body, token_support				Creature — Human Warrior	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/prna/11p/hero-of-precinct-one?utm_source=api	Whenever you cast a multicolored spell, create a 1/1 white Human creature token.
prna	Ravnica Allegiance Promos	2019-01-25	15s	Lumbering Battlement	dcf7d099-a726-4388-9744-70d37c5ea860			combat_body, combat_support, combat_threat				Creature — Beast	{4}{W}	5	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/prna/15s/lumbering-battlement?utm_source=api	Vigilance When this creature enters, exile any number of other nontoken creatures you control until it leaves the battlefield. This creature gets +2/+2 for each card exiled with it.
prna	Ravnica Allegiance Promos	2019-01-25	22p	Smothering Tithe	153376c9-dffd-458c-8ce3-a4c8269bc4e9	covered		burst_ramp, mana_fixing, ramp, sacrifice_support, token_support	false		Covered by PRM role audit.	Enchantment	{3}{W}	4	W	W	Treasure		already reviewed	https://scryfall.com/card/prna/22p/smothering-tithe?utm_source=api	Whenever an opponent draws a card, that player may pay {2}. If the player doesn't, you create a Treasure token. (It's an artifact with "{T}, Sacrifice this token: Add one mana of any color.")
prna	Ravnica Allegiance Promos	2019-01-25	27p	Tithe Taker	c916b81f-700e-4a1a-8c8e-c4685ceaecd2			combat_body, sacrifice_support, stax_piece, token_support				Creature — Human Soldier	{1}{W}	2	W	W	Afterlife		verify analyzer roles	https://scryfall.com/card/prna/27p/tithe-taker?utm_source=api	During your turn, spells your opponents cast cost {1} more to cast and abilities your opponents activate cost {1} more to activate unless they're mana abilities. Afterlife 1 (When this creature dies, create a 1/1 white and black Spirit creature token with flying.)
prna	Ravnica Allegiance Promos	2019-01-25	29p	Unbreakable Formation	97435e03-2fff-4fe0-8fa9-69ab0a046a33			broad_protection, combat_support, counter_support, protection, self_protection				Instant	{2}{W}	3	W	W	Addendum		verify analyzer roles	https://scryfall.com/card/prna/29p/unbreakable-formation?utm_source=api	Creatures you control gain indestructible until end of turn. Addendum — If you cast this spell during your main phase, put a +1/+1 counter on each of those creatures and they gain vigilance until end of turn.
prna	Ravnica Allegiance Promos	2019-01-25	32p	Benthic Biomancer	b9000917-4f09-42f4-ae85-fc1ac7571d93			card_draw, card_selection, combat_body, combat_support, counter_support, direct_draw, draw, repeatable_advantage, repeatable_draw, selection				Creature — Merfolk Wizard Mutant	{U}	1	U	U	Adapt		verify analyzer roles	https://scryfall.com/card/prna/32p/benthic-biomancer?utm_source=api	{1}{U}: Adapt 1. (If this creature has no +1/+1 counters on it, put a +1/+1 counter on it.) Whenever one or more +1/+1 counters are put on this creature, draw a card, then discard a card.
prna	Ravnica Allegiance Promos	2019-01-25	42p	Mass Manipulation	68e87559-7cae-4dcf-b7cd-a61f19bcd840			mana_sink, scalable_spell, theft_support				Sorcery	{X}{X}{U}{U}{U}{U}	4	U	U			verify analyzer roles	https://scryfall.com/card/prna/42p/mass-manipulation?utm_source=api	Gain control of X target creatures and/or planeswalkers.
prna	Ravnica Allegiance Promos	2019-01-25	45s	Precognitive Perception	275d0b90-a8d6-4388-b7db-34615287f532			card_draw, card_selection, direct_draw, draw, selection				Instant	{3}{U}{U}	5	U	U	Scry, Addendum		verify analyzer roles	https://scryfall.com/card/prna/45s/precognitive-perception?utm_source=api	Draw three cards. Addendum — If you cast this spell during your main phase, instead scry 3, then draw three cards.
prna	Ravnica Allegiance Promos	2019-01-25	55s	Sphinx of Foresight	d1108bd1-87b2-4795-9690-54ff4504e04f			card_selection, combat_body, combat_threat, repeatable_advantage, selection				Creature — Sphinx	{2}{U}{U}	4	U	U	Scry, Flying		verify analyzer roles	https://scryfall.com/card/prna/55s/sphinx-of-foresight?utm_source=api	You may reveal this card from your opening hand. If you do, scry 3 at the beginning of your first upkeep. Flying At the beginning of your upkeep, scry 1.
prna	Ravnica Allegiance Promos	2019-01-25	61s	Awaken the Erstwhile	06fa6719-aa4f-4857-8029-e42d01232645			hand_attack, token_support				Sorcery	{3}{B}{B}	5	B	B			verify analyzer roles	https://scryfall.com/card/prna/61s/awaken-the-erstwhile?utm_source=api	Each player discards all the cards in their hand, then creates that many 2/2 black Zombie creature tokens.
prna	Ravnica Allegiance Promos	2019-01-25	74s	Font of Agonies	ab44c6fe-6a66-42f0-9e75-8b25641e1f13			counter_support, removal, targeted_removal				Enchantment	{B}	1	B	B			verify analyzer roles	https://scryfall.com/card/prna/74s/font-of-agonies?utm_source=api	Whenever you pay life, put that many blood counters on this enchantment. {1}{B}, Remove four blood counters from this enchantment: Destroy target creature.
prna	Ravnica Allegiance Promos	2019-01-25	76p	Gutterbones	76ae3779-c821-4cd3-8d0f-8c42d1206ce4			card_selection, combat_body, hand_recursion, repeatable_advantage				Creature — Skeleton Warrior	{B}	1	B	B			verify analyzer roles	https://scryfall.com/card/prna/76p/gutterbones?utm_source=api	This creature enters tapped. {1}{B}: Return this card from your graveyard to your hand. Activate only during your turn and only if an opponent lost life this turn.
prna	Ravnica Allegiance Promos	2019-01-25	83p	Priest of Forgotten Gods	2ad8ff62-d090-4835-9274-3b755ba0f8e6			card_draw, combat_body, direct_draw, draw, sacrifice_support				Creature — Human Cleric	{1}{B}	2	B	B			verify analyzer roles	https://scryfall.com/card/prna/83p/priest-of-forgotten-gods?utm_source=api	{T}, Sacrifice two other creatures: Any number of target players each lose 2 life and sacrifice a creature of their choice. You add {B}{B} and draw a card.
prna	Ravnica Allegiance Promos	2019-01-25	85p	Spawn of Mayhem	6a290adf-7b75-451e-bb79-9c13e10b38aa			combat_body, combat_threat, counter_support, direct_finisher, finisher				Creature — Demon	{2}{B}{B}	4	B	B	Flying, Spectacle, Trample		verify analyzer roles	https://scryfall.com/card/prna/85p/spawn-of-mayhem?utm_source=api	Spectacle {1}{B}{B} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.) Flying, trample At the beginning of your upkeep, this creature deals 1 damage to each player. Then if you have 10 or less life, put a +1/+1 counter on this creature.
prna	Ravnica Allegiance Promos	2019-01-25	92s	Amplifire	c6861c50-d336-4352-a76d-ec22a86ec09e			combat_body				Creature — Elemental	{2}{R}{R}	4	R	R			verify analyzer roles	https://scryfall.com/card/prna/92s/amplifire?utm_source=api	At the beginning of your upkeep, reveal cards from the top of your library until you reveal a creature card. Until your next turn, this creature's base power becomes twice that card's power and its base toughness becomes twice that card's toughness. Put the revealed cards on the bottom of your library in a random order.
prna	Ravnica Allegiance Promos	2019-01-25	99p	Electrodominance	4a59d86e-405d-4c70-b2a5-c64f5cecfd9e			direct_finisher, finisher, mana_sink, removal, scalable_spell, targeted_removal				Instant	{X}{R}{R}	2	R	R			verify analyzer roles	https://scryfall.com/card/prna/99p/electrodominance?utm_source=api	Electrodominance deals X damage to any target. You may cast a spell with mana value X or less from your hand without paying its mana cost.
prna	Ravnica Allegiance Promos	2019-01-25	106s	Immolation Shaman	cf681c9e-a644-44c7-b744-34faafc67d50			combat_body, combat_support				Creature — Lizard Shaman	{1}{R}	2	R	R			verify analyzer roles	https://scryfall.com/card/prna/106s/immolation-shaman?utm_source=api	Whenever an opponent activates an ability of an artifact, creature, or land that isn't a mana ability, this creature deals 1 damage to that player. {3}{R}{R}: This creature gets +3/+3 and gains menace until end of turn.
prna	Ravnica Allegiance Promos	2019-01-25	107	Light Up the Stage	8d286376-f386-43ab-a9bd-8478fb9e2497			card_selection, direct_draw, draw, selection				Sorcery	{2}{R}	3	R	R	Spectacle		verify analyzer roles	https://scryfall.com/card/prna/107/light-up-the-stage?utm_source=api	Spectacle {R} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.) Exile the top two cards of your library. Until the end of your next turn, you may play those cards.
prna	Ravnica Allegiance Promos	2019-01-25	108s	Mirror March	945eaa8b-0ba5-45a6-a02a-763e5bfe3af8			coin_support, copy_support, token_support				Enchantment	{5}{R}	6	R	R			verify analyzer roles	https://scryfall.com/card/prna/108s/mirror-march?utm_source=api	Whenever a nontoken creature you control enters, flip a coin until you lose a flip. For each flip you won, create a token that's a copy of that creature. Those tokens gain haste. Exile them at the beginning of the next end step.
prna	Ravnica Allegiance Promos	2019-01-25	109s	Rix Maadi Reveler	bad5b8d4-9089-4ebd-8eaa-07552737c527			card_draw, card_selection, combat_body, direct_draw, draw, selection				Creature — Human Shaman	{1}{R}	2	R	BR	Spectacle		verify analyzer roles	https://scryfall.com/card/prna/109s/rix-maadi-reveler?utm_source=api	Spectacle {2}{B}{R} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.) When this creature enters, discard a card, then draw a card. If this creature's spectacle cost was paid, instead discard your hand, then draw three cards.
prna	Ravnica Allegiance Promos	2019-01-25	114p	Skarrgan Hellkite	bfbe28a2-b656-4575-8b7e-9dbc22f8d4bc			combat_body, combat_threat, counter_support				Creature — Dragon	{3}{R}{R}	5	R	R	Flying, Riot		verify analyzer roles	https://scryfall.com/card/prna/114p/skarrgan-hellkite?utm_source=api	Riot (This creature enters with your choice of a +1/+1 counter or haste.) Flying {3}{R}: This creature deals 2 damage divided as you choose among one or two targets. Activate only if this creature has a +1/+1 counter on it.
prna	Ravnica Allegiance Promos	2019-01-25	122p	Biogenic Ooze	d2d84ba5-0d20-4ce3-8f1f-93cd9ef94f5f			combat_body, counter_support, token_support				Creature — Ooze	{3}{G}{G}	5	G	G			verify analyzer roles	https://scryfall.com/card/prna/122p/biogenic-ooze?utm_source=api	When this creature enters, create a 2/2 green Ooze creature token. At the beginning of your end step, put a +1/+1 counter on each Ooze you control. {1}{G}{G}{G}: Create a 2/2 green Ooze creature token.
prna	Ravnica Allegiance Promos	2019-01-25	124★	End-Raze Forerunners	69b52907-8aff-4f2a-a391-7d1ab2669b5c			combat_body, combat_finisher, combat_support, combat_threat, finisher				Creature — Boar	{5}{G}{G}{G}	8	G	G	Vigilance, Haste, Trample		verify analyzer roles	https://scryfall.com/card/prna/124%E2%98%85/end-raze-forerunners?utm_source=api	Vigilance, trample, haste When this creature enters, other creatures you control get +2/+2 and gain vigilance and trample until end of turn.
prna	Ravnica Allegiance Promos	2019-01-25	128p	Growth-Chamber Guardian	1a49ec1c-6150-4b46-b671-b7d6f4e301ae			combat_body, combat_support, counter_support, repeatable_tutor, restricted_tutor, tutor				Creature — Elf Crab Warrior	{1}{G}	2	G	G	Adapt		verify analyzer roles	https://scryfall.com/card/prna/128p/growth-chamber-guardian?utm_source=api	{2}{G}: Adapt 2. (If this creature has no +1/+1 counters on it, put two +1/+1 counters on it.) Whenever one or more +1/+1 counters are put on this creature, you may search your library for a card named Growth-Chamber Guardian, reveal it, put it into your hand, then shuffle.
