setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
prtr	Return to Ravnica Promos	2012-10-05	120★	Deadbridge Goliath	1498f5a1-6df7-4f80-9470-c93528b64a9c	covered		combat_body, removal, targeted_removal	false		Covered by PRM role audit.	Creature — Insect	{2}{G}{G}	4	G	G	Scavenge		already reviewed	https://scryfall.com/card/prtr/120%E2%98%85/deadbridge-goliath?utm_source=api	Scavenge {4}{G}{G} ({4}{G}{G}, Exile this card from your graveyard: Put a number of +1/+1 counters equal to this card's power on target creature. Scavenge only as a sorcery.)
prtr	Return to Ravnica Promos	2012-10-05	142★	Archon of the Triumvirate	27ecb717-6251-4066-b57e-7070e9e44bbf	covered		combat_body, combat_support, combat_threat	false		Covered by PRM role audit.	Creature — Archon	{5}{W}{U}	7	UW	UW	Flying, Detain		already reviewed	https://scryfall.com/card/prtr/142%E2%98%85/archon-of-the-triumvirate?utm_source=api	Flying Whenever this creature attacks, detain up to two target nonland permanents your opponents control. (Until your next turn, those permanents can't attack or block and their activated abilities can't be activated.)
prtr	Return to Ravnica Promos	2012-10-05	147★	Carnival Hellsteed	34ae5b49-f8bf-4aa8-bb62-92d6d3118b26	covered		combat_body, combat_threat, counter_support	false		Covered by PRM role audit.	Creature — Nightmare Horse	{4}{B}{R}	6	BR	BR	First strike, Haste, Unleash		already reviewed	https://scryfall.com/card/prtr/147%E2%98%85/carnival-hellsteed?utm_source=api	First strike, haste Unleash (You may have this creature enter with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.)
prtr	Return to Ravnica Promos	2012-10-05	152★	Corpsejack Menace	ca0cc02b-b106-4eca-9388-d4b48dd3be49	covered		combat_body, counter_support, multiplier_support, replacement_engine	false		Covered by PRM role audit.	Creature — Fungus	{2}{B}{G}	4	BG	BG			already reviewed	https://scryfall.com/card/prtr/152%E2%98%85/corpsejack-menace?utm_source=api	If one or more +1/+1 counters would be put on a creature you control, twice that many +1/+1 counters are put on it instead.
prtr	Return to Ravnica Promos	2012-10-05	158	Dreg Mangler	71358110-4e28-4794-befa-ea6e27e720ef			combat_body, combat_threat, removal, targeted_removal				Creature — Plant Zombie	{1}{B}{G}	3	BG	BG	Scavenge, Haste		verify analyzer roles	https://scryfall.com/card/prtr/158/dreg-mangler?utm_source=api	Haste Scavenge {3}{B}{G} ({3}{B}{G}, Exile this card from your graveyard: Put a number of +1/+1 counters equal to this card's power on target creature. Scavenge only as a sorcery.)
prtr	Return to Ravnica Promos	2012-10-05	170★	Hypersonic Dragon	e1bf20b0-2bd7-4a0f-9a02-41e43bd44641	covered		combat_body, combat_threat, replacement_engine, tempo_support	false		Covered by PRM role audit.	Creature — Dragon	{3}{U}{R}	5	RU	RU	Flying, Haste		already reviewed	https://scryfall.com/card/prtr/170%E2%98%85/hypersonic-dragon?utm_source=api	Flying, haste You may cast sorcery spells as though they had flash. (You may cast them any time you could cast an instant.)
prtr	Return to Ravnica Promos	2012-10-05	201★	Supreme Verdict	0230de18-8d15-4cfa-9d42-7ccddd9f9570	covered		mass_removal, removal	false		Covered by PRM role audit.	Sorcery	{1}{W}{W}{U}	4	UW	UW			already reviewed	https://scryfall.com/card/prtr/201%E2%98%85/supreme-verdict?utm_source=api	This spell can't be countered. Destroy all creatures.
prtr	Return to Ravnica Promos	2012-10-05	212	Cryptborn Horror	f5d62baa-648d-4030-87f9-e795ed665084	covered		combat_body, combat_support, combat_threat, counter_support, scalable_spell	false		Covered by PRM role audit.	Creature — Horror	{1}{B/R}{B/R}	3	BR	BR	Trample		already reviewed	https://scryfall.com/card/prtr/212/cryptborn-horror?utm_source=api	Trample This creature enters with X +1/+1 counters on it, where X is the total life lost by your opponents this turn.
prtr	Return to Ravnica Promos	2012-10-05	214	Dryad Militant	b8ca5877-ac9e-4b15-8c23-c70f61b01895	covered		combat_body, replacement_engine	false		Covered by PRM role audit.	Creature — Dryad Soldier	{G/W}	1	GW	GW			already reviewed	https://scryfall.com/card/prtr/214/dryad-militant?utm_source=api	({G/W} can be paid with either {G} or {W}.) If an instant or sorcery card would be put into a graveyard from anywhere, exile it instead.
prtr	Return to Ravnica Promos	2012-10-05	240★	Grove of the Guardian	f746612a-fbed-44ca-b2cc-5928e10cf4bb	covered		land_base, land_slot, mana_source, sacrifice_support, token_support	false		Covered by PRM role audit.	Land		0		GW			already reviewed	https://scryfall.com/card/prtr/240%E2%98%85/grove-of-the-guardian?utm_source=api	{T}: Add {C}. {3}{G}{W}, {T}, Tap two untapped creatures you control, Sacrifice this land: Create an 8/8 green and white Elemental creature token with vigilance.
