setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
psal	Salvat 2005	2005-08-22	A1	Marrow-Gnawer	2b934761-5720-477b-94b7-d1d91dc581a6	covered	combat_body, combat_support, sacrifice_support, scalable_spell, token_support	combat_body, combat_support, sacrifice_support, scalable_spell, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Rat Rogue	{3}{B}{B}	5	B	B			verify analyzer roles	https://scryfall.com/card/psal/A1/es/roem%C3%A9dulas-(marrow-gnawer)?utm_source=api	All Rats have fear. {T}, Sacrifice a Rat: Create X 1/1 black Rat creature tokens, where X is the number of Rats you control.
psal	Salvat 2005	2005-08-22	B1	Voice of the Woods	12da8ba3-ca60-44c8-8627-1b4af2a2c4a3	covered		combat_body, combat_support, token_support	false		Covered by ONS role audit.	Creature — Elf	{3}{G}{G}	5	G	G			already reviewed	https://scryfall.com/card/psal/B1/es/voz-del-bosque-(voice-of-the-woods)?utm_source=api	Tap five untapped Elves you control: Create a 7/7 green Elemental creature token with trample. (It can deal excess combat damage to the player or planeswalker it's attacking.)
psal	Salvat 2005	2005-08-22	C1	Oyobi, Who Split the Heavens	df5c1f34-94e4-4f89-b1af-943c430862d0	covered	combat_body, combat_threat, token_support	combat_body, combat_threat, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Spirit	{6}{W}	7	W	W	Flying		verify analyzer roles	https://scryfall.com/card/psal/C1/es/oyobi-la-que-parte-los-cielos-(oyobi-who-split-the-heavens)?utm_source=api	Flying Whenever you cast a Spirit or Arcane spell, create a 3/3 white Spirit creature token with flying.
psal	Salvat 2005	2005-08-22	D1	Magma Sliver	008ac258-763c-4379-bfcd-b9cc4d7296dd	covered		combat_body, scalable_spell	false		Covered by LGN role audit.	Creature — Sliver	{3}{R}	4	R	R			already reviewed	https://scryfall.com/card/psal/D1/es/fragmentado-de-magma-(magma-sliver)?utm_source=api	All Slivers have "{T}: Target Sliver creature gets +X/+0 until end of turn, where X is the number of Slivers on the battlefield."
psal	Salvat 2005	2005-08-22	E1	Higure, the Still Wind	01197456-62f1-4bc0-9f2f-127f97f9b05d	covered	combat_body, combat_support, direct_tutor, repeatable_tutor, tutor	combat_body, combat_support, direct_tutor, repeatable_tutor, tutor	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Ninja	{3}{U}{U}	5	U	U	Ninjutsu		verify analyzer roles	https://scryfall.com/card/psal/E1/es/higure-el-viento-quieto-(higure-the-still-wind)?utm_source=api	Ninjutsu {2}{U}{U} ({2}{U}{U}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.) Whenever Higure deals combat damage to a player, you may search your library for a Ninja card, reveal it, put it into your hand, then shuffle. {2}: Target Ninja creature can't be blocked this turn.
psal	Salvat 2005	2005-08-22	F1	Lord of the Undead	7714af0e-41d9-4609-967f-27233b46055f	covered		card_selection, combat_body, combat_support, hand_recursion, recursion, repeatable_advantage	false		Covered by PLS role audit.	Creature — Zombie	{1}{B}{B}	3	B	B			already reviewed	https://scryfall.com/card/psal/F1/es/se%C3%B1or-de-los-muertos-vivientes-(lord-of-the-undead)?utm_source=api	Other Zombie creatures get +1/+1. {1}{B}, {T}: Return target Zombie card from your graveyard to your hand.
psal	Salvat 2005	2005-08-22	G1	Angel of Retribution	248dcf69-b99e-4a71-b9b3-7fd865f873ab	covered		combat_body, combat_threat	false		Covered by TOR role audit.	Creature — Angel	{6}{W}	7	W	W	Flying, First strike		already reviewed	https://scryfall.com/card/psal/G1/es/%C3%A1ngel-de-castigo-(angel-of-retribution)?utm_source=api	Flying, first strike
psal	Salvat 2005	2005-08-22	H1	Azami, Lady of Scrolls	0f8b97fe-3e5e-47c2-9a9d-7f77482aa159	covered	card_draw, combat_body, direct_draw, draw	card_draw, combat_body, direct_draw, draw	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Wizard	{2}{U}{U}{U}	5	U	U			verify analyzer roles	https://scryfall.com/card/psal/H1/es/azami-se%C3%B1ora-de-los-pergaminos-(azami-lady-of-scrolls)?utm_source=api	Tap an untapped Wizard you control: Draw a card.
psal	Salvat 2005	2005-08-22	I1	Kamahl, Pit Fighter	153bb46f-ee8a-4da3-aab4-ae884f6ff403	covered		combat_body, combat_support, combat_threat, removal, targeted_removal	false		Covered by ODY role audit.	Legendary Creature — Human Barbarian	{4}{R}{R}	6	R	R	Haste		already reviewed	https://scryfall.com/card/psal/I1/es/kamahl-luchador-del-foso-(kamahl-pit-fighter)?utm_source=api	Haste (This creature can attack and {T} as soon as it comes under your control.) {T}: Kamahl deals 3 damage to any target.
psal	Salvat 2005	2005-08-22	J1	Tolsimir Wolfblood	30ee2790-1f5d-4073-aae7-5e7ae30421d2	covered	combat_body, combat_support, token_support	combat_body, combat_support, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Elf Warrior	{4}{G}{W}	6	GW	GW			verify analyzer roles	https://scryfall.com/card/psal/J1/es/tolsimir-sangrelobo-(tolsimir-wolfblood)?utm_source=api	Other green creatures you control get +1/+1. Other white creatures you control get +1/+1. {T}: Create Voja, a legendary 2/2 green and white Wolf creature token.
