setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
psdg	Sega Dreamcast Cards	2001-06-28	1	Arden Angel	82d51c8a-d42b-48b3-a726-3a8d28d057e5	covered		card_selection, combat_body, combat_threat, dice_support, repeatable_advantage			Covered by PSDG role audit.	Creature — Angel	{4}{W}{W}	6	W	W	Flying		verify analyzer roles	https://scryfall.com/card/psdg/1/ja/arden-angel?utm_source=api	Flying At the beginning of your upkeep, if Arden Angel is in your graveyard, roll a four-sided die. If the result is 1, return Arden Angel from your graveyard to the battlefield.
psdg	Sega Dreamcast Cards	2001-06-28	2	Ashuza's Breath	9ccbc379-05bc-4359-b1f6-3a022ae37a1e	covered		mass_removal, removal			Covered by PSDG role audit.	Sorcery	{1}{R}	2	R	R			verify analyzer roles	https://scryfall.com/card/psdg/2/ja/ashuzas-breath?utm_source=api	For each creature, choose a number from 0 to 2 at random. Ashuza's Breath deals that much damage to that creature.
psdg	Sega Dreamcast Cards	2001-06-28	3	Camato Scout	2f05cfc0-6029-4618-8d79-39cd0a6a3b5f	covered		combat_body, combat_support, landwalk_support			Covered by PSDG role audit.	Creature — Merfolk	{1}{U}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/psdg/3/ja/camato-scout?utm_source=api	As Camato Scout enters, choose a basic land type at random. Camato Scout has landwalk of the chosen type.
psdg	Sega Dreamcast Cards	2001-06-28	4	Hapato's Might	b819990c-802c-4847-9857-756dd66ec74a	covered		combat_support, scalable_spell			Covered by PSDG role audit.	Instant	{2}{B}	3	B	B			verify analyzer roles	https://scryfall.com/card/psdg/4/ja/hapatos-might?utm_source=api	Target creature gets +X/+0 until end of turn, where X is a number from 0 to 6 chosen at random.
psdg	Sega Dreamcast Cards	2001-06-28	5	Lydari Druid	e4afa53e-435e-4d0f-918b-e7b603c52f9c	covered		combat_body			Covered by PSDG role audit.	Creature — Druid	{2}{G}	3	G	G			verify analyzer roles	https://scryfall.com/card/psdg/5/ja/lydari-druid?utm_source=api	When Lydari Druid enters, for each land on the battlefield, choose a basic land type at random. Those lands become the land types chosen this way. (This effect lasts indefinitely.)
psdg	Sega Dreamcast Cards	2001-06-28	6	Lydari Elephant	af0b1bfd-9b19-4ea8-9a53-8c663d8e55ed	covered		combat_body			Covered by PSDG role audit.	Creature — Elephant	{4}{G}	5	G	G			verify analyzer roles	https://scryfall.com/card/psdg/6/ja/lydari-elephant?utm_source=api	As Lydari Elephant enters, choose two numbers from 3 to 7 at random. Lydari Elephant's power is equal to the first number chosen and its toughness equal to the second number chosen.
psdg	Sega Dreamcast Cards	2001-06-28	7	Murgish Cemetery	13a4d0a2-211b-41a9-809f-30025326ac51	covered		combat_support, scalable_spell, token_support			Covered by PSDG role audit.	Enchantment	{4}{B}{B}	6	B	B			verify analyzer roles	https://scryfall.com/card/psdg/7/ja/murgish-cemetery?utm_source=api	{3}{B}, Discard a card: Create an X/X black Zombie creature token, where X is a number from 2 to 6 chosen at random.
psdg	Sega Dreamcast Cards	2001-06-28	8	Saji's Torrent	b487435d-1988-4752-a505-1d500c025311	covered		scalable_spell			Covered by PSDG role audit.	Instant	{1}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/psdg/8/ja/sajis-torrent?utm_source=api	Tap X creatures, where X is a number from 0 to 5 chosen at random.
psdg	Sega Dreamcast Cards	2001-06-28	9	Tornellan Protector	a232b511-b521-47e6-a3b7-e4eff0392c22	covered		combat_body, scalable_spell			Covered by PSDG role audit.	Creature — Cleric	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/psdg/9/ja/tornellan-protector?utm_source=api	{T}: Until end of turn, each time damage is dealt to target creature or player, prevent X of that damage, where X is a number from 1 to 3 chosen at random each time.
psdg	Sega Dreamcast Cards	2001-06-28	10	Velukan Dragon	667aef37-a47a-4593-a252-807c02416863	covered		combat_body, combat_support, combat_threat, dice_support, scalable_spell			Covered by PSDG role audit.	Creature — Dragon	{5}{R}{R}	7	R	R	Flying		verify analyzer roles	https://scryfall.com/card/psdg/10/ja/velukan-dragon?utm_source=api	Flying Whenever this creature attacks or blocks, roll a six-sided die. This creature gets +X/+0 until end of turn, where X is the result minus 1.
