setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
psoi	Shadows over Innistrad Promos	2016-04-08	1s	Always Watching	c2153115-bc12-458d-baeb-538ec61e1242			combat_support				Enchantment	{1}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/psoi/1s/always-watching?utm_source=api	Nontoken creatures you control get +1/+1 and have vigilance.
psoi	Shadows over Innistrad Promos	2016-04-08	2	Angel of Deliverance	f888f3ba-8316-4c10-bf97-873731f7d364	covered		combat_body, combat_threat, removal, targeted_removal	false		Covered by PRM role audit.	Creature — Angel	{6}{W}{W}	8	W	W	Flying, Delirium		already reviewed	https://scryfall.com/card/psoi/2/angel-of-deliverance?utm_source=api	Flying Delirium — Whenever this creature deals damage, if there are four or more card types among cards in your graveyard, exile target creature an opponent controls.
psoi	Shadows over Innistrad Promos	2016-04-08	5s	Archangel Avacyn // Avacyn, the Purifier	432b37a5-d32a-4b78-91ab-860aa026b7cc			broad_protection, combat_body, combat_support, combat_threat, protection, sacrifice_support, self_protection				Legendary Creature — Angel // Legendary Creature — Angel		5		RW	Flying, Vigilance, Transform, Flash		verify analyzer roles	https://scryfall.com/card/psoi/5s/archangel-avacyn-avacyn-the-purifier?utm_source=api	Archangel Avacyn: Flash Flying, vigilance When Archangel Avacyn enters, creatures you control gain indestructible until end of turn. When a non-Angel creature you control dies, transform Archangel Avacyn at the beginning of the next upkeep. // Avacyn, the Purifier: Flying When this creature transforms into Avacyn, the Purifier, it deals 3 damage to each other creature and each opponent.
psoi	Shadows over Innistrad Promos	2016-04-08	8s	Bygone Bishop	a47d9ea3-95fe-4774-8e72-30e7f56756f4			card_draw, combat_body, combat_threat, direct_draw, draw, repeatable_advantage, repeatable_draw, sacrifice_support, selection, token_support				Creature — Spirit Cleric	{2}{W}	3	W	W	Flying, Investigate		verify analyzer roles	https://scryfall.com/card/psoi/8s/bygone-bishop?utm_source=api	Flying Whenever you cast a creature spell with mana value 3 or less, investigate. (Create a Clue token. It's an artifact with "{2}, Sacrifice this token: Draw a card.")
psoi	Shadows over Innistrad Promos	2016-04-08	12s	Declaration in Stone	49554441-bb48-4829-b8d6-55e687a6c2e2			removal, targeted_removal				Sorcery	{1}{W}	2	W	W	Investigate		verify analyzer roles	https://scryfall.com/card/psoi/12s/declaration-in-stone?utm_source=api	Exile target creature and all other creatures its controller controls with the same name as that creature. That player investigates for each nontoken creature exiled this way.
psoi	Shadows over Innistrad Promos	2016-04-08	13s	Descend upon the Sinful	9cbf95f4-3510-420b-9355-645450f4493d			mass_removal, removal, token_support				Sorcery	{4}{W}{W}	6	W	W	Delirium		verify analyzer roles	https://scryfall.com/card/psoi/13s/descend-upon-the-sinful?utm_source=api	Exile all creatures. Delirium — Create a 4/4 white Angel creature token with flying if there are four or more card types among cards in your graveyard.
psoi	Shadows over Innistrad Promos	2016-04-08	15	Drogskol Cavalry	a8bac5a8-5a60-4f7a-a4d6-cb922da92472	covered		combat_body, combat_threat, lifegain, token_support	false		Covered by PRM role audit.	Creature — Spirit Knight	{5}{W}{W}	7	W	W	Flying		already reviewed	https://scryfall.com/card/psoi/15/drogskol-cavalry?utm_source=api	Flying Whenever another Spirit you control enters, you gain 2 life. {3}{W}: Create a 1/1 white Spirit creature token with flying.
psoi	Shadows over Innistrad Promos	2016-04-08	16p	Eerie Interlude	0634091a-a74c-4cea-b6d1-7324a725554a							Instant	{2}{W}	3	W	W			manual review	https://scryfall.com/card/psoi/16p/eerie-interlude?utm_source=api	Exile any number of target creatures you control. Return those cards to the battlefield under their owner's control at the beginning of the next end step.
psoi	Shadows over Innistrad Promos	2016-04-08	21s	Hanweir Militia Captain // Westvale Cult Leader	2d8eba16-cfca-4a38-bde0-6ee36c67231a			combat_body, combat_support, token_support				Creature — Human Soldier // Creature — Human Cleric		2		W	Transform		verify analyzer roles	https://scryfall.com/card/psoi/21s/hanweir-militia-captain-westvale-cult-leader?utm_source=api	Hanweir Militia Captain: At the beginning of your upkeep, if you control four or more creatures, transform this creature. // Westvale Cult Leader: Westvale Cult Leader's power and toughness are each equal to the number of creatures you control. At the beginning of your end step, create a 1/1 white and black Human Cleric creature token.
psoi	Shadows over Innistrad Promos	2016-04-08	31s	Odric, Lunarch Marshal	bad76170-c773-4be5-9457-20dc9f745cb4			combat_body, combat_support, lifegain, self_protection				Legendary Creature — Human Soldier	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/psoi/31s/odric-lunarch-marshal?utm_source=api	At the beginning of each combat, creatures you control gain first strike until end of turn if a creature you control has first strike. The same is true for flying, deathtouch, double strike, haste, hexproof, indestructible, lifelink, menace, reach, skulk, trample, and vigilance.
