setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pssc	Secret Lair Showcase Planes	2025-02-21	1	Deceptive Divination	97f33045-8b89-47fb-ba28-fa06f42c4b5e			direct_tutor, tutor				Plane — Secret Lair		0					verify analyzer roles	https://scryfall.com/card/pssc/1/deceptive-divination?utm_source=api	Change the text of each sorcery spell and sorcery card not on the stack by replacing "sorcery" with "instant." Whenever chaos ensues, choose two target players. Each of them searches their library for a card, then shuffles and puts that card on top.
pssc	Secret Lair Showcase Planes	2025-02-21	2	Fblthp: Completely, Utterly, Totally Lost	ec2f6e72-8a2b-44f0-8241-7fe29c601d96			card_draw, card_selection, direct_draw, draw, sacrifice_support, selection, token_support				Plane — Secret Lair		0			Explore		verify analyzer roles	https://scryfall.com/card/pssc/2/fblthp:-completely-utterly-totally-lost?utm_source=api	When you planeswalk to this plane and at the beginning of your upkeep, create a Map token. (It's an artifact with "{1}, {T}, Sacrifice this token: Target creature you control explores. Activate only as a sorcery.") Whenever chaos ensues, draw two cards, then discard two cards. Untap up to three lands.
pssc	Secret Lair Showcase Planes	2025-02-21	3	Finally! Left-Handed Magic Cards	9befbb7e-a44d-448a-802f-5a0cfa616d91			card_draw, direct_draw, draw				Plane — Secret Lair		0					verify analyzer roles	https://scryfall.com/card/pssc/3/finally!-left-handed-magic-cards?utm_source=api	Each creature's base power is equal to its printed toughness. Each creature's base toughness is equal to its printed power. Whenever chaos ensues, draw a card from the bottom of your library.
pssc	Secret Lair Showcase Planes	2025-02-21	4	Happy Yargle Day!	c62f3f46-530d-4002-be8c-d78008dce98a			card_selection, copy_support, counter_support, selection				Plane — Secret Lair		0					verify analyzer roles	https://scryfall.com/card/pssc/4/happy-yargle-day!?utm_source=api	At the beginning of each player's end step, if that player doesn't control a creature named Yargle, Glutton of Urborg, that player puts a bargle counter on a creature they control. It becomes a copy of Yargle, Glutton of Urborg, except it isn't legendary. Whenever chaos ensues, choose Swords to Plowshares, Opt, Fatal Push, Anger of the Gods, or Explore at random. Copy the chosen card. You may cast the copy without paying its mana cost.
pssc	Secret Lair Showcase Planes	2025-02-21	5	Imaginary Friends (Plane)	ae9aa9e8-a522-4a9a-9acf-0b1c6d48e8e8			card_selection, repeatable_advantage, repeatable_draw, replacement_engine, selection				Plane — Secret Lair		0					verify analyzer roles	https://scryfall.com/card/pssc/5/imaginary-friends-(plane)?utm_source=api	Players may cast spells as though they were other cards legal in this game's format with the same type and mana cost. (Mana cost includes color.) Whenever chaos ensues, exile cards from the top of your library until you reveal a nonland card. You may cast that card without paying its mana cost, but only as another card following this plane's first ability. Put the rest on the bottom of your library in a random order.
pssc	Secret Lair Showcase Planes	2025-02-21	6	Li'l Giri Saves the Day	5b35fbd0-65a0-4973-b2c9-841b11c0d426			broad_protection, combat_support, counter_support, dice_support, scalable_spell, self_protection, token_support				Plane — Secret Lair		0			Food		verify analyzer roles	https://scryfall.com/card/pssc/6/lil-giri-saves-the-day?utm_source=api	Legendary Food tokens you control have hexproof and indestructible. When you planeswalk to this plane, create Li'l Giri, a legendary 1/1 colorless Food Warrior artifact creature token. Whenever chaos ensues, put X +1/+1 counters on target legendary artifact creature you control, where X is the number of times you've rolled the planar die this turn.
pssc	Secret Lair Showcase Planes	2025-02-21	7	Math is for Blockers (Plane)	22463f1b-4331-4200-bf11-49a5a2cdc9b3			combat_support				Plane — Secret Lair		0			Goad		verify analyzer roles	https://scryfall.com/card/pssc/7/math-is-for-blockers-(plane)?utm_source=api	Whenever a nontoken creature attacks, exile it. Return it to the battlefield under its owner's control tapped and attacking at the beginning of that player's next declare attackers step. Whenever chaos ensues, goad target creature. (Until your next turn, It attacks each combat if able and attacks a player other than you if able.)
pssc	Secret Lair Showcase Planes	2025-02-21	8	Mycosynthwave	422f0c13-6bd5-40d1-af03-00af5c01780e			replacement_engine				Plane — Secret Lair		0					verify analyzer roles	https://scryfall.com/card/pssc/8/mycosynthwave?utm_source=api	All permanents are artifacts in addition to their other types. All cards that aren't on the battlefield, spells, and permanents are colorless. Players may spend mana as though it were mana of any color. Whenever chaos ensues, the next spell you cast this turn has affinity for artifacts.
pssc	Secret Lair Showcase Planes	2025-02-21	9	sAnS mERcY	acda5786-0a30-4fc4-accb-dd3485d11336			dice_support, direct_finisher, finisher, removal, scalable_spell, targeted_removal				pLAnE — sECreT LaIR		0					verify analyzer roles	https://scryfall.com/card/pssc/9/sans-mercy?utm_source=api	wHeN YoU pLAnESWalK tO tHIs pLAnE, eACh pLAyER cHoOSeS a nOnBlACk cREaTuRE tHEy cONtrOl. dEsTRoy tHOsE cREatUReS. wHeNEveR cHoAS EnSUEs, pERfoRm tHe foLLowiNG pROceSs X tiMEs, wHErE X iS tHe nUmBEr oF tImeS yOU'vE roLLeD tHe PlaNAr diE tHIs tuRN. eAcH oPPonENt LOseS 3 LiFE uNLeSs tHAt pLAyEr sAcRiFicEs A nOnLaND pErManENt OR diSCaRds a cArD.
pssc	Secret Lair Showcase Planes	2025-02-21	10	We Hope You Like Squirrels	7aac9628-f112-4840-91b4-7bb5cd896685			counter_support				Plane — Secret Lair		0					verify analyzer roles	https://scryfall.com/card/pssc/10/we-hope-you-like-squirrels?utm_source=api	At the beginning of each player's upkeep and whenever a player casts a spell, that player creates a 1/1 green Squirrel creature token. Whenever chaos ensues, put a +1/+1 counter on each Squirrel you control.
