setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pstx	Strixhaven: School of Mages Promos	2021-04-23	5p	Mascot Exhibition	a1ea2cba-f184-4a27-9971-3a56b0a0e390	covered		token_support	false		Covered by PRM role audit.	Sorcery — Lesson	{7}	7					already reviewed	https://scryfall.com/card/pstx/5p/mascot-exhibition?utm_source=api	Create a 2/1 white and black Inkling creature token with flying, a 3/2 red and white Spirit creature token, and a 4/4 blue and red Elemental creature token.
pstx	Strixhaven: School of Mages Promos	2021-04-23	6s	Wandering Archaic // Explore the Vastlands	6556c4c0-b10d-4208-821b-0c0a49abd188	covered		combat_body, copy_support, lifegain	false		Covered by PRM role audit.	Creature — Avatar // Sorcery		5					already reviewed	https://scryfall.com/card/pstx/6s/wandering-archaic-explore-the-vastlands?utm_source=api	Wandering Archaic: Whenever an opponent casts an instant or sorcery spell, they may pay {2}. If they don't, you may copy that spell. You may choose new targets for the copy. // Explore the Vastlands: Each player looks at the top five cards of their library and may reveal a land card and/or an instant or sorcery card from among them. Each player puts the cards they revealed this way into their hand and the rest on the bottom of their library in a random order. Each player gains 3 life.
pstx	Strixhaven: School of Mages Promos	2021-04-23	7p	Academic Probation	400b2e17-ee48-4e22-a8a6-a607c215d1a2	covered		combat_support, hate_piece, stax_piece	false		Covered by PRM role audit.	Sorcery — Lesson	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/pstx/7p/academic-probation?utm_source=api	Choose one — • Choose a nonland card name. Opponents can't cast spells with the chosen name until your next turn. • Choose target nonland permanent. Until your next turn, it can't attack or block, and its activated abilities can't be activated.
pstx	Strixhaven: School of Mages Promos	2021-04-23	14p	Devastating Mastery	07bfb7d2-f171-4ce1-876a-f9fb5c7cd11a	covered		mass_removal, removal	false		Covered by PRM role audit.	Sorcery	{2}{W}{W}{W}{W}	6	W	W			already reviewed	https://scryfall.com/card/pstx/14p/devastating-mastery?utm_source=api	You may pay {2}{W}{W} rather than pay this spell's mana cost. If the {2}{W}{W} cost was paid, an opponent chooses up to two nonland permanents they control and returns them to their owner's hand. Destroy all nonland permanents.
pstx	Strixhaven: School of Mages Promos	2021-04-23	17p	Elite Spellbinder	8c4d7cbc-9cfc-4f0a-8844-e458ab806056	covered		combat_body, combat_threat, hand_info	false		Covered by PRM role audit.	Creature — Human Cleric	{2}{W}	3	W	W	Flying		already reviewed	https://scryfall.com/card/pstx/17p/elite-spellbinder?utm_source=api	Flying When this creature enters, look at target opponent's hand. You may exile a nonland card from it. For as long as that card remains exiled, its owner may play it. A spell cast this way costs {2} more to cast.
pstx	Strixhaven: School of Mages Promos	2021-04-23	20p	Leonin Lightscribe	14079b33-cf68-4d16-962c-5c40518c4163	covered		combat_body, combat_support	false		Covered by PRM role audit.	Creature — Cat Cleric	{1}{W}	2	W	W	Magecraft		already reviewed	https://scryfall.com/card/pstx/20p/leonin-lightscribe?utm_source=api	Magecraft — Whenever you cast or copy an instant or sorcery spell, creatures you control get +1/+1 until end of turn.
pstx	Strixhaven: School of Mages Promos	2021-04-23	21p	Mavinda, Students' Advocate	1c248187-0be3-4a03-a817-14f68f638ae7	covered		card_selection, combat_body, combat_threat, recursion, repeatable_advantage, repeatable_draw, replacement_engine, replay_recursion, selection	false		Covered by PRM role audit.	Legendary Creature — Bird Advisor	{2}{W}	3	W	W	Flying		already reviewed	https://scryfall.com/card/pstx/21p/mavinda-students-advocate?utm_source=api	Flying {0}: You may cast target instant or sorcery card from your graveyard this turn. If that spell doesn't target a creature you control, it costs {8} more to cast this way. If that spell would be put into your graveyard, exile it instead. Activate only once each turn. (You still pay the spell's costs. Timing rules for the spell still apply.)
pstx	Strixhaven: School of Mages Promos	2021-04-23	27p	Semester's End	3aeba3c2-5517-4870-8802-29b0fa70ffae	covered		counter_support	false		Covered by PRM role audit.	Instant	{3}{W}	4	W	W			already reviewed	https://scryfall.com/card/pstx/27p/semesters-end?utm_source=api	Exile any number of target creatures and/or planeswalkers you control. At the beginning of the next end step, return each of them to the battlefield under its owner's control. Each of them enters with an additional +1/+1 counter on it if it's a creature and an additional loyalty counter on it if it's a planeswalker.
pstx	Strixhaven: School of Mages Promos	2021-04-23	29p	Sparring Regimen	2aac3575-4a06-452c-bb0f-68dc34086226	covered		card_draw, combat_support, counter_support, direct_draw, draw, repeatable_advantage, repeatable_draw, selection	false		Covered by PRM role audit.	Enchantment	{2}{W}	3	W	W	Learn		already reviewed	https://scryfall.com/card/pstx/29p/sparring-regimen?utm_source=api	When this enchantment enters, learn. (You may reveal a Lesson card you own from outside the game and put it into your hand, or discard a card to draw a card.) Whenever you attack, put a +1/+1 counter on target attacking creature and untap it.
pstx	Strixhaven: School of Mages Promos	2021-04-23	33p	Strict Proctor	b967870d-9773-4ad5-bf06-c3be5465dab9	covered		combat_body, combat_threat	false		Covered by PRM role audit.	Creature — Spirit Cleric	{1}{W}	2	W	W	Flying		already reviewed	https://scryfall.com/card/pstx/33p/strict-proctor?utm_source=api	Flying Whenever a permanent entering causes a triggered ability to trigger, counter that ability unless its controller pays {2}.
pstx	Strixhaven: School of Mages Promos	2021-04-23	37p	Archmage Emeritus	8305d576-21d8-4ce7-8eda-a7cd9793aca5	covered		card_draw, combat_body, direct_draw, draw, repeatable_advantage, repeatable_draw	false		Covered by PRM role audit.	Creature — Human Wizard	{2}{U}{U}	4	U	U	Magecraft		already reviewed	https://scryfall.com/card/pstx/37p/archmage-emeritus?utm_source=api	Magecraft — Whenever you cast or copy an instant or sorcery spell, draw a card.
pstx	Strixhaven: School of Mages Promos	2021-04-23	42p	Dream Strix	bfd6a73e-d126-4afe-99db-98cf716a1772	covered		card_draw, combat_body, combat_threat, direct_draw, draw, sacrifice_support, selection	false		Covered by PRM role audit.	Creature — Bird Illusion	{2}{U}	3	U	U	Flying, Learn		already reviewed	https://scryfall.com/card/pstx/42p/dream-strix?utm_source=api	Flying When this creature becomes the target of a spell, sacrifice it. When this creature dies, learn. (You may reveal a Lesson card you own from outside the game and put it into your hand, or discard a card to draw a card.)
pstx	Strixhaven: School of Mages Promos	2021-04-23	44p	Ingenious Mastery	dad43a2d-5b30-45f2-a34d-9e68d1fbb716	covered		card_draw, card_selection, direct_draw, draw, mana_sink, scalable_spell, selection	false		Covered by PRM role audit.	Sorcery	{X}{2}{U}	3	U	U	Treasure, Scry		already reviewed	https://scryfall.com/card/pstx/44p/ingenious-mastery?utm_source=api	You may pay {2}{U} rather than pay this spell's mana cost. If the {2}{U} cost was paid, you draw three cards, then an opponent creates two Treasure tokens and they scry 2. If that cost wasn't paid, you draw X cards.
pstx	Strixhaven: School of Mages Promos	2021-04-23	48p	Multiple Choice	b4d23acf-ff1f-4a6a-9ede-2667a99e9665	covered		card_draw, card_selection, direct_draw, draw, mana_sink, scalable_spell, selection, token_support	false		Covered by PRM role audit.	Sorcery	{X}{U}	1	U	U	Scry		already reviewed	https://scryfall.com/card/pstx/48p/multiple-choice?utm_source=api	If X is 1, scry 1, then draw a card. If X is 2, you may choose a player. They return a creature they control to its owner's hand. If X is 3, create a 4/4 blue and red Elemental creature token. If X is 4 or more, do all of the above.
pstx	Strixhaven: School of Mages Promos	2021-04-23	57p	Teachings of the Archaics	6ac3abba-cf55-4d97-a253-bce45972b050	covered		card_draw, direct_draw, draw	false		Covered by PRM role audit.	Sorcery — Lesson	{2}{U}	3	U	U			already reviewed	https://scryfall.com/card/pstx/57p/teachings-of-the-archaics?utm_source=api	If an opponent has more cards in hand than you, draw two cards. Draw three cards instead if an opponent has at least four more cards in hand than you.
pstx	Strixhaven: School of Mages Promos	2021-04-23	58p	Tempted by the Oriq	304450b0-bde6-4d69-bcaf-fb9b9bae2e4b	covered		removal, tempo_removal, theft_support	false		Covered by PRM role audit.	Sorcery	{1}{U}{U}{U}	4	U	U			already reviewed	https://scryfall.com/card/pstx/58p/tempted-by-the-oriq?utm_source=api	For each opponent, gain control of up to one target creature or planeswalker that player controls with mana value 3 or less.
pstx	Strixhaven: School of Mages Promos	2021-04-23	64p	Baleful Mastery	adfcdadd-ddda-477b-8e72-0cae2430fb63	covered		card_draw, removal, targeted_removal	false		Covered by PRM role audit.	Instant	{3}{B}	4	B	B			already reviewed	https://scryfall.com/card/pstx/64p/baleful-mastery?utm_source=api	You may pay {1}{B} rather than pay this spell's mana cost. If the {1}{B} cost was paid, an opponent draws a card. Exile target creature or planeswalker.
pstx	Strixhaven: School of Mages Promos	2021-04-23	66p	Callous Bloodmage	96c12c12-140a-462d-bff0-0554d192b1f4	covered		card_draw, combat_body, direct_draw, draw, graveyard_hate, lifegain, sacrifice_support, token_support	false		Covered by PRM role audit.	Creature — Vampire Warlock	{2}{B}	3	B	B			already reviewed	https://scryfall.com/card/pstx/66p/callous-bloodmage?utm_source=api	When this creature enters, choose one — • Create a 1/1 black and green Pest creature token with "When this token dies, you gain 1 life." • You draw a card and you lose 1 life. • Exile target player's graveyard.
pstx	Strixhaven: School of Mages Promos	2021-04-23	67p	Confront the Past	a92c1ffe-88b0-467c-883c-6ca3564a39e3	covered		battlefield_recursion, card_selection, mana_sink, recursion, scalable_spell	false		Covered by PRM role audit.	Sorcery — Lesson	{X}{B}	1	B	B			already reviewed	https://scryfall.com/card/pstx/67p/confront-the-past?utm_source=api	Choose one — • Return target planeswalker card with mana value X or less from your graveyard to the battlefield. • Remove twice X loyalty counters from target planeswalker an opponent controls.
