setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ptc	Pro Tour Collector Set	1996-05-01	0	Blank Card	d3e7bc24-c2b0-4be3-b9d9-8a8d23b93bc7	covered			false		Blank non-gameplay memorabilia card; intentionally has no strategic role.	Card		0					already reviewed	https://scryfall.com/card/ptc/0/blank-card?utm_source=api	
ptc	Pro Tour Collector Set	1996-05-01	bl1sb	Abbey Gargoyles	c208b959-d0e4-4a9a-8255-2c7cc7596767	covered	combat_body, combat_threat, self_protection	combat_body, combat_threat, self_protection	false		Covered by Homelands role audit.	Creature — Gargoyle	{2}{W}{W}{W}	5	W	W	Flying, Protection		already reviewed	https://scryfall.com/card/ptc/bl1sb/abbey-gargoyles?utm_source=api	Flying, protection from red
ptc	Pro Tour Collector Set	1996-05-01	shr3sb	Arenson's Aura	465843dc-57d0-46fd-ac47-238723034563	covered	hard_stack, removal, sacrifice_support, stack, targeted_removal	hard_stack, removal, sacrifice_support, stack, targeted_removal	false		Covered by Ice Age role audit.	Enchantment	{2}{W}	3	W	UW			already reviewed	https://scryfall.com/card/ptc/shr3sb/arensons-aura?utm_source=api	{W}, Sacrifice an enchantment: Destroy target enchantment. {3}{U}{U}: Counter target enchantment spell.
ptc	Pro Tour Collector Set	1996-05-01	bl5	Armageddon	c9ed8b01-959a-47d6-891e-0abbdccf6e4f	covered	hate_piece, land_denial, mass_land_denial, mass_removal, removal, stax_piece	hate_piece, land_denial, mass_land_denial, mass_removal, removal, stax_piece	false		Covered by Alpha role audit batch 1.	Sorcery	{3}{W}	4	W	W			already reviewed	https://scryfall.com/card/ptc/bl5/armageddon?utm_source=api	Destroy all lands.
ptc	Pro Tour Collector Set	1996-05-01	bl6	Balance	17fa98cd-ed8f-483f-9525-7e989a82ebb2	covered	sacrifice_support, targeted_removal	sacrifice_support, targeted_removal	false			Sorcery	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/ptc/bl6/balance?utm_source=api	Each player chooses a number of lands they control equal to the number of lands controlled by the player who controls the fewest, then sacrifices the rest. Players discard cards and sacrifice creatures the same way.
ptc	Pro Tour Collector Set	1996-05-01	bl6sb	Divine Offering	231f8edb-4ea1-44be-8794-b76a31462dfc	covered	lifegain, removal, targeted_removal	lifegain, removal, targeted_removal	false		Covered by Legends role audit.	Instant	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/ptc/bl6sb/divine-offering?utm_source=api	Destroy target artifact. You gain life equal to its mana value.
ptc	Pro Tour Collector Set	1996-05-01	et8	Blinking Spirit	a26f6958-9bc8-46f8-8ca7-7f55098e1291	covered	combat_body	combat_body	false		Covered by Ice Age role audit.	Creature — Spirit	{3}{W}	4	W	W			already reviewed	https://scryfall.com/card/ptc/et8/blinking-spirit?utm_source=api	{0}: Return this creature to its owner's hand.
ptc	Pro Tour Collector Set	1996-05-01	bl14sb	Circle of Protection: Green	41b0f347-1398-4778-bf3f-4007d8a77162	covered	broad_protection, protection	broad_protection, protection	false		Covered by Ice Age role audit.	Enchantment	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/ptc/bl14sb/circle-of-protection:-green?utm_source=api	{1}: The next time a green source of your choice would deal damage to you this turn, prevent that damage.
ptc	Pro Tour Collector Set	1996-05-01	shr14sb	Circle of Protection: Black	7a5a8414-4da4-4dd0-93ae-210d50f4d6f6	covered	broad_protection, protection	broad_protection, protection	false		Covered by Beta role audit; same prevention pattern as other Circle of Protection cards.	Enchantment	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/ptc/shr14sb/circle-of-protection:-black?utm_source=api	{1}: The next time a black source of your choice would deal damage to you this turn, prevent that damage.
ptc	Pro Tour Collector Set	1996-05-01	bl15sb	Circle of Protection: Red	df2738fe-9cd1-4347-8808-105fcfde1190	covered	broad_protection, protection	broad_protection, protection	false		Covered by Ice Age role audit.	Enchantment	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/ptc/bl15sb/circle-of-protection:-red?utm_source=api	{1}: The next time a red source of your choice would deal damage to you this turn, prevent that damage.
ptc	Pro Tour Collector Set	1996-05-01	et15	Icatian Town	aa8b60b6-cf55-4aaa-9caa-2b17942d8269	covered	token_support	token_support	false		Covered by Fallen Empires role audit.	Sorcery	{5}{W}	6	W	W			already reviewed	https://scryfall.com/card/ptc/et15/icatian-town?utm_source=api	Create four 1/1 white Citizen creature tokens.
