setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pthb	Theros Beyond Death Promos	2020-01-24	3p	Archon of Sun's Grace	48a99dce-0aa9-4aac-81df-cec5f94c639d	covered		combat_body, combat_support, combat_threat, lifegain, token_support	false		Covered by PRM role audit.	Creature — Archon	{2}{W}{W}	4	W	W	Flying, Lifelink, Constellation		already reviewed	https://scryfall.com/card/pthb/3p/archon-of-suns-grace?utm_source=api	Flying Lifelink (Damage dealt by this creature also causes you to gain that much life.) Pegasus creatures you control have lifelink. Constellation — Whenever an enchantment you control enters, create a 2/2 white Pegasus creature token with flying.
pthb	Theros Beyond Death Promos	2020-01-24	12p	Eidolon of Obstruction	15d38195-b661-42c1-82c9-1af2a3ba2ea5	covered		combat_body, combat_threat	false		Covered by PRM role audit.	Enchantment Creature — Spirit	{1}{W}	2	W	W	First strike		already reviewed	https://scryfall.com/card/pthb/12p/eidolon-of-obstruction?utm_source=api	First strike Loyalty abilities of planeswalkers your opponents control cost {1} more to activate.
pthb	Theros Beyond Death Promos	2020-01-24	13p	Elspeth Conquers Death	40c88392-2aa7-4e12-86a4-8d680219e670	covered	battlefield_recursion, card_selection, counter_support, recursion, repeatable_advantage, sacrifice_support, stax_piece, targeted_removal	battlefield_recursion, card_selection, counter_support, recursion, repeatable_advantage, sacrifice_support, stax_piece, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Enchantment — Saga	{3}{W}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/pthb/13p/elspeth-conquers-death?utm_source=api	(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — Exile target permanent an opponent controls with mana value 3 or greater. II — Noncreature spells your opponents cast cost {2} more to cast until your next turn. III — Return target creature or planeswalker card from your graveyard to the battlefield. Put a +1/+1 counter or a loyalty counter on it.
pthb	Theros Beyond Death Promos	2020-01-24	14p	Elspeth, Sun's Nemesis	faf296b0-59e5-4ec9-9912-e5e21c0ce9f5	covered		combat_support, graveyard_support, lifegain, token_support	false		Covered by PRM role audit.	Legendary Planeswalker — Elspeth	{2}{W}{W}	4	W	W	Escape		already reviewed	https://scryfall.com/card/pthb/14p/elspeth-suns-nemesis?utm_source=api	−1: Up to two target creatures you control each get +2/+1 until end of turn. −2: Create two 1/1 white Human Soldier creature tokens. −3: You gain 5 life. Escape—{4}{W}{W}, Exile four other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.)
pthb	Theros Beyond Death Promos	2020-01-24	18p	Heliod, Sun-Crowned	63e596a2-9126-4af6-8782-c38687d664ad	covered		combat_body, combat_support, counter_support, lifegain, self_protection	false		Covered by PRM role audit.	Legendary Enchantment Creature — God	{2}{W}	3	W	W	Indestructible		already reviewed	https://scryfall.com/card/pthb/18p/heliod-sun-crowned?utm_source=api	Indestructible As long as your devotion to white is less than five, Heliod isn't a creature. Whenever you gain life, put a +1/+1 counter on target creature or enchantment you control. {1}{W}: Another target creature gains lifelink until end of turn.
pthb	Theros Beyond Death Promos	2020-01-24	19p	Heliod's Intervention	e7564d66-767c-4cd9-a5f0-0f2488a4a74b	covered		lifegain, mana_sink, scalable_spell, targeted_removal	false		Covered by PRM role audit.	Instant	{X}{W}{W}	2	W	W			already reviewed	https://scryfall.com/card/pthb/19p/heliods-intervention?utm_source=api	Choose one — • Destroy X target artifacts and/or enchantments. • Target player gains twice X life.
pthb	Theros Beyond Death Promos	2020-01-24	24p	Idyllic Tutor	57c9ff89-dd30-467b-bb3e-499eeea8cb94	covered		restricted_tutor, tutor	false		Covered by PRM role audit.	Sorcery	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/pthb/24p/idyllic-tutor?utm_source=api	Search your library for an enchantment card, reveal it, put it into your hand, then shuffle.
pthb	Theros Beyond Death Promos	2020-01-24	37p	Shatter the Sky	2ffc7509-c7ce-44c4-a8cf-90ed161b5d10	covered		card_draw, mass_removal, removal	false		Covered by PRM role audit.	Sorcery	{2}{W}{W}	4	W	W			already reviewed	https://scryfall.com/card/pthb/37p/shatter-the-sky?utm_source=api	Each player who controls a creature with power 4 or greater draws a card. Then destroy all creatures.
pthb	Theros Beyond Death Promos	2020-01-24	39p	Taranika, Akroan Veteran	1e3c1920-7bf5-44f9-b1ff-b17d6420e69b	covered		combat_body, combat_support, combat_threat, self_protection	false		Covered by PRM role audit.	Legendary Creature — Human Soldier	{1}{W}{W}	3	W	W	Vigilance		already reviewed	https://scryfall.com/card/pthb/39p/taranika-akroan-veteran?utm_source=api	Vigilance Whenever Taranika attacks, untap another target creature you control. Until end of turn, that creature has base power and toughness 4/4 and gains indestructible.
pthb	Theros Beyond Death Promos	2020-01-24	43p	Ashiok's Erasure	13cf3ef7-d88e-4cc7-a4d8-cedc671f356a	covered		hard_stack, hate_piece, soft_stack, stack, stax_piece	false		Covered by PRM role audit.	Enchantment	{2}{U}{U}	4	U	U	Flash		already reviewed	https://scryfall.com/card/pthb/43p/ashioks-erasure?utm_source=api	Flash When this enchantment enters, exile target spell. Your opponents can't cast spells with the same name as the exiled card. When this enchantment leaves the battlefield, return the exiled card to its owner's hand.
pthb	Theros Beyond Death Promos	2020-01-24	52p	Kiora Bests the Sea God	84d0c616-2fce-47f4-bfdd-783741a63fd2	covered	removal, sacrifice_support, self_protection, tempo_removal, theft_support, token_support	removal, sacrifice_support, self_protection, tempo_removal, theft_support, token_support	false		Analyzer roles accepted during batch clean pass.	Enchantment — Saga	{5}{U}{U}	7	U	U			verify analyzer roles	https://scryfall.com/card/pthb/52p/kiora-bests-the-sea-god?utm_source=api	(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — Create an 8/8 blue Kraken creature token with hexproof. II — Tap all nonland permanents target opponent controls. They don't untap during their controller's next untap step. III — Gain control of target permanent an opponent controls. Untap it.
pthb	Theros Beyond Death Promos	2020-01-24	55p	Nadir Kraken	5a73d439-bd78-42e1-90ae-eedd30536881	covered		combat_body, counter_support, token_support	false		Covered by PRM role audit.	Creature — Kraken	{1}{U}{U}	3	U	U			already reviewed	https://scryfall.com/card/pthb/55p/nadir-kraken?utm_source=api	Whenever you draw a card, you may pay {1}. If you do, put a +1/+1 counter on this creature and create a 1/1 blue Tentacle creature token.
pthb	Theros Beyond Death Promos	2020-01-24	60p	Protean Thaumaturge	148331cc-24de-481f-9131-c3089d1ff7ce	covered		combat_body, copy_support	false		Covered by PRM role audit.	Creature — Human Wizard	{1}{U}	2	U	U	Constellation		already reviewed	https://scryfall.com/card/pthb/60p/protean-thaumaturge?utm_source=api	Constellation — Whenever an enchantment you control enters, you may have this creature become a copy of another target creature, except it has this ability.
pthb	Theros Beyond Death Promos	2020-01-24	71p	Thassa, Deep-Dwelling	2396299a-c031-4020-b13e-1f9bf9d64511	covered		combat_body, flicker, protection, rescue_protection, self_protection	false		Covered by PRM role audit.	Legendary Enchantment Creature — God	{3}{U}	4	U	U	Indestructible		already reviewed	https://scryfall.com/card/pthb/71p/thassa-deep-dwelling?utm_source=api	Indestructible As long as your devotion to blue is less than five, Thassa isn't a creature. At the beginning of your end step, exile up to one other target creature you control, then return that card to the battlefield under your control. {3}{U}: Tap another target creature.
pthb	Theros Beyond Death Promos	2020-01-24	72p	Thassa's Intervention	f7c89d03-606e-4284-90dd-64b1fbebfb4d	covered		card_selection, mana_sink, scalable_spell, soft_stack, stack	false		Covered by PRM role audit.	Instant	{X}{U}{U}	2	U	U			already reviewed	https://scryfall.com/card/pthb/72p/thassas-intervention?utm_source=api	Choose one — • Look at the top X cards of your library. Put up to two of them into your hand and the rest on the bottom of your library in a random order. • Counter target spell unless its controller pays twice {X}.
pthb	Theros Beyond Death Promos	2020-01-24	73p	Thassa's Oracle	1de1b591-a73f-4974-b507-8c63e07a0868	covered		alternate_finisher, combat_body, finisher, scalable_spell	false		Covered by PRM role audit.	Creature — Merfolk Wizard	{U}{U}	2	U	U			already reviewed	https://scryfall.com/card/pthb/73p/thassas-oracle?utm_source=api	When this creature enters, look at the top X cards of your library, where X is your devotion to blue. Put up to one of them on top of your library and the rest on the bottom of your library in a random order. If X is greater than or equal to the number of cards in your library, you win the game. (Each {U} in the mana costs of permanents you control counts toward your devotion to blue.)
pthb	Theros Beyond Death Promos	2020-01-24	76p	Thryx, the Sudden Storm	20004398-bd04-4583-8378-9df743246a32	covered		combat_body, combat_threat, cost_reduction, ramp, replacement_engine, tempo_support	false		Covered by PRM role audit.	Legendary Creature — Elemental Giant	{3}{U}{U}	5	U	U	Flying, Flash		already reviewed	https://scryfall.com/card/pthb/76p/thryx-the-sudden-storm?utm_source=api	Flash (You may cast this spell any time you could cast an instant.) Flying Spells you cast with mana value 5 or greater cost {1} less to cast and can't be countered.
pthb	Theros Beyond Death Promos	2020-01-24	80p	Wavebreak Hippocamp	3405c8a9-a8d6-4b45-9b64-94141076603b	covered		card_draw, combat_body, direct_draw, draw, repeatable_advantage, repeatable_draw	false		Covered by PRM role audit.	Enchantment Creature — Horse Fish	{2}{U}	3	U	U			already reviewed	https://scryfall.com/card/pthb/80p/wavebreak-hippocamp?utm_source=api	Whenever you cast your first spell during each opponent's turn, draw a card.
pthb	Theros Beyond Death Promos	2020-01-24	84p	Aphemia, the Cacophony	820dab0f-3b6b-437c-ba4b-2311437709c3	covered		combat_body, combat_threat, token_support	false		Covered by PRM role audit.	Legendary Enchantment Creature — Harpy	{1}{B}	2	B	B	Flying		already reviewed	https://scryfall.com/card/pthb/84p/aphemia-the-cacophony?utm_source=api	Flying At the beginning of your end step, you may exile an enchantment card from your graveyard. If you do, create a 2/2 black Zombie creature token.
pthb	Theros Beyond Death Promos	2020-01-24	90p	Eat to Extinction	bf5f348e-d748-48e2-b483-740109e71176	covered		card_selection, graveyard_support, removal, selection, targeted_removal	false		Covered by PRM role audit.	Instant	{3}{B}	4	B	B	Surveil		already reviewed	https://scryfall.com/card/pthb/90p/eat-to-extinction?utm_source=api	Exile target creature or planeswalker. Surveil 1. (Look at the top card of your library. You may put that card into your graveyard.)
pthb	Theros Beyond Death Promos	2020-01-24	93p	Erebos, Bleak-Hearted	a5690dc9-f12e-4ecc-b528-f2f83c79c3c8	covered		card_draw, combat_body, direct_draw, draw, repeatable_advantage, repeatable_draw, sacrifice_support, self_protection, targeted_removal	false		Covered by PRM role audit.	Legendary Enchantment Creature — God	{3}{B}	4	B	B	Indestructible		already reviewed	https://scryfall.com/card/pthb/93p/erebos-bleak-hearted?utm_source=api	Indestructible As long as your devotion to black is less than five, Erebos isn't a creature. Whenever another creature you control dies, you may pay 2 life. If you do, draw a card. {1}{B}, Sacrifice another creature: Target creature gets -2/-1 until end of turn.
pthb	Theros Beyond Death Promos	2020-01-24	94p	Erebos's Intervention	e078585e-7058-4746-a884-3c9a14630a1b	covered		lifegain, mana_sink, removal, scalable_spell, targeted_removal	false		Covered by PRM role audit.	Instant	{X}{B}	1	B	B			already reviewed	https://scryfall.com/card/pthb/94p/ereboss-intervention?utm_source=api	Choose one — • Target creature gets -X/-X until end of turn. You gain X life. • Exile up to twice X target cards from graveyards.
pthb	Theros Beyond Death Promos	2020-01-24	98p	Gravebreaker Lamia	2c1d288a-22ea-482c-947e-f3ab04172da0	covered		combat_body, combat_threat, cost_reduction, direct_tutor, lifegain, ramp, tutor	false		Covered by PRM role audit.	Enchantment Creature — Snake Lamia	{4}{B}	5	B	B	Lifelink		already reviewed	https://scryfall.com/card/pthb/98p/gravebreaker-lamia?utm_source=api	Lifelink When this creature enters, search your library for a card, put it into your graveyard, then shuffle. Spells you cast from your graveyard cost {1} less to cast.
pthb	Theros Beyond Death Promos	2020-01-24	108p	Nightmare Shepherd	b8ee0dfc-f588-43b6-ab96-f3a3c58a8a3d	covered		combat_body, combat_threat, copy_support, sacrifice_support, token_support	false		Covered by PRM role audit.	Enchantment Creature — Demon	{2}{B}{B}	4	B	B	Flying		already reviewed	https://scryfall.com/card/pthb/108p/nightmare-shepherd?utm_source=api	Flying Whenever another nontoken creature you control dies, you may exile it. If you do, create a token that's a copy of that creature, except it's 1/1 and it's a Nightmare in addition to its other types.
pthb	Theros Beyond Death Promos	2020-01-24	117p	Treacherous Blessing	17f573c4-3ed4-453e-bfbe-4e42d54633e5	covered		card_draw, direct_draw, draw, sacrifice_support	false		Covered by PRM role audit.	Enchantment	{2}{B}	3	B	B			already reviewed	https://scryfall.com/card/pthb/117p/treacherous-blessing?utm_source=api	When this enchantment enters, draw three cards. Whenever you cast a spell, you lose 1 life. When this enchantment becomes the target of a spell or ability, sacrifice it.
