setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pths	Theros Promos	2013-09-21	3★	Celestial Archon	d2b29bb0-9fb5-46cd-a546-fa6c4ff6113c	covered		combat_body, combat_support, combat_threat	false		Covered by PRM role audit.	Enchantment Creature — Archon	{3}{W}{W}	5	W	W	Flying, First strike, Bestow		already reviewed	https://scryfall.com/card/pths/3%E2%98%85/celestial-archon?utm_source=api	Bestow {5}{W}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached.) Flying, first strike Enchanted creature gets +4/+4 and has flying and first strike.
pths	Theros Promos	2013-09-21	26	Phalanx Leader	857db7e0-254a-4920-a71d-9bab6555342f	covered		combat_body, counter_support	false		Covered by PRM role audit.	Creature — Human Soldier	{W}{W}	2	W	W	Heroic		already reviewed	https://scryfall.com/card/pths/26/phalanx-leader?utm_source=api	Heroic — Whenever you cast a spell that targets this creature, put a +1/+1 counter on each creature you control.
pths	Theros Promos	2013-09-21	42★	Bident of Thassa	e1afaef7-9fa3-4662-a95f-adfb0da9fd11	covered		card_draw, combat_support, direct_draw, draw, repeatable_advantage, repeatable_draw	false		Covered by PRM role audit.	Legendary Enchantment Artifact	{2}{U}{U}	4	U	U			already reviewed	https://scryfall.com/card/pths/42%E2%98%85/bident-of-thassa?utm_source=api	Whenever a creature you control deals combat damage to a player, you may draw a card. {1}{U}, {T}: Creatures your opponents control attack this turn if able.
pths	Theros Promos	2013-09-21	63★	Shipbreaker Kraken	dda7a088-61e3-4c47-b9e0-529fc047f77e	covered		combat_body, combat_support, counter_support, hate_piece, removal, stax_piece, tempo_removal, tempo_support	false		Covered by PRM role audit.	Creature — Kraken	{4}{U}{U}	6	U	U	Monstrosity		already reviewed	https://scryfall.com/card/pths/63%E2%98%85/shipbreaker-kraken?utm_source=api	{6}{U}{U}: Monstrosity 4. (If this creature isn't monstrous, put four +1/+1 counters on it and it becomes monstrous.) When this creature becomes monstrous, tap up to four target creatures. Those creatures don't untap during their controllers' untap steps for as long as you control this creature.
pths	Theros Promos	2013-09-21	75★	Abhorrent Overlord	13f63240-a6bb-4333-a3dd-818725c6fb73	covered		combat_body, combat_threat, sacrifice_support, token_support	false		Covered by PRM role audit.	Creature — Demon	{5}{B}{B}	7	B	B	Flying		already reviewed	https://scryfall.com/card/pths/75%E2%98%85/abhorrent-overlord?utm_source=api	Flying When this creature enters, create a number of 1/1 black Harpy creature tokens with flying equal to your devotion to black. (Each {B} in the mana costs of permanents you control counts toward your devotion to black.) At the beginning of your upkeep, sacrifice a creature.
pths	Theros Promos	2013-09-21	98	Nighthowler	57b3f7fc-1812-4134-a645-6cef48a8aa71	covered		combat_body, combat_support, scalable_spell	false		Covered by PRM role audit.	Enchantment Creature — Horror	{1}{B}{B}	3	B	B	Bestow		already reviewed	https://scryfall.com/card/pths/98/nighthowler?utm_source=api	Bestow {2}{B}{B} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached.) This creature and enchanted creature each get +X/+X, where X is the number of creature cards in all graveyards.
pths	Theros Promos	2013-09-21	120★	Ember Swallower	0cdc86c4-8c68-4ba6-8165-511f32156a4c	covered		combat_body, combat_support, counter_support, targeted_removal	false		Covered by PRM role audit.	Creature — Elemental	{2}{R}{R}	4	R	R	Monstrosity		already reviewed	https://scryfall.com/card/pths/120%E2%98%85/ember-swallower?utm_source=api	{5}{R}{R}: Monstrosity 3. (If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.) When this creature becomes monstrous, each player sacrifices three lands of their choice.
pths	Theros Promos	2013-09-21	149★	Anthousa, Setessan Hero	141f952b-9e9f-48c5-9c88-b1504dfa73bc	covered		combat_body	false		Covered by PRM role audit.	Legendary Creature — Human Warrior	{3}{G}{G}	5	G	G	Heroic		already reviewed	https://scryfall.com/card/pths/149%E2%98%85/anthousa-setessan-hero?utm_source=api	Heroic — Whenever you cast a spell that targets Anthousa, up to three target lands you control each become 2/2 Warrior creatures until end of turn. They're still lands.
pths	Theros Promos	2013-09-21	160	Karametra's Acolyte	e8cf80a1-6908-4adb-88e7-2015672d4905	covered		combat_body, ramp, stable_ramp	false		Covered by PRM role audit.	Creature — Human Druid	{3}{G}	4	G	G			already reviewed	https://scryfall.com/card/pths/160/karametras-acolyte?utm_source=api	{T}: Add an amount of {G} equal to your devotion to green. (Each {G} in the mana costs of permanents you control counts toward your devotion to green.)
pths	Theros Promos	2013-09-21	180★	Sylvan Caryatid	13d4c46b-c2d6-44cc-a252-4a991d471854	covered		combat_body, mana_fixing, ramp, self_protection, stable_ramp	false		Covered by PRM role audit.	Creature — Plant	{1}{G}	2	G	G	Hexproof, Defender		already reviewed	https://scryfall.com/card/pths/180%E2%98%85/sylvan-caryatid?utm_source=api	Defender, hexproof {T}: Add one mana of any color.
