setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ptk	Portal Three Kingdoms	1999-05-01	1	Alert Shu Infantry	0f019387-4684-493f-80c4-de6023096306	covered		combat_body, combat_threat			Covered by PTK role audit.	Creature — Human Soldier	{2}{W}	3	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/ptk/1/alert-shu-infantry?utm_source=api	Vigilance
ptk	Portal Three Kingdoms	1999-05-01	2	Eightfold Maze	9097457c-ceb3-4944-8f01-c28ddefbb270	covered		removal, targeted_removal			Covered by PTK role audit.	Instant	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/ptk/2/eightfold-maze?utm_source=api	Cast this spell only during the declare attackers step and only if you've been attacked this step. Destroy target attacking creature.
ptk	Portal Three Kingdoms	1999-05-01	3	Empty City Ruse	b0391ea4-e37d-48c9-91df-79aefe376bcc	covered		broad_protection, protection			Covered by PTK role audit.	Sorcery	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/ptk/3/empty-city-ruse?utm_source=api	Target opponent skips all combat phases of their next turn.
ptk	Portal Three Kingdoms	1999-05-01	4	False Defeat	8b119579-38e1-4509-9dcb-019d5a160ac2	covered		battlefield_recursion, card_selection, recursion			Covered by PTK role audit.	Sorcery	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/ptk/4/false-defeat?utm_source=api	Return target creature card from your graveyard to the battlefield.
ptk	Portal Three Kingdoms	1999-05-01	5	Flanking Troops	47bbb630-2bf7-47a2-93bb-266e491803c3	covered		combat_body, combat_support, removal, tempo_removal			Covered by PTK role audit.	Creature — Human Soldier	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/ptk/5/flanking-troops?utm_source=api	Whenever this creature attacks, you may tap target creature.
ptk	Portal Three Kingdoms	1999-05-01	6	Guan Yu, Sainted Warrior	f7ee3935-4510-485a-a863-ac38dffa1908	covered		combat_body, combat_support			Covered by PTK role audit.	Legendary Creature — Human Soldier Warrior	{3}{W}{W}	5	W	W	Horsemanship		verify analyzer roles	https://scryfall.com/card/ptk/6/guan-yu-sainted-warrior?utm_source=api	Horsemanship (This creature can't be blocked except by creatures with horsemanship.) When Guan Yu is put into your graveyard from the battlefield, you may shuffle Guan Yu into your library.
ptk	Portal Three Kingdoms	1999-05-01	7	Guan Yu's 1,000-Li March	a1b87d5d-9493-4001-8c7e-553f40de61ea	covered		mass_removal, removal			Covered by PTK role audit.	Sorcery	{4}{W}{W}	6	W	W			verify analyzer roles	https://scryfall.com/card/ptk/7/guan-yus-1000-li-march?utm_source=api	Destroy all tapped creatures.
ptk	Portal Three Kingdoms	1999-05-01	8	Huang Zhong, Shu General	7d6c4290-d46d-4b98-805c-3f537462c4c8	covered		combat_body, combat_support			Covered by PTK role audit.	Legendary Creature — Human Soldier	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/ptk/8/huang-zhong-shu-general?utm_source=api	Huang Zhong can't be blocked by more than one creature.
ptk	Portal Three Kingdoms	1999-05-01	9	Kongming, "Sleeping Dragon"	21e9e1a9-5d6d-473e-adab-6a1e8e2b0ebd	covered		combat_body, combat_support			Covered by PTK role audit.	Legendary Creature — Human Advisor	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/ptk/9/kongming-sleeping-dragon?utm_source=api	Other creatures you control get +1/+1.
ptk	Portal Three Kingdoms	1999-05-01	10	Kongming's Contraptions	c3327ffe-f47f-4f5b-b929-a7706ef4932d	covered		combat_body, removal, targeted_removal			Covered by PTK role audit.	Creature — Human Soldier	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/ptk/10/kongmings-contraptions?utm_source=api	{T}: This creature deals 2 damage to target attacking creature. Activate only during the declare attackers step and only if you've been attacked this step.
ptk	Portal Three Kingdoms	1999-05-01	11	Liu Bei, Lord of Shu	f46416cc-0c3d-4d90-bdcb-910c5d4a2014	covered		combat_body, combat_support			Covered by PTK role audit.	Legendary Creature — Human Soldier	{3}{W}{W}	5	W	W	Horsemanship		verify analyzer roles	https://scryfall.com/card/ptk/11/liu-bei-lord-of-shu?utm_source=api	Horsemanship (This creature can't be blocked except by creatures with horsemanship.) Liu Bei gets +2/+2 as long as you control a permanent named Guan Yu, Sainted Warrior or a permanent named Zhang Fei, Fierce Warrior.
ptk	Portal Three Kingdoms	1999-05-01	12	Loyal Retainers	55b88d43-ec45-4435-a316-1c8aee249ff0	covered		battlefield_recursion, card_selection, combat_body, recursion, repeatable_advantage, sacrifice_support			Covered by PTK role audit.	Creature — Human Advisor	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/ptk/12/loyal-retainers?utm_source=api	Sacrifice this creature: Return target legendary creature card from your graveyard to the battlefield. Activate only during your turn, before attackers are declared.
ptk	Portal Three Kingdoms	1999-05-01	13	Misfortune's Gain	01b778d7-0965-48ab-a81f-e29f8a233d07	covered		lifegain, removal, targeted_removal			Covered by PTK role audit.	Sorcery	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/ptk/13/misfortunes-gain?utm_source=api	Destroy target creature. Its owner gains 4 life.
ptk	Portal Three Kingdoms	1999-05-01	14	Pang Tong, "Young Phoenix"	6d9dc632-414e-480c-85ef-c2b98a6460ad	covered		combat_body, combat_support			Covered by PTK role audit.	Legendary Creature — Human Advisor	{1}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/ptk/14/pang-tong-young-phoenix?utm_source=api	{T}: Target creature gets +0/+2 until end of turn. Activate only during your turn, before attackers are declared.
ptk	Portal Three Kingdoms	1999-05-01	15	Peach Garden Oath	ad66a99b-c7e7-4b2c-8525-299d3609d1df	covered		lifegain			Covered by PTK role audit.	Sorcery	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/ptk/15/peach-garden-oath?utm_source=api	You gain 2 life for each creature you control.
ptk	Portal Three Kingdoms	1999-05-01	16	Rally the Troops	555927b3-bbc8-48b7-9a04-e8ebaabccf3e	covered		tap_untap, tempo_support	false		Covered by PTK role audit.	Instant	{W}	1	W	W			already reviewed	https://scryfall.com/card/ptk/16/rally-the-troops?utm_source=api	Cast this spell only during the declare attackers step and only if you've been attacked this step. Untap all creatures you control.
ptk	Portal Three Kingdoms	1999-05-01	17	Ravages of War	265236d1-d96c-4424-835e-a0fe91c41170	covered		hate_piece, land_denial, mass_land_denial, mass_removal, removal, stax_piece			Covered by PTK role audit.	Sorcery	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/ptk/17/ravages-of-war?utm_source=api	Destroy all lands.
ptk	Portal Three Kingdoms	1999-05-01	18	Riding Red Hare	ddd45d52-20c3-4731-8860-142af1ccaaa0	covered		combat_support			Covered by PTK role audit.	Sorcery	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/ptk/18/riding-red-hare?utm_source=api	Target creature gets +3/+3 and gains horsemanship until end of turn. (It can't be blocked except by creatures with horsemanship.)
ptk	Portal Three Kingdoms	1999-05-01	19	Shu Cavalry	d9180f63-c745-41a1-9f01-273e7ee13176	covered		combat_body, combat_support			Covered by PTK role audit.	Creature — Human Soldier	{2}{W}	3	W	W	Horsemanship		verify analyzer roles	https://scryfall.com/card/ptk/19/shu-cavalry?utm_source=api	Horsemanship (This creature can't be blocked except by creatures with horsemanship.)
ptk	Portal Three Kingdoms	1999-05-01	20	Shu Defender	0b6625cb-4177-45bd-ba99-2af43dfd6f46	covered		combat_body, combat_support			Covered by PTK role audit.	Creature — Human Soldier	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/ptk/20/shu-defender?utm_source=api	Whenever this creature blocks, it gets +0/+2 until end of turn.
ptk	Portal Three Kingdoms	1999-05-01	21	Shu Elite Companions	edf304b8-523e-4233-8d77-1d45d33cbb86	covered		combat_body, combat_support			Covered by PTK role audit.	Creature — Human Soldier	{4}{W}	5	W	W	Horsemanship		verify analyzer roles	https://scryfall.com/card/ptk/21/shu-elite-companions?utm_source=api	Horsemanship (This creature can't be blocked except by creatures with horsemanship.)
ptk	Portal Three Kingdoms	1999-05-01	22	Shu Elite Infantry	806b4f0c-f577-4d7f-b826-09e4479c314e	covered		combat_body			Covered by PTK role audit.	Creature — Human Soldier	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/ptk/22/shu-elite-infantry?utm_source=api	
ptk	Portal Three Kingdoms	1999-05-01	23	Shu Farmer	0d059577-0790-4033-b719-a74b6a62262e	covered		combat_body, lifegain			Covered by PTK role audit.	Creature — Human	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/ptk/23/shu-farmer?utm_source=api	{T}: You gain 1 life. Activate only during your turn, before attackers are declared.
ptk	Portal Three Kingdoms	1999-05-01	24	Shu Foot Soldiers	4d7ff9d5-dc06-4a70-a9c8-d6f88f02fd67	covered		combat_body			Covered by PTK role audit.	Creature — Human Soldier	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/ptk/24/shu-foot-soldiers?utm_source=api	
ptk	Portal Three Kingdoms	1999-05-01	25	Shu General	0fef6729-b044-4daf-834a-ac8c9711ad8a	covered		combat_body, combat_support, combat_threat			Covered by PTK role audit.	Creature — Human Soldier	{3}{W}	4	W	W	Vigilance, Horsemanship		verify analyzer roles	https://scryfall.com/card/ptk/25/shu-general?utm_source=api	Vigilance; horsemanship (This creature can't be blocked except by creatures with horsemanship.)
ptk	Portal Three Kingdoms	1999-05-01	26	Shu Grain Caravan	587e9f15-1d79-458f-a073-229b828b2393	covered		combat_body, lifegain			Covered by PTK role audit.	Creature — Human Soldier	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/ptk/26/shu-grain-caravan?utm_source=api	When this creature enters, you gain 2 life.
ptk	Portal Three Kingdoms	1999-05-01	27	Shu Soldier-Farmers	174cf7cd-3e8c-4f90-abc1-a78a0ce832d2	covered		combat_body, lifegain			Covered by PTK role audit.	Creature — Human Soldier	{4}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/ptk/27/shu-soldier-farmers?utm_source=api	When this creature enters, you gain 4 life.
ptk	Portal Three Kingdoms	1999-05-01	28	Vengeance	1d001145-5d14-43a9-bf3b-3ce5c20b2a46	covered	removal, targeted_removal	removal, targeted_removal	false		Covered by Portal role audit.	Sorcery	{3}{W}	4	W	W			already reviewed	https://scryfall.com/card/ptk/28/vengeance?utm_source=api	Destroy target tapped creature.
ptk	Portal Three Kingdoms	1999-05-01	29	Virtuous Charge	5315ed83-cb93-4522-b439-3784e7f31e37	covered		combat_support			Covered by PTK role audit.	Sorcery	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/ptk/29/virtuous-charge?utm_source=api	Creatures you control get +1/+1 until end of turn.
ptk	Portal Three Kingdoms	1999-05-01	30	Volunteer Militia	4f598459-b776-4ac1-bc69-8fde21674451	covered		combat_body	false		Covered by PTK role audit.	Creature — Human Soldier	{W}	1	W	W			already reviewed	https://scryfall.com/card/ptk/30/volunteer-militia?utm_source=api	
ptk	Portal Three Kingdoms	1999-05-01	31	Warrior's Stand	1f08072d-7dec-4f0d-b465-dda62eb17630	covered		combat_support	false		Covered by PTK role audit.	Instant	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/ptk/31/warriors-stand?utm_source=api	Cast this spell only during the declare attackers step and only if you've been attacked this step. Creatures you control get +2/+2 until end of turn.
ptk	Portal Three Kingdoms	1999-05-01	32	Zhang Fei, Fierce Warrior	f3f815b8-75c6-40e0-9716-872f0f5c9d46	covered		combat_body, combat_support, combat_threat			Covered by PTK role audit.	Legendary Creature — Human Soldier Warrior	{4}{W}{W}	6	W	W	Vigilance, Horsemanship		verify analyzer roles	https://scryfall.com/card/ptk/32/zhang-fei-fierce-warrior?utm_source=api	Vigilance; horsemanship (This creature can't be blocked except by creatures with horsemanship.)
ptk	Portal Three Kingdoms	1999-05-01	33	Zhao Zilong, Tiger General	22aa8e7f-b30d-49e2-b99e-9232e1a3bcf3	covered		combat_body, combat_support			Covered by PTK role audit.	Legendary Creature — Human Soldier Warrior	{3}{W}{W}	5	W	W	Horsemanship		verify analyzer roles	https://scryfall.com/card/ptk/33/zhao-zilong-tiger-general?utm_source=api	Horsemanship (This creature can't be blocked except by creatures with horsemanship.) Whenever Zhao Zilong blocks, it gets +1/+1 until end of turn.
ptk	Portal Three Kingdoms	1999-05-01	34	Balance of Power	c57ee68e-6832-4d4c-b710-fc03a2c10a9c	covered	card_draw, direct_draw, draw	card_draw, direct_draw, draw	false		Covered by Portal role audit.	Sorcery	{3}{U}{U}	5	U	U			already reviewed	https://scryfall.com/card/ptk/34/balance-of-power?utm_source=api	If target opponent has more cards in hand than you, draw cards equal to the difference.
ptk	Portal Three Kingdoms	1999-05-01	35	Borrowing 100,000 Arrows	a3f10772-d055-419d-a535-4f094eaf437c	covered		card_draw, direct_draw, draw			Covered by PTK role audit.	Sorcery	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/ptk/35/borrowing-100000-arrows?utm_source=api	Draw a card for each tapped creature target opponent controls.
ptk	Portal Three Kingdoms	1999-05-01	36	Brilliant Plan	d83e1a42-11d1-412a-b66c-850c7a528777	covered		card_draw, direct_draw, draw			Covered by PTK role audit.	Sorcery	{4}{U}	5	U	U			verify analyzer roles	https://scryfall.com/card/ptk/36/brilliant-plan?utm_source=api	Draw three cards.
ptk	Portal Three Kingdoms	1999-05-01	37	Broken Dam	75fffc1b-db65-4c6b-9503-db50fccb837c	covered		removal, tempo_removal			Covered by PTK role audit.	Sorcery	{U}	1	U	U			verify analyzer roles	https://scryfall.com/card/ptk/37/broken-dam?utm_source=api	Tap one or two target creatures without horsemanship.
ptk	Portal Three Kingdoms	1999-05-01	38	Capture of Jingzhou	89aa65d9-2502-40b0-90b6-b25a8e9f6155	covered		extra_turn, finisher			Covered by PTK role audit.	Sorcery	{3}{U}{U}	5	U	U			verify analyzer roles	https://scryfall.com/card/ptk/38/capture-of-jingzhou?utm_source=api	Take an extra turn after this one.
ptk	Portal Three Kingdoms	1999-05-01	39	Champion's Victory	8df38d95-1707-4f83-9d64-41f0be2a3b3b	covered		removal, tempo_removal			Covered by PTK role audit.	Instant	{U}	1	U	U			verify analyzer roles	https://scryfall.com/card/ptk/39/champions-victory?utm_source=api	Cast this spell only during the declare attackers step and only if you've been attacked this step. Return target attacking creature to its owner's hand.
ptk	Portal Three Kingdoms	1999-05-01	40	Council of Advisors	ff427657-173a-4845-89af-6f0a93467130	covered		card_draw, combat_body, direct_draw, draw			Covered by PTK role audit.	Creature — Human Advisor	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/ptk/40/council-of-advisors?utm_source=api	When this creature enters, draw a card.
ptk	Portal Three Kingdoms	1999-05-01	41	Counterintelligence	0c4e64d1-cdcf-4e96-8bf4-ed1414f6ad62	covered		removal, tempo_removal			Covered by PTK role audit.	Sorcery	{2}{U}{U}	4	U	U			verify analyzer roles	https://scryfall.com/card/ptk/41/counterintelligence?utm_source=api	Return one or two target creatures to their owners' hands.
ptk	Portal Three Kingdoms	1999-05-01	42	Exhaustion	0e7b9caf-8285-4386-98bc-9a809827f447	covered	removal, tempo_removal	removal, tempo_removal	false		Covered by Portal role audit.	Sorcery	{2}{U}	3	U	U			already reviewed	https://scryfall.com/card/ptk/42/exhaustion?utm_source=api	Creatures and lands target opponent controls don't untap during their next untap step.
ptk	Portal Three Kingdoms	1999-05-01	43	Extinguish	b2c9f074-57ca-4709-976d-f432f632483f	covered		hard_stack, stack	false		Covered by PTK role audit.	Instant	{1}{U}	2	U	U			already reviewed	https://scryfall.com/card/ptk/43/extinguish?utm_source=api	Counter target sorcery spell.
ptk	Portal Three Kingdoms	1999-05-01	44	Forced Retreat	ccf1336c-2ea5-4582-84a5-0b29b3cca6c2	covered		removal, tempo_removal			Covered by PTK role audit.	Sorcery	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/ptk/44/forced-retreat?utm_source=api	Put target creature on top of its owner's library.
ptk	Portal Three Kingdoms	1999-05-01	45	Lady Sun	dcc363a7-652d-4d2b-9081-3e5735120f21	covered		combat_body, removal, tempo_removal			Covered by PTK role audit.	Legendary Creature — Human Advisor	{1}{U}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/ptk/45/lady-sun?utm_source=api	{T}: Return Lady Sun and another target creature to their owners' hands. Activate only during your turn, before attackers are declared.
ptk	Portal Three Kingdoms	1999-05-01	46	Lu Meng, Wu General	a1e2a966-6aad-4325-b644-3ced319bdd7d	covered		combat_body, combat_support			Covered by PTK role audit.	Legendary Creature — Human Soldier	{3}{U}{U}	5	U	U	Horsemanship		verify analyzer roles	https://scryfall.com/card/ptk/46/lu-meng-wu-general?utm_source=api	Horsemanship (This creature can't be blocked except by creatures with horsemanship.)
ptk	Portal Three Kingdoms	1999-05-01	47	Lu Su, Wu Advisor	59238ba1-fde4-4e43-9f24-b24125e59de0	covered		card_draw, combat_body, direct_draw, draw, repeatable_advantage, repeatable_draw			Covered by PTK role audit.	Legendary Creature — Human Advisor	{3}{U}{U}	5	U	U			verify analyzer roles	https://scryfall.com/card/ptk/47/lu-su-wu-advisor?utm_source=api	{T}: Draw a card. Activate only during your turn, before attackers are declared.
ptk	Portal Three Kingdoms	1999-05-01	48	Lu Xun, Scholar General	ea658352-abef-4201-b20c-f5c5809d1d3e	covered		card_draw, combat_body, combat_support, direct_draw, draw, repeatable_advantage, repeatable_draw			Covered by PTK role audit.	Legendary Creature — Human Soldier	{2}{U}{U}	4	U	U	Horsemanship		verify analyzer roles	https://scryfall.com/card/ptk/48/lu-xun-scholar-general?utm_source=api	Horsemanship (This creature can't be blocked except by creatures with horsemanship.) Whenever Lu Xun deals damage to an opponent, you may draw a card.
ptk	Portal Three Kingdoms	1999-05-01	49	Mystic Denial	d2bd23a6-4f77-4d6e-bf8f-339cb7a4184d	covered	hard_stack, stack	hard_stack, stack	false		Covered by Portal role audit.	Instant	{1}{U}{U}	3	U	U			already reviewed	https://scryfall.com/card/ptk/49/mystic-denial?utm_source=api	Counter target creature or sorcery spell.
ptk	Portal Three Kingdoms	1999-05-01	50	Preemptive Strike	250f8642-9754-48fd-8f09-70ed13d7a42c	covered		hard_stack, stack			Covered by PTK role audit.	Instant	{1}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/ptk/50/preemptive-strike?utm_source=api	Counter target creature spell.
ptk	Portal Three Kingdoms	1999-05-01	51	Red Cliffs Armada	063884e0-1f5e-4be9-930b-e73895b2fa41	covered		combat_body, combat_support			Covered by PTK role audit.	Creature — Human Soldier	{4}{U}	5	U	U			verify analyzer roles	https://scryfall.com/card/ptk/51/red-cliffs-armada?utm_source=api	This creature can't attack unless defending player controls an Island.
ptk	Portal Three Kingdoms	1999-05-01	52	Sage's Knowledge	b8ffd53b-5b10-4866-83fe-630eee58c514	covered		card_selection, hand_recursion, recursion			Covered by PTK role audit.	Sorcery	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/ptk/52/sages-knowledge?utm_source=api	Return target sorcery card from your graveyard to your hand.
ptk	Portal Three Kingdoms	1999-05-01	53	Strategic Planning	02b5acf3-47cb-4d39-9307-e02656f1879b	covered		card_selection, restricted_tutor			Covered by PTK role audit.	Sorcery	{1}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/ptk/53/strategic-planning?utm_source=api	Look at the top three cards of your library. Put one of them into your hand and the rest into your graveyard.
ptk	Portal Three Kingdoms	1999-05-01	54	Straw Soldiers	8138a9d7-63cb-4d40-ac9e-1a9b10766113	covered		combat_body			Covered by PTK role audit.	Creature — Scarecrow Soldier	{1}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/ptk/54/straw-soldiers?utm_source=api	
ptk	Portal Three Kingdoms	1999-05-01	55	Sun Ce, Young Conquerer	93b0185c-b86f-4137-bc6d-96212eee1708	covered		combat_body, combat_support, removal, tempo_removal			Covered by PTK role audit.	Legendary Creature — Human Soldier	{3}{U}{U}	5	U	U	Horsemanship		verify analyzer roles	https://scryfall.com/card/ptk/55/sun-ce-young-conquerer?utm_source=api	Horsemanship (This creature can't be blocked except by creatures with horsemanship.) When Sun Ce enters, you may return target creature to its owner's hand.
ptk	Portal Three Kingdoms	1999-05-01	56	Sun Quan, Lord of Wu	70503280-6bdf-431d-8213-367a9783463a	covered		combat_body, combat_support			Covered by PTK role audit.	Legendary Creature — Human Soldier	{4}{U}{U}	6	U	U			verify analyzer roles	https://scryfall.com/card/ptk/56/sun-quan-lord-of-wu?utm_source=api	Creatures you control have horsemanship. (They can't be blocked except by creatures with horsemanship.)
ptk	Portal Three Kingdoms	1999-05-01	57	Wu Admiral	578c5b92-9f7e-4645-9624-f2c1a16b6aaf	covered		combat_body, combat_support			Covered by PTK role audit.	Creature — Human Soldier	{4}{U}	5	U	U			verify analyzer roles	https://scryfall.com/card/ptk/57/wu-admiral?utm_source=api	This creature gets +1/+1 as long as an opponent controls an Island.
