setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pwar	War of the Spark Promos	2019-05-03	1p	Karn, the Great Creator	a20dd48d-d344-4db1-b0e9-a2b71c3cc9d1	covered		combat_support, face_down_support, stax_piece	false		Covered by PRM role audit.	Legendary Planeswalker — Karn	{4}	4					already reviewed	https://scryfall.com/card/pwar/1p/karn-the-great-creator?utm_source=api	Activated abilities of artifacts your opponents control can't be activated. +1: Until your next turn, up to one target noncreature artifact becomes an artifact creature with power and toughness each equal to its mana value. −2: You may reveal an artifact card you own from outside the game or choose a face-up artifact card you own in exile. Put that card into your hand.
pwar	War of the Spark Promos	2019-05-03	2p	Ugin, the Ineffable	18bdc181-9592-4147-81fb-7f83ce137f70	covered		cost_reduction, face_down_support, ramp, removal, targeted_removal, token_support	false		Covered by PRM role audit.	Legendary Planeswalker — Ugin	{6}	6					already reviewed	https://scryfall.com/card/pwar/2p/ugin-the-ineffable?utm_source=api	Colorless spells you cast cost {2} less to cast. +1: Exile the top card of your library face down and look at it. Create a 2/2 colorless Spirit creature token. When that token leaves the battlefield, put the exiled card into your hand. −3: Destroy target permanent that's one or more colors.
pwar	War of the Spark Promos	2019-05-03	12s	Finale of Glory	68273453-1059-4eab-8c27-5d96f998f3b1	covered	combat_support, mana_sink, scalable_spell, token_support	combat_support, mana_sink, scalable_spell, token_support	false		Analyzer roles accepted during batch clean pass.	Sorcery	{X}{W}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/pwar/12s/finale-of-glory?utm_source=api	Create X 2/2 white Soldier creature tokens with vigilance. If X is 10 or more, also create X 4/4 white Angel creature tokens with flying and vigilance.
pwar	War of the Spark Promos	2019-05-03	13p	Gideon Blackblade	813c19f5-3580-488d-9eee-c7a563def532	covered		combat_support, lifegain, protection, self_protection, targeted_protection, targeted_removal	false		Covered by PRM role audit.	Legendary Planeswalker — Gideon	{1}{W}{W}	3	W	W			already reviewed	https://scryfall.com/card/pwar/13p/gideon-blackblade?utm_source=api	During your turn, Gideon Blackblade is a 4/4 Human Soldier creature with indestructible that's still a planeswalker. Prevent all damage that would be dealt to Gideon Blackblade during your turn. +1: Up to one other target creature you control gains your choice of vigilance, lifelink, or indestructible until end of turn. −6: Exile target nonland permanent.
pwar	War of the Spark Promos	2019-05-03	16s	God-Eternal Oketra	3b03358d-f87e-4939-afc9-5ee3f044146a	covered	combat_body, combat_threat, multiplier_support, replacement_engine, sacrifice_support, token_support	combat_body, combat_threat, multiplier_support, replacement_engine, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Zombie God	{3}{W}{W}	5	W	W	Double strike		verify analyzer roles	https://scryfall.com/card/pwar/16s/god-eternal-oketra?utm_source=api	Double strike Whenever you cast a creature spell, create a 4/4 black Zombie Warrior creature token with vigilance. When God-Eternal Oketra dies or is put into exile from the battlefield, you may put it into its owner's library third from the top.
pwar	War of the Spark Promos	2019-05-03	18s	Ignite the Beacon	1f74d046-e695-4ad9-a27c-8ff1f30d4c23	covered	restricted_tutor, tutor	restricted_tutor, tutor	false		Analyzer roles accepted during batch clean pass.	Instant	{4}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/pwar/18s/ignite-the-beacon?utm_source=api	Search your library for up to two planeswalker cards, reveal them, put them into your hand, then shuffle.
pwar	War of the Spark Promos	2019-05-03	24s	Parhelion II	24d22bcb-8a77-4c47-a508-6f4bc093c1d0	covered	combat_support, token_support	combat_support, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Artifact — Vehicle	{6}{W}{W}	8	W	W	Flying, Vigilance, First strike, Crew		verify analyzer roles	https://scryfall.com/card/pwar/24s/parhelion-ii?utm_source=api	Flying, first strike, vigilance Whenever Parhelion II attacks, create two 4/4 white Angel creature tokens with flying and vigilance that are attacking. Crew 4 (Tap any number of creatures you control with total power 4 or more: This Vehicle becomes an artifact creature until end of turn.)
pwar	War of the Spark Promos	2019-05-03	28s	Ravnica at War	0012bc78-e69d-4a67-a302-e5fe0dfd4407	covered	mass_removal, removal	mass_removal, removal	false		Analyzer roles accepted during batch clean pass.	Sorcery	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/pwar/28s/ravnica-at-war?utm_source=api	Exile all multicolored permanents.
pwar	War of the Spark Promos	2019-05-03	30s	Single Combat	822ef47e-3f1b-40a6-8c5c-fea3d7deba5b	covered	hate_piece, stax_piece, targeted_removal	hate_piece, stax_piece, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Sorcery	{3}{W}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/pwar/30s/single-combat?utm_source=api	Each player chooses a creature or planeswalker they control, then sacrifices the rest. Players can't cast creature or planeswalker spells until the end of your next turn.
pwar	War of the Spark Promos	2019-05-03	32s	Teyo, the Shieldmage	cda93cf5-da51-4117-b461-f4448aa2d16c	covered		broad_protection, protection, self_protection, token_support	false		Covered by PRM role audit.	Legendary Planeswalker — Teyo	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/pwar/32s/teyo-the-shieldmage?utm_source=api	You have hexproof. (You can't be the target of spells or abilities your opponents control.) −2: Create a 0/3 white Wall creature token with defender.
pwar	War of the Spark Promos	2019-05-03	34p	Tomik, Distinguished Advokist	9895a33f-9bbd-4440-8c1a-0d401431b77f	covered	combat_body, combat_threat, graveyard_hate, stax_piece	combat_body, combat_threat, graveyard_hate, stax_piece	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Advisor	{W}{W}	2	W	W	Flying		verify analyzer roles	https://scryfall.com/card/pwar/34p/tomik-distinguished-advokist?utm_source=api	Flying Lands on the battlefield and land cards in graveyards can't be the targets of spells or abilities your opponents control. Your opponents can't play land cards from graveyards.
pwar	War of the Spark Promos	2019-05-03	37s	The Wanderer	4c2196e5-6ed7-4cd2-b8e7-f01aff236569	covered		removal, targeted_removal	false		Covered by PRM role audit.	Legendary Planeswalker	{3}{W}	4	W	W			already reviewed	https://scryfall.com/card/pwar/37s/the-wanderer?utm_source=api	Prevent all noncombat damage that would be dealt to you and other permanents you control. −2: Exile target creature with power 4 or greater.
pwar	War of the Spark Promos	2019-05-03	41	Augur of Bolas	be5d6779-ecc9-44b9-8c4d-97a243059d55	covered	card_selection, combat_body, selection	card_selection, combat_body, selection	false		Analyzer roles accepted during batch clean pass.	Creature — Merfolk Wizard	{1}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/pwar/41/augur-of-bolas?utm_source=api	When this creature enters, look at the top three cards of your library. You may reveal an instant or sorcery card from among them and put it into your hand. Put the rest on the bottom of your library in any order.
