setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pwoe	Wilds of Eldraine Promos	2023-09-08	1p	Archon of the Wild Rose	180efbd4-0f77-41cc-8ae2-2e6ccf853d10			combat_body, combat_support, combat_threat				Creature — Archon	{2}{W}{W}	4	W	W	Flying		verify analyzer roles	https://scryfall.com/card/pwoe/1p/archon-of-the-wild-rose?utm_source=api	Flying Other creatures you control that are enchanted by Auras you control have base power and toughness 4/4 and have flying.
pwoe	Wilds of Eldraine Promos	2023-09-08	13p	Expel the Interlopers	744b7e93-c893-4770-a3bb-6a45b7f8e4f7			mass_removal, removal				Sorcery	{3}{W}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/pwoe/13p/expel-the-interlopers?utm_source=api	Choose a number between 0 and 10. Destroy all creatures with power greater than or equal to the chosen number.
pwoe	Wilds of Eldraine Promos	2023-09-08	21p	Moonshaker Cavalry	b3f16f34-d78c-4b61-821b-05fc6bd0da37			combat_body, combat_support, combat_threat, scalable_spell				Creature — Spirit Knight	{5}{W}{W}{W}	8	W	W	Flying		verify analyzer roles	https://scryfall.com/card/pwoe/21p/moonshaker-cavalry?utm_source=api	Flying When this creature enters, creatures you control gain flying and get +X/+X until end of turn, where X is the number of creatures you control.
pwoe	Wilds of Eldraine Promos	2023-09-08	25p	Regal Bunnicorn	efd93428-88a5-4f7b-95f3-1d6eec069a4c			combat_body, combat_support				Creature — Rabbit Unicorn	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/pwoe/25p/regal-bunnicorn?utm_source=api	Regal Bunnicorn's power and toughness are each equal to the number of nonland permanents you control.
pwoe	Wilds of Eldraine Promos	2023-09-08	31p	Spellbook Vendor	51dad7d3-f91d-4bd8-aaed-235da42a448b			card_selection, combat_body, combat_support, combat_threat, repeatable_advantage, selection, token_support				Creature — Human Peasant	{1}{W}	2	W	W	Role token, Vigilance, Scry		verify analyzer roles	https://scryfall.com/card/pwoe/31p/spellbook-vendor?utm_source=api	Vigilance At the beginning of combat on your turn, you may pay {1}. When you do, create a Sorcerer Role token attached to target creature you control. (If you control another Role on it, put that one into the graveyard. Enchanted creature gets +1/+1 and has "Whenever this creature attacks, scry 1.")
pwoe	Wilds of Eldraine Promos	2023-09-08	34p	A Tale for the Ages	682a0770-8fe0-4142-aa0c-b60af3628a33			combat_support				Enchantment	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/pwoe/34p/a-tale-for-the-ages?utm_source=api	Enchanted creatures you control get +2/+2.
pwoe	Wilds of Eldraine Promos	2023-09-08	35p	Three Blind Mice	e5926e14-d30a-4f81-803c-f36542df2db3			combat_support, copy_support, sacrifice_support, token_support				Enchantment — Saga	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/pwoe/35p/three-blind-mice?utm_source=api	(As this Saga enters and after your draw step, add a lore counter. Sacrifice after IV.) I — Create a 1/1 white Mouse creature token. II, III — Create a token that's a copy of target token you control. IV — Creatures you control get +1/+1 and gain vigilance until end of turn.
pwoe	Wilds of Eldraine Promos	2023-09-08	38p	Virtue of Loyalty // Ardenvale Fealty	f61f4307-4eec-476a-97e5-d4d3da2b54c3			card_selection, counter_support, token_support				Enchantment // Instant — Adventure	{3}{W}{W} // {1}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/pwoe/38p/virtue-of-loyalty-ardenvale-fealty?utm_source=api	Virtue of Loyalty: At the beginning of your end step, put a +1/+1 counter on each creature you control. Untap those creatures. // Ardenvale Fealty: Create a 2/2 white Knight creature token with vigilance. (Then exile this card. You may cast the enchantment later from exile.)
pwoe	Wilds of Eldraine Promos	2023-09-08	39p	Werefox Bodyguard	d5ee2ced-29f4-430f-962e-2f930b92624c			combat_body, lifegain, removal, sacrifice_support, targeted_removal				Creature — Elf Fox Knight	{1}{W}{W}	3	W	W	Flash		verify analyzer roles	https://scryfall.com/card/pwoe/39p/werefox-bodyguard?utm_source=api	Flash When this creature enters, exile up to one other target non-Fox creature until this creature leaves the battlefield. {1}{W}, Sacrifice this creature: You gain 2 life.
pwoe	Wilds of Eldraine Promos	2023-09-08	42p	Asinine Antics	0a0a051c-59ed-4286-b842-a34da7ef15d5			replacement_engine, tempo_support, token_support				Sorcery	{2}{U}{U}	4	U	U	Role token		verify analyzer roles	https://scryfall.com/card/pwoe/42p/asinine-antics?utm_source=api	You may cast this spell as though it had flash if you pay {2} more to cast it. For each creature your opponents control, create a Cursed Role token attached to that creature. (If you control another Role on it, put that one into the graveyard. Enchanted creature is 1/1.)
