setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pz1	Legendary Cube Prize Pack	2015-11-18	1	Bastion Protector	858f53ef-3fec-4aa0-867d-b7f040614b3c	covered	combat_body, combat_support, self_protection	combat_body, combat_support, self_protection	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/pz1/1/bastion-protector?utm_source=api	Commander creatures you control get +2/+2 and have indestructible.
pz1	Legendary Cube Prize Pack	2015-11-18	2	Containment Priest	8a76a9b9-3127-45fe-b20f-a8f643276281	covered		combat_body, replacement_engine, stax_piece	false		Covered by PRM role audit.	Creature — Human Cleric	{1}{W}	2	W	W	Flash		already reviewed	https://scryfall.com/card/pz1/2/containment-priest?utm_source=api	Flash If a nontoken creature would enter and it wasn't cast, exile it instead.
pz1	Legendary Cube Prize Pack	2015-11-18	3	Dawnbreak Reclaimer	6fa7229d-18b6-43d8-aa57-a56cdb815767	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Angel	{4}{W}{W}	6	W	W	Flying		verify analyzer roles	https://scryfall.com/card/pz1/3/dawnbreak-reclaimer?utm_source=api	Flying At the beginning of your end step, choose a creature card in an opponent's graveyard, then that player chooses a creature card in your graveyard. You may return those cards to the battlefield under their owners' control.
pz1	Legendary Cube Prize Pack	2015-11-18	4	Ghostly Prison	e828b189-0e8f-43b8-b909-4c23e742e028	covered		combat_support, stax_piece	false		Covered by PRM role audit.	Enchantment	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/pz1/4/ghostly-prison?utm_source=api	Creatures can't attack you unless their controller pays {2} for each creature they control that's attacking you.
pz1	Legendary Cube Prize Pack	2015-11-18	5	Grasp of Fate	1b26a54f-6c27-4940-b77e-2a66175c5eff	covered	removal, targeted_removal	removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Enchantment	{1}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/pz1/5/grasp-of-fate?utm_source=api	When this enchantment enters, for each opponent, exile up to one target nonland permanent that player controls until this enchantment leaves the battlefield. (Those permanents return under their owners' control.)
pz1	Legendary Cube Prize Pack	2015-11-18	6	Herald of the Host	4371d5bc-1760-477b-822e-6d4999fb0a6b	covered	combat_body, combat_support, combat_threat, token_support	combat_body, combat_support, combat_threat, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Angel	{3}{W}{W}	5	W	W	Myriad, Flying, Vigilance		verify analyzer roles	https://scryfall.com/card/pz1/6/herald-of-the-host?utm_source=api	Flying, vigilance Myriad (Whenever this creature attacks, for each opponent other than defending player, you may create a token copy that's tapped and attacking that player or a planeswalker they control. Exile the tokens at end of combat.)
pz1	Legendary Cube Prize Pack	2015-11-18	7	Kalemne's Captain	663e6ab0-ed99-4cec-86f7-843207c31e17	covered	combat_body, combat_support, combat_threat, counter_support, mass_removal, removal	combat_body, combat_support, combat_threat, counter_support, mass_removal, removal	false		Analyzer roles accepted during batch clean pass.	Creature — Giant Soldier	{3}{W}{W}	5	W	W	Vigilance, Monstrosity		verify analyzer roles	https://scryfall.com/card/pz1/7/kalemnes-captain?utm_source=api	Vigilance {5}{W}{W}: Monstrosity 3. (If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.) When this creature becomes monstrous, exile all artifacts and enchantments.
pz1	Legendary Cube Prize Pack	2015-11-18	8	Loyal Retainers	55b88d43-ec45-4435-a316-1c8aee249ff0	covered		battlefield_recursion, card_selection, combat_body, recursion, repeatable_advantage, sacrifice_support	false		Covered by PTK role audit.	Creature — Human Advisor	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/pz1/8/loyal-retainers?utm_source=api	Sacrifice this creature: Return target legendary creature card from your graveyard to the battlefield. Activate only during your turn, before attackers are declared.
pz1	Legendary Cube Prize Pack	2015-11-18	9	Nahiri, the Lithomancer	a554aa2c-d947-4fc6-929d-d5891f467615	covered	artifact_support, combat_support, self_protection, token_support	artifact_support, combat_support, self_protection, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Planeswalker — Nahiri	{3}{W}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/pz1/9/nahiri-the-lithomancer?utm_source=api	+2: Create a 1/1 white Kor Soldier creature token. You may attach an Equipment you control to it. −2: You may put an Equipment card from your hand or graveyard onto the battlefield. −10: Create a colorless Equipment artifact token named Stoneforged Blade. It has indestructible, "Equipped creature gets +5/+5 and has double strike," and equip {0}. Nahiri, the Lithomancer can be your commander.
pz1	Legendary Cube Prize Pack	2015-11-18	10	Oreskos Explorer	a3055ae8-990d-495a-9cb5-971407990cfa	covered	combat_body, land_acceleration, land_tutor, mana_fixing, scalable_spell, tutor	combat_body, land_acceleration, land_tutor, mana_fixing, scalable_spell, tutor	false		Analyzer roles accepted during batch clean pass.	Creature — Cat Scout	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/pz1/10/oreskos-explorer?utm_source=api	When this creature enters, search your library for up to X Plains cards, where X is the number of players who control more lands than you. Reveal those cards, put them into your hand, then shuffle.
pz1	Legendary Cube Prize Pack	2015-11-18	11	Reya Dawnbringer	08d1a5d1-141d-48e3-ac22-c2529191cb13	covered		battlefield_recursion, card_selection, combat_body, combat_threat, recursion, repeatable_advantage	false		Covered by INV role audit.	Legendary Creature — Angel	{6}{W}{W}{W}	9	W	W	Flying		already reviewed	https://scryfall.com/card/pz1/11/reya-dawnbringer?utm_source=api	Flying At the beginning of your upkeep, you may return target creature card from your graveyard to the battlefield.
