setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pza	Teenage Mutant Ninja Turtles Source Material	2026-03-06	1	Path to Exile	d683d985-9888-4d21-8b5f-69e69ce4a03b	covered		land_acceleration, land_tutor, mana_fixing, ramp, removal, targeted_removal, tutor	false		Covered by PRM role audit.	Instant	{W}	1	W	W			already reviewed	https://scryfall.com/card/pza/1/path-to-exile?utm_source=api	Exile target creature. Its controller may search their library for a basic land card, put that card onto the battlefield tapped, then shuffle.
pza	Teenage Mutant Ninja Turtles Source Material	2026-03-06	2	Teleportation Circle	c786a0aa-d86f-42c3-a7ea-5cb6ab72b5ec	covered		flicker, protection, rescue_protection	false		Covered by PRM role audit.	Enchantment	{3}{W}	4	W	W			already reviewed	https://scryfall.com/card/pza/2/teleportation-circle?utm_source=api	At the beginning of your end step, exile up to one target artifact or creature you control, then return that card to the battlefield under its owner's control.
pza	Teenage Mutant Ninja Turtles Source Material	2026-03-06	3	Trouble in Pairs	f349f58b-8cc8-45e4-9565-2b46fdf976c9	covered	card_draw, combat_support, direct_draw, draw, repeatable_advantage, repeatable_draw, replacement_engine	card_draw, combat_support, direct_draw, draw, repeatable_advantage, repeatable_draw, replacement_engine	false		Analyzer roles accepted during batch clean pass.	Enchantment	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/pza/3/trouble-in-pairs?utm_source=api	If an opponent would begin an extra turn, that player skips that turn instead. Whenever an opponent attacks you with two or more creatures, draws their second card each turn, or casts their second spell each turn, you draw a card.
pza	Teenage Mutant Ninja Turtles Source Material	2026-03-06	4	Brainstorm	36cd2364-d113-47d1-b2c4-b088d9eb88dd	covered	card_draw, direct_draw, draw	card_draw, direct_draw, draw	false		Covered by Ice Age role audit.	Instant	{U}	1	U	U			already reviewed	https://scryfall.com/card/pza/4/brainstorm?utm_source=api	Draw three cards, then put two cards from your hand on top of your library in any order.
pza	Teenage Mutant Ninja Turtles Source Material	2026-03-06	5	Cytoplast Manipulator	026ef98e-4f0a-4a6d-b74f-d17ac8b10e37	covered	combat_body, counter_support, removal, tempo_removal, theft_support	combat_body, counter_support, removal, tempo_removal, theft_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Wizard Mutant	{2}{U}{U}	4	U	U	Graft		verify analyzer roles	https://scryfall.com/card/pza/5/cytoplast-manipulator?utm_source=api	Graft 2 (This creature enters with two +1/+1 counters on it. Whenever another creature enters, you may move a +1/+1 counter from this creature onto it.) {U}, {T}: Gain control of target creature with a +1/+1 counter on it for as long as this creature remains on the battlefield.
pza	Teenage Mutant Ninja Turtles Source Material	2026-03-06	6	Ashcoat of the Shadow Swarm	9cc69ea5-42a2-4306-ac6d-cff5adb20bcb	covered	card_selection, combat_body, combat_support, hand_recursion, mass_recursion, mill_support, recursion, repeatable_advantage, scalable_spell	card_selection, combat_body, combat_support, hand_recursion, mass_recursion, mill_support, recursion, repeatable_advantage, scalable_spell	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Rat Warlock	{3}{B}	4	B	B	Mill		verify analyzer roles	https://scryfall.com/card/pza/6/ashcoat-of-the-shadow-swarm?utm_source=api	Whenever Ashcoat attacks or blocks, other Rats you control get +X/+X until end of turn, where X is the number of Rats you control. At the beginning of your end step, you may mill four cards. If you do, return up to two Rat creature cards from your graveyard to your hand. (To mill a card, put the top card of your library into your graveyard.)
pza	Teenage Mutant Ninja Turtles Source Material	2026-03-06	7	Plague of Vermin	efc12acf-ffef-40a6-b2ce-fe93e89ad840	covered	token_support	token_support	false		Analyzer roles accepted during batch clean pass.	Sorcery	{6}{B}	7	B	B			verify analyzer roles	https://scryfall.com/card/pza/7/plague-of-vermin?utm_source=api	Starting with you, each player may pay any amount of life. Repeat this process until no one pays life. Each player creates a 1/1 black Rat creature token for each 1 life they paid this way.
pza	Teenage Mutant Ninja Turtles Source Material	2026-03-06	8	All Will Be One	477374dc-042c-48f7-9ebe-99c15d8ae04f	covered	counter_support, direct_finisher, finisher, removal, targeted_removal	counter_support, direct_finisher, finisher, removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Enchantment	{3}{R}{R}	5	R	R			verify analyzer roles	https://scryfall.com/card/pza/8/all-will-be-one?utm_source=api	Whenever you put one or more counters on a permanent or player, this enchantment deals that much damage to target opponent, creature an opponent controls, or planeswalker an opponent controls.
pza	Teenage Mutant Ninja Turtles Source Material	2026-03-06	9	Silverclad Ferocidons	b3aa5889-0d98-4a8c-a8b1-ada1e9b169e1	covered	combat_body, removal, targeted_removal	combat_body, removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Dinosaur	{5}{R}{R}	7	R	R	Enrage		verify analyzer roles	https://scryfall.com/card/pza/9/silverclad-ferocidons?utm_source=api	Enrage — Whenever this creature is dealt damage, each opponent sacrifices a permanent of their choice.
pza	Teenage Mutant Ninja Turtles Source Material	2026-03-06	10	Underworld Breach	27e0948b-9916-473b-8d8c-a51bdfbc7457	covered		card_selection, recursion, repeatable_advantage, repeatable_draw, replay_recursion, sacrifice_support, selection	false		Covered by PRM role audit.	Enchantment	{1}{R}	2	R	R			already reviewed	https://scryfall.com/card/pza/10/underworld-breach?utm_source=api	Each nonland card in your graveyard has escape. The escape cost is equal to the card's mana cost plus exile three other cards from your graveyard. (You may cast cards from your graveyard for their escape cost.) At the beginning of the end step, sacrifice this enchantment.
pza	Teenage Mutant Ninja Turtles Source Material	2026-03-06	11	Doubling Season	01546b7d-a233-4176-8843-d732074dc5b6	covered		counter_support, multiplier_support, replacement_engine, token_support	false		Covered by PRM role audit.	Enchantment	{4}{G}	5	G	G			already reviewed	https://scryfall.com/card/pza/11/doubling-season?utm_source=api	If an effect would create one or more tokens under your control, it creates twice that many of those tokens instead. If an effect would put one or more counters on a permanent you control, it puts twice that many of those counters on that permanent instead.
