setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
rav	Ravnica: City of Guilds	2005-10-07	1	Auratouched Mage	3c7ffc6c-88be-4127-a673-fba8c1aa5fa1	covered	combat_body, restricted_tutor, tutor	combat_body, restricted_tutor, tutor	false		Analyzer roles accepted during batch clean pass.	Creature — Human Wizard	{5}{W}	6	W	W			verify analyzer roles	https://scryfall.com/card/rav/1/auratouched-mage?utm_source=api	When this creature enters, search your library for an Aura card that could enchant it. If this creature is still on the battlefield, put that Aura card onto the battlefield attached to it. Otherwise, reveal the Aura card and put it into your hand. Then shuffle.
rav	Ravnica: City of Guilds	2005-10-07	2	Bathe in Light	8e862a8e-7954-43ad-9bc0-09ce7b9859f0	covered	protection, targeted_protection	protection, targeted_protection	false		Analyzer roles accepted during batch clean pass.	Instant	{1}{W}	2	W	W	Radiance		verify analyzer roles	https://scryfall.com/card/rav/2/bathe-in-light?utm_source=api	Radiance — Choose a color. Target creature and each other creature that shares a color with it gain protection from the chosen color until end of turn.
rav	Ravnica: City of Guilds	2005-10-07	3	Benevolent Ancestor	ee414d20-b18e-4bed-97fc-3c7535089ec1	covered	combat_body, combat_support, protection, targeted_protection	combat_body, combat_support, protection, targeted_protection	false		Analyzer roles accepted during batch clean pass.	Creature — Spirit	{2}{W}	3	W	W	Defender		verify analyzer roles	https://scryfall.com/card/rav/3/benevolent-ancestor?utm_source=api	Defender (This creature can't attack.) {T}: Prevent the next 1 damage that would be dealt to any target this turn.
rav	Ravnica: City of Guilds	2005-10-07	4	Blazing Archon	82a70e4c-01ed-4280-80e4-86cb2bf6e63d	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Archon	{6}{W}{W}{W}	9	W	W	Flying		verify analyzer roles	https://scryfall.com/card/rav/4/blazing-archon?utm_source=api	Flying Creatures can't attack you.
rav	Ravnica: City of Guilds	2005-10-07	5	Boros Fury-Shield	20eff2ce-f26d-48a2-8a1f-435a7e2968c8	covered	broad_protection, combat_support, protection	broad_protection, combat_support, protection	false		Analyzer roles accepted during batch clean pass.	Instant	{2}{W}	3	W	RW			verify analyzer roles	https://scryfall.com/card/rav/5/boros-fury-shield?utm_source=api	Prevent all combat damage that would be dealt by target attacking or blocking creature this turn. If {R} was spent to cast this spell, Boros Fury-Shield deals damage to that creature's controller equal to the creature's power.
rav	Ravnica: City of Guilds	2005-10-07	6	Caregiver	7661484b-1faa-4ed7-b77b-fc1e625d23e3	covered	combat_body, protection, sacrifice_support, targeted_protection	combat_body, protection, sacrifice_support, targeted_protection	false		Analyzer roles accepted during batch clean pass.	Creature — Human Cleric	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/rav/6/caregiver?utm_source=api	{W}, Sacrifice a creature: Prevent the next 1 damage that would be dealt to any target this turn.
rav	Ravnica: City of Guilds	2005-10-07	7	Chant of Vitu-Ghazi	e245a736-5f65-4159-8e39-e279e1f8794f	covered	broad_protection, cost_reduction, lifegain, protection	broad_protection, cost_reduction, lifegain, protection	false		Analyzer roles accepted during batch clean pass.	Instant	{6}{W}{W}	8	W	W	Convoke		verify analyzer roles	https://scryfall.com/card/rav/7/chant-of-vitu-ghazi?utm_source=api	Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) Prevent all damage that would be dealt by creatures this turn. You gain life equal to the damage prevented this way.
rav	Ravnica: City of Guilds	2005-10-07	8	Concerted Effort	fd4236e5-6a2c-45ec-afb3-cd4fc516fbf1	covered	combat_support, landwalk_support	combat_support, landwalk_support	false		Analyzer roles accepted during batch clean pass.	Enchantment	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/rav/8/concerted-effort?utm_source=api	At the beginning of each upkeep, creatures you control gain flying until end of turn if a creature you control has flying. The same is true for fear, first strike, double strike, landwalk, protection, trample, and vigilance.
rav	Ravnica: City of Guilds	2005-10-07	9	Conclave Equenaut	4127794b-84d1-4efb-b0e9-543a02b07fa8	covered	combat_body, combat_threat, cost_reduction	combat_body, combat_threat, cost_reduction	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{4}{W}{W}	6	W	W	Flying, Convoke		verify analyzer roles	https://scryfall.com/card/rav/9/conclave-equenaut?utm_source=api	Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) Flying
rav	Ravnica: City of Guilds	2005-10-07	10	Conclave Phalanx	5a1bebe9-c940-4fac-8572-0833808eaa55	covered	combat_body, cost_reduction, lifegain	combat_body, cost_reduction, lifegain	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{4}{W}	5	W	W	Convoke		verify analyzer roles	https://scryfall.com/card/rav/10/conclave-phalanx?utm_source=api	Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) When this creature enters, you gain 1 life for each creature you control.
rav	Ravnica: City of Guilds	2005-10-07	11	Conclave's Blessing	938e738f-c982-4bbf-b15f-0c3dd3a9901e	covered	combat_support, cost_reduction	combat_support, cost_reduction	false		Analyzer roles accepted during batch clean pass.	Enchantment — Aura	{3}{W}	4	W	W	Enchant, Convoke		verify analyzer roles	https://scryfall.com/card/rav/11/conclaves-blessing?utm_source=api	Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) Enchant creature Enchanted creature gets +0/+2 for each other creature you control.
rav	Ravnica: City of Guilds	2005-10-07	12	Courier Hawk	7fc904aa-377b-4671-8308-275205f56d81	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Bird	{1}{W}	2	W	W	Flying, Vigilance		verify analyzer roles	https://scryfall.com/card/rav/12/courier-hawk?utm_source=api	Flying, vigilance
rav	Ravnica: City of Guilds	2005-10-07	13	Devouring Light	5334dc24-040e-4094-80f4-8d1b9de01230	covered	cost_reduction, removal, targeted_removal	cost_reduction, removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{1}{W}{W}	3	W	W	Convoke		verify analyzer roles	https://scryfall.com/card/rav/13/devouring-light?utm_source=api	Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) Exile target attacking or blocking creature.
rav	Ravnica: City of Guilds	2005-10-07	14	Divebomber Griffin	11e84e48-0f18-41b6-9f2a-30c64aecf9a7	covered	combat_body, combat_threat, removal, sacrifice_support, targeted_removal	combat_body, combat_threat, removal, sacrifice_support, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Griffin	{3}{W}{W}	5	W	W	Flying		verify analyzer roles	https://scryfall.com/card/rav/14/divebomber-griffin?utm_source=api	Flying {T}, Sacrifice this creature: It deals 3 damage to target attacking or blocking creature.
rav	Ravnica: City of Guilds	2005-10-07	15	Dromad Purebred	c7adac8f-8187-49a0-80b2-3281d42f1b92	covered	combat_body, lifegain	combat_body, lifegain	false		Analyzer roles accepted during batch clean pass.	Creature — Camel Beast	{4}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/rav/15/dromad-purebred?utm_source=api	Whenever this creature is dealt damage, you gain 1 life.
rav	Ravnica: City of Guilds	2005-10-07	16	Faith's Fetters	2b2d76f5-4c9b-49dc-b202-68095e2d9b29	covered	combat_support, lifegain, removal, targeted_removal	combat_support, lifegain, removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Enchantment — Aura	{3}{W}	4	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/rav/16/faiths-fetters?utm_source=api	Enchant permanent When this Aura enters, you gain 4 life. Enchanted permanent can't attack or block, and its activated abilities can't be activated unless they're mana abilities.
rav	Ravnica: City of Guilds	2005-10-07	17	Festival of the Guildpact	f8d1fbec-6ec1-47fa-ba02-fcee906db0d7	covered	broad_protection, card_draw, direct_draw, draw, mana_sink, protection, scalable_spell	broad_protection, card_draw, direct_draw, draw, mana_sink, protection, scalable_spell	false		Analyzer roles accepted during batch clean pass.	Instant	{X}{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/rav/17/festival-of-the-guildpact?utm_source=api	Prevent the next X damage that would be dealt to you this turn. Draw a card.
rav	Ravnica: City of Guilds	2005-10-07	18	Flickerform	e5345c28-7046-4ff3-a5d6-eeb7a0fb230b							Enchantment — Aura	{1}{W}	2	W	W	Enchant		has Scryfall tags/keywords but no analyzer role	https://scryfall.com/card/rav/18/flickerform?utm_source=api	Enchant creature {2}{W}{W}: Exile enchanted creature and all Auras attached to it. At the beginning of the next end step, return that card to the battlefield under its owner's control. If you do, return the other cards exiled this way to the battlefield under their owners' control attached to that creature.
rav	Ravnica: City of Guilds	2005-10-07	19	Gate Hound	762e01d8-c16a-44b8-8ba0-052d1a2f312f	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Creature — Dog	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/rav/19/gate-hound?utm_source=api	Creatures you control have vigilance as long as this creature is enchanted.
rav	Ravnica: City of Guilds	2005-10-07	20	Ghosts of the Innocent	9243bd95-5467-490d-9bd2-4d5ce1ebc589	covered	combat_body, replacement_engine	combat_body, replacement_engine	false		Analyzer roles accepted during batch clean pass.	Creature — Spirit	{5}{W}{W}	7	W	W			verify analyzer roles	https://scryfall.com/card/rav/20/ghosts-of-the-innocent?utm_source=api	If a source would deal damage to a permanent or player, it deals half that damage, rounded down, to that permanent or player instead.
rav	Ravnica: City of Guilds	2005-10-07	21	Hour of Reckoning	3bc13640-03f8-4b19-b0a4-7e7cb5271c0c	covered	cost_reduction, mass_removal, removal	cost_reduction, mass_removal, removal	false		Analyzer roles accepted during batch clean pass.	Sorcery	{4}{W}{W}{W}	7	W	W	Convoke		verify analyzer roles	https://scryfall.com/card/rav/21/hour-of-reckoning?utm_source=api	Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) Destroy all nontoken creatures.
