setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
rix	Rivals of Ixalan	2018-01-19	1	Baffling End	03c35670-84ac-4825-b395-cefb76ceb89a	covered	donation_support, removal, targeted_removal	donation_support, removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Enchantment	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/rix/1/baffling-end?utm_source=api	When this enchantment enters, exile target creature an opponent controls with mana value 3 or less. When this enchantment leaves the battlefield, target opponent creates a 3/3 green Dinosaur creature token with trample.
rix	Rivals of Ixalan	2018-01-19	2	Bishop of Binding	c2dd6c78-e482-4a3c-ad9c-7dd71b3e34d2	covered	combat_body, combat_support, removal, scalable_spell, targeted_removal	combat_body, combat_support, removal, scalable_spell, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Vampire Cleric	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/rix/2/bishop-of-binding?utm_source=api	When this creature enters, exile target creature an opponent controls until this creature leaves the battlefield. Whenever this creature attacks, target Vampire gets +X/+X until end of turn, where X is the power of the exiled card.
rix	Rivals of Ixalan	2018-01-19	3	Blazing Hope	b8d87d15-0ab4-46e3-8258-8ca267f354fd	covered	removal, targeted_removal	removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/rix/3/blazing-hope?utm_source=api	Exile target creature with power greater than or equal to your life total.
rix	Rivals of Ixalan	2018-01-19	4	Cleansing Ray	50f1948c-fa27-458d-be14-cb0e09e39f63	covered	removal, targeted_removal	removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Sorcery	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/rix/4/cleansing-ray?utm_source=api	Choose one — • Destroy target Vampire. • Destroy target enchantment.
rix	Rivals of Ixalan	2018-01-19	5	Divine Verdict	3070f997-24f2-471d-af96-a2f3b588198e	covered	removal, targeted_removal	removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/rix/5/divine-verdict?utm_source=api	Destroy target attacking or blocking creature.
rix	Rivals of Ixalan	2018-01-19	6	Everdawn Champion	964e065f-380d-491b-9225-244c5f9edda7	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{1}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/rix/6/everdawn-champion?utm_source=api	Prevent all combat damage that would be dealt to this creature.
rix	Rivals of Ixalan	2018-01-19	7	Exultant Skymarcher	d7ebd4a7-c542-469f-8a1c-d48b92fa540a	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Vampire Soldier	{1}{W}{W}	3	W	W	Flying		verify analyzer roles	https://scryfall.com/card/rix/7/exultant-skymarcher?utm_source=api	Flying
rix	Rivals of Ixalan	2018-01-19	8	Famished Paladin	f80df9c4-f682-4a70-81fe-03c7c5c256e1	covered	combat_body, lifegain	combat_body, lifegain	false		Analyzer roles accepted during batch clean pass.	Creature — Vampire Knight	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/rix/8/famished-paladin?utm_source=api	This creature doesn't untap during your untap step. Whenever you gain life, untap this creature.
rix	Rivals of Ixalan	2018-01-19	9	Forerunner of the Legion	439537ca-53c1-47cb-9174-5872c3c46288	covered	combat_body, combat_support, restricted_tutor, tutor	combat_body, combat_support, restricted_tutor, tutor	false		Analyzer roles accepted during batch clean pass.	Creature — Vampire Knight	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/rix/9/forerunner-of-the-legion?utm_source=api	When this creature enters, you may search your library for a Vampire card, reveal it, then shuffle and put that card on top. Whenever another Vampire you control enters, target creature gets +1/+1 until end of turn.
rix	Rivals of Ixalan	2018-01-19	10	Imperial Ceratops	86cee7f0-0aac-46f1-8e4e-062fc398477e	covered	combat_body, lifegain	combat_body, lifegain	false		Analyzer roles accepted during batch clean pass.	Creature — Dinosaur	{4}{W}	5	W	W	Enrage		verify analyzer roles	https://scryfall.com/card/rix/10/imperial-ceratops?utm_source=api	Enrage — Whenever this creature is dealt damage, you gain 2 life.
