setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
rna	Ravnica Allegiance	2019-01-25	1	Angel of Grace	fcfcac6b-6d26-4ffe-ae9e-b0ee7fa49787			broad_protection, combat_body, combat_threat, life_total_protection, protection				Creature — Angel	{3}{W}{W}	5	W	W	Flying, Flash		verify analyzer roles	https://scryfall.com/card/rna/1/angel-of-grace?utm_source=api	Flash Flying When this creature enters, until end of turn, damage that would reduce your life total to less than 1 reduces it to 1 instead. {4}{W}{W}, Exile this card from your graveyard: Your life total becomes 10.
rna	Ravnica Allegiance	2019-01-25	2	Angelic Exaltation	507d2f27-08a9-4938-b191-5734cda42ef2			combat_support, scalable_spell				Enchantment	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/rna/2/angelic-exaltation?utm_source=api	Whenever a creature you control attacks alone, it gets +X/+X until end of turn, where X is the number of creatures you control.
rna	Ravnica Allegiance	2019-01-25	3	Archway Angel	f2cf087a-d89a-4145-9394-945ce41c8cca			combat_body, combat_threat, lifegain				Creature — Angel	{5}{W}	6	W	W	Flying		verify analyzer roles	https://scryfall.com/card/rna/3/archway-angel?utm_source=api	Flying When this creature enters, you gain 2 life for each Gate you control.
rna	Ravnica Allegiance	2019-01-25	4	Arrester's Zeal	6b70af46-ff27-4eec-9692-248b06248de6			combat_support				Instant	{W}	1	W	W	Addendum		verify analyzer roles	https://scryfall.com/card/rna/4/arresters-zeal?utm_source=api	Target creature gets +2/+2 until end of turn. Addendum — If you cast this spell during your main phase, that creature gains flying until end of turn.
rna	Ravnica Allegiance	2019-01-25	5	Bring to Trial	968b6277-584c-4947-98ac-4d6e5f8d6754			removal, targeted_removal				Sorcery	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/rna/5/bring-to-trial?utm_source=api	Exile target creature with power 4 or greater.
rna	Ravnica Allegiance	2019-01-25	6	Civic Stalwart	80d7e395-f774-44b5-9442-fa2fc03aaa29			combat_body, combat_support				Creature — Elephant Soldier	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/rna/6/civic-stalwart?utm_source=api	When this creature enters, creatures you control get +1/+1 until end of turn.
rna	Ravnica Allegiance	2019-01-25	7	Concordia Pegasus	93c35f9e-3346-4269-b1af-df9f216bfd7a			combat_body, combat_threat				Creature — Pegasus	{1}{W}	2	W	W	Flying		verify analyzer roles	https://scryfall.com/card/rna/7/concordia-pegasus?utm_source=api	Flying
rna	Ravnica Allegiance	2019-01-25	8	Expose to Daylight	c8195fcd-1858-4f23-aa73-b654d25035aa			card_selection, removal, selection, targeted_removal				Instant	{2}{W}	3	W	W	Scry		verify analyzer roles	https://scryfall.com/card/rna/8/expose-to-daylight?utm_source=api	Destroy target artifact or enchantment. Scry 1.
rna	Ravnica Allegiance	2019-01-25	9	Forbidding Spirit	efd8dc6c-8233-45b2-99bd-e38ca2e0b35f			combat_body, combat_support				Creature — Spirit Cleric	{1}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/rna/9/forbidding-spirit?utm_source=api	When this creature enters, until your next turn, creatures can't attack you or planeswalkers you control unless their controller pays {2} for each of those creatures.
rna	Ravnica Allegiance	2019-01-25	10	Haazda Officer	35023c04-ae62-47bf-80a0-faa2d7a67788			combat_body, combat_support				Creature — Human Soldier	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/rna/10/haazda-officer?utm_source=api	When this creature enters, target creature you control gets +1/+1 until end of turn.
rna	Ravnica Allegiance	2019-01-25	11	Hero of Precinct One	5a66802a-76f9-4a31-a776-24110dcfca64			combat_body, token_support				Creature — Human Warrior	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/rna/11/hero-of-precinct-one?utm_source=api	Whenever you cast a multicolored spell, create a 1/1 white Human creature token.
rna	Ravnica Allegiance	2019-01-25	12	Impassioned Orator	c7107a2d-2dcf-42e9-9ea9-d0fc0d6d2ec6			combat_body, lifegain				Creature — Human Cleric	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/rna/12/impassioned-orator?utm_source=api	Whenever another creature you control enters, you gain 1 life.
rna	Ravnica Allegiance	2019-01-25	13	Justiciar's Portal	0214805d-d207-42da-a25f-2a8e1990904e			flicker, protection, rescue_protection				Instant	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/rna/13/justiciars-portal?utm_source=api	Exile target creature you control, then return that card to the battlefield under its owner's control. It gains first strike until end of turn.
rna	Ravnica Allegiance	2019-01-25	14	Knight of Sorrows	50f644d6-2597-4ad6-8ea8-6b09056f90c0			combat_body, combat_support, sacrifice_support, token_support				Creature — Human Knight	{4}{W}	5	W	W	Afterlife		verify analyzer roles	https://scryfall.com/card/rna/14/knight-of-sorrows?utm_source=api	This creature can block an additional creature each combat. Afterlife 1 (When this creature dies, create a 1/1 white and black Spirit creature token with flying.)
rna	Ravnica Allegiance	2019-01-25	15	Lumbering Battlement	dcf7d099-a726-4388-9744-70d37c5ea860			combat_body, combat_support, combat_threat				Creature — Beast	{4}{W}	5	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/rna/15/lumbering-battlement?utm_source=api	Vigilance When this creature enters, exile any number of other nontoken creatures you control until it leaves the battlefield. This creature gets +2/+2 for each card exiled with it.
rna	Ravnica Allegiance	2019-01-25	16	Ministrant of Obligation	0cee5539-d10b-4de2-aee8-e02f0e24ac26			combat_body, sacrifice_support, token_support				Creature — Human Cleric	{2}{W}	3	W	W	Afterlife		verify analyzer roles	https://scryfall.com/card/rna/16/ministrant-of-obligation?utm_source=api	Afterlife 2 (When this creature dies, create two 1/1 white and black Spirit creature tokens with flying.)
rna	Ravnica Allegiance	2019-01-25	17	Prowling Caracal	0eabe5e9-cb03-4481-9360-5e79eccd0631			combat_body				Creature — Cat	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/rna/17/prowling-caracal?utm_source=api	
rna	Ravnica Allegiance	2019-01-25	18	Rally to Battle	9d8d88dd-c266-4b7d-a756-ac2d8976ca89			combat_support				Instant	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/rna/18/rally-to-battle?utm_source=api	Creatures you control get +1/+3 until end of turn. Untap them.
rna	Ravnica Allegiance	2019-01-25	19	Resolute Watchdog	ca2aee09-398d-4eaa-acbb-98663216185b			combat_body, combat_support, protection, sacrifice_support, self_protection, targeted_protection				Creature — Dog	{W}	1	W	W	Defender		verify analyzer roles	https://scryfall.com/card/rna/19/resolute-watchdog?utm_source=api	Defender {1}, Sacrifice this creature: Target creature you control gains indestructible until end of turn. (Damage and effects that say "destroy" don't destroy it.)
rna	Ravnica Allegiance	2019-01-25	20	Sentinel's Mark	ac34bc09-ba8a-4bfb-bc45-e9c3e4d7bdc0			combat_support, lifegain				Enchantment — Aura	{1}{W}	2	W	W	Addendum, Enchant, Flash		verify analyzer roles	https://scryfall.com/card/rna/20/sentinels-mark?utm_source=api	Flash Enchant creature Enchanted creature gets +1/+2 and has vigilance. Addendum — When this Aura enters, if you cast it during your main phase, enchanted creature gains lifelink until end of turn.
rna	Ravnica Allegiance	2019-01-25	21	Sky Tether	06548af1-4fda-435c-ac32-bbf7afafb34e			combat_support				Enchantment — Aura	{W}	1	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/rna/21/sky-tether?utm_source=api	Enchant creature Enchanted creature has defender and loses flying.
rna	Ravnica Allegiance	2019-01-25	22	Smothering Tithe	153376c9-dffd-458c-8ce3-a4c8269bc4e9	covered		burst_ramp, mana_fixing, ramp, sacrifice_support, token_support	false		Covered by PRM role audit.	Enchantment	{3}{W}	4	W	W	Treasure		already reviewed	https://scryfall.com/card/rna/22/smothering-tithe?utm_source=api	Whenever an opponent draws a card, that player may pay {2}. If the player doesn't, you create a Treasure token. (It's an artifact with "{T}, Sacrifice this token: Add one mana of any color.")
rna	Ravnica Allegiance	2019-01-25	23	Spirit of the Spires	bf10ce45-c6d6-461e-ab46-06b4205d31fb			combat_body, combat_support, combat_threat				Creature — Spirit	{3}{W}	4	W	W	Flying		verify analyzer roles	https://scryfall.com/card/rna/23/spirit-of-the-spires?utm_source=api	Flying Other creatures you control with flying get +0/+1.
rna	Ravnica Allegiance	2019-01-25	24	Summary Judgment	ae198ce9-097b-4204-b599-12bdb36f5195			removal, targeted_removal				Instant	{1}{W}	2	W	W	Addendum		verify analyzer roles	https://scryfall.com/card/rna/24/summary-judgment?utm_source=api	Summary Judgment deals 3 damage to target tapped creature. Addendum — If you cast this spell during your main phase, it deals 5 damage instead.
rna	Ravnica Allegiance	2019-01-25	25	Syndicate Messenger	f5f4d78b-ed2b-471b-9ece-237fb55adc13			combat_body, combat_threat, sacrifice_support, token_support				Creature — Bird	{3}{W}	4	W	W	Flying, Afterlife		verify analyzer roles	https://scryfall.com/card/rna/25/syndicate-messenger?utm_source=api	Flying Afterlife 1 (When this creature dies, create a 1/1 white and black Spirit creature token with flying.)
rna	Ravnica Allegiance	2019-01-25	26	Tenth District Veteran	c25e4b69-4ea3-43ce-ba6f-b918ebfc4980			combat_body, combat_support, combat_threat				Creature — Human Soldier	{2}{W}	3	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/rna/26/tenth-district-veteran?utm_source=api	Vigilance Whenever this creature attacks, untap another target creature you control.
rna	Ravnica Allegiance	2019-01-25	27	Tithe Taker	c916b81f-700e-4a1a-8c8e-c4685ceaecd2			combat_body, sacrifice_support, stax_piece, token_support				Creature — Human Soldier	{1}{W}	2	W	W	Afterlife		verify analyzer roles	https://scryfall.com/card/rna/27/tithe-taker?utm_source=api	During your turn, spells your opponents cast cost {1} more to cast and abilities your opponents activate cost {1} more to activate unless they're mana abilities. Afterlife 1 (When this creature dies, create a 1/1 white and black Spirit creature token with flying.)
rna	Ravnica Allegiance	2019-01-25	28	Twilight Panther	5e19aa52-5b76-40d7-ba9c-0e5d64f2b773			combat_body, combat_support				Creature — Cat Spirit	{W}	1	W	BW			verify analyzer roles	https://scryfall.com/card/rna/28/twilight-panther?utm_source=api	{B}: This creature gains deathtouch until end of turn.
rna	Ravnica Allegiance	2019-01-25	29	Unbreakable Formation	97435e03-2fff-4fe0-8fa9-69ab0a046a33			broad_protection, combat_support, counter_support, protection, self_protection				Instant	{2}{W}	3	W	W	Addendum		verify analyzer roles	https://scryfall.com/card/rna/29/unbreakable-formation?utm_source=api	Creatures you control gain indestructible until end of turn. Addendum — If you cast this spell during your main phase, put a +1/+1 counter on each of those creatures and they gain vigilance until end of turn.
rna	Ravnica Allegiance	2019-01-25	30	Watchful Giant	8239c63d-097a-449a-953a-cd480e594aa8			combat_body, token_support				Creature — Giant Soldier	{5}{W}	6	W	W			verify analyzer roles	https://scryfall.com/card/rna/30/watchful-giant?utm_source=api	When this creature enters, create a 1/1 white Human creature token.
rna	Ravnica Allegiance	2019-01-25	31	Arrester's Admonition	ccfb612a-762d-41a7-bc3d-268c6abf8e85			card_draw, direct_draw, draw, removal, tempo_removal				Instant	{2}{U}	3	U	U	Addendum		verify analyzer roles	https://scryfall.com/card/rna/31/arresters-admonition?utm_source=api	Return target creature to its owner's hand. Addendum — If you cast this spell during your main phase, draw a card.
rna	Ravnica Allegiance	2019-01-25	32	Benthic Biomancer	b9000917-4f09-42f4-ae85-fc1ac7571d93			card_draw, card_selection, combat_body, combat_support, counter_support, direct_draw, draw, repeatable_advantage, repeatable_draw, selection				Creature — Merfolk Wizard Mutant	{U}	1	U	U	Adapt		verify analyzer roles	https://scryfall.com/card/rna/32/benthic-biomancer?utm_source=api	{1}{U}: Adapt 1. (If this creature has no +1/+1 counters on it, put a +1/+1 counter on it.) Whenever one or more +1/+1 counters are put on this creature, draw a card, then discard a card.
rna	Ravnica Allegiance	2019-01-25	33	Chillbringer	604d2a0e-224c-4a7b-aabf-033e7dcee3f2			combat_body, combat_threat, removal, tempo_removal				Creature — Elemental	{4}{U}	5	U	U	Flying		verify analyzer roles	https://scryfall.com/card/rna/33/chillbringer?utm_source=api	Flying When this creature enters, tap target creature an opponent controls. It doesn't untap during its controller's next untap step.
rna	Ravnica Allegiance	2019-01-25	34	Clear the Mind	141c33be-7a25-4981-b62c-efee8e8ec91d			card_draw, direct_draw, draw, graveyard_hate				Sorcery	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/rna/34/clear-the-mind?utm_source=api	Target player shuffles their graveyard into their library. Draw a card.
rna	Ravnica Allegiance	2019-01-25	35	Code of Constraint	b2f83483-24a4-45db-a04e-42ff732ca98a			card_draw, direct_draw, draw, targeted_removal				Instant	{2}{U}	3	U	U	Addendum		verify analyzer roles	https://scryfall.com/card/rna/35/code-of-constraint?utm_source=api	Target creature gets -4/-0 until end of turn. Draw a card. Addendum — If you cast this spell during your main phase, tap that creature and it doesn't untap during its controller's next untap step.
rna	Ravnica Allegiance	2019-01-25	36	Coral Commando	03ce2235-50d9-4f67-b588-166b9b37c664			combat_body				Creature — Merfolk Warrior	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/rna/36/coral-commando?utm_source=api	
rna	Ravnica Allegiance	2019-01-25	37	Essence Capture	0f730bd9-2060-46b1-9208-0ac6562e8b2a			counter_support, hard_stack, stack				Instant	{U}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/rna/37/essence-capture?utm_source=api	Counter target creature spell. Put a +1/+1 counter on up to one target creature you control.
rna	Ravnica Allegiance	2019-01-25	38	Eyes Everywhere	7d0a1ae5-cd93-4789-9666-fc7bbbc6b613			card_selection, donation_support, removal, repeatable_advantage, selection, tempo_removal, theft_support				Enchantment	{2}{U}	3	U	U	Scry		verify analyzer roles	https://scryfall.com/card/rna/38/eyes-everywhere?utm_source=api	At the beginning of your upkeep, scry 1. {5}{U}: Exchange control of this enchantment and target nonland permanent. Activate only as a sorcery.
